"","VNO.Open","VNO.High","VNO.Low","VNO.Close","VNO.Volume"
"2013-04-11",87.1,87.99,87.1,87.2,1100430
"2013-04-18",86.25,86.29,84.48,85,1045246
"2013-04-25",86.96,87.21,85.63,86.54,595256
"2013-05-02",87.4,87.96,87,87.25,665959
"2013-05-09",87.07,87.49,85.92,86.16,1203356
"2013-05-16",87.93,88.51,87.38,87.59,979514
"2013-05-23",84.91,84.98,83.64,83.92,1291792
"2013-05-30",82.79,83.27,81.3,81.39,1063327
"2013-06-06",79.17,80.61,78.55,80.61,896638
"2013-06-13",79.31,82.61,79.31,82.51,1106125
"2013-06-20",80.35,80.35,76.35,76.73,1125721
"2013-06-27",81.18,83.02,81.1,82.93,913206
"2013-07-11",86.7,87.62,86.19,87.51,1120268
"2013-07-18",87.89,88.95,87.57,88.71,481451
"2013-07-25",86.84,87.37,86.22,86.83,670702
"2013-08-01",85.36,85.58,84.15,84.16,1073669
"2013-08-08",84.41,85.06,84.16,84.78,1152856
"2013-08-15",83.08,83.13,81.94,82.84,1008020
"2013-08-22",81.1,82.13,80.52,81.99,659381
"2013-08-29",82.3,82.3,81,81.8,548236
"2013-09-05",81.97,82.05,80.6,80.75,613236
"2013-09-12",85.25,85.41,84.15,84.32,513347
"2013-09-19",88.06,89.23,87.99,88.66,1281609
"2013-09-26",84.68,85.24,84.33,85.2,705401
"2013-10-03",84.26,84.45,82.73,83.15,1214781
"2013-10-10",84.33,86.7,84.14,86.67,987524
"2013-10-17",88.15,89.6,87.75,89.44,696617
"2013-10-24",89.39,89.99,89.01,89.91,577501
"2013-10-31",89.28,89.78,88.36,89.06,856926
"2013-11-07",90.01,90.5,88.38,88.59,799633
"2013-11-14",89.13,90.39,88.92,89.44,537056
"2013-11-21",88.27,89.95,88.27,89.76,709253
"2013-12-05",89.15,89.9,88.27,89.64,876303
"2013-12-12",87.9,88.3,86.83,87.29,1561040
"2013-12-19",89.49,89.7,88.32,88.6,1059218
"2013-12-26",89.27,89.64,88.85,89.21,519244
"2014-01-02",89.16,89.29,87.82,88.64,783944
"2014-01-09",89.97,90.5,88.63,90.45,680349
"2014-01-16",91.99,92.74,91.87,92.57,485833
"2014-01-23",91.81,92.18,91.39,91.73,633437
"2014-01-30",91.43,92.14,91.21,91.38,1611054
"2014-02-06",91.22,92.99,91.04,92.9,1078959
"2014-02-13",94.71,96.19,94.52,95.43,837139
"2014-02-20",95.73,95.98,94.64,95.03,667451
"2014-02-27",94.74,95.41,94.17,94.79,892042
"2014-03-06",99.55,99.77,98.73,99.23,1127825
"2014-03-13",98.87,98.87,97.74,97.77,860807
"2014-03-20",96.58,98.21,95.89,98.2,1163011
"2014-03-27",96.61,97.51,96.35,96.87,964489
"2014-04-03",99.49,99.57,98.63,99.19,620791
"2014-04-10",99.51,100.15,97.76,98.3,1188605
"2014-04-17",100.27,100.58,99.82,100.52,1014828
"2014-04-24",101.18,101.3,100.62,101.02,744508
"2014-05-01",102.64,103.24,101.85,103.16,544220
"2014-05-08",104.66,105.52,104.43,105.04,928199
"2014-05-15",105.4,105.78,104.61,105.52,605588
"2014-05-22",105.02,105.35,104.28,104.35,663756
"2014-05-29",106.1,106.51,105.62,106.45,366372
"2014-06-05",107.07,108.77,106.72,108.69,821975
"2014-06-12",105.18,105.44,104.31,104.54,741615
"2014-06-19",105.15,106.35,104.84,106.35,1037025
"2014-06-26",106.33,106.44,105.46,105.87,646276
"2014-07-03",106.45,106.47,105.19,105.95,597927
"2014-07-10",105.87,106.6,105.53,106.06,570274
"2014-07-17",106.95,107.29,105.95,105.97,785100
"2014-07-24",108.26,108.7,107.74,108.6,995702
"2014-07-31",106.38,107.06,105.94,106.02,893973
"2014-08-07",104.3,105.21,103.8,104.07,560214
"2014-08-14",106.91,107.07,105.92,106.11,653391
"2014-08-21",107.02,107.38,106.56,106.63,709431
"2014-08-28",105.14,105.7,104.92,105.42,511392
"2014-09-04",106.98,107.79,106.48,106.87,976830
"2014-09-11",105.3,105.84,104.82,105.62,586737
"2014-09-18",103.87,104.19,102.62,102.67,1129831
"2014-09-25",100.01,100.66,99.5,99.77,870325
"2014-10-02",99.77,100.25,98.92,99.59,694292
"2014-10-09",100.47,102.26,100.09,101.65,1671811
"2014-10-16",102.18,104.17,102.11,103.77,803084
"2014-10-23",107.49,107.99,106.32,107.56,1068061
"2014-10-30",106.47,107.67,93.08,107.6,1121868
"2014-11-06",111.09,111.09,109.87,110.13,1492235
"2014-11-13",107.88,108.59,107.44,108.15,578458
"2014-11-20",108.89,109.29,108.44,109.08,1050226
"2014-12-04",112.06,113.13,111.68,112.85,714222
"2014-12-11",114.32,114.85,113.59,113.76,682570
"2014-12-18",115.03,116.63,114.55,116.59,847960
"2015-01-08",123.46,124.17,122.55,123.61,642265
"2015-01-15",125.14,126.62,124.57,126,1468121
"2015-01-22",112.51,114.8,112.51,114.68,823666
"2015-01-29",112.46,112.84,111.68,112.54,720754
"2015-02-05",111.96,114.08,111.5,113.97,870674
"2015-02-12",112.8,113.95,112.16,113.7,523870
"2015-02-19",113.5,113.53,110.7,111.26,923829
"2015-02-26",110.22,110.39,109.18,109.38,646296
"2015-03-05",109.36,110.21,108.94,109.17,1028198
"2015-03-12",105.09,106.51,105.03,106.24,908234
"2015-03-19",108.48,109.67,108.06,109.05,762058
"2015-03-26",110,110.74,109.3,110.27,804477
"2015-04-02",110.01,111.95,109.89,111.21,470206
"2015-04-09",109.63,109.67,106.66,107.14,1215014
"2015-04-16",107.11,108.37,106.71,107.65,389103
"2015-04-23",107.05,107.38,106.41,106.94,452713
"2015-04-30",104.84,105,102.87,103.49,771410
"2015-05-07",100.5,102.22,100.14,101.48,727338
"2015-05-14",100.5,102,100.36,101.88,502659
"2015-05-21",102.63,102.97,101.96,102.25,707623
"2015-05-28",102.18,102.42,100.91,101.39,464870
"2015-06-04",99.37,99.92,98.62,99.5,758589
"2015-06-11",98.61,98.9,98.21,98.36,601755
"2015-06-18",99.49,101.58,99.16,101.29,1000404
"2015-06-25",97.35,97.36,96.06,96.06,1159514
"2015-07-02",96.9,97.77,95.94,96.27,692067
"2015-07-09",97.68,98.4,96.64,96.87,528851
"2015-07-16",97.64,98.96,97.46,98.23,514254
"2015-07-23",96.77,96.8,95.14,95.89,715042
"2015-07-30",97,97.15,96.13,96.43,454734
"2015-08-06",95.64,95.8,93.85,95.17,863916
"2015-08-13",96.58,97.58,95.77,97.05,735762
