"","O.Open","O.High","O.Low","O.Close","O.Volume"
"2013-06-06",43.69,45.56,43.5,45.41,2772647
"2013-06-13",43.09,44.32,43.01,44.1,2646027
"2013-06-20",43.01,43.08,40.74,41.02,3743749
"2013-06-27",42.01,42.75,42.01,42.28,2190209
"2013-07-11",43.79,44.68,43.77,44.57,1825265
"2013-07-18",45.66,46,45.52,45.93,1200239
"2013-07-25",44.5,44.85,44.21,44.36,1491619
"2013-08-01",43.82,44.02,42.81,42.82,2661128
"2013-08-08",43.16,43.16,42.5,43.01,963038
"2013-08-15",41.55,41.65,40.62,41.19,1989785
"2013-08-22",40.28,40.61,40.12,40.26,2085522
"2013-08-29",39.51,39.93,39.21,39.77,1152372
"2013-09-05",39.21,39.23,38.66,38.7,1156224
"2013-09-12",39.68,39.85,39.17,39.22,1189250
"2013-09-19",40.99,41.39,40.43,40.43,2153493
"2013-09-26",40.52,41.53,40.5,41.09,3713630
"2013-10-03",40.23,40.4,39.6,39.81,2387953
"2013-10-10",39.82,40.41,39.67,40.36,1416749
"2013-10-17",41.99,42.31,41.55,42.2,1222256
"2013-10-24",41.42,41.69,41.08,41.54,2735083
"2013-10-31",42.57,42.59,41.42,41.65,2445897
"2013-11-07",42.02,42.09,41.36,41.37,1544514
"2013-11-14",40.28,40.88,40.25,40.57,1106455
"2013-11-21",39.01,39.17,38.65,38.91,1974798
"2013-12-05",36.8,37.03,36.58,36.68,2383524
"2013-12-12",36.99,37.18,36.67,37.18,3082144
"2013-12-19",39.7,39.7,37.77,38.04,3622682
"2013-12-26",38.32,38.5,37.98,38.13,1430696
"2014-01-02",37.38,37.41,37,37.35,1632128
"2014-01-09",37.69,37.82,37.3,37.78,1505843
"2014-01-16",38.61,38.75,38.43,38.56,2133460
"2014-01-23",39.54,39.58,39.27,39.54,1876954
"2014-01-30",40.5,40.95,40.33,40.77,1817486
"2014-02-06",40.18,40.49,39.98,40.25,1513065
"2014-02-13",41.19,41.69,41,41.48,1469014
"2014-02-20",42.74,43.31,42.62,42.91,2367052
"2014-02-27",43.81,44.53,43.76,44.42,2175772
"2014-03-06",43.62,43.78,42.72,42.75,3023821
"2014-03-13",42.14,42.46,41.93,42.32,2054739
"2014-03-20",40.9,40.93,40.31,40.73,2329184
"2014-03-27",39.73,40.8,39.62,40.8,17953979
"2014-04-03",40.69,40.7,40.22,40.4,1751911
"2014-04-10",41.84,42.21,41.13,41.32,1652151
"2014-04-17",42.78,42.78,41.74,41.89,2047252
"2014-04-24",42.35,42.84,42.25,42.74,1461362
"2014-05-01",43.61,43.62,42.54,43.21,1997590
"2014-05-08",44.2,44.34,43.86,43.99,1767490
"2014-05-15",43.38,43.55,42.88,43.18,2314789
"2014-05-22",43.35,43.46,42.86,42.89,2296291
"2014-05-29",43.07,43.66,42.92,43.36,2056984
"2014-06-05",43.2,44.16,43.1,44.11,2126286
"2014-06-12",43.27,43.7,43.19,43.69,1589008
"2014-06-19",44.21,44.5,44.03,44.49,1493128
"2014-06-26",44.31,44.35,43.89,44.11,1661695
"2014-07-03",44.54,44.54,43.98,44.23,949129
"2014-07-10",44.45,45.23,44.43,45.14,1462027
"2014-07-17",45.14,45.49,45.1,45.3,1128211
"2014-07-24",45.5,45.56,44.3,44.72,2532925
"2014-07-31",43.26,43.37,43.02,43.05,2103429
"2014-08-07",43.37,43.62,43.28,43.55,1008805
"2014-08-14",44.53,44.73,44.41,44.55,826559
"2014-08-21",45.32,45.63,45.25,45.4,797346
"2014-08-28",44.39,44.7,44.33,44.58,890087
"2014-09-04",44.49,44.9,44.32,44.62,1856364
"2014-09-11",44,44.18,43.59,43.75,2250208
"2014-09-18",42.57,42.75,41.76,41.76,2281334
"2014-09-25",40.95,41.07,40.56,40.95,1720270
"2014-10-02",40.89,41.26,40.74,40.97,1630802
"2014-10-09",42.23,43.03,42.2,42.76,2818674
"2014-10-16",43.57,44.12,43.15,43.97,2483734
"2014-10-23",44.98,45.13,44.64,44.95,2591121
"2014-10-30",45.54,46.66,45.34,46.52,3827790
"2014-11-06",47.27,47.57,46.73,46.86,1803132
"2014-11-13",46.13,46.7,46.09,46.17,1879249
"2014-11-20",45.84,46.13,45.72,45.92,1281967
"2014-12-04",46.34,46.44,46.03,46.16,1463634
"2014-12-11",45.95,46.66,45.81,46.5,1464585
"2014-12-18",47.82,48.01,47.65,48.01,1761507
"2015-01-08",50.37,50.83,49.47,49.74,3728411
"2015-01-15",51.61,52.32,51.59,52.21,2881238
"2015-01-22",52.86,53.23,52.77,53.19,2377640
"2015-01-29",54.86,55.34,54.07,55.14,3511974
"2015-02-05",52.85,53.4,52.71,53.35,1389845
"2015-02-12",51.35,52,50.84,51.69,1827107
"2015-02-19",52.39,52.75,51.25,51.39,1800402
"2015-02-26",50.91,51.13,49.39,49.81,2686316
"2015-03-05",50.53,51.18,50.5,50.8,1238982
"2015-03-12",49.96,50.91,49.78,50.14,1815032
"2015-03-19",51.85,52.64,51.54,52.24,1579416
"2015-03-26",51.5,52.01,51.08,51.25,1376375
"2015-04-02",51.4,52.22,51.4,52.05,1406939
"2015-04-09",50.58,50.82,49.14,49.36,3267979
"2015-04-16",49.3,49.62,49.01,49.37,949870
"2015-04-23",49.41,49.61,49.2,49.39,962239
"2015-04-30",47.82,47.82,46.29,46.97,3139896
"2015-05-07",46,46.84,45.81,46.51,2168589
"2015-05-14",46.52,47.31,46.51,47.31,1398636
"2015-05-21",47.42,47.51,46.75,46.98,1010892
"2015-05-28",46.25,46.35,45.87,46.04,1682402
"2015-06-04",45.21,45.78,44.72,45.6,2878224
"2015-06-11",45.52,45.84,45.35,45.59,1448380
"2015-06-18",46.05,47.05,46.05,46.64,1983660
"2015-06-25",44.78,45.05,44.23,44.42,2018824
"2015-07-02",45.5,46.19,45.26,45.39,1698913
"2015-07-09",46.5,46.68,45.81,45.95,1727870
"2015-07-16",46.85,47.22,46.63,47.2,1282309
"2015-07-23",47.2,47.25,46.48,46.78,1410603
"2015-07-30",47.5,47.99,47.21,47.61,1620065
"2015-08-06",47.32,47.65,46.95,47.53,1807337
"2015-08-13",47.68,47.77,47.1,47.54,1642943
"2015-08-20",47.82,48.65,47.7,48.1,1557580
"2015-08-27",46.03,46.71,45.53,46.36,1874266
"2015-09-03",44.43,44.5,44.01,44.17,1311124
"2015-09-10",44,44.62,43.92,44.2,1461886
"2015-09-17",46.3,47.72,46.01,46.89,2104453
"2015-09-24",47.28,47.42,46.69,46.97,1402801
"2015-10-01",47.62,47.62,46.97,47.35,1402938
"2015-10-08",47.45,47.77,47.13,47.65,2330299
"2015-10-15",47.82,48.55,47.76,48.51,1444106
"2015-10-22",49.37,50.5,49.3,50.19,2537477
"2015-10-29",49.09,50,49.05,49.68,3164854
"2015-11-05",49.41,50.05,49.12,50,1818676
"2015-11-12",47.36,47.8,47.17,47.44,2006299
"2015-11-19",49.45,49.46,49.11,49.37,1886616
"2015-12-03",49.42,49.64,48.62,48.78,2538611
"2015-12-10",49.57,49.92,48.92,48.94,1928365
"2015-12-17",51.21,51.28,50.85,51,2450253
"2015-12-24",51.43,51.51,51.12,51.3,662569
"2015-12-31",52,52.15,51.54,51.63,1242807
"2016-01-07",51.68,52.49,50.64,51.69,2145952
"2016-01-14",51.98,52.78,51.65,52.25,2713424
"2016-01-21",52.29,53.3,51.72,52.52,1897363
"2016-01-28",54.85,55.52,54.62,54.87,3329927
"2016-02-04",57.21,57.9,56.86,57.48,2948985
"2016-02-11",56.71,60.22,56.69,60.12,6332500
"2016-02-18",59.8,60.71,59.52,60.45,2203132
"2016-02-25",59.76,60.63,59.66,60.12,1937839
"2016-03-03",59.14,59.34,58.29,59.02,1549295
"2016-03-10",59.26,59.52,58.72,59.25,1885803
"2016-03-17",60.91,61.84,60.5,61.57,1819233
"2016-03-24",61.45,61.7,61.24,61.46,1277046
"2016-03-31",62.32,62.74,62.17,62.51,2216989
"2016-04-07",62.77,63.21,62.53,62.65,1317508
"2016-04-14",62.77,62.96,62.38,62.67,1129725
"2016-04-21",61.4,61.49,58.86,59.03,3512561
"2016-04-28",58.88,59.54,58.83,59.47,1502720
"2016-05-05",62.05,63.1,62.01,62.41,1931446
"2016-05-12",63.3,64.55,62.79,64.14,1597928
"2016-05-19",58.85,59.16,58.5,59.05,6131948
"2016-05-26",59.4,59.94,59.2,59.9,1623320
"2016-06-02",60.63,61.58,60.58,61.55,1684875
"2016-06-09",63.51,64.01,63.37,63.98,1399692
"2016-06-16",64.66,65.09,64.36,65.07,1351359
"2016-06-23",63.92,64.5,63.88,64.5,853670
"2016-06-30",68.51,69.36,68.03,69.36,2395655
"2016-07-07",71.1,71.1,68.68,69.14,3695924
"2016-07-14",70.41,70.43,69.55,70.34,1488885
"2016-07-21",69.56,70.08,68.91,70.08,1192141
"2016-07-28",69.51,71.01,69.34,70.68,1685422
"2016-08-04",69.34,70.16,69.3,69.54,1167209
"2016-08-11",69.21,69.22,67.83,68.18,1113369
"2016-08-18",67.7,68.03,67.46,67.81,910268
"2016-08-25",66.8,67.4,66.44,66.67,1573742
"2016-09-01",65.6,66.1,65.31,65.74,1453949
"2016-09-08",67.53,67.87,67.13,67.42,2731549
"2016-09-15",63.95,64.45,63.75,64.33,1324361
