"","IP.Open","IP.High","IP.Low","IP.Close","IP.Volume"
"2015-02-26",56.96,57.65,56.72,56.76,2994794
"2015-03-05",56.41,56.48,55.26,55.57,2087838
"2015-03-12",54.35,54.92,53.94,54.86,2858710
"2015-03-19",55.03,55.09,54.21,54.25,1942889
"2015-03-26",53.78,54.3,53.68,54.21,2072617
"2015-04-02",54.86,55.09,54.46,54.67,1460387
"2015-04-09",54.5,54.83,54.37,54.49,2041914
"2015-04-16",54.72,55.16,54.53,54.67,3158964
"2015-04-23",52.94,53.17,52.62,52.88,2158418
"2015-04-30",53.05,54.13,53,53.72,2900279
"2015-05-07",51.9,52.11,51.6,52,6154711
"2015-05-14",53.06,53.87,52.99,53.62,4342608
"2015-05-21",52.79,53.19,52.51,53.1,2222849
"2015-05-28",52.64,52.91,52.54,52.71,1257708
"2015-06-04",50.84,51.2,50.77,51.15,2367297
"2015-06-11",50.96,51.75,50.89,51.55,3050716
"2015-06-18",51.14,51.39,50.79,51.04,2497618
"2015-06-25",49.11,49.23,48.36,48.37,4412679
"2015-07-02",48.55,48.82,47.96,47.96,2745769
"2015-07-09",47.37,47.43,46.58,46.6,2659769
"2015-07-16",47.17,48.43,47.17,48.11,3488979
"2015-07-23",48.82,49.11,48.42,48.61,2672295
"2015-07-30",46.76,47.51,46.76,47.47,3202071
"2015-08-06",47.81,48.06,47,47.27,2082724
"2015-08-13",47.09,47.24,46.83,46.87,2416733
"2015-08-20",46.66,46.66,46,46.02,2661947
"2015-08-27",42.74,43.32,42.19,43.15,3170879
"2015-09-03",42.09,42.9,41.96,42.15,1993791
"2015-09-10",41.86,42.17,41.66,41.82,1859310
"2015-09-17",41.34,41.62,40.79,40.91,2485643
"2015-09-24",39.05,39.11,38.15,38.93,4750669
"2015-10-01",37.71,38.63,37.68,38.35,3246495
"2015-10-08",40.3,41.16,40.2,41.09,2835233
"2015-10-15",42.05,42.27,41.15,42.15,2971488
"2015-10-22",41.66,42.9,41.51,42.69,4149632
"2015-10-29",43.97,44,42.8,42.98,4069807
"2015-11-05",42.52,42.75,41.85,42.04,3059678
"2015-11-12",41.5,41.69,40.22,40.24,2951118
"2015-11-19",41.03,41.44,40.83,41.26,2545266
"2015-12-03",40.05,40.45,39.38,39.61,4520185
"2015-12-10",39.34,39.51,38.72,38.76,2325911
"2015-12-17",38.69,38.75,37.72,37.72,3402062
"2015-12-24",38.38,38.72,38.27,38.52,1147748
"2015-12-31",38.08,38.2,37.69,37.7,2572525
"2016-01-07",36.79,37.22,36.18,36.29,4851885
"2016-01-14",36.17,36.79,35.69,36.54,4105957
"2016-01-21",35.45,35.99,34.94,35.46,3355628
"2016-01-28",33.1,33.24,32.56,32.65,4275899
"2016-02-04",34.23,35.39,33.9,35.07,6485804
"2016-02-11",33.85,34.13,32.86,33.12,5870991
"2016-02-18",35.54,35.61,35.03,35.32,2970439
"2016-02-25",34.78,34.95,34.31,34.79,3083873
"2016-03-03",36.8,38.37,36.78,38.31,5133248
"2016-03-10",38.78,39.36,38.46,39.25,5242868
"2016-03-17",40.31,41.7,40.24,41.27,5021654
"2016-03-24",40.5,40.82,40.22,40.79,2746610
"2016-03-31",41,41.16,40.61,41.04,4323337
"2016-04-07",39.85,40.14,39.37,39.6,2426647
"2016-04-14",41.4,41.45,40.72,40.99,2295706
"2016-04-21",42.92,43.5,42.52,42.57,3471969
"2016-04-28",43.65,44.26,43.11,43.57,2612487
"2016-05-05",41.95,42.09,41.47,41.5,2732555
"2016-05-12",43.31,43.44,42.4,42.6,2154346
"2016-05-19",40.2,40.3,39.52,40.26,3753532
"2016-05-26",42.11,42.26,41.71,41.84,2460609
"2016-06-02",42.15,43.09,42.07,42.9,3181703
"2016-06-09",43.9,43.99,43.36,43.59,1661097
"2016-06-16",41.37,41.76,40.89,41.73,2799883
"2016-06-23",43.02,43.29,42.88,43.29,1582591
"2016-06-30",41.31,42.38,41,42.38,3104974
"2016-07-07",41.95,42.48,41.67,41.9,2317005
"2016-07-14",44.5,44.68,43.98,44.05,3046040
"2016-07-21",45.07,45.32,44.72,44.88,1812521
"2016-07-28",45.5,46.28,44.93,45.73,3215848
"2016-08-04",45.85,46.38,45.72,45.82,2061309
"2016-08-11",46.46,47.02,46.46,46.93,2688093
"2016-08-18",47.29,47.7,47.25,47.61,2252411
"2016-08-25",46.54,48.71,46.35,48.39,6974548
"2016-09-01",48.59,48.99,48.3,48.71,2112686
"2016-09-08",49.26,49.46,48.96,49.07,2251434
"2016-09-15",47.52,48.41,47.44,48.25,2459451
