"","FFIV.Open","FFIV.High","FFIV.Low","FFIV.Close","FFIV.Volume"
"2012-12-06",92.55,93.5,91.19,92.52,1648107
"2012-12-13",93.95,93.95,91.48,93.73,1976518
"2012-12-20",96.71,97.64,95.5,97.33,1038773
"2012-12-27",97.41,97.6,94.91,97.13,1151997
"2013-01-03",100.43,101.03,96.92,97.25,1941706
"2013-01-10",96.33,97.13,94.89,95.71,1002013
"2013-01-17",97.79,99.05,97.65,98.52,837208
"2013-01-24",103,107.37,102.05,103.22,4665006
"2013-01-31",105.79,106.24,103.55,104.88,1460356
"2013-02-07",107.54,107.99,104.13,105,1764087
"2013-02-14",101.83,102.03,100.31,100.89,1422082
"2013-02-21",102.12,102.47,99.28,100.73,1093460
"2013-02-28",92.69,95.13,92.01,94.43,1971428
"2013-03-07",94.03,95.67,93.08,94.23,1315416
"2013-03-14",93,93.1,91.07,91.31,2154955
"2013-03-21",90,91.2,88.66,89.03,1003286
"2013-03-28",88.43,89.81,87.83,89.08,1130206
"2013-04-04",90.11,91,89.69,90.42,2179782
"2013-04-11",73.38,76.76,72.96,75.9,2503924
"2013-04-18",73.74,74.18,72.2,72.54,1068793
"2013-04-25",76.68,81.3,74.31,74.89,5904966
"2013-05-02",73.31,76.12,73,74.5,1938411
"2013-05-09",78.78,79.87,78.22,79.17,1855522
"2013-05-16",82.57,86.22,82,82.6,2719477
"2013-05-23",81.19,81.59,80.13,81.22,964018
"2013-05-30",83.14,84.69,83.04,84.12,1250173
"2013-06-06",78.12,79.05,77.47,79,1599970
"2013-06-13",73.86,75.27,73.42,74.97,2134547
"2013-06-20",73.95,74.12,72.03,72.32,1970199
"2013-06-27",68.8,70.15,68.58,70.05,1397894
"2013-07-11",74.6,76.18,74.49,76.09,3204378
"2013-07-18",80.96,82.55,80.41,81.74,1295563
"2013-07-25",87.97,92.79,87.26,87.29,7381495
"2013-08-01",88.26,89.19,87.39,89.04,2085585
"2013-08-08",88.8,91,88.64,90.22,1799959
"2013-08-15",90.37,90.39,87.63,89.23,2386437
"2013-08-22",86.17,88.09,85.77,87.69,1206397
"2013-08-29",83.29,84.92,83.29,84.12,607680
"2013-09-05",85.43,87.18,85.28,86.52,1408931
"2013-09-12",91.94,92.29,90.58,90.63,1491068
"2013-09-19",93.19,93.49,92.43,93.1,697538
"2013-09-26",88.2,89.57,87.31,88.1,943508
"2013-10-03",89.96,91.14,87.65,88.45,1252414
"2013-10-10",87.73,89.5,87.51,89.22,1529077
"2013-10-17",87.5,88.06,85.87,85.92,2228270
"2013-10-24",88.04,91.68,84.2,85.15,6636475
"2013-10-31",83.33,83.5,81.07,81.54,2738214
"2013-11-07",81.11,81.79,80.12,80.39,1618638
"2013-11-14",83.32,85.12,82.06,84.05,2406149
"2013-11-21",82.07,83.18,81.6,82.91,920772
"2013-12-05",82.62,82.84,81.48,81.5,1586268
"2013-12-12",84.04,84.43,81.71,81.99,1493761
"2013-12-19",83.87,85.53,83.58,84.98,1367106
"2013-12-26",89.5,89.85,89.1,89.28,905926
"2014-01-02",90.42,90.47,88.44,88.89,1039619
"2014-01-09",89.74,89.74,87.47,88.06,1064618
"2014-01-16",97.44,98.18,96.91,97.75,1152224
"2014-01-23",107.99,109,102.39,102.49,7226211
"2014-01-30",108.25,110.9,107.25,109.95,2248694
"2014-02-06",104,106.76,103.99,106.07,1453097
"2014-02-13",110.25,111.75,108.8,111.74,2374453
"2014-02-20",109.82,111.3,108.92,110.52,1073952
"2014-02-27",113.36,114.86,112.56,114.51,1165982
"2014-03-06",114.24,115.1,112.25,114.77,1107092
"2014-03-13",111.74,112.07,106.5,107.5,2488500
"2014-03-20",112.63,114.85,112.19,114.09,1092132
"2014-03-27",104.33,108.09,103.14,106.31,1918682
"2014-04-03",109.15,109.23,106.41,106.97,1501383
"2014-04-10",109.49,109.53,103.84,104.28,1713215
"2014-04-17",108.31,108.7,106.46,108.4,1042681
"2014-04-24",112.84,112.84,104.03,105.98,2950233
"2014-05-01",104.65,107.33,104.29,106.7,1634962
"2014-05-08",100.73,103.38,99.93,101.33,1108302
"2014-05-15",104.11,104.5,101.16,103.26,1241248
"2014-05-22",106.82,108.65,106.51,107.63,887537
"2014-05-29",109.08,110.48,108.33,110.45,685107
"2014-06-05",109.44,111.45,108.8,110.94,975978
"2014-06-12",112.19,112.64,111,111.54,618771
"2014-06-19",112.97,113.26,109.25,109.52,1488583
"2014-06-26",109.1,109.53,106.57,107.16,1105248
"2014-07-03",111.79,112.63,111.59,112.36,295844
"2014-07-10",109.6,112.17,109.2,111.29,749642
"2014-07-17",109.27,111.18,109.09,109.42,795535
"2014-07-24",112.5,117.77,112.32,113.23,4459047
"2014-07-31",114.86,114.86,112.47,112.59,1365727
"2014-08-07",114.5,114.5,112.34,112.48,738668
"2014-08-14",115.32,115.32,113.98,114.68,570028
"2014-08-21",123.59,123.59,121.62,122.09,913833
"2014-08-28",123.29,124.31,122.4,123.66,803293
"2014-09-04",123.89,124.42,122.86,123,676749
"2014-09-11",125.43,127.04,125.22,126.12,923444
"2014-09-18",126.13,127.82,125.61,127.64,838612
"2014-09-25",122.27,122.45,119.06,119.71,564657
"2014-10-02",117.02,119.21,116.49,118.71,745552
"2014-10-09",118.12,118.89,114.68,115.31,1489545
"2014-10-16",108,110.08,107.5,109.74,924102
"2014-10-23",114.5,115.81,113.72,114.57,880797
"2014-10-30",123,123.83,120.01,121.78,3487107
"2014-11-06",125.66,126.35,125.01,125.21,883822
"2014-11-13",126.03,126.52,125.23,126.15,639612
"2014-11-20",126.41,127.99,124.6,127.97,904639
"2014-12-04",130.92,132.58,130.48,132.31,721823
"2014-12-11",131.7,133.7,131.7,132.38,658762
"2014-12-18",132.56,132.85,130.78,132.84,596547
"2015-01-08",129.8,131.07,128.73,129.65,1096842
"2015-01-15",126.6,127.67,124.11,124.22,870722
"2015-01-22",108.65,114.62,108.6,113.4,9268864
"2015-01-29",112.57,114.49,111.62,113.98,1348680
"2015-02-05",110.04,111.22,109.19,111.08,1352060
"2015-02-12",114.71,115.78,114.04,115.27,1051189
"2015-02-19",117.21,118.84,116.37,118.32,672298
"2015-02-26",119.19,120.37,118.2,119.04,663356
"2015-03-05",119.73,119.97,118.98,119.22,843829
"2015-03-12",113.76,113.76,111.9,113.04,1014901
"2015-03-19",114.8,116.16,114.5,114.56,1034857
"2015-03-26",112.07,112.92,111.07,112.23,830864
"2015-04-02",114.21,114.75,113.41,113.71,699447
"2015-04-09",113.86,116.82,113.3,116.09,1244622
"2015-04-16",116.84,118.67,116.42,118.09,834946
"2015-04-23",117.71,125.78,117.51,122.4,3332530
"2015-04-30",123.33,123.65,121.61,122.02,1062610
"2015-05-07",123.36,124.89,122.01,124.43,783556
"2015-05-14",127,127.68,125.96,127.6,791645
"2015-05-21",126.77,127.38,126.26,126.9,622852
"2015-05-28",126.13,126.96,125.56,126.83,854698
"2015-06-04",125.63,126.81,124.43,124.58,1956360
"2015-06-11",127.56,127.9,126.39,126.48,588905
"2015-06-18",126.92,127.75,126.35,126.94,797370
"2015-06-25",126.11,127.44,125.65,126.55,669758
"2015-07-02",120.65,121.15,119.7,120.44,470416
"2015-07-09",119.32,119.98,115.33,115.35,1227059
"2015-07-16",118.13,119.01,117.02,117.93,569712
"2015-07-23",128.38,130.25,126.1,127.68,3245491
"2015-07-30",132.25,134.57,131.51,134.31,1007839
"2015-08-06",132.2,132.88,129.53,129.85,885367
"2015-08-13",132.89,134.28,131.59,131.63,550775
"2015-08-20",131.53,131.59,126.45,126.56,1231212
"2015-08-27",123.4,125.66,120.29,122.79,1143245
"2015-09-03",121.25,122.42,120.79,121.24,738256
"2015-09-10",119.74,120.97,118.81,119.74,722025
"2015-09-17",119.12,120.21,117.82,118.22,535507
"2015-09-24",113.24,116.35,111.99,115.87,1160621
"2015-10-01",115.97,117.45,115.23,116.97,926454
"2015-10-08",118.18,119.84,115.06,118.93,822162
"2015-10-15",117.89,118.7,116.42,116.63,1278818
"2015-10-22",117.99,121.26,117.99,120.54,908740
"2015-10-29",108.02,114.25,108,110.08,6291324
"2015-11-05",111.05,111.72,109.01,109.6,1180929
"2015-11-12",107.32,108.51,106.14,106.31,1136092
"2015-11-19",104.52,104.82,102.9,103.47,829955
"2015-12-03",104.77,104.99,99.81,102.42,2635976
"2015-12-10",100.14,100.52,98.85,99.06,1238508
"2015-12-17",100.82,100.92,98.94,98.94,1000037
"2015-12-24",97.62,98.41,97.35,97.44,238296
"2015-12-31",97.65,98.45,96.8,96.96,703011
"2016-01-07",93.68,94.5,90.81,91.82,1790675
"2016-01-14",93.08,96.21,91.99,94.16,2060396
"2016-01-21",94.5,94.5,88.8,89.51,4007698
"2016-01-28",95.98,95.98,92.49,92.5,2218701
"2016-02-04",91.19,92.65,90.94,92.05,640181
"2016-02-11",86.79,87.6,86.03,86.96,1226971
"2016-02-18",92.19,92.77,91.22,91.87,822204
"2016-02-25",94.37,95.96,92.5,95.95,811321
"2016-03-03",99.77,100.78,99.4,100.47,795365
"2016-03-10",100,100.32,97.35,98.46,722053
"2016-03-17",99.58,101.31,99.58,100.93,477024
"2016-03-24",102.5,103.35,101,103.14,781079
"2016-03-31",105.26,106.05,104.91,105.85,630117
"2016-04-07",100.17,100.48,97.12,97.72,1733956
"2016-04-14",97.3,97.77,96.44,96.85,652152
"2016-04-21",100.89,103.16,99.28,102.54,2461070
"2016-04-28",106.45,106.64,104,104.24,823596
"2016-05-05",101.3,101.85,100.41,100.58,608039
"2016-05-12",104.37,105.12,103.23,104.5,819652
"2016-05-19",105.53,107.29,103.74,104.84,952238
"2016-05-26",109.52,109.89,108.69,109.01,722354
"2016-06-02",109.5,110.94,109.16,110.84,493634
"2016-06-09",120.25,120.91,119.16,119.68,831698
"2016-06-16",118.6,119.22,117.76,119.03,610263
"2016-06-23",119.12,121.48,118.78,121.44,630898
"2016-06-30",112.37,113.84,111.42,113.84,537866
"2016-07-07",113.63,114.88,112.96,113.77,539993
"2016-07-14",117.24,117.24,115.75,116.25,534823
"2016-07-21",121.89,124.76,121.21,121.86,1441682
"2016-07-28",122.33,123.35,120.46,123.05,1003711
"2016-08-04",123.14,123.83,123.09,123.33,425991
"2016-08-11",126.05,126.85,124.8,125.03,1033288
"2016-08-18",123.06,124.34,122.72,123.66,580856
"2016-08-25",124.09,125.01,123.55,124.38,245619
"2016-09-01",122.42,123.76,122.33,123.64,538207
"2016-09-08",120.25,120.84,119.01,119.7,823368
"2016-09-15",117.77,119.65,117.02,119.02,568718
