"","BWA.Open","BWA.High","BWA.Low","BWA.Close","BWA.Volume"
"2012-07-05",33.16,33.92,33.1,33.58,2320298
"2012-07-12",31.36,31.84,30.78,31.6,3045480
"2012-07-19",32.18,33.06,31.82,32.65,2577502
"2012-07-26",30.68,32.11,30.42,31.5,5138110
"2012-08-02",32.62,33.02,31.27,31.86,3022956
"2012-08-09",34.68,35.08,34.54,34.99,1662266
"2012-08-16",35.42,35.89,35.24,35.68,2797544
"2012-08-23",34.86,35.04,34.46,34.52,1389242
"2012-08-30",34.26,34.43,33.7,33.82,1401458
"2012-09-06",33.89,35,33.76,34.84,1763762
"2012-09-13",36.9,38.22,36.49,37.98,3149754
"2012-09-20",37.52,37.52,36.09,37.06,3761548
"2012-09-27",34.76,34.98,34.26,34.69,2212924
"2012-10-04",35.66,36.6,35.38,36.58,3060306
"2012-10-11",33.94,34.16,33.27,33.43,2966646
"2012-10-18",33.46,33.9,33.14,33.46,1617984
"2012-10-25",32.39,32.64,31.92,32.33,1948942
"2012-11-01",32.94,33.69,32.76,33.42,3479142
"2012-11-08",32.73,32.73,31.05,31.06,4460544
"2012-11-15",30.7,31.36,30.63,30.96,2758438
"2012-11-29",32.88,33.18,32.6,33.18,1649386
"2012-12-06",33.26,33.34,33.08,33.21,1748404
"2012-12-13",33.49,33.64,33.1,33.24,3033668
"2012-12-20",33.97,34.31,33.84,34.28,2575162
"2012-12-27",34.67,35.34,34.61,35.24,2159712
"2013-01-03",37.09,37.5,36.89,37.2,2483616
"2013-01-10",36.68,36.68,36.04,36.24,1658162
"2013-01-17",38.08,38.18,37.68,38,1954302
"2013-01-24",37.6,38.39,37.45,38.26,2006500
"2013-01-31",37.5,37.5,36.97,37.09,2231352
"2013-02-07",37.16,37.32,36.33,36.7,1303036
"2013-02-14",37.45,38.35,37.08,37.57,3869736
"2013-02-21",37.61,37.72,36.81,37.19,2446448
"2013-02-28",37.41,37.64,37.2,37.2,1762794
"2013-03-07",38.66,39.14,38.53,38.76,2067610
"2013-03-14",39.67,40.03,39.49,39.96,2198102
"2013-03-21",38.8,39.05,38.32,38.56,2493512
"2013-03-28",38.8,38.98,38.28,38.67,1470340
"2013-04-04",37.33,37.42,36.27,37,4503328
"2013-04-11",37.35,37.9,37.29,37.7,1383054
"2013-04-18",35.92,36.1,35.22,35.42,1725592
"2013-04-25",38.5,39.22,37.89,38.78,3884030
"2013-05-02",38.92,39.13,38.76,38.88,1231870
"2013-05-09",41.08,41.42,40.82,40.88,1627840
"2013-05-16",41.82,42.22,41.54,41.61,1802164
"2013-05-23",40.84,41.32,40.68,41.08,1452476
"2013-05-30",41.49,41.82,41.36,41.4,1255626
"2013-06-06",39.72,40.1,39.4,40.1,1601792
"2013-06-13",41.54,42.94,41.47,42.85,1385708
"2013-06-20",42.26,42.4,41.32,41.56,2005086
"2013-06-27",42.68,43.38,42.62,43.22,1479544
"2013-07-11",44.14,44.44,44.04,44.42,1651124
"2013-07-18",44.92,45.44,44.45,45.41,2064064
"2013-07-25",46.15,46.84,45.88,46.62,2952766
"2013-08-01",48.21,49.49,47.91,49.35,2858280
"2013-08-08",47.61,48.38,47.6,48.22,1469650
"2013-08-15",48.71,48.85,47.88,48.16,1206378
"2013-08-22",48.05,49.57,48.05,49.38,924112
"2013-08-29",48.29,49.42,48.22,48.92,1091692
"2013-09-05",49.78,50.16,49.58,49.64,1252310
"2013-09-12",49.66,49.71,48.84,49.16,994150
"2013-09-19",50.84,51.08,50.37,50.58,716120
"2013-09-26",51.16,51.63,50.6,51,1253330
"2013-10-03",50.93,51.34,50.18,50.91,1048182
"2013-10-10",49.71,51.02,49.56,50.74,1829928
"2013-10-17",51.84,52.45,51.55,52.33,957298
"2013-10-24",52.54,54.02,52.32,53.34,1525830
"2013-10-31",50.46,52.18,50.4,51.56,1375432
"2013-11-07",52.42,52.52,50.38,50.54,1785190
"2013-11-14",50.95,51.25,50.36,51.05,1588648
"2013-11-21",51.6,53.4,51.6,53.08,2383654
"2013-12-05",52.01,52.8,51.82,52.76,1517544
"2013-12-12",52.96,53.58,52.56,53.38,1179240
"2013-12-19",55.7,55.81,54.09,54.59,2264062
"2013-12-26",56.17,56.28,55.43,55.75,1263257
"2014-01-02",55.89,55.96,54.59,54.94,1301497
