"","RHI.Open","RHI.High","RHI.Low","RHI.Close","RHI.Volume"
"2013-03-21",36.42,36.82,36.25,36.26,1260358
"2013-03-28",37.13,37.59,36.92,37.53,960521
"2013-04-04",36.62,36.98,36.28,36.48,1071859
"2013-04-11",36.6,36.96,36.37,36.65,769665
"2013-04-18",35.55,35.6,34.91,35.05,985781
"2013-04-25",33.21,33.3,32.63,32.9,2833040
"2013-05-02",31.31,31.76,31.08,31.33,4501469
"2013-05-09",33.5,33.94,33.49,33.78,1469011
"2013-05-16",35.37,35.64,35.01,35.46,1295242
"2013-05-23",35.03,35.16,34.68,35.01,994496
"2013-05-30",34.73,35.36,34.68,34.82,1236016
"2013-06-06",33.17,33.88,33.08,33.87,696824
"2013-06-13",33.3,34.29,33.14,34.2,661448
"2013-06-20",33.51,33.57,32.86,32.93,1217117
"2013-06-27",32.88,33.41,32.87,33.07,776219
"2013-07-11",34.09,34.4,34.08,34.15,980342
"2013-07-18",35.17,35.77,35.1,35.52,1189129
"2013-07-25",36.8,37.07,36.5,36.71,883588
"2013-08-01",37.44,38.51,37.17,38.3,1342326
"2013-08-08",38.03,38.92,38.03,38.64,810453
"2013-08-15",37.99,38.26,37.64,37.68,825846
"2013-08-22",37.1,37.6,37.1,37.57,551274
"2013-08-29",35.62,36.14,35.57,35.76,882466
"2013-09-05",35.95,36.97,35.85,36.8,845465
"2013-09-12",38.38,38.58,38.09,38.14,431926
"2013-09-19",38.89,39.18,38.84,38.93,483006
"2013-09-26",39.05,39.16,38.64,39.06,833603
"2013-10-03",39.05,39.2,38.32,38.86,607459
"2013-10-10",38.9,39.43,38.84,39.39,853326
"2013-10-17",40.31,40.67,40.12,40.53,630771
"2013-10-24",39.42,39.42,39.1,39.2,939779
"2013-10-31",38.71,38.85,38.33,38.53,1274295
"2013-11-07",38.35,38.35,37.16,37.2,905836
"2013-11-14",39.27,39.41,38.66,38.73,869829
"2013-11-21",37.67,37.97,37.54,37.9,671638
"2013-12-05",38.73,38.79,38.26,38.29,969279
"2013-12-12",39.34,39.53,39.22,39.32,944025
"2013-12-19",40.45,40.46,39.7,39.74,1244852
"2013-12-26",42.02,42.25,41.73,42.1,435614
"2014-01-02",41.72,41.9,41.36,41.37,749056
"2014-01-09",41.13,41.28,40.63,40.93,852423
"2014-01-16",42.57,42.94,42.08,42.52,886915
"2014-01-23",41.47,41.6,40.96,41.32,782099
"2014-01-30",41.7,42.24,41.33,42.08,2640241
"2014-02-06",39.67,40.17,39.51,40.01,1537325
"2014-02-13",39.77,40.54,39.7,40.45,693891
"2014-02-20",40.87,40.89,40.26,40.31,1247259
"2014-02-27",40.27,40.58,40.03,40.49,835159
"2014-03-06",41.71,42.3,41.61,42.17,1462239
"2014-03-13",42.16,42.25,40.94,41.07,645276
"2014-03-20",41.53,41.81,41.22,41.78,576326
"2014-03-27",41.87,41.87,40.97,41.1,877752
"2014-04-03",42.51,42.83,42.25,42.38,928909
"2014-04-10",41.88,42,40.57,40.63,582440
"2014-04-17",41.22,42.27,41.13,42.18,701928
"2014-04-24",44.08,44.9,43.52,44.09,1573930
"2014-05-01",44.65,45.18,44.22,44.77,1053180
"2014-05-08",45.24,45.54,44.86,45,1137575
"2014-05-15",44.85,44.9,44.09,44.54,913745
"2014-05-22",44.7,45.2,44.55,45.1,618649
"2014-05-29",46,46.13,45.4,46.11,686412
"2014-06-05",45.56,45.99,45.25,45.75,1248896
"2014-06-12",47.47,47.52,46.9,47.14,580779
"2014-06-19",47.68,47.71,47.29,47.47,451287
"2014-06-26",47.88,47.88,47.25,47.41,512435
"2014-07-03",48.41,49.11,48.41,49.01,969115
"2014-07-10",47.7,48.09,47.47,47.86,797554
"2014-07-17",47.54,47.76,46.98,47.07,474284
"2014-07-24",51.35,52.02,50.87,51.16,1546313
"2014-07-31",49.18,49.4,48.42,48.65,1276111
"2014-08-07",48.71,48.87,48.41,48.67,1069392
"2014-08-14",49.79,49.94,49.36,49.74,419026
"2014-08-21",49.98,49.99,49.53,49.83,396600
"2014-08-28",49.6,49.87,49.34,49.65,398757
"2014-09-04",50.88,51.3,50.87,51.05,757257
"2014-09-11",50.32,50.84,50.26,50.82,486278
"2014-09-18",50.72,51.2,50.66,51.1,400074
"2014-09-25",50.09,50.2,48.96,49.02,1280451
"2014-10-02",48.11,48.45,47.63,48.12,707572
"2014-10-09",49.24,49.48,48.19,48.27,642689
"2014-10-16",45.73,46.84,45.46,46.51,1661696
"2014-10-23",51.23,51.78,50.72,50.93,1670976
"2014-10-30",53.27,54,53.16,53.79,871913
"2014-11-06",55.2,55.45,54.94,55.35,746487
"2014-11-13",57.58,57.78,56.93,57.48,901893
"2014-11-20",56.67,57.11,56.47,56.82,882047
"2014-12-04",56.3,56.65,55.95,56.1,914046
"2014-12-11",56.7,57.64,56.42,57.05,1479222
"2014-12-18",58.61,58.99,58.26,58.99,847407
"2015-01-08",57.76,58.82,57.68,58.66,784361
"2015-01-15",57,57.41,56.56,56.73,630175
"2015-01-22",57.97,59,57.27,58.84,775540
"2015-01-29",57.32,59.33,56.98,59.21,1140886
"2015-02-05",61.5,61.99,61.19,61.35,806357
"2015-02-12",61.38,61.45,60.86,61.38,509675
"2015-02-19",61.47,61.51,60.92,61.26,359227
"2015-02-26",62.65,62.84,61.94,61.98,649593
"2015-03-05",61.71,61.87,61.18,61.32,422929
"2015-03-12",60.3,61.38,60.25,61.31,551620
"2015-03-19",62.3,62.76,62.14,62.45,697590
"2015-03-26",59.92,60.32,59.53,60.15,1111023
"2015-04-02",59.26,60.06,59.26,59.76,924378
"2015-04-09",59.29,59.76,58.7,58.9,802397
"2015-04-16",59.07,59.2,58.37,58.67,1026962
"2015-04-23",59.3,60.01,59.08,59.39,1289233
"2015-04-30",55.42,55.75,55.03,55.45,2493161
"2015-05-07",54.63,55.7,54.58,55.42,921265
"2015-05-14",56.7,57.01,56.19,56.97,1089880
"2015-05-21",57.3,57.54,57,57.11,999655
"2015-05-28",56.68,56.96,56.51,56.93,724420
"2015-06-04",56.62,56.82,55.89,56.03,635383
"2015-06-11",56.73,57.32,56.73,56.99,683515
"2015-06-18",56.51,57.66,56.5,57.38,785119
"2015-06-25",56.5,56.56,55.98,56.02,720624
"2015-07-02",55.83,55.99,55.2,55.48,579961
"2015-07-09",55.83,56,55.18,55.47,797781
"2015-07-16",56.76,57.92,56.54,57.89,848269
"2015-07-23",56.49,56.72,55.96,56.11,929853
"2015-07-30",52.98,54.36,52.76,53.87,1076807
"2015-08-06",56.2,56.2,55.47,55.72,1135354
"2015-08-13",56.54,56.96,56.13,56.56,502726
"2015-08-20",56.7,57.05,55.81,55.84,885428
"2015-08-27",52.35,52.75,51.59,52.48,1087535
"2015-09-03",51.43,52.02,51.32,51.64,698295
"2015-09-10",50.91,51.62,50.88,51.27,1163711
"2015-09-17",52.52,52.96,51.98,52.11,658151
"2015-09-24",50.62,50.82,50.07,50.33,1084570
"2015-10-01",51.05,51.44,50.32,51.01,1194114
"2015-10-08",51.52,52.75,51.31,52.66,773036
"2015-10-15",52.71,53.06,52.36,52.99,498958
"2015-10-22",51.99,51.99,49.15,50,2448571
"2015-10-29",51.75,52.24,51.66,52.15,549175
"2015-11-05",52.73,52.73,51.97,52.21,1075825
"2015-11-12",52.07,52.58,51.31,51.34,709732
"2015-11-19",51.06,51.26,50.48,50.72,766079
"2015-12-03",51.43,51.53,49.6,49.72,1601884
"2015-12-10",47.68,48.35,47.49,47.53,1896107
"2015-12-17",46.79,46.81,45.64,45.81,1643559
"2015-12-24",46.82,47.52,46.65,47.15,747941
"2015-12-31",47.41,47.84,47.12,47.14,655829
"2016-01-07",44.35,45.28,43.77,44.9,1915603
"2016-01-14",42.66,43.35,41.91,43.02,841664
"2016-01-21",42.35,42.46,41.61,41.79,1538550
"2016-01-28",43.63,43.63,42.75,43.21,1081850
"2016-02-04",39.18,40.35,38.93,39.26,2529180
"2016-02-11",36.86,37.23,36.17,36.65,1526536
"2016-02-18",38.13,38.91,38.03,38.38,1486726
"2016-02-25",39.38,39.55,39.02,39.39,2025480
"2016-03-03",40.66,41.73,40.4,41.7,1135185
"2016-03-10",41.87,41.9,41.01,41.44,1367756
"2016-03-17",42.64,43.28,42.36,43.18,1371244
"2016-03-24",43.49,44.23,43,44.23,1153869
"2016-03-31",45.8,46.74,45.8,46.58,1108442
"2016-04-07",45.15,45.26,44.01,44.13,1712833
"2016-04-14",45.5,45.82,45.2,45.74,623313
"2016-04-21",45.08,45.26,43.12,43.29,2074200
"2016-04-28",39.03,39.71,38.71,38.84,2604188
"2016-05-05",38.79,39,38.57,38.67,1553534
"2016-05-12",39.29,39.34,38.3,38.6,1057560
"2016-05-19",39.09,39.39,38.73,39.22,974860
"2016-05-26",40.65,40.78,40.39,40.57,832175
"2016-06-02",41.59,41.91,41.31,41.91,1157264
"2016-06-09",41.12,41.18,40.87,40.99,459746
"2016-06-16",37.97,38.49,37.69,38.37,1555592
"2016-06-23",39.92,39.92,39.24,39.69,710554
"2016-06-30",36.73,38.17,36.6,38.16,1757682
"2016-07-07",37.5,38.17,37.47,37.78,1102509
"2016-07-14",39.37,39.78,39.26,39.47,1274201
"2016-07-21",40.36,40.96,40.1,40.86,841016
"2016-07-28",36.88,37.5,36.71,37.18,2303365
"2016-08-04",36.74,36.83,36.5,36.79,959982
"2016-08-11",37.08,37.65,37.08,37.5,1079317
"2016-08-18",37.75,38.3,37.73,38.26,1435128
"2016-08-25",38.3,38.71,38.3,38.4,988695
"2016-09-01",38.33,38.5,37.74,38.22,717970
"2016-09-08",38.23,38.43,38.07,38.07,975045
"2016-09-15",36.91,37.52,36.78,37.26,767771
