"","DE.Open","DE.High","DE.Low","DE.Close","DE.Volume"
"2013-08-22",82.9,83.9,82.76,83.25,3214699
"2013-08-29",84.16,84.63,83.58,83.8,1889252
"2013-09-05",83.88,84.02,82.48,82.55,4033352
"2013-09-12",84.24,84.32,82.98,83.19,3904076
"2013-09-19",84.74,85.34,84.67,85.1,2082935
"2013-09-26",84.51,84.72,82.68,83.08,3394812
"2013-10-03",82.07,82.67,81.9,82.09,3410728
"2013-10-10",83.42,83.45,82.33,82.92,3613541
"2013-10-17",82.84,83.97,82.78,83.65,2234211
"2013-10-24",84.43,84.55,83.83,84.28,1614779
"2013-10-31",82.31,82.99,81.84,81.84,2896477
"2013-11-07",81.69,82.29,81.48,81.56,3581982
"2013-11-14",83.14,83.25,82.47,82.85,2447639
"2013-11-21",84.67,84.8,83.2,83.85,4858693
"2013-12-05",85,85.53,84.43,84.86,3427774
"2013-12-12",87.02,87.57,86.65,86.84,2497452
"2013-12-19",89.36,89.59,88.82,89.41,2517810
"2013-12-26",91.09,91.58,90.88,91.12,1971586
"2014-01-02",90.95,91.3,90.13,90.26,2462047
"2014-01-09",89.46,89.94,88.43,88.98,3136456
"2014-01-16",90.11,90.25,89.56,89.83,2435969
"2014-01-23",88.15,88.73,87.7,87.88,2719161
"2014-01-30",86.33,86.8,85.3,86.58,1997626
"2014-02-06",84.95,85.95,84.7,85.43,3198543
"2014-02-13",86.05,86.27,85.17,85.85,4417709
"2014-02-20",84.79,85.34,84.29,85.12,3241526
"2014-02-27",84.37,85.29,84.17,84.97,2712074
"2014-03-06",87.16,88.41,86.97,88.23,3797768
"2014-03-13",88.97,88.97,87.58,87.98,2302543
"2014-03-20",87.13,87.9,86.82,87.57,1940682
"2014-03-27",87.76,88.27,86.8,87.86,2217282
"2014-04-03",91.73,92.37,91.62,92.06,2390557
"2014-04-10",93.57,94.58,92.54,92.74,4369104
"2014-04-17",93,93.74,92.79,93.4,2104270
"2014-04-24",94.01,94.05,92.93,93.89,2351941
"2014-05-01",93.15,93.63,92.43,93.22,2205656
"2014-05-08",94.49,94.89,93.75,94.28,1866964
"2014-05-15",91.09,91.58,90.49,91.21,3015895
"2014-05-22",89.6,90.5,89.6,89.99,1657789
"2014-05-29",90.95,91.21,90.33,91.1,1513145
"2014-06-05",91.2,91.59,90.81,91.3,1888867
"2014-06-12",91.24,91.6,90.11,90.47,2357303
"2014-06-19",91.01,91.86,90.88,91.58,1817540
"2014-06-26",90.36,90.63,89.98,90.41,1827311
"2014-07-03",91.05,91.5,90.76,91.38,1798248
"2014-07-10",88.37,88.96,87.88,88.12,4364887
"2014-07-17",88.83,89,87.32,87.43,4071796
"2014-07-24",87.19,87.6,86.85,86.98,3273267
"2014-07-31",85,85.66,84.53,85.11,3906506
"2014-08-07",85.51,86.1,85.24,85.37,2593657
"2014-08-14",84.61,84.98,83.5,84.89,6387088
"2014-08-21",85.86,86.61,85.37,86.21,2217403
