"","NOC.Open","NOC.High","NOC.Low","NOC.Close","NOC.Volume"
"2014-01-02",114.18,114.49,112.76,113.23,1083625
"2014-01-09",115.5,116.27,115.25,115.63,1931232
"2014-01-16",117.93,118.55,117.46,118.29,871558
"2014-01-23",119.4,120.68,117.44,117.5,1427811
"2014-01-30",123.65,118.64,112.04,113.25,2070107
"2014-02-06",111.72,112.79,111.46,112.28,1150021
"2014-02-13",117.04,119.3,117,118.86,979544
"2014-02-20",120.96,121.19,118.97,120.61,992761
"2014-02-27",118.51,120.07,118.1,120.02,1374399
"2014-03-06",123.66,124.19,123.14,123.69,1187146
"2014-03-13",122.56,124.15,120.75,120.94,1462831
"2014-03-20",122.74,123.6,122.12,122.34,1162574
"2014-03-27",121.14,121.27,119.68,119.94,1458745
"2014-04-03",124.91,125.13,124.2,125.02,712773
"2014-04-10",120.38,120.64,117.11,117.16,1203220
"2014-04-17",121.42,122.22,117.3,122,881127
"2014-04-24",121.75,122,118.35,119.18,1951290
"2014-05-01",121.22,121.55,120.28,120.61,1347946
"2014-05-08",121,121.92,120.68,121.23,947226
"2014-05-15",121.68,121.78,119.07,119.19,1079084
"2014-05-22",118.27,118.89,118.01,118.5,768780
"2014-05-29",119.65,120.31,119.22,120.2,1369543
"2014-06-05",122.2,123.83,122.01,123.68,1226307
"2014-06-12",121.74,122,119.3,119.53,1554682
"2014-06-19",121.55,122.87,121.18,122.33,995103
"2014-06-26",120.81,120.81,119.54,120.4,615010
"2014-07-03",120.23,121.5,120.04,121.19,542435
"2014-07-10",118.23,120.71,118.23,119.92,804073
"2014-07-17",122.42,124,122.35,122.56,803167
"2014-07-24",127.01,128.29,126.01,127.92,1196124
"2014-07-31",124.91,125,123.03,123.27,1445565
"2014-08-07",121.8,122.36,119.97,120.3,1302088
"2014-08-14",125.38,125.93,124.94,125.01,725272
"2014-08-21",128.56,128.56,127.66,128.03,730692
"2014-08-28",126.31,127.19,126.31,126.88,682604
"2014-09-04",128.41,128.63,127.03,127.22,1036496
"2014-09-11",129.6,129.95,129.26,129.76,943370
"2014-09-18",132.7,132.97,132.13,132.44,944846
"2014-09-25",130.64,130.91,128.41,128.9,1043163
"2014-10-02",128.22,128.78,126.55,126.9,1349339
"2014-10-09",126.1,126.58,123.69,124.02,771707
"2014-10-16",119.31,122.53,118.57,121.6,1163418
"2014-10-23",127.1,129.52,125.56,129.2,1864507
"2014-10-30",134.65,137.78,133.75,137.29,1779534
"2014-11-06",137.89,138.68,136.8,138.11,1208759
"2014-11-13",136.14,138.06,136.14,137.2,969867
"2014-11-20",136.81,138.69,136.49,138.45,763447
"2014-12-04",140.58,141.42,139.1,139.84,950408
"2014-12-11",144.88,146.8,144.24,145.72,1145438
"2014-12-18",145.33,148.59,145.3,148.55,1410629
"2015-01-08",149.84,153.14,149.81,152.17,3467860
"2015-01-15",152.6,153.56,151.12,152.31,1454258
"2015-01-22",155,157.22,154.01,156.5,1128715
"2015-01-29",153.71,158.15,153.71,157.93,2239523
"2015-02-05",163.27,164,161.92,163.03,1092760
"2015-02-12",167.33,168.01,166.46,167.29,1245230
"2015-02-19",167.8,170.19,167.5,170.13,1045917
"2015-02-26",167.43,168.44,165.78,166.31,1284377
"2015-03-05",163.76,164.64,162.84,163.28,1073959
"2015-03-12",158.26,160.04,158.26,160,1488602
"2015-03-19",162.76,163.81,161.72,162.52,1219816
"2015-03-26",158.06,159.92,157.11,159.31,1158362
"2015-04-02",160.67,162.78,160.28,161.63,911736
"2015-04-09",163.76,165.21,163.08,164.57,743514
"2015-04-16",162.74,164.19,161.85,163.38,913618
"2015-04-23",161.54,163.94,161.15,162.83,866739
"2015-04-30",158.18,158.84,152.78,154.04,2465413
"2015-05-07",153.3,154.14,152.7,153.46,1075113
"2015-05-14",156.59,157.88,156.05,157.67,917296
"2015-05-21",160.25,161.79,160.04,161.18,1079949
"2015-05-28",158,160.58,157.66,160.48,1256126
"2015-06-04",158.87,160.35,157.8,158.12,947769
"2015-06-11",158.82,161.05,158.77,160.77,923906
"2015-06-18",163.28,165.92,163.22,165.16,1150410
"2015-06-25",163.62,164.1,162.01,162.13,891026
"2015-07-02",160.66,161.22,158.42,159.5,975920
"2015-07-09",163.01,164,162.55,162.69,1228788
"2015-07-16",169.32,170.07,168.47,169.86,876956
"2015-07-23",166.61,167.59,165.14,165.5,1222635
"2015-07-30",172.86,176.02,172.36,175.41,1656804
"2015-08-06",173.94,174.11,171.7,172.87,875522
"2015-08-13",172.09,173.62,172,172.86,625971
"2015-08-20",173.95,174.55,172.59,172.59,1119067
"2015-08-27",165.26,167.95,163.77,167.08,1166228
"2015-09-03",164.95,166.91,164.33,164.65,1052123
"2015-09-10",165.32,166.84,164.96,165.7,1046151
"2015-09-17",171.74,173.49,170.33,170.72,1186076
"2015-09-24",165.92,167.54,163.7,166.78,1097692
"2015-10-01",166,166.4,162.68,165.72,1413702
"2015-10-08",170.21,173.8,169.24,173.75,1139186
"2015-10-15",174.52,174.74,172.4,174.06,1115363
"2015-10-22",175.05,180.35,174.23,179.5,1181378
"2015-10-29",188.67,192.25,188.5,190.07,1914257
"2015-11-05",186.42,187.5,185.47,186.42,703306
"2015-11-12",181.29,182.15,179.9,180.31,890188
"2015-11-19",188.92,189.44,187.18,188.26,1030594
"2015-12-03",185.97,186.38,182.01,183.06,1186656
"2015-12-10",186.73,188.24,186.68,187.46,1568690
"2015-12-17",189.91,190.5,188.29,188.31,2444722
"2015-12-24",189.4,190.98,189.27,190.11,230218
"2015-12-31",189.46,190.65,187.55,188.81,550575
"2016-01-07",187.9,189.68,186.01,188.11,2136078
"2016-01-14",184.86,186.51,182.87,185.55,1062079
"2016-01-21",183.47,184.13,180.96,181.22,1031576
"2016-01-28",176.4,181.19,175,180.15,2078993
"2016-02-04",188.8,189.9,185.31,186.35,1546906
"2016-02-11",185.12,186.57,180.1,183.91,1485215
"2016-02-18",190.7,193.75,190.01,192.68,1340139
"2016-02-25",190.05,192.96,189.42,192.93,812202
"2016-03-03",192.83,193.53,189.32,192.12,1137039
"2016-03-10",187.09,189,186.41,186.75,1161695
"2016-03-17",191.6,192.28,190.16,190.91,1253429
"2016-03-24",193.67,194.68,193.25,194.2,737652
"2016-03-31",199,199.5,197.31,197.9,1881048
"2016-04-07",201.52,202,199.66,200.55,853109
"2016-04-14",201.42,201.82,199.88,200.13,504367
"2016-04-21",200.98,201.65,199.86,200,835410
"2016-04-28",206.5,207.68,205.02,205.61,969840
"2016-05-05",210.67,212.01,210.43,211.93,1100739
"2016-05-12",214.55,218.84,214.55,217.98,1337543
"2016-05-19",212.5,213.01,209.68,211.07,929703
"2016-05-26",213.95,214.8,213.33,213.95,514073
"2016-06-02",213.39,213.84,212.04,213.38,681124
"2016-06-09",217.17,218.73,216.69,218.58,461228
"2016-06-16",216.64,217.12,214.32,216.74,722236
"2016-06-23",216.63,216.63,213.85,214.7,554697
"2016-06-30",217.92,223.11,217.33,222.28,1485876
"2016-07-07",221.4,222.03,219.81,220.5,754989
"2016-07-14",223.11,223.2,220.82,221.13,1216793
"2016-07-21",222.8,222.82,217.25,218.21,1047227
"2016-07-28",217.78,218.88,215.62,217.23,1219197
"2016-08-04",219.27,219.96,218.03,218.34,548628
"2016-08-11",217.62,218.33,216.5,217.99,820399
"2016-08-18",218.5,219,217.68,218.14,477303
"2016-08-25",211.47,214.16,210.62,213.44,830604
"2016-09-01",212.2,213.03,210.24,211.83,645680
"2016-09-08",212.02,213.17,211.58,212.73,595404
"2016-09-15",208.64,212.19,208.16,211.39,672912
