"","TROW.Open","TROW.High","TROW.Low","TROW.Close","TROW.Volume"
"2013-09-19",73.3,74.85,73.22,74.65,2465550
"2013-09-26",72.89,73.38,72.07,72.57,1238624
"2013-10-03",71.96,72.39,71.27,71.98,1125981
"2013-10-10",72.51,74.11,72.39,73.91,1896721
"2013-10-17",75.02,76.49,74.69,76.34,1184994
"2013-10-24",76.93,77,74.61,75.46,3398271
"2013-10-31",78.1,78.27,77.4,77.41,1842396
"2013-11-07",78.11,78.14,76.58,76.62,1306914
"2013-11-14",78.79,79.21,78.36,78.96,1619563
"2013-11-21",80.17,80.8,80,80.45,956773
"2013-12-05",79.58,79.73,78.48,78.54,1044690
"2013-12-12",78.44,78.8,77.94,78.02,1087411
"2013-12-19",82.52,83.21,82.06,82.13,1807792
"2013-12-26",83.48,83.88,83.32,83.59,816630
"2014-01-02",83.58,83.76,82.19,82.56,1113643
"2014-01-09",84,84.22,82.86,83.29,1134604
"2014-01-16",84.41,84.41,83.05,83.81,872541
"2014-01-23",80.76,81.1,79.59,79.92,2152201
"2014-01-30",79.59,80.03,78.97,79.55,1572074
"2014-02-06",76.99,77.54,76.9,77.42,1019306
"2014-02-13",80.2,80.89,79.6,80.62,1079697
"2014-02-20",80.23,80.46,79.3,80.1,851730
"2014-02-27",79.36,80.6,78.89,80.42,1167380
"2014-03-06",81.16,82.94,81.16,82.37,1447941
"2014-03-13",82.38,83.08,80.43,80.76,1333881
"2014-03-20",80.84,82.66,80.65,82.52,2124221
"2014-03-27",81.35,81.76,80.69,81,1493832
"2014-04-03",84.21,84.73,82.97,83.5,837310
"2014-04-10",79.98,80.48,78.01,78.12,1972478
"2014-04-17",80.51,80.98,80.33,80.63,1740715
"2014-04-24",82.68,84.45,81.64,81.82,2316603
"2014-05-01",82.1,82.65,81.2,81.36,1311807
"2014-05-08",81.62,82.15,80.97,81.35,1083005
"2014-05-15",80.94,80.94,78.57,79.03,2501415
"2014-05-22",80.54,80.98,80.17,80.84,749901
"2014-05-29",81.36,81.73,81.05,81.64,858748
"2014-06-05",82.85,83.96,82.11,83.83,1388390
"2014-06-12",82.5,82.5,81.75,82.1,1143797
"2014-06-19",84.02,84.24,82.85,83.51,972961
"2014-06-26",83.77,83.77,82.5,83.38,541193
"2014-07-03",85.31,85.74,85.06,85.63,540921
"2014-07-10",82.93,82.93,81.22,81.59,2750151
"2014-07-17",81.5,81.91,80.16,80.4,1938524
"2014-07-24",80.31,80.74,79.57,80.33,2206136
"2014-07-31",79.33,79.62,77.64,77.66,1971349
"2014-08-07",78.01,78.29,76.58,76.81,1496744
"2014-08-14",78.77,78.83,78.45,78.55,1579115
"2014-08-21",79.43,79.92,79.29,79.78,1202624
"2014-08-28",80.88,80.99,79.96,80.8,1082474
"2014-09-04",80.97,81.31,80.67,80.97,803631
"2014-09-11",79.5,79.88,79.24,79.74,1495432
"2014-09-18",79.63,80.53,79.56,80.21,918051
"2014-09-25",79.59,79.68,78.52,78.72,2444911
"2014-10-02",76.81,77.77,76.46,77.44,1432730
"2014-10-09",77.32,77.59,75.91,75.97,2577515
"2014-10-16",73.44,76,72.91,75.43,2102193
"2014-10-23",78.3,78.3,76.11,77.32,2335073
"2014-10-30",79.94,81.35,79.62,80.86,1392458
"2014-11-06",81.64,82.53,81.6,82.45,4266118
"2014-11-13",82.82,83.04,82.1,82.67,983998
"2014-11-20",81.51,82.32,81.34,82.03,714315
"2014-12-04",83.59,83.85,83.12,83.65,756584
"2014-12-11",84.5,85.16,84.08,84.2,1821203
"2014-12-18",85.25,86.4,84.69,86.39,1977185
"2015-01-08",84.13,84.64,83.81,84.51,1220983
"2015-01-15",81.77,82.19,80.74,81.03,1251826
"2015-01-22",81.81,83.6,81,83.16,2198861
"2015-01-29",78.99,79.8,77.96,79.19,2354499
"2015-02-05",81.56,82.19,81.14,81.75,1158551
"2015-02-12",82.22,82.64,81.82,82.28,1451267
"2015-02-19",83.66,83.66,81.28,82.97,2163598
"2015-02-26",83.69,83.83,82.98,83.32,757408
"2015-03-05",82.58,83.08,82.38,83,694707
"2015-03-12",81.54,83.1,81.27,82.93,1540452
"2015-03-19",83.5,83.83,82.51,82.83,1323580
"2015-03-26",80.84,81.95,80.77,81.16,1433218
"2015-04-02",81.79,82.08,81.3,81.96,952189
"2015-04-09",80.63,81.72,80.24,81.44,1965448
"2015-04-16",82.41,83.23,81.95,83.06,1881193
"2015-04-23",82.57,82.57,81.71,82.07,1649276
"2015-04-30",81.52,82.16,80.85,81.18,1717796
"2015-05-07",80.57,80.96,80.29,80.75,2241595
"2015-05-14",81.68,82.1,81.22,81.98,799369
"2015-05-21",81.52,81.83,81.31,81.69,830183
"2015-05-28",81.11,81.34,80.88,81.28,992615
"2015-06-04",79.81,79.93,78.95,79.2,1628301
"2015-06-11",78.98,79.2,78.57,78.97,1481991
"2015-06-18",79.03,79.96,79.03,79.64,1373068
"2015-06-25",78.67,78.96,77.98,78.06,1467301
"2015-07-02",77.91,77.98,76.92,77.34,1132640
"2015-07-09",76.74,77.17,76.48,76.61,2031358
"2015-07-16",78.69,79.52,78.41,79.51,1463990
"2015-07-23",78.06,78.98,77.03,77.28,2349949
"2015-07-30",77.09,77.83,77.02,77.5,1175228
"2015-08-06",76.85,76.87,75.46,75.89,1164228
"2015-08-13",75.38,76.36,75.02,75.83,982082
"2015-08-20",75.2,75.2,72,73.93,1497595
"2015-08-27",71.57,73.12,71.57,72.9,2198891
"2015-09-03",69.89,70.77,69.74,70.36,1844014
"2015-09-10",70.46,71.5,70.42,70.92,1360390
"2015-09-17",71.46,72.44,70.93,71.06,1845952
"2015-09-24",68.42,68.77,67.93,68.36,2212813
"2015-10-01",69.55,69.94,67.94,68.59,1874602
"2015-10-08",71.47,72.17,70.95,72.04,1629749
"2015-10-15",69.19,70.2,69.13,70.2,1201510
"2015-10-22",70.9,74.62,70.74,74.25,3738524
"2015-10-29",74.86,75.55,74.31,75.38,1246134
"2015-11-05",76.56,77.05,76.26,76.67,831206
"2015-11-12",76.03,76.67,75.19,75.25,1356910
"2015-11-19",76.38,76.48,76.01,76.38,716389
"2015-12-03",75.74,75.93,74.64,75.17,2346935
"2015-12-10",73.13,74.13,72.94,73.34,1653174
"2015-12-17",72.14,72.49,70.9,71.01,1564600
"2015-12-24",72.48,72.96,72.18,72.45,431884
"2015-12-31",72.05,72.49,71.49,71.49,1052924
"2016-01-07",67.51,68.76,66.67,67.06,2238119
"2016-01-14",65.15,66.16,64.35,65.58,2277257
"2016-01-21",65.33,67.26,65.11,65.56,2111303
"2016-01-28",68.25,70.8,68.01,68.42,2984736
"2016-02-04",68.41,69.82,68.4,69.78,3468280
"2016-02-11",64.71,66.2,64.65,65.48,2080398
"2016-02-18",70.52,70.55,69,69.43,1568302
"2016-02-25",69.19,69.65,68.16,69.64,1026835
"2016-03-03",71.76,72.35,71.26,72.34,1123599
"2016-03-10",71.85,71.9,70.22,71.31,918196
"2016-03-17",71.42,73.81,71.33,73.21,1764823
"2016-03-24",72.36,72.62,72.05,72.51,1150425
"2016-03-31",73.79,74.21,73.39,73.46,1324534
"2016-04-07",72.63,73.05,71.26,71.48,1358121
"2016-04-14",76.49,76.97,75.51,76.61,1040184
"2016-04-21",78.35,78.71,77.22,77.63,1438838
"2016-04-28",76.94,77.23,75.44,75.77,1741765
"2016-05-05",74.62,74.9,74.07,74.34,1895346
"2016-05-12",75.69,76.18,75.07,75.61,912986
"2016-05-19",73.99,74.28,73.04,73.74,1216769
"2016-05-26",77.21,77.5,76.63,76.66,706916
"2016-06-02",76.55,76.94,76.19,76.94,1006727
"2016-06-09",74.88,74.88,74.1,74.37,838280
"2016-06-16",70.81,71.35,70.27,71.24,1129763
"2016-06-23",72.79,73.53,72.11,73.52,974026
"2016-06-30",71.4,72.97,71.06,72.97,1856098
"2016-07-07",71.73,72.39,70.93,71.59,1369408
"2016-07-14",74.89,75.12,74.07,74.13,1156950
"2016-07-21",74.22,74.4,73.76,73.88,993516
"2016-07-28",70.42,70.72,69.83,70.44,1722362
"2016-08-04",69.01,69.55,68.8,69.05,1019373
"2016-08-11",68.9,69.19,68.83,69.01,1221765
"2016-08-18",69,69.41,68.98,69.12,1031659
"2016-08-25",68.88,69.11,68.55,68.71,960989
"2016-09-01",69.78,69.98,68.51,68.75,1094229
"2016-09-08",69.12,69.35,68.48,68.84,885741
"2016-09-15",66.91,67.95,66.89,67.8,1082065
