"","HST.Open","HST.High","HST.Low","HST.Close","HST.Volume"
"2013-01-03",16.22,16.46,16.22,16.35,9627260
"2013-01-10",16.8,16.92,16.73,16.9,5237948
"2013-01-17",16.73,16.8,16.45,16.55,7989141
"2013-01-24",16.88,17,16.81,16.91,6079936
"2013-01-31",16.82,16.99,16.73,16.79,8875418
"2013-02-07",16.54,16.62,16.28,16.54,8472953
"2013-02-14",17.07,17.24,16.99,17.15,4800367
"2013-02-21",16.93,17.11,16.42,16.43,12796576
"2013-02-28",16.7,16.86,16.65,16.67,11752084
"2013-03-07",16.49,16.61,16.46,16.54,7101298
"2013-03-14",17.32,17.54,17.32,17.52,4630461
"2013-03-21",16.94,17.05,16.76,16.76,6212942
"2013-03-28",17.34,17.5,17.3,17.49,5406958
"2013-04-04",17.25,17.61,17.18,17.59,6730611
"2013-04-11",17.83,18.15,17.82,17.97,6996841
"2013-04-18",17.31,17.42,17.08,17.17,4511217
"2013-04-25",17.94,18.05,17.72,17.88,3760222
"2013-05-02",18.25,18.45,18.14,18.41,10107474
"2013-05-09",18.48,18.52,18.23,18.35,6241923
"2013-05-16",18.65,18.76,18.53,18.7,7592095
"2013-05-23",18.08,18.09,17.73,17.94,9587502
"2013-05-30",18.05,18.1,17.82,17.97,9651065
"2013-06-06",16.98,17.38,16.88,17.37,6240447
"2013-06-13",16.42,17.07,16.35,17.02,9182610
"2013-06-20",16.5,16.52,15.9,16.02,12764117
"2013-06-27",16.61,16.88,16.53,16.87,5751347
"2013-07-11",18.02,18.18,17.84,18.14,6325688
"2013-07-18",18.12,18.44,18.11,18.35,5180185
"2013-07-25",17.99,18.38,17.97,18.3,4344066
"2013-08-01",17.97,18.17,17.79,18.16,10585181
"2013-08-08",17.79,17.82,17.52,17.73,5332622
"2013-08-15",17.19,17.22,16.88,17.01,9964736
"2013-08-22",16.92,17.25,16.81,17.25,5699030
"2013-08-29",17.1,17.26,16.99,17.24,4255683
"2013-09-05",17.34,17.39,17.09,17.1,3906153
"2013-09-12",18.43,18.43,17.99,18.03,5221833
"2013-09-19",18.79,19.03,18.63,18.63,7292069
"2013-09-26",17.95,17.99,17.83,17.99,3046193
"2013-10-03",18.02,18.11,17.57,17.65,7276858
"2013-10-10",17.36,17.63,17.31,17.62,5855222
"2013-10-17",18.01,18.51,17.91,18.46,6233650
"2013-10-24",18.46,18.75,18.38,18.66,6585332
"2013-10-31",18.54,18.7,18.35,18.55,9717178
"2013-11-07",18.9,18.92,18.45,18.48,7008791
"2013-11-14",18.77,18.94,18.66,18.81,3610171
"2013-11-21",18.54,18.74,18.45,18.73,3899883
"2013-12-05",18.13,18.3,17.98,18.2,5767436
"2013-12-12",18.14,18.14,17.85,17.85,7290494
"2013-12-19",18.8,18.98,18.56,18.87,5656585
"2013-12-26",19.45,19.57,19.29,19.42,3856680
"2014-01-02",19.41,19.42,19.08,19.26,4973190
"2014-01-09",19.3,19.35,18.98,19.3,7227955
"2014-01-16",19.34,19.5,19.33,19.41,3644890
"2014-01-23",19.39,19.55,19.28,19.37,5364825
"2014-01-30",18.36,18.45,18.19,18.33,7687444
"2014-02-06",18.05,18.38,18.03,18.33,6475445
"2014-02-13",18.59,18.9,18.52,18.86,6894806
"2014-02-20",19.34,19.51,19.31,19.45,6250608
"2014-02-27",19.67,19.81,19.42,19.58,5846843
"2014-03-06",20,20.15,19.96,20.12,4542400
"2014-03-13",20.37,20.5,20.16,20.17,6938229
"2014-03-20",19.96,20.07,19.86,20.02,6853148
"2014-03-27",19.59,19.88,19.46,19.73,4922923
"2014-04-03",20.68,20.79,20.55,20.66,4648194
"2014-04-10",20.63,20.73,20.08,20.14,10903021
"2014-04-17",20.98,21,20.75,20.98,6981709
"2014-04-24",21.08,21.32,21.06,21.12,7374580
"2014-05-01",21.17,21.57,20.81,21.5,7507669
"2014-05-08",21.39,21.69,21.27,21.5,3757568
"2014-05-15",21.35,21.45,21.09,21.43,8062213
"2014-05-22",21.49,21.64,21.37,21.51,3061022
"2014-05-29",21.76,21.81,21.7,21.8,3691710
"2014-06-05",22.26,22.74,22.1,22.72,5140567
"2014-06-12",22.32,22.32,22.01,22.12,5434550
"2014-06-19",22.16,22.38,22.16,22.37,6059057
"2014-06-26",21.86,22.02,21.74,21.96,8339440
"2014-07-03",22.06,22.17,21.86,22.14,3970002
"2014-07-10",22.22,22.68,22.16,22.6,7136041
"2014-07-17",22.89,23,22.69,22.7,6861449
"2014-07-24",23.17,23.25,22.86,22.97,7532611
"2014-07-31",22.46,22.46,21.7,21.74,10768915
"2014-08-07",21.68,21.7,21.3,21.4,6639233
"2014-08-14",22.13,22.21,22.13,22.16,2549063
"2014-08-21",22.79,22.86,22.62,22.68,2725812
"2014-08-28",22.52,22.68,22.51,22.62,3027557
"2014-09-04",22.81,22.84,22.48,22.52,4032344
"2014-09-11",22.23,22.44,22.16,22.35,4009723
"2014-09-18",22,22.16,21.91,21.96,3271240
"2014-09-25",21.38,21.45,21.14,21.23,4921546
"2014-10-02",21.02,21.2,20.78,20.98,5163275
"2014-10-09",21.53,21.72,21.16,21.18,8713765
"2014-10-16",20.34,21.34,20.34,21.15,12285527
"2014-10-23",22.38,22.81,22.38,22.55,7718685
"2014-10-30",22.91,22.98,22.56,22.98,6529045
"2014-11-06",22.91,23.04,22.68,22.79,5877218
"2014-11-13",22.77,22.87,22.62,22.73,4567566
"2014-11-20",22.37,22.8,22.21,22.76,5684538
"2014-12-04",23.62,23.62,23.26,23.57,4508874
"2014-12-11",23.82,23.95,23.67,23.73,6289089
"2014-12-18",24.12,24.19,23.59,23.88,6578710
"2015-01-08",23.77,24.15,23.65,23.9,8246052
"2015-01-15",23.67,23.9,23.56,23.76,5100962
"2015-01-22",23.67,24.15,23.58,24.11,8730553
"2015-01-29",23.58,23.72,23.38,23.64,6827779
"2015-02-05",23.22,23.42,23.1,23.42,3909708
"2015-02-12",23.35,23.7,23.19,23.7,5302843
"2015-02-19",21.95,22.64,21.78,21.87,16789949
"2015-02-26",21.2,21.28,20.93,21.12,8726800
"2015-03-05",21,21.11,20.66,20.66,5888991
"2015-03-12",20.45,20.88,20.38,20.85,9458004
"2015-03-19",21.28,21.41,21.21,21.23,8429089
"2015-03-26",20.4,20.48,20.05,20.28,11244599
"2015-04-02",20.27,20.58,20.21,20.49,5712264
"2015-04-09",20.13,20.13,19.73,19.92,6875251
"2015-04-16",19.95,20.29,19.83,20.24,9526870
"2015-04-23",20.61,20.8,20.61,20.68,6570085
"2015-04-30",20.3,20.62,19.98,20.14,12303213
"2015-05-07",19.45,19.9,19.43,19.8,6075406
"2015-05-14",20.08,20.44,20.08,20.4,5938654
"2015-05-21",20.39,20.64,20.16,20.22,8328112
"2015-05-28",20.23,20.23,19.99,20.09,3711839
"2015-06-04",20.03,20.12,19.85,19.87,6451810
"2015-06-11",19.69,19.83,19.65,19.71,4569362
"2015-06-18",20.18,20.59,20.02,20.52,10216653
"2015-06-25",20.73,20.78,20.3,20.3,9759155
"2015-07-02",20.53,20.82,20.46,20.51,7556762
"2015-07-09",20.83,20.91,20.54,20.56,4670274
"2015-07-16",21.2,21.4,21.11,21.29,5339558
"2015-07-23",20.83,20.83,20.04,20.16,14570229
"2015-07-30",20.11,20.15,19.46,19.55,11739978
"2015-08-06",18.83,19.01,18.45,18.95,8145671
"2015-08-13",19.05,19.34,18.85,19.24,6991531
"2015-08-20",18.97,19.07,18.68,18.72,10179183
"2015-08-27",17.85,18.3,17.81,18.17,7017994
"2015-09-03",17.56,17.7,17.51,17.56,5122234
"2015-09-10",17.24,17.57,17.21,17.34,7075543
"2015-09-17",17.4,17.82,17.19,17.42,8189404
"2015-09-24",16.06,16.24,15.83,16.05,10734141
"2015-10-01",15.85,16.25,15.62,16.07,14053821
"2015-10-08",17.56,17.94,17.17,17.85,9592278
"2015-10-15",17.35,17.69,17.24,17.69,6630598
"2015-10-22",17.22,17.59,17.14,17.57,12183478
"2015-10-29",16.86,17.32,16.64,17.24,15018280
"2015-11-05",17.58,17.85,17.53,17.83,9049349
"2015-11-12",17.09,17.26,17.04,17.04,5260968
"2015-11-19",16.55,16.64,16.18,16.24,6396430
"2015-12-03",16.41,16.52,15.99,15.99,10627940
"2015-12-10",15.91,16.24,15.89,16.13,9242656
"2015-12-17",15.97,16.01,15.68,15.75,6255420
"2015-12-24",16,16.06,15.89,15.95,2665820
"2015-12-31",15.72,15.74,15.33,15.34,6264365
"2016-01-07",14.9,15.1,14.53,14.55,7847765
"2016-01-14",13.53,13.88,13.17,13.78,12012027
"2016-01-21",12.92,13.89,12.79,13.5,14841148
"2016-01-28",13.73,13.82,13.11,13.19,11083774
"2016-02-04",13.59,14.29,13.54,14.2,13710660
"2016-02-11",13.83,14.04,13.66,13.88,9767578
"2016-02-18",15.04,15.52,14.89,15.32,9415286
"2016-02-25",15.14,15.51,14.99,15.51,7217800
"2016-03-03",15.99,16.23,15.95,16.11,11324926
"2016-03-10",16.32,16.5,15.73,16.05,10007968
"2016-03-17",16.98,16.98,16.12,16.75,14283079
"2016-03-24",16.07,16.25,15.77,16.18,7299772
"2016-03-31",16.45,16.73,16.36,16.7,8353902
"2016-04-07",15.38,15.46,15.15,15.29,9860526
"2016-04-14",16.13,16.29,16.04,16.09,9574037
"2016-04-21",15.45,15.86,15.45,15.59,13524035
"2016-04-28",15.77,16.15,15.75,15.82,15183428
"2016-05-05",16.16,16.38,16.04,16.18,6023782
"2016-05-12",16.14,16.28,15.69,15.89,9750494
"2016-05-19",14.84,14.88,14.3,14.66,17181583
"2016-05-26",15.34,15.38,15.12,15.2,6473659
"2016-06-02",15.37,16,15.3,15.77,13731981
"2016-06-09",15.64,15.74,15.51,15.59,5943357
"2016-06-16",15.88,16.06,15.67,16.04,9284100
"2016-06-23",16.99,17.12,16.84,16.95,7334358
"2016-06-30",16.06,16.21,15.79,16.21,10087585
"2016-07-07",16.31,16.97,16.24,16.41,8267798
"2016-07-14",16.58,16.81,16.42,16.71,10338517
"2016-07-21",17.1,17.69,17,17.51,13597883
"2016-07-28",17.15,17.56,16.97,17.28,11305669
"2016-08-04",17.54,17.68,17.24,17.38,7311288
"2016-08-11",18.25,18.33,17.9,17.99,7495661
"2016-08-18",17.91,18.12,17.91,18.1,8524266
"2016-08-25",18.19,18.29,18.11,18.14,5505349
"2016-09-01",17.88,17.88,17.3,17.57,10995597
"2016-09-08",16.99,17.02,16.79,16.81,12824350
"2016-09-15",16.11,16.3,16.01,16.1,7135129
