"","CBOE.Open","CBOE.High","CBOE.Low","CBOE.Close","CBOE.Volume"
"2012-05-31",25.06,25.3,24.85,25.25,557903
"2012-06-07",26.73,26.8,26.5,26.6,612902
"2012-06-14",26.84,27.45,26.84,27.33,660388
"2012-06-21",27.63,27.64,27.02,27.23,434232
"2012-06-28",27.08,27.61,26.94,27.58,305610
"2012-07-05",27.92,28.1,27.72,27.99,411913
"2012-07-12",27.48,27.81,27.4,27.71,351607
"2012-07-19",28.43,28.47,28.09,28.26,427371
"2012-07-26",28.46,28.65,28.46,28.65,342185
"2012-08-02",28.32,28.43,27.62,27.98,441250
"2012-08-09",28.98,29.12,28.92,28.93,265977
"2012-08-16",29.08,29.08,28.84,28.99,276789
"2012-08-23",28.75,28.79,28.54,28.72,232271
"2012-08-30",28.64,28.64,28.27,28.59,274182
"2012-09-06",28.73,28.87,28.57,28.71,505010
"2012-09-13",28.8,29.14,28.72,29,492220
"2012-09-20",30.21,30.33,29.9,30.27,806380
"2012-09-27",29.84,30,29.6,29.68,473736
"2012-10-04",29.6,29.75,29.46,29.67,333578
"2012-10-11",29.7,29.76,29.42,29.46,184160
"2012-10-18",29.57,29.81,29.35,29.47,246948
"2012-10-25",29.06,29.11,28.91,29.04,254139
"2012-11-01",29.59,30.66,29.43,30.66,1201434
"2012-11-08",30.36,30.47,30.07,30.17,300851
"2012-11-15",29.35,29.45,29.11,29.32,421184
"2012-11-29",29.79,29.86,29.57,29.75,195499
"2012-12-06",29.88,30.19,29.78,30.13,556482
"2012-12-13",30.14,30.2,29.87,30,284192
"2012-12-20",30.55,30.79,30.22,30.68,1350326
"2012-12-27",29.64,29.64,29.16,29.33,556502
"2013-01-03",30,30.57,29.92,30.53,807011
"2013-01-10",31.18,31.76,31.13,31.74,628204
"2013-01-17",32.48,32.69,32.38,32.63,317124
"2013-01-24",33.13,33.5,33.12,33.39,321389
"2013-01-31",33.53,33.92,33.51,33.88,353418
"2013-02-07",34.27,34.37,33.97,34.3,373766
"2013-02-14",35.05,35.87,34.59,35.69,782101
"2013-02-21",35.39,35.67,35.24,35.38,387125
"2013-02-28",35.84,36.19,35.72,35.92,428302
"2013-03-07",35.95,36.15,35.68,35.78,279997
"2013-03-14",36,36.83,35.92,36.36,704316
"2013-03-21",36.18,36.63,36.18,36.23,343252
"2013-03-28",36.56,36.99,36.42,36.94,303180
"2013-04-04",36.24,36.44,36.06,36.39,391481
"2013-04-11",36.95,37.48,36.92,37.24,436127
"2013-04-18",36.34,36.5,35.94,36.15,357444
"2013-04-25",36.48,36.75,36.31,36.61,414895
"2013-05-02",37.35,37.68,37.11,37.51,422207
"2013-05-09",39.26,39.5,38.98,39.06,284327
"2013-05-16",40.04,40.52,39.85,40.27,392829
"2013-05-23",39.94,40.54,39.65,40.54,367372
"2013-05-30",40.72,40.9,40.51,40.67,333324
"2013-06-06",39.88,40.62,39.88,40.5,498519
"2013-06-13",41.36,42.35,41.08,42.27,371694
"2013-06-20",42.58,42.98,42.08,42.58,717953
"2013-06-27",45.78,46.95,45.53,46.85,1148649
"2013-07-11",47.31,47.42,46.87,47.29,1029993
"2013-07-18",48.66,49.26,48.64,49.12,398841
"2013-07-25",49.5,49.8,48.8,49.26,548574
"2013-08-01",50.64,51,50.42,50.8,887422
"2013-08-08",47.76,48.4,47.41,48.36,460897
"2013-08-15",48.43,48.65,47.71,47.91,604682
"2013-08-22",47.99,48.93,47.85,48.89,380350
"2013-08-29",46.99,47.47,46.99,47.17,405560
"2013-09-05",45.38,45.78,45.11,45.28,424239
"2013-09-12",46.37,46.59,45.96,46.11,260673
"2013-09-19",45.65,45.74,45.23,45.7,378884
"2013-09-26",45.14,45.51,45.02,45.44,283776
"2013-10-03",45.41,46.18,44.86,45.95,633432
"2013-10-10",45.86,47.02,45.65,46.9,576202
"2013-10-17",47.82,48.31,47.82,48.1,389879
"2013-10-24",50.84,50.98,50.14,50.28,412935
"2013-10-31",49.39,49.75,48.37,48.43,762718
"2013-11-07",50.7,50.97,49.36,49.38,541767
"2013-11-14",50.78,50.84,50.42,50.54,258232
"2013-11-21",53.02,54.36,53.02,54.14,820459
"2013-12-05",50.88,51.18,50.35,50.59,720764
"2013-12-12",50.93,52.29,50.72,51.7,724544
"2013-12-19",52.25,52.49,51.75,51.94,508633
"2013-12-26",53.27,53.52,52.82,52.84,306678
"2014-01-02",51.89,51.98,50.76,50.98,522121
"2014-01-09",50.03,50.4,49.48,49.76,610435
"2014-01-16",49.68,49.8,48.99,49.05,480798
"2014-01-23",50.71,50.97,50.11,50.73,829054
"2014-01-30",50.37,51.64,50.05,51.4,786906
"2014-02-06",51,51.71,50.86,51.68,664911
"2014-02-13",55.86,57.26,55.74,56.66,997475
"2014-02-20",55.44,55.75,54.35,54.69,763268
"2014-02-27",53.7,54.04,53.35,53.92,370847
"2014-03-06",57.26,58.24,57.01,57.4,562184
"2014-03-13",56.93,57.49,56.7,57.18,675381
"2014-03-20",55.96,56.67,55.84,56.66,545869
"2014-03-27",56.01,56.52,55.32,56.48,865187
"2014-04-03",55.21,55.46,54.32,54.75,794985
"2014-04-10",52.21,52.38,51.12,51.12,652406
"2014-04-17",51.42,52.59,51.15,52.2,726398
"2014-04-24",53.03,53.19,52.34,52.93,372250
"2014-05-01",53.35,53.48,52.68,53.46,374244
"2014-05-08",50.91,52.17,50.81,50.97,495949
"2014-05-15",49.92,50.08,48.71,49.06,952076
"2014-05-22",49.14,49.82,49.06,49.36,459033
"2014-05-29",50.94,50.98,50.31,50.6,526650
"2014-06-05",48.07,48.36,47.56,48.21,997341
"2014-06-12",48.07,49.72,48,49.25,874287
"2014-06-19",50.47,50.55,48.81,49.46,1287019
"2014-06-26",48.67,49.15,48.33,48.94,491376
"2014-07-03",48.49,48.83,48.4,48.46,562018
"2014-07-10",46.85,47.29,46.68,46.87,549250
"2014-07-17",46.65,48.25,46.55,48.15,1178911
"2014-07-24",48.59,48.99,48.41,48.73,412007
"2014-07-31",49.12,49.44,48.47,48.47,949698
"2014-08-07",50.01,50.42,49.87,50.2,680925
"2014-08-14",50.62,50.71,50.09,50.45,591616
"2014-08-21",51.02,51.12,50.54,51.01,572401
"2014-08-28",52.72,53.3,52.6,53.02,360185
"2014-09-04",53.35,53.47,52.51,52.95,470137
"2014-09-11",54.43,54.83,54.05,54.54,697651
"2014-09-18",55.62,56.36,55.36,55.81,634452
"2014-09-25",53.94,53.94,52.78,53.52,707254
"2014-10-02",53.64,54.54,53.43,54.34,710181
"2014-10-09",55.2,56.15,54.72,55.9,1012473
"2014-10-16",56.27,56.97,55.4,55.56,1078693
"2014-10-23",56.76,57.32,56.35,56.96,399386
"2014-10-30",58.02,58.79,57.96,58.42,554473
"2014-11-06",60.98,62.07,60.88,61.39,709357
"2014-11-13",61.05,61.44,60.36,60.88,584967
"2014-11-20",59.61,60.14,59.35,59.49,417458
"2014-12-04",60.32,60.68,59.93,60.57,482264
"2014-12-11",63.54,63.87,62.77,63.53,515194
"2014-12-18",63.25,64.49,62.94,64.47,571633
"2015-01-08",67.58,68,66.34,66.5,713157
"2015-01-15",64.75,65.72,64.75,65.06,356546
"2015-01-22",64.2,66.06,63.52,65.88,639202
"2015-01-29",65.26,65.94,65,65.62,682570
"2015-02-05",64.95,65.86,64.8,65.14,802524
"2015-02-12",62.11,62.58,61.88,62.17,526003
"2015-02-19",62.08,62.56,61.68,61.96,409507
"2015-02-26",61.71,62.08,60.62,60.85,696354
"2015-03-05",58.53,59.06,58.02,58.94,665015
"2015-03-12",61.1,61.16,59.55,59.71,1061258
"2015-03-19",58.64,59.91,58.64,59.82,479301
"2015-03-26",56.72,58.11,56.57,57.73,738336
"2015-04-02",56.22,56.45,55.26,56.02,1543737
"2015-04-09",56.54,57.16,56.37,57.15,635683
"2015-04-16",58.2,58.81,57.61,58.5,621893
"2015-04-23",57.04,57.78,56.85,57.64,523399
"2015-04-30",56.81,57.1,56,56.27,1065682
"2015-05-07",55.56,57.15,55.54,56.84,885541
"2015-05-14",59.01,59.41,58.78,59.4,482059
"2015-05-21",58.21,58.21,57.76,58.06,350369
"2015-05-28",58.32,58.71,58.02,58.43,482651
"2015-06-04",57.44,57.59,56.98,57.47,448004
"2015-06-11",58.25,58.59,58.03,58.56,487609
"2015-06-18",59.15,59.5,58.6,58.65,417964
"2015-06-25",57.06,57.56,57.06,57.56,388307
"2015-07-02",58.89,59.69,58.32,59.43,849849
"2015-07-09",60.73,61.48,60.59,60.89,478023
"2015-07-16",61.46,61.69,60.66,61.57,514668
"2015-07-23",62.28,62.3,61.38,61.42,558043
"2015-07-30",60.98,61.96,60.59,61.67,635703
"2015-08-06",63.25,63.63,62.7,62.9,448134
"2015-08-13",63.37,63.88,63.16,63.45,318186
"2015-08-20",63.45,63.72,62.88,63.03,385182
"2015-08-27",63.01,63.59,62.58,63.38,688206
"2015-09-03",63.76,64.4,63.52,63.76,514980
"2015-09-10",64.58,65.65,64.41,65.4,532485
"2015-09-17",66.4,67,64.8,65.13,956660
"2015-09-24",65.78,66.35,65.44,66.16,459418
"2015-10-01",67.33,68.15,66.87,67.25,972842
"2015-10-08",65.17,65.9,64.7,65.84,738903
"2015-10-15",65.81,66.46,65.81,66.36,519467
"2015-10-22",65.18,66.28,65.17,66.16,374356
"2015-10-29",68.92,69.43,68.16,69.16,804592
"2015-11-05",67.64,68.58,67.57,68.38,322473
"2015-11-12",70.35,70.46,69.42,69.52,828736
"2015-11-19",71.4,72,71.26,71.73,620224
"2015-12-03",70.01,70.05,67.72,68.12,753395
"2015-12-10",64.48,64.86,63.65,64.51,520789
"2015-12-17",66.05,66.29,64.73,65.04,562906
"2015-12-24",64.81,65.83,64.74,65.44,191229
"2015-12-31",65.45,65.99,64.84,64.9,384911
"2016-01-07",61.79,63.3,61,62.86,881559
"2016-01-14",62.75,63.57,61.5,63.25,576358
"2016-01-21",64.57,64.57,62.08,62.3,1035121
"2016-01-28",64.63,65.32,63.99,64.51,598401
"2016-02-04",64.01,64.34,60.87,61.65,1121008
"2016-02-11",60.98,63.16,60.67,62.27,728565
"2016-02-18",62.54,63.21,61.54,61.79,553163
"2016-02-25",63.92,64.3,62.88,63.16,576200
"2016-03-03",62.94,63.83,62.35,63.78,510138
"2016-03-10",65.58,65.58,64.51,65.13,433595
"2016-03-17",66.08,66.29,65.5,65.88,424045
"2016-03-24",65.59,65.86,64.71,64.72,449644
"2016-03-31",64.96,65.58,64.65,65.33,334906
"2016-04-07",65.64,65.74,64.46,64.99,367349
"2016-04-14",64.59,65.05,64.2,64.34,434111
"2016-04-21",65.54,65.97,65.06,65.14,215831
"2016-04-28",64.62,64.76,63.95,64.05,449448
"2016-05-05",62.63,63.18,62.63,62.67,439710
"2016-05-12",63.48,64.49,63.35,64.33,488161
"2016-05-19",62.52,63.55,62.34,63.29,388091
"2016-05-26",64.22,64.35,63.52,63.65,297578
"2016-06-02",62.72,63.2,62.67,62.87,576196
"2016-06-09",62.73,63.3,62.4,63.25,392167
"2016-06-16",64.42,64.83,64.13,64.8,287616
"2016-06-23",63.81,64.7,63.22,64.66,613788
"2016-06-30",65.86,66.62,65.46,66.62,535511
"2016-07-07",66.76,67.36,66.49,66.88,341134
"2016-07-14",68.75,68.77,67.64,68.36,356989
"2016-07-21",67.82,67.99,67.45,67.52,300253
"2016-07-28",68.84,69.13,68.25,68.34,446918
"2016-08-04",68.93,68.93,68.57,68.72,315561
"2016-08-11",67.5,67.78,66.84,67.13,583230
"2016-08-18",68.29,68.88,68.08,68.63,268217
"2016-08-25",68.64,68.88,68.24,68.61,383677
"2016-09-01",68.74,69.22,68.44,68.95,333112
"2016-09-08",68.51,68.65,68.21,68.54,215887
"2016-09-15",67.44,68.22,66.77,68.15,367890
