"","GPS.Open","GPS.High","GPS.Low","GPS.Close","GPS.Volume"
"2014-10-09",37.14,37.75,36.44,36.67,31101032
"2014-10-16",35.86,36.78,35.46,36.49,7961665
"2014-10-23",37.03,37.56,36.97,37.14,5693244
"2014-10-30",37.41,38.09,37.27,37.87,3365772
"2014-11-06",37.34,37.97,37.18,37.9,5403137
"2014-11-13",39.23,39.4,38.87,39.24,3781960
"2014-11-20",39.36,40.32,39.36,40.14,6401981
"2014-12-04",40.5,40.8,40.02,40.56,5261277
"2014-12-11",39.55,40.46,39.52,39.89,3824034
"2014-12-18",41,41.05,40.31,41.01,2903493
"2015-01-08",43.8,43.85,42.73,43.1,7791976
"2015-01-15",41.48,41.7,40.26,40.31,4095041
"2015-01-22",41.26,42.25,41.21,42.11,2505223
"2015-01-29",42.27,42.6,41.87,42.3,3983017
"2015-02-05",42.24,42.44,41.47,41.5,4481771
"2015-02-12",41.52,41.76,41.05,41.57,4383193
"2015-02-19",40.71,41.14,40.71,41.07,3274835
"2015-02-26",40.35,40.51,40.01,40.37,6025445
"2015-03-05",41.99,42.07,41.27,41.43,3932902
"2015-03-12",40.76,41.48,40.66,41.42,2999619
"2015-03-19",42,43,42,42.77,5153809
"2015-03-26",42.46,42.6,41.96,42.4,2575624
"2015-04-02",42.64,42.78,42.16,42.52,2541412
"2015-04-09",42.5,42.95,42.09,42.73,3138475
"2015-04-16",41.1,41.29,40.9,40.95,1524829
"2015-04-23",40.65,41.26,40.65,41.22,1943738
"2015-04-30",39.5,39.85,39.4,39.64,3477218
"2015-05-07",39.79,40.13,39.33,40.04,2816654
"2015-05-14",38.69,38.7,38.09,38.16,5776368
"2015-05-21",38.46,38.82,38.39,38.56,7514993
"2015-05-28",38,38.66,37.92,38.5,6248374
"2015-06-04",38.07,38.7,37.92,38.59,4748823
"2015-06-11",37.8,38.56,37.77,38.44,3336946
"2015-06-18",38.56,39,38.55,38.98,2756785
"2015-06-25",38.9,39.15,38.76,38.76,2513128
"2015-07-02",38.51,39,38.4,38.62,2136180
"2015-07-09",38.64,38.76,37.76,37.78,4004485
"2015-07-16",37.86,38.2,37.61,38.09,2598351
"2015-07-23",36.36,37.11,36.24,36.41,4584572
"2015-07-30",36.11,36.11,35.7,36.05,2153045
"2015-08-06",35.21,35.23,34.32,34.93,3874648
"2015-08-13",35.05,35.07,34.13,34.25,7046694
"2015-08-20",33.75,34.16,33.55,33.66,6372624
"2015-08-27",33.02,33.28,32.4,32.97,2884186
"2015-09-03",32.74,33.28,32.72,33.01,4005149
"2015-09-10",32.5,32.88,32.38,32.49,3233754
"2015-09-17",32.21,32.8,32.11,32.23,4765360
"2015-09-24",31.07,31.34,30.86,31.01,4594747
"2015-10-01",28.45,29.02,27.59,27.96,9674058
"2015-10-08",28.41,29.2,28.14,28.95,4979932
"2015-10-15",26.68,26.81,25.97,26.49,4891819
"2015-10-22",27.04,27.56,26.91,27.31,6625972
"2015-10-29",26.7,27.17,26.48,26.7,4651790
"2015-11-05",28.15,28.38,27.92,28.37,3551901
"2015-11-12",26.51,26.94,26.32,26.52,5269396
"2015-11-19",25.32,25.58,25.04,25.09,6267214
"2015-12-03",26.37,26.41,25.48,26.11,8749141
"2015-12-10",26.77,27.05,26.38,26.44,4505705
"2015-12-17",26.47,26.59,25.19,25.2,6504546
"2015-12-24",25.67,25.74,25.3,25.36,1417501
"2015-12-31",25.18,25.21,24.7,24.7,3451399
"2016-01-07",24.85,26.8,24.81,26.74,11850969
"2016-01-14",22.46,23.63,22.26,23.22,7369126
"2016-01-21",22.61,23.23,22.47,23,5490355
"2016-01-28",24.12,24.21,23.75,24.01,3256813
"2016-02-04",23.87,24.43,23.67,23.9,7351312
"2016-02-11",22.23,22.78,22.03,22.43,5078389
"2016-02-18",25.53,26.19,25.01,26.18,5542340
"2016-02-25",27.18,27.69,26.64,27.6,8301668
"2016-03-03",28.29,28.58,27.99,28.54,4737661
"2016-03-10",29.92,30.25,29.14,29.59,6023700
"2016-03-17",29.34,29.96,29.24,29.9,4222539
"2016-03-24",28.73,28.8,28.23,28.76,4748526
"2016-03-31",29.78,30,29.32,29.4,5398287
"2016-04-07",28.61,28.86,27.6,27.68,9284390
"2016-04-14",23.72,23.89,23.47,23.71,3944956
"2016-04-21",24.16,24.27,23.75,23.83,3136616
"2016-04-28",23.85,23.91,23.48,23.53,3897098
"2016-05-05",22.46,22.5,21.69,21.87,7822063
"2016-05-12",18.12,18.58,17.63,17.86,14305739
"2016-05-19",17.31,17.49,17,17.28,9841930
"2016-05-26",18.44,18.48,18.02,18.06,5893633
"2016-06-02",17.88,18.48,17.87,18.33,9341783
"2016-06-09",19.46,19.46,19,19.31,4508607
"2016-06-16",19.15,19.39,18.94,19.34,4648677
"2016-06-23",20.88,21.07,20.78,20.93,4463819
"2016-06-30",21.09,21.22,20.59,21.22,5681733
"2016-07-07",21.75,21.89,21.27,21.63,11098283
"2016-07-14",23.49,23.54,23.14,23.21,4070572
"2016-07-21",24.27,24.49,24.16,24.23,4503015
"2016-07-28",25.6,25.63,24.84,25.23,7144974
"2016-08-04",25.05,25.47,25,25.2,8973814
"2016-08-11",24.68,25.16,24.62,24.98,6866621
"2016-08-18",25.65,26,25.31,25.88,9550651
"2016-08-25",26.63,26.72,26.23,26.39,5549242
"2016-09-01",25,25.02,24.34,24.55,7000463
"2016-09-08",23.64,23.9,23.6,23.72,4244072
"2016-09-15",22.95,23.59,22.81,23.57,4398838
