"","LB.Open","LB.High","LB.Low","LB.Close","LB.Volume"
"2013-02-14",44.6,44.68,43.8,44.05,6320608
"2013-02-21",43.78,43.85,43.27,43.51,3007717
"2013-02-28",45.44,46.56,45.23,45.52,7130177
"2013-03-07",44.91,45.42,44.74,44.87,1954543
"2013-03-14",44.75,44.99,44.58,44.88,1712309
"2013-03-21",43.69,43.82,42.83,43.01,3758264
"2013-03-28",44.11,44.66,43.84,44.66,2291143
"2013-04-04",45.12,45.83,45.01,45.79,1530170
"2013-04-11",48.86,51.25,48.76,50.25,7658166
"2013-04-18",48.7,49.14,47.78,47.88,2191602
"2013-04-25",48.99,50.84,48.83,50.29,3264692
"2013-05-02",50.1,50.49,49.8,50.35,1682804
"2013-05-09",52.18,52.78,51.84,52.08,5896220
"2013-05-16",50.84,51.05,50.3,50.49,1923259
"2013-05-23",51.11,52.09,50.92,51.19,2456620
"2013-05-30",49.04,49.9,48.96,49.62,2700833
"2013-06-06",51.48,51.48,49.85,50.66,3994338
"2013-06-13",50.25,51.09,50.18,50.99,1845958
"2013-06-20",51.17,51.63,50.41,51.18,4451095
"2013-06-27",49.89,50.08,49.15,49.19,3301216
"2013-07-11",51.24,52.39,51.05,52.33,3639846
"2013-07-18",52.04,52.7,52.03,52.57,1329060
"2013-07-25",52.51,53.26,52.48,53.25,1086631
"2013-08-01",56.11,57.62,55.91,57.55,1972787
"2013-08-08",60.17,60.8,59.59,60.25,4349598
"2013-08-15",60.34,60.45,59.76,60.07,1931389
"2013-08-22",59.97,59.97,57.01,58.6,3643027
"2013-08-29",57.17,57.84,57.05,57.46,1362515
"2013-09-05",58.01,58.39,56.81,56.9,4246328
"2013-09-12",58.54,58.54,57.29,57.55,1350062
"2013-09-19",61.12,61.14,60.24,60.4,1124937
"2013-09-26",59.62,60.62,59.56,60.34,1029904
"2013-10-03",61.51,61.75,61.06,61.63,1512257
"2013-10-10",58.4,58.64,56.15,56.6,6506742
"2013-10-17",57.05,58.02,56.82,57.86,3175744
"2013-10-24",61.21,61.99,61.07,61.94,1550372
"2013-10-31",62.04,62.93,61.73,62.61,2259064
"2013-11-07",63.77,64.24,61.68,61.81,2311294
"2013-11-14",64.25,65.37,64,64.83,1753107
"2013-11-21",63.59,65.01,62.91,64.78,1925320
"2013-12-05",61.79,63.01,61.49,62.18,2476267
"2013-12-12",61.14,61.2,60.15,60.8,1536303
"2013-12-19",61.1,61.65,60.92,60.92,1004180
"2013-12-26",62.59,62.83,61.26,61.88,802686
"2014-01-02",61.68,62.52,61.4,61.59,745319
"2014-01-09",58,58.5,56.76,57.75,5286188
"2014-01-16",57.13,57.46,55.8,55.84,3000902
"2014-01-23",53.94,54.38,53.55,53.67,2750884
"2014-01-30",52.82,52.97,52.41,52.66,1790879
"2014-02-06",52.82,54.51,52.68,53.98,5481179
"2014-02-13",54.23,55.01,54.01,54.77,1613066
"2014-02-20",53.67,53.93,53.07,53.31,1683583
"2014-02-27",55.51,57.27,55.51,56.05,2437260
"2014-03-06",58.15,58.18,56.35,57.08,2598095
"2014-03-13",57.38,57.4,56.53,56.73,1216489
"2014-03-20",57.05,57.56,56.91,57.24,2963483
"2014-03-27",56.2,56.51,55.65,56,1542810
"2014-04-03",58.92,59.26,58.48,58.93,1215826
"2014-04-10",58.88,58.93,55.74,55.83,3272930
"2014-04-17",54.62,54.84,53.96,53.96,1266293
"2014-04-24",54.41,54.41,53.84,54.25,1041779
"2014-05-01",54.33,54.58,54.06,54.24,1196028
"2014-05-08",54.95,56.66,54.92,55.93,3820510
"2014-05-15",57.14,57.25,56.3,56.85,1621582
"2014-05-22",56.51,57.99,55.52,56.69,2368308
"2014-05-29",56.95,57.14,56.25,56.83,977916
"2014-06-05",58.69,58.99,57.96,58.93,1238910
"2014-06-12",57.57,57.69,56.57,57.1,1208660
"2014-06-19",58.04,58.24,57.45,57.67,983487
"2014-06-26",57.88,57.88,56.75,57.29,1123194
"2014-07-03",60.73,61.37,60.11,61.35,784271
"2014-07-10",60.94,60.94,59.66,60.21,3301752
"2014-07-17",57.16,57.82,56.9,56.98,1898252
"2014-07-24",57.64,58.48,57.6,58.23,876048
"2014-07-31",58.1,58.39,57.93,57.97,1587775
"2014-08-07",61.8,62.28,60.38,60.62,2815569
"2014-08-14",62.54,62.96,62.04,62.75,1229922
"2014-08-21",63.53,64.04,62.74,63.72,1962786
"2014-08-28",63.33,64.09,62.91,63.75,835292
"2014-09-04",64.5,65.16,64.01,64.62,1840515
"2014-09-11",64.65,65.4,64.62,65.14,2069765
"2014-09-18",65.75,66.67,65.67,66.56,1304116
"2014-09-25",67.9,68.16,67.2,67.8,3008508
"2014-10-02",66.22,66.96,65.62,66.61,1199694
"2014-10-09",68.01,68.49,66.9,67.41,2777240
"2014-10-16",65.34,67.97,65.18,67.3,2420583
"2014-10-23",70.18,71.32,70.14,70.84,1816659
"2014-10-30",71.21,72.4,71.03,72.13,997792
"2014-11-06",75.23,76.46,74.92,76.35,1560420
