"","CMI.Open","CMI.High","CMI.Low","CMI.Close","CMI.Volume"
"2013-01-03",113.16,114.93,112.78,114.17,2160487
"2013-01-10",113.97,114.09,111.22,112.44,1968911
"2013-01-17",112.56,114.5,111.72,114.2,1465084
"2013-01-24",113.52,117.61,112.61,115.46,2411602
"2013-01-31",114.97,115.95,113.81,114.83,1410889
"2013-02-07",119.85,120.48,117.41,118.96,1941080
"2013-02-14",118.54,119.34,117.89,118.73,1232969
"2013-02-21",114.07,114.15,111.46,112.53,2488251
"2013-02-28",115.87,117.34,115.52,115.87,1411897
"2013-03-07",117.01,118.38,116.41,117.28,1298052
"2013-03-14",118.3,118.31,116.58,117.28,1760467
"2013-03-21",115.74,116.01,113.85,114.01,1455965
"2013-03-28",114.14,116,113.82,115.81,1773655
"2013-04-04",112.71,114.25,112.54,114.07,1631103
"2013-04-11",118.28,118.69,116.95,118.18,1972172
"2013-04-18",108.39,109.04,105.86,106.02,2250675
"2013-04-25",110.76,114.04,110.52,112.16,1551439
"2013-05-02",104.14,106.58,104.14,106.41,2358572
"2013-05-09",114.71,114.95,113.64,114.24,1837855
"2013-05-16",114.16,116.16,113.9,114.33,1318345
"2013-05-23",115.47,118.18,115.33,116.94,1638027
"2013-05-30",117.86,118.88,117.01,117.69,1781387
"2013-06-06",116.3,118.33,115.74,117.34,1764678
"2013-06-13",115.11,118.45,114.91,118.27,1557533
"2013-06-20",114.56,115.03,111.86,112.42,2851668
"2013-06-27",108.29,108.98,107.91,108.51,1868998
"2013-07-11",116.01,117.33,114.99,115.28,1892403
"2013-07-18",116.92,117.5,116.19,117.02,1477366
"2013-07-25",115.65,117.1,115.3,116.58,1158891
"2013-08-01",122.6,123.83,122.34,122.94,2231794
"2013-08-08",123.43,124.5,123.13,123.7,1250289
"2013-08-15",125.89,125.89,124.14,124.72,1437372
"2013-08-22",124.14,127.59,124.14,126.56,1848135
"2013-08-29",122.08,124.74,122.07,123.44,1275522
"2013-09-05",126.74,128.25,126.3,127.11,1208457
"2013-09-12",131.99,133.67,131.76,133.05,1725365
"2013-09-19",134,135.54,133.5,135.25,1891955
"2013-09-26",134.21,135.08,133.54,134.19,896292
"2013-10-03",134.6,134.91,131,131.76,1247326
"2013-10-10",131.19,133.22,130.91,132.65,1033614
"2013-10-17",132.84,134.32,132.48,133.98,777093
"2013-10-24",136.19,137.9,135.5,137.86,1337731
"2013-10-31",125.63,128.08,124.47,127.02,2280255
"2013-11-07",132.44,132.98,128.76,128.89,2207770
"2013-11-14",131.55,132.91,131.38,132.49,1095425
"2013-11-21",128.99,129.89,128.86,129.26,687329
"2013-12-05",128.87,130.13,128.49,129.6,1135886
"2013-12-12",130.49,131.01,129.05,129.54,1119674
"2013-12-19",137.13,138,136.28,137.2,2283972
"2013-12-26",139.48,140.22,139.14,139.85,625022
"2014-01-02",140.43,140.98,138.28,138.56,1533605
"2014-01-09",140.15,140.62,137.94,138.67,866943
"2014-01-16",137.05,138.55,137.05,137.84,931213
"2014-01-23",134.5,135.49,131.52,132.08,2394829
"2014-01-30",129.65,129.92,128.04,128.48,1419296
"2014-02-06",123.5,131.49,123.5,130.78,3446824
"2014-02-13",136.94,141.23,136.89,140.92,2298117
"2014-02-20",140.38,141.77,139.82,141.75,2298290
"2014-02-27",145.33,145.57,143.49,145.3,1734106
"2014-03-06",145.93,146.89,145.86,146.12,886880
"2014-03-13",143.52,143.96,139.79,140.62,1078072
"2014-03-20",142.4,143.96,142.03,143.55,703097
"2014-03-27",143.72,144.78,142.36,144.08,1154151
"2014-04-03",149.42,150.27,148.62,149.43,1404961
"2014-04-10",147.92,149.14,144,144.09,1464374
"2014-04-17",145.32,146.86,145.15,146.28,1019979
"2014-04-24",148.39,149.7,147.38,149.06,1926694
"2014-05-01",150.46,152.76,150.06,151.48,1131011
"2014-05-08",149.58,152.08,149.03,151.16,1376627
"2014-05-15",151.5,151.57,148.13,149.64,1217636
"2014-05-22",148.36,149.91,148.3,148.49,785495
"2014-05-29",152.42,153.29,151.53,152.52,508101
"2014-06-05",154.29,156.56,153.33,156.25,1044124
"2014-06-12",157.67,158.36,154.22,154.77,1411777
"2014-06-19",156.5,157.07,155.17,157,1691252
"2014-06-26",154.98,155.9,154.06,155.02,1112272
"2014-07-03",156.22,158.25,155.6,157.75,1049302
"2014-07-10",152.96,153.12,151.5,152,1576405
"2014-07-17",153.02,154.6,151.33,151.55,985475
"2014-07-24",153.13,154.04,150.54,150.8,1912626
"2014-07-31",141.71,142.4,139.31,139.39,2103164
"2014-08-07",140.75,141.63,139,139.37,1583460
"2014-08-14",142,142.32,141.42,141.95,745832
"2014-08-21",147.36,147.5,145.75,146.21,1508253
"2014-08-28",144.22,145.45,143.27,144.75,848487
"2014-09-04",144.2,144.96,143.05,143.58,1133209
"2014-09-11",140,140.38,139.04,140,1479725
"2014-09-18",137.35,138.94,136.96,138.71,1036769
"2014-09-25",134,134,132.8,133.04,1277105
"2014-10-02",134.76,134.87,131.1,132.98,5184842
"2014-10-09",133.91,134.29,130.19,130.86,1969733
"2014-10-16",126.19,131.98,125.91,130.57,2215668
"2014-10-23",134.21,137.33,134.21,136.36,1380594
"2014-10-30",144.04,145.99,143.13,144.62,1730959
"2014-11-06",144.99,146.72,144.22,146.64,1666564
"2014-11-13",146.47,146.61,143.88,144.52,1252066
"2014-11-20",142.18,144.36,142,143.96,869770
"2014-12-04",149.95,150.6,149.1,149.96,1243822
"2014-12-11",144.53,145.52,143.82,144.2,1121243
"2014-12-18",143.83,144.04,141.2,144,2397234
"2015-01-08",145.4,146.76,144.01,145.82,1559986
"2015-01-15",143.8,144.2,141.36,141.52,1736676
"2015-01-22",146.47,148.04,144.73,147.33,1605720
"2015-01-29",141.99,142.79,139.89,142.7,1630397
"2015-02-05",138.41,139.88,135.35,138.11,4435261
"2015-02-12",135.48,136.78,135.36,136.63,1753527
"2015-02-19",139.94,141.68,139.62,140.8,1596325
"2015-02-26",142.55,143.02,141.8,142.23,1723539
"2015-03-05",143.52,143.92,142.2,142.27,2104941
"2015-03-12",138.76,140.13,137.85,140.04,1546950
"2015-03-19",139.04,139.04,136.85,137.45,1239261
"2015-03-26",136.46,137.83,136.19,136.78,1191708
"2015-04-02",137.52,139.42,136.3,136.82,2381318
"2015-04-09",134.62,135.6,133.61,134.18,3031152
"2015-04-16",136.71,137.24,135.77,136.34,1475694
"2015-04-23",137.12,137.78,135.59,136.45,1461010
"2015-04-30",137.57,138.93,136.65,138.26,1838045
"2015-05-07",138.92,140.25,138.39,139.91,1047415
"2015-05-14",142.99,143.4,142.4,143.22,1054666
"2015-05-21",141,142.39,140.8,141.93,846689
"2015-05-28",140,140.29,138.74,139.25,1163535
"2015-06-04",134.58,136.17,134.09,136.17,2737288
"2015-06-11",137.07,137.99,136.85,137.85,992862
"2015-06-18",136.54,137.42,136.02,136.46,1182367
"2015-06-25",135.7,136.14,134.08,134.09,1340222
"2015-07-02",131.85,132,130.28,131.36,968641
"2015-07-09",130.57,131.44,127.56,127.77,2233392
"2015-07-16",131,131.28,130.11,130.39,1025147
"2015-07-23",126.51,127.84,126.5,126.97,1343514
"2015-07-30",129.97,130.15,128.06,129.8,1921951
"2015-08-06",127.86,128.29,126.67,127.18,1092341
"2015-08-13",128.59,128.97,127.41,128.39,1206461
"2015-08-20",126.66,127.02,124.04,124.08,1894008
"2015-08-27",119.84,123.67,119.73,122.6,2300057
"2015-09-03",121.3,121.33,119.61,120.03,1453819
"2015-09-10",118.7,120.07,118.35,119.02,1101283
"2015-09-17",121.95,122.25,119.76,120.17,1987960
"2015-09-24",109.89,111.94,108.27,111.17,2605403
"2015-10-01",108.5,109.14,104.76,105.4,2455629
"2015-10-08",112.59,114.86,112.04,114.27,1439126
"2015-10-15",109.77,109.97,107.51,109.16,2578896
"2015-10-22",108.86,112.73,108.6,111.82,2550606
"2015-10-29",102.51,104.36,102.46,103.4,2927448
"2015-11-05",106.49,107.25,105.27,106.5,2480647
"2015-11-12",99.66,100.2,97.77,97.83,2634673
"2015-11-19",98.15,98.86,97.74,98.57,1485607
"2015-12-03",93.96,93.98,91.8,92.48,5274837
"2015-12-10",90.21,90.26,89.48,90.16,3224890
"2015-12-17",87.01,87.57,85.93,85.96,2351551
"2015-12-24",89.56,89.96,89.17,89.3,565324
"2015-12-31",88.85,89.49,88,88.01,1458647
"2016-01-07",87.03,88.18,86.71,87.19,2772907
"2016-01-14",85.22,87.39,84,86.68,2078484
"2016-01-21",84.58,87.29,84.29,86.02,2612291
"2016-01-28",86.51,87.49,85.33,86.95,2089257
"2016-02-04",91.18,97.97,91,97.57,5677903
"2016-02-11",95.05,98.16,93.5,95.25,2723650
"2016-02-18",97.88,98.7,95.65,97.2,2597928
"2016-02-25",96.49,97.74,95.59,97.7,1575553
"2016-03-03",99.23,102.99,99.01,101.25,2768398
"2016-03-10",102.11,103.11,100.75,102.79,2404068
"2016-03-17",105.75,110.39,105.5,109.58,2881665
"2016-03-24",106.67,107.42,104.84,107.4,1729099
"2016-03-31",109.2,110.29,108.9,109.94,1744070
"2016-04-07",105.51,106.4,104.83,105.09,2231987
"2016-04-14",113.51,115.17,112.74,114.57,2462039
"2016-04-21",115.36,116.64,114.61,115.14,1708920
"2016-04-28",116.52,118.47,115.84,116.61,1821342
"2016-05-05",114.9,115.33,113.56,113.89,1253439
"2016-05-12",115.35,116,113.8,114.39,1552305
"2016-05-19",110.33,110.76,106.26,108.08,2950892
"2016-05-26",113.74,114.85,113.36,113.5,1751060
"2016-06-02",113.96,115.13,113.1,115.13,1620006
"2016-06-09",117.7,118.79,117.3,118.64,1072122
"2016-06-16",112.78,113.67,110.55,113.35,1250293
"2016-06-23",117.09,119,116.61,118.96,1573729
"2016-06-30",109.97,112.44,109.46,112.44,1338268
"2016-07-07",110.87,112.48,110.3,111.26,937565
"2016-07-14",119.33,120.18,118.9,119.47,1636517
"2016-07-21",118,119.98,117.5,118.46,1751867
"2016-07-28",122.71,122.71,121.23,122.16,1608109
"2016-08-04",122.08,123.85,121.06,123.25,1240676
"2016-08-11",126.08,127.36,126.08,127.11,803382
"2016-08-18",125.48,126.82,125.17,126.22,1094287
"2016-08-25",124.77,125.43,124.17,125.33,727285
"2016-09-01",125.61,126.15,124.28,125.41,1507944
"2016-09-08",119.34,121.39,118.54,119.88,1738566
"2016-09-15",118.22,119.95,117.7,119.51,1012206
