"","PTR.Open","PTR.High","PTR.Low","PTR.Close","PTR.Volume"
"2013-05-02",124.76,125.83,123.84,125.59,55128
"2013-05-09",132.19,132.19,130.61,131.11,92624
"2013-05-16",126.66,126.96,125.64,125.93,72311
"2013-05-23",121.39,123.1,120.76,122.1,129916
"2013-05-30",118.8,119.4,118.52,119.16,80434
"2013-06-06",114.86,115.55,113.92,115.55,116764
"2013-06-13",108.25,110.36,108.1,110.05,153672
"2013-06-20",105.57,105.63,102.4,103.06,336353
"2013-06-27",103.11,104.3,102.9,103.58,117501
"2013-07-11",119.95,120.69,119.04,120.57,306691
"2013-07-18",119.4,119.84,118.72,119.48,101774
"2013-07-25",118.16,118.94,117.63,118.79,89580
"2013-08-01",117.91,119.21,117.51,119.11,149160
"2013-08-08",113.33,115.3,112.89,114.9,127112
"2013-08-15",118.42,118.87,116.62,118.25,192866
"2013-08-22",111.78,111.85,109.32,109.98,312127
"2013-08-29",108.02,108.67,107.17,107.45,151510
"2013-09-05",111.5,111.94,111.01,111.3,176157
"2013-09-12",112.11,112.18,110.72,111,90403
"2013-09-19",115.24,115.24,112.38,113.91,374520
"2013-09-26",111.49,112,110.97,111.87,108851
"2013-10-03",111.61,111.96,110.11,110.69,76727
"2013-10-10",114.77,116.79,114.41,116.76,228694
"2013-10-17",116.3,117.18,115.95,117.1,140277
"2013-10-24",114.9,114.9,113.67,114.24,129296
"2013-10-31",115.17,115.17,113.27,113.27,151071
"2013-11-07",111.8,111.8,109.5,109.76,142558
"2013-11-14",110.98,111.69,110.11,111.4,83190
"2013-11-21",122.04,122.58,121.55,122.44,198577
"2013-12-05",116.6,116.78,115.64,115.86,105567
"2013-12-12",111.5,111.69,110.7,111.31,132330
"2013-12-19",109.42,110.02,108.56,109.56,110729
"2013-12-26",109.34,109.79,108.89,109.47,99093
"2014-01-02",109.17,109.17,107.85,107.87,180520
"2014-01-09",103.77,103.77,102.29,102.94,237116
"2014-01-16",103.73,103.91,103.04,103.2,106682
"2014-01-23",102.45,102.82,100.3,101.13,333751
"2014-01-30",96.98,97.23,96.36,96.92,134425
"2014-02-06",96.16,97.4,96.14,96.97,172210
"2014-02-13",100.52,101.8,100.41,101.56,107904
"2014-02-20",105.07,105.49,104.26,105.41,262171
"2014-02-27",104.45,105.79,104.17,105.55,234709
"2014-03-06",104.63,105.5,104.35,104.92,129380
"2014-03-13",99.56,99.61,97.4,98.07,224997
"2014-03-20",100.32,100.32,98.5,99.59,133023
"2014-03-27",108.55,109.34,108.43,108.89,169904
"2014-04-03",110.4,110.6,109.52,110.46,143715
"2014-04-10",114.51,115.75,113.88,113.92,229084
"2014-04-17",113.51,113.7,112.95,113.18,110816
"2014-04-24",114,114,112.21,112.45,85657
"2014-05-01",115.32,115.86,114.64,115.77,108979
"2014-05-08",114.89,115,114.19,114.4,104106
"2014-05-15",118.1,118.17,116.69,117.7,98182
"2014-05-22",121.5,121.79,120.86,121.33,198695
"2014-05-29",119.1,119.33,118.68,119,134258
"2014-06-05",120.61,121.19,120.1,121,201238
"2014-06-12",121.73,122.67,121.63,121.77,188894
"2014-06-19",124.84,125.21,124.81,125.11,74616
"2014-06-26",126.18,126.76,125.88,126.28,146010
"2014-07-03",126.67,127.44,126.64,127.44,48148
"2014-07-10",124.96,126.66,124.45,126.29,132683
