"","SCHW.Open","SCHW.High","SCHW.Low","SCHW.Close","SCHW.Volume"
"2013-09-19",21.48,21.52,20.62,21.04,22937043
"2013-09-26",21.24,21.53,21.2,21.33,4267811
"2013-10-03",21.21,21.41,20.9,21.15,7769617
"2013-10-10",21.18,21.55,21,21.39,10743329
"2013-10-17",23.25,23.67,23.11,23.62,8599923
"2013-10-24",23.36,23.47,23.25,23.4,5188899
"2013-10-31",22.87,22.98,22.62,22.65,7677250
"2013-11-07",23.23,23.38,22.73,22.76,6415739
"2013-11-14",23.96,24.26,23.91,24.24,7320445
"2013-11-21",24.58,25.01,24.56,25,9084495
"2013-12-05",24.58,24.62,24.19,24.41,4477082
"2013-12-12",24.85,24.99,24.67,24.8,10725261
"2013-12-19",25.58,25.9,25.52,25.58,6060689
"2013-12-26",25.7,25.78,25.55,25.74,2617797
"2014-01-02",25.99,26.05,25.7,25.82,4618557
"2014-01-09",25.92,26.06,25.71,25.85,4103002
"2014-01-16",26.25,26.84,26.09,26.8,13422837
"2014-01-23",26.57,26.57,25.97,26.14,8469589
"2014-01-30",24.93,25.37,24.87,25.29,6332198
"2014-02-06",23.94,24.46,23.85,24.44,5914453
"2014-02-13",25.41,25.82,25.23,25.8,5433548
"2014-02-20",25.59,26.23,25.43,26.12,7570945
"2014-02-27",26.28,26.48,26.08,26.42,5690525
"2014-03-06",27.03,27.21,26.9,26.94,11975110
"2014-03-13",26.8,27.06,26.23,26.35,6577853
"2014-03-20",27.47,28.5,27.47,28.43,14527592
"2014-03-27",27.71,27.94,27.03,27.16,7582397
"2014-04-03",27.94,28.04,27.36,27.37,14085666
"2014-04-10",26.37,26.43,25.1,25.14,12094949
"2014-04-17",26.89,27.17,26.67,27.04,7389420
"2014-04-24",27.53,27.53,26.89,27.09,6326804
"2014-05-01",26.54,26.88,26.41,26.58,5751132
"2014-05-08",26.18,26.48,25.96,26,6160949
"2014-05-15",25.81,25.83,24.81,25,12237432
"2014-05-22",25.24,25.68,25.15,25.6,5105441
"2014-05-29",25.36,25.56,25.23,25.55,3857114
"2014-06-05",25.29,25.72,25.15,25.65,4797445
"2014-06-12",25.96,26.12,25.58,25.6,7014003
"2014-06-19",27.19,27.29,26.68,27.15,7114752
"2014-06-26",26.98,26.98,26.47,26.85,4831279
"2014-07-03",27.73,28.19,27.7,28.1,4492326
"2014-07-10",26.44,27.09,26.44,26.9,4685694
"2014-07-17",27.32,27.4,26.77,27.11,7909321
"2014-07-24",27.7,27.87,27.5,27.79,4470673
"2014-07-31",28.22,28.42,27.72,27.75,5491192
"2014-08-07",27.77,27.84,27.08,27.14,6257872
"2014-08-14",27.78,27.85,27.52,27.63,3232997
"2014-08-21",28.37,28.59,28.15,28.43,4957320
"2014-08-28",28.4,28.51,28.12,28.35,2352203
"2014-09-04",28.26,28.64,28.17,28.46,4464222
"2014-09-11",29.11,29.37,28.96,29.24,6621684
"2014-09-18",30.43,31,30.34,30.78,7916994
"2014-09-25",29.78,29.95,29.33,29.52,5313159
"2014-10-02",28.8,29.13,28.58,29.05,11015662
"2014-10-09",28.6,28.72,27.1,27.13,17176472
