"","IFF.Open","IFF.High","IFF.Low","IFF.Close","IFF.Volume"
"2014-05-15",97.14,97.23,95.51,96.27,470030
"2014-05-22",97.96,98.55,97.77,98.06,198685
"2014-05-29",98.79,99,98.17,98.95,268744
"2014-06-05",100.55,100.91,99.78,100.45,229008
"2014-06-12",101.59,101.83,101.04,101.12,294340
"2014-06-19",102.95,103.11,102.26,102.75,314985
"2014-06-26",103.68,103.86,102.8,103.51,192720
"2014-07-03",105.24,105.66,105.17,105.43,250868
"2014-07-10",103.51,104.25,103.24,103.93,243468
"2014-07-17",103.89,104.4,103.25,103.42,306546
"2014-07-24",104.15,104.45,103.64,103.85,297786
"2014-07-31",102.76,103.21,100.96,100.99,439844
"2014-08-07",98.34,98.46,97.19,97.61,653893
"2014-08-14",100.46,100.94,100.11,100.49,241924
"2014-08-21",101.08,101.81,100.72,101.27,327820
"2014-08-28",100.45,101.56,100.16,101.25,291414
"2014-09-04",100.62,101.59,100.58,101.18,425015
"2014-09-11",98.47,99.38,98.46,99.12,310856
"2014-09-18",99.74,100.81,99.69,100.65,492095
"2014-09-25",97.17,97.17,95.53,95.63,463276
"2014-10-02",94.03,94.83,93.04,94.7,407522
"2014-10-09",94.79,94.85,92.85,93.1,547706
"2014-10-16",92.61,94.98,92.18,94.64,502001
"2014-10-23",98.62,98.62,96.02,96.19,700443
"2014-10-30",96.39,97.4,96.13,97,391955
"2014-11-06",97.7,99.27,97.5,98.94,564309
"2014-11-13",100.3,100.8,99.58,100.08,280279
"2014-11-20",98.37,99.68,98.18,99.63,569364
"2014-12-04",102.54,103.23,102.2,103.19,377107
"2014-12-11",101.34,102.56,101.17,102.25,334906
"2014-12-18",102.17,102.53,101.34,102.53,441017
"2015-01-08",99.89,101.68,99.8,101.64,333916
"2015-01-15",104.43,105.98,104.26,105.27,757848
"2015-01-22",107.55,110.97,107.32,110.94,786188
"2015-01-29",105.13,106.94,105.01,106.8,334815
"2015-02-05",108.36,108.8,107.89,108.64,278590
"2015-02-12",109.33,116.48,109.33,114.77,1342227
"2015-02-19",118.27,120.42,117.57,120.1,526745
"2015-02-26",122,122.4,121.28,121.84,470833
"2015-03-05",121.25,121.54,120.23,120.88,358861
"2015-03-12",118.03,120.01,117.74,119.5,457689
"2015-03-19",118.07,120.08,117.1,118.49,510677
"2015-03-26",116.84,117.34,116.01,116.7,528528
"2015-04-02",116.96,118.81,116.74,117.39,334134
"2015-04-09",118.14,118.5,117.34,118.26,297391
"2015-04-16",118.34,119.33,118.01,118.66,256259
"2015-04-23",116.03,117.06,115.44,116.57,223123
"2015-04-30",115.66,116.61,114.11,114.75,438768
"2015-05-07",117.66,118.41,116.81,118.22,256090
"2015-05-14",113.31,115.16,112.62,115.05,467945
"2015-05-21",117.29,118.46,117.29,118.26,492181
"2015-05-28",118.87,119.76,118.74,119.27,337176
"2015-06-04",113.67,114.36,112.34,112.48,856462
"2015-06-11",110.9,112.07,110.69,111.45,754322
"2015-06-18",112.22,113.66,111.46,113.34,552674
"2015-06-25",112.73,113.53,112.5,112.62,339327
"2015-07-02",110.77,110.87,109.84,110.33,374495
"2015-07-09",109.73,110.31,108.81,108.91,333776
"2015-07-16",112.98,113.55,112.18,113.35,374051
"2015-07-23",112.59,113,111.85,112.18,379976
"2015-07-30",114.29,116.06,114.06,115.51,468147
"2015-08-06",117.23,118.09,115.72,116.42,458997
"2015-08-13",113.36,114.09,112.43,113.22,501792
"2015-08-20",113.61,113.88,111.62,112,705472
"2015-08-27",110.16,112.25,108.94,110.7,475542
"2015-09-03",109.4,110.43,108.89,109.46,316503
"2015-09-10",108.32,109.18,106.85,107.19,591830
"2015-09-17",107.41,109.17,107.3,107.58,263985
"2015-09-24",104.15,105.08,103.39,104.8,435256
"2015-10-01",104.07,104.38,102.46,103.88,657279
"2015-10-08",109.21,109.91,108.75,109.51,536570
"2015-10-15",110.7,111.2,110.15,111.07,413816
"2015-10-22",112.73,113.76,112.49,113.73,437726
"2015-10-29",115.04,115.82,114.2,115.51,269216
"2015-11-05",116.21,116.36,115.31,115.97,291863
"2015-11-12",114.46,115.68,113.2,113.28,384968
"2015-11-19",117.48,119.4,116.34,117.84,505307
"2015-12-03",120.42,120.8,118.26,119.14,355852
"2015-12-10",120.57,120.98,118.04,118.31,503180
"2015-12-17",120.81,121.09,118.08,118.09,356517
"2015-12-24",119.45,120.31,119.24,119.97,82704
"2015-12-31",120.26,121.06,119.6,119.64,232865
"2016-01-07",115.61,116.99,114.38,116.59,668081
"2016-01-14",116.09,117.8,115.65,117.2,388983
"2016-01-21",112.1,113.9,111.1,111.75,591859
"2016-01-28",112.43,113.04,110.69,112.19,638623
"2016-02-04",119.99,122.38,119.89,121.28,547500
"2016-02-11",100.5,105.3,97.24,100.49,4515669
"2016-02-18",106.3,107.01,104.35,105.39,721290
"2016-02-25",106.25,106.73,104.2,105.02,550881
"2016-03-03",105.94,106.09,104.6,105.15,764272
"2016-03-10",108,108.99,106.59,107.68,480242
"2016-03-17",111.57,113.03,110.91,112.88,403320
"2016-03-24",112.59,113.78,111.74,113.24,671804
"2016-03-31",114.67,115.11,113.39,113.77,383975
"2016-04-07",117.25,118.07,116.37,116.64,610163
"2016-04-14",120.13,120.31,119.09,119.31,486681
"2016-04-21",120.44,120.73,119.25,120.15,407612
"2016-04-28",119.25,120.54,118.92,119.48,289828
"2016-05-05",119.28,119.85,118.36,118.62,309159
"2016-05-12",124.24,126.33,123.77,126.16,789414
"2016-05-19",126.5,128.13,125.76,128,442451
"2016-05-26",129.05,129.3,128.64,128.93,450872
"2016-06-02",128.82,128.82,127.68,128.71,446848
"2016-06-09",130.16,130.6,129.5,129.8,482306
"2016-06-16",125.82,126.18,124.42,125.93,767700
"2016-06-23",127.49,128.47,126.77,127.23,569228
"2016-06-30",124.5,126.1,123.77,126.07,676548
"2016-07-07",126.96,128.47,126.75,127.55,446064
"2016-07-14",133.07,133.34,131.5,131.75,335890
"2016-07-21",133.53,133.75,132.36,132.87,218831
"2016-07-28",132.93,133.61,132.76,133.26,243756
"2016-08-04",134.27,136.75,134.09,135.76,484679
"2016-08-11",135.77,136.59,135.51,136.04,214245
"2016-08-18",134.38,136.37,134.38,136.2,322431
"2016-08-25",137.63,138.73,137.17,138.54,171963
"2016-09-01",138.24,138.8,137.52,138.37,334553
"2016-09-08",139.26,139.27,138.52,138.63,331863
"2016-09-15",134.44,135.6,133.96,135.28,271784
