"","CVS.Open","CVS.High","CVS.Low","CVS.Close","CVS.Volume"
"2013-01-31",51.57,51.69,51.19,51.2,5866311
"2013-02-07",51.32,51.32,50.97,51.19,8372115
"2013-02-14",50.92,52.06,50.92,51.89,5182875
"2013-02-21",51.72,51.92,51.52,51.86,5439858
"2013-02-28",51.21,51.63,51.05,51.12,6022865
"2013-03-07",52.22,52.22,51.7,52.09,3688645
"2013-03-14",53.07,53.3,52.95,53.26,5796378
"2013-03-21",54.85,55.18,54.61,54.65,7516165
"2013-03-28",54.95,55.06,54.79,54.99,9402173
"2013-04-04",54.33,55.39,54.3,55.35,5981951
"2013-04-11",57.07,58.29,57.05,57.76,6541700
"2013-04-18",57.25,57.27,56.58,56.87,5519714
"2013-04-25",57.85,58.32,57.68,57.94,6322459
"2013-05-02",58.61,59.05,57.89,58.95,6580267
"2013-05-09",58.31,58.4,57.2,57.49,5697409
"2013-05-16",60.07,60.13,59.09,59.37,5507718
"2013-05-23",58.34,58.7,57.8,58.33,4149752
"2013-05-30",59.44,59.44,58.79,58.79,3271042
"2013-06-06",57.22,57.89,56.64,57.89,4635546
"2013-06-13",58.45,59.37,58.34,59.27,4040008
"2013-06-20",58.54,58.56,56.82,56.99,6735089
"2013-06-27",57.65,57.96,57.19,57.26,4080908
"2013-07-11",60.56,61.06,60.14,61,4215494
"2013-07-18",60.81,61.55,60.69,61.2,4206939
"2013-07-25",61.5,62.05,61.24,61.93,2824038
"2013-08-01",62.01,62.22,61.7,62.17,3367112
"2013-08-08",59.37,59.5,58.58,59.34,5090157
"2013-08-15",59.1,59.2,58.46,58.65,4339142
"2013-08-22",58.3,58.66,58.2,58.38,4125573
"2013-08-29",57.11,58.36,57.07,57.82,4047268
"2013-09-05",58.18,58.87,58.02,58.46,4080904
"2013-09-12",59.72,60,59.47,59.51,4700249
"2013-09-19",60.58,60.61,59.67,59.8,7511672
"2013-09-26",57.9,58.69,57.87,58.17,4845927
"2013-10-03",57.19,57.28,56.44,56.64,7581879
"2013-10-10",58.56,58.9,58.28,58.72,6285596
"2013-10-17",58.54,60.07,57.85,60,5550401
"2013-10-24",61.43,62.22,61.29,62.07,5591403
"2013-10-31",62.2,62.64,61.87,62.26,5161409
"2013-11-07",63.84,64,63.29,63.54,6029886
"2013-11-14",64.43,65.45,64.28,65.27,4630924
"2013-11-21",65.43,66.18,65.4,66.09,4072072
"2013-12-05",66.06,66.53,65.77,65.87,4088526
"2013-12-12",68.3,68.3,67.48,67.57,4907400
"2013-12-19",69.64,70.41,69.38,70.14,5950057
"2013-12-26",71,71.4,70.99,71.28,2371540
"2014-01-02",71.16,71.37,70.18,70.4,4489516
"2014-01-09",70.45,70.59,69.32,69.92,4961060
"2014-01-16",68.19,68.28,67.76,68.13,5865401
"2014-01-23",68.71,68.78,68.1,68.47,5634737
"2014-01-30",67.79,68.24,67.33,67.65,5060595
"2014-02-06",65.47,66.14,65.31,66.11,5931233
"2014-02-13",68.2,69.57,68.09,69.48,6027884
"2014-02-20",70.21,71.38,70.07,71.31,5608166
"2014-02-27",72.13,72.3,71.69,72.16,4999668
"2014-03-06",73.89,73.89,72.98,73.22,3713978
"2014-03-13",73.08,73.28,72.36,72.5,5119398
"2014-03-20",73.36,74.12,73.26,73.99,3550534
"2014-03-27",74.69,75.15,74.01,74.13,5315661
"2014-04-03",74.75,75.34,74.66,75.24,4342402
"2014-04-10",74.49,75.41,72.93,72.93,6124284
"2014-04-17",73.35,74.1,73.32,73.74,5442040
"2014-04-24",73.27,73.64,72.97,73.07,5217896
