"","WYN.Open","WYN.High","WYN.Low","WYN.Close","WYN.Volume"
"2013-12-19",72.17,72.73,71.49,71.95,1243525
"2013-12-26",73,73.36,72.8,73.2,567811
"2014-01-02",73.39,73.87,72.98,73.52,1284942
"2014-01-09",72.74,72.8,71.63,72.26,563558
"2014-01-16",73.58,74.1,73.58,73.86,583509
"2014-01-23",75,75,73.61,74.23,879142
"2014-01-30",72.05,72.19,71.5,71.74,1486270
"2014-02-06",69.94,72.49,69.94,72.38,1725963
"2014-02-13",69.73,70.53,69.59,70.29,1328252
"2014-02-20",69.53,69.53,68.63,69.23,1457573
"2014-02-27",71.79,72.98,71.44,72.97,1252534
"2014-03-06",74.84,76.32,74.75,75.74,1332199
"2014-03-13",74.05,74.08,72.01,72.15,2827203
"2014-03-20",72.9,73.27,72.29,72.61,1021435
"2014-03-27",70.97,71.64,70.36,71.52,1822322
"2014-04-03",74.5,74.71,73.18,73.39,974248
"2014-04-10",72.24,72.47,70.34,70.6,892123
"2014-04-17",71.21,72.16,71.16,71.87,1296344
"2014-04-24",73.96,75,73.21,74.71,1599233
"2014-05-01",71.34,71.61,70.81,71.52,1369651
"2014-05-08",71.32,72.57,70.98,71.31,663508
"2014-05-15",71.83,71.96,70.25,70.85,793261
"2014-05-22",71.59,72,71.33,71.44,879971
"2014-05-29",72.98,73.12,72.17,73.05,995845
"2014-06-05",74.84,74.93,74.07,74.63,1312565
"2014-06-12",73.38,73.42,72.26,72.44,1228044
"2014-06-19",73.13,74.18,73.06,74.14,1367629
"2014-06-26",75.24,75.63,74.54,75.41,1201882
"2014-07-03",76.18,76.65,76.1,76.57,487677
"2014-07-10",75.8,77.16,75.8,76.7,919099
"2014-07-17",75.98,76.41,75.15,75.24,626331
"2014-07-24",77.5,78.98,77.35,77.99,1749108
"2014-07-31",77.12,77.33,75.52,75.55,744121
"2014-08-07",76.12,76.39,74.78,74.82,924209
"2014-08-14",78.99,79.84,78.62,79.83,798337
"2014-08-21",79.26,79.62,78.88,79.59,709259
"2014-08-28",80,80.5,79.71,80.36,476258
"2014-09-04",81.6,82.48,81.35,81.58,874039
"2014-09-11",80.85,82,80.62,81.64,871674
"2014-09-18",81.22,82.1,81.08,81.94,546498
"2014-09-25",81.42,81.78,80.73,80.87,674395
"2014-10-02",79.01,79.28,77.54,78.58,1404653
"2014-10-09",78.42,78.8,76.69,76.71,826226
"2014-10-16",70.51,74.47,70.06,74,1774546
"2014-10-23",79.34,79.83,78.28,78.4,1713201
"2014-10-30",76.21,78.16,76.02,77.12,1039842
"2014-11-06",76.78,77.39,76.44,77,684704
"2014-11-13",80.25,80.57,79.67,80.1,803542
"2014-11-20",78.42,79.23,78.16,78.83,1038102
"2014-12-04",83.57,83.88,83.03,83.48,886886
"2014-12-11",83.38,84.34,83.06,83.4,676226
"2014-12-18",84,84.31,83.26,84.31,834676
"2015-01-08",85.18,86.64,85.1,86.6,1106215
"2015-01-15",84.81,85.47,83.91,84.1,711266
"2015-01-22",85.21,88.15,85.21,87.96,1128813
"2015-01-29",84.73,85.85,84.21,85.56,651958
"2015-02-05",83.13,83.87,82.74,83.48,719653
"2015-02-12",89.92,90,88.98,89.64,1165610
"2015-02-19",91.81,92.24,91.16,91.35,668840
"2015-02-26",92.09,92.24,91.23,91.81,702079
"2015-03-05",92.11,92.17,91.26,91.34,903584
"2015-03-12",89.29,90.2,89.11,89.77,606884
"2015-03-19",90.38,91.61,90.29,91.53,854897
"2015-03-26",88.47,90.65,87.92,90.25,1677820
"2015-04-02",90.72,91.74,90.41,91.43,706411
"2015-04-09",91.22,91.99,90.8,91.59,464065
"2015-04-16",90.67,91.18,89.81,90.52,677165
"2015-04-23",90.66,91.46,90.36,90.77,766362
"2015-04-30",86.17,86.35,84.83,85.4,1366724
"2015-05-07",84.68,85.94,84.68,85.76,1036823
"2015-05-14",86.1,87.14,86,87.06,733192
"2015-05-21",86.49,86.82,86.03,86.72,724234
"2015-05-28",85.56,85.85,84.57,85.3,716986
"2015-06-04",85,86.12,84.84,85.03,788515
"2015-06-11",85.25,85.73,85.05,85.52,639681
"2015-06-18",84.33,85.12,84.26,84.8,1129167
"2015-06-25",83.29,83.3,82.84,83.13,1160821
"2015-07-02",83.56,83.78,83.11,83.41,740042
"2015-07-09",82.9,83.64,82.48,82.5,1115776
"2015-07-16",86.16,86.6,85.56,86.55,640740
"2015-07-23",87.31,87.31,83.9,84.45,1658263
"2015-07-30",82.22,83.12,81.58,81.76,2050969
"2015-08-06",79.88,79.9,78.23,79.18,2146415
"2015-08-13",80.09,81.11,79.4,80.4,1105315
"2015-08-20",79.49,79.87,77.99,78.04,1270379
"2015-08-27",76.83,77.44,75.53,77.24,1435656
"2015-09-03",77.36,78.12,76.9,77.26,873881
"2015-09-10",77.32,78.33,76.71,77.98,890041
"2015-09-17",78.45,79.56,78.09,78.37,943506
"2015-09-24",73.42,73.96,72.94,73.58,977610
"2015-10-01",71.93,73.22,71.35,72.06,1414778
"2015-10-08",76.15,78.59,76.15,78.18,1123781
"2015-10-15",76.42,76.93,72.63,74.14,4757179
"2015-10-22",75.67,77.47,75.1,77.42,1281558
"2015-10-29",80.54,82.21,79.34,81.9,1526547
"2015-11-05",81.51,82.15,81.27,81.55,645365
"2015-11-12",79.93,80.66,79.5,79.5,672624
"2015-11-19",77.58,77.58,76.73,76.8,1058573
"2015-12-03",76.58,76.77,74.07,74.69,1064578
"2015-12-10",75.42,75.89,75.09,75.23,617263
"2015-12-17",74.15,74.41,72.26,72.27,1026648
"2015-12-24",73.16,73.71,72.91,73.29,503493
"2015-12-31",72.69,73.23,72.03,72.65,1365129
"2016-01-07",68.64,69.51,68.39,68.87,1716205
"2016-01-14",67.33,67.57,65.62,66.74,1836269
"2016-01-21",64.94,67.27,64.4,65.95,1808183
"2016-01-28",65.35,65.69,63.02,63.41,1478060
"2016-02-04",63.3,64.91,63.22,64.6,1342230
"2016-02-11",63.59,64.88,63.18,63.67,1464558
"2016-02-18",68.93,69.2,67.42,68.71,1356509
"2016-02-25",71.03,71.67,70.59,71.65,1344995
"2016-03-03",75.03,75.72,74.81,75.61,1207650
"2016-03-10",74.36,75.11,72.89,74,1085064
"2016-03-17",76.94,79.26,76.87,79.05,2173538
"2016-03-24",74,75.2,73.42,74.96,966651
"2016-03-31",76.21,77.35,75.84,76.43,1337322
"2016-04-07",75.25,75.75,74.15,74.85,1363030
"2016-04-14",78.19,78.37,77.43,77.8,547019
"2016-04-21",77.66,78.38,77.15,77.48,730843
"2016-04-28",71.79,73.11,71.44,71.62,1514383
"2016-05-05",69.95,70.8,69.67,70.48,1760234
"2016-05-12",69.71,69.88,68.32,69.13,1564820
"2016-05-19",66.87,67.19,66.19,66.76,1246465
