"","CELG.Open","CELG.High","CELG.Low","CELG.Close","CELG.Volume"
"2012-09-13",37,37.72,36.8,37.54,5055698
"2012-09-20",38.31,38.75,38.2,38.54,3896560
"2012-09-27",38.15,38.58,37.98,38.37,3698578
"2012-10-04",39.62,40,39.51,39.79,4289624
"2012-10-11",38.6,39.1,38.55,38.86,4520856
"2012-10-18",39.42,39.48,38.88,39.24,3583644
"2012-10-25",37.34,37.75,37.03,37.16,3741240
"2012-11-01",37.02,37.62,36.97,37.4,4180282
"2012-11-08",36.14,36.33,35.62,35.65,3412926
"2012-11-15",37.36,37.4,36.67,36.77,7222860
"2012-11-29",39.5,39.9,39.43,39.7,4701640
"2012-12-06",39.64,39.9,39.42,39.54,3941284
"2012-12-13",40.44,40.64,39.65,39.92,5747102
"2012-12-20",39.94,40.16,39.73,40.01,4586138
"2012-12-27",39.26,39.76,38.81,39.29,4438480
"2013-01-03",40.69,41.2,40.55,40.84,5349248
"2013-01-10",46.28,47.76,46.12,47.74,12994964
"2013-01-17",49.45,49.88,48.94,49.1,7671634
"2013-01-24",48.96,49.38,48.52,48.74,6836820
"2013-01-31",49.08,49.78,48.96,49.48,5816914
"2013-02-07",49.2,49.6,48.39,48.92,5854610
"2013-02-14",49.58,50.1,49.28,49.76,4828280
"2013-02-21",50.14,50.14,48.92,49.72,7427924
"2013-02-28",50.52,52.57,50.42,51.64,12040458
"2013-03-07",55.18,55.18,54.49,55.09,5220148
"2013-03-14",56.66,57.72,56.66,57.14,6025306
"2013-03-21",55.95,56.44,55.64,56.02,3788540
"2013-03-28",56.72,58.48,56.57,57.96,6724746
"2013-04-04",58.06,58.48,57.38,57.98,3770078
"2013-04-11",60.88,61.9,60.8,61.5,6650110
"2013-04-18",60.52,60.67,59.04,59.54,4385536
"2013-04-25",60.25,60.52,58.12,58.98,10312614
"2013-05-02",58.12,59.78,57.02,59.63,6690476
"2013-05-09",61.14,61.9,60.8,61.36,4812778
"2013-05-16",64.14,64.41,61.3,61.74,9907234
"2013-05-23",60.75,62.48,60.28,61.82,4741492
"2013-05-30",61.44,62.71,61.32,62.28,5101090
"2013-06-06",56,57.83,55.75,57.78,8443340
"2013-06-13",59.49,60.26,58.54,60.13,4610618
"2013-06-20",57.93,58.16,56.54,56.76,6500534
"2013-06-27",59.71,59.95,58.82,59.2,4130128
"2013-07-11",66.55,68.18,65.84,67.46,12048422
"2013-07-18",66.52,66.97,65.11,66.52,11156602
"2013-07-25",69.51,70.4,67.9,70.32,6111044
"2013-08-01",74.09,74.96,73.6,74.4,4910724
"2013-08-08",72,72.15,70.91,71,3665004
"2013-08-15",67.81,68.02,66.38,66.76,4826396
"2013-08-22",68.98,69.5,68.32,68.96,2544498
"2013-08-29",69.28,71.5,69,71.29,4882690
"2013-09-05",73.12,73.88,72.5,72.8,4321344
"2013-09-12",74.5,75.46,74,74.82,3396850
"2013-09-19",74.75,74.9,73.38,74.26,4687594
