"","WEC.Open","WEC.High","WEC.Low","WEC.Close","WEC.Volume"
"2013-05-16",43.46,43.55,43.18,43.25,1233218
"2013-05-23",42.54,42.56,41.72,42.41,1645502
"2013-05-30",41.07,41.94,40.97,41.05,1540024
"2013-06-06",40.38,40.96,40.37,40.96,960877
"2013-06-13",40.3,41.27,40.3,41.19,919137
"2013-06-20",40.2,40.24,39.04,39.18,2156499
"2013-06-27",40.9,41.26,40.84,40.98,1200018
"2013-07-11",42.33,42.59,42,42.26,1727257
"2013-07-18",42.93,43.44,42.86,43.32,1402691
"2013-07-25",42.89,43.49,42.89,43.42,1055684
"2013-08-01",43.69,43.94,43.57,43.84,1645109
"2013-08-08",43.63,43.72,43.26,43.51,940678
"2013-08-15",41.91,42.02,41.55,41.6,1049384
"2013-08-22",40.63,41.07,40.51,40.87,1095834
"2013-08-29",40.85,40.91,40.57,40.79,1573995
"2013-09-05",40.05,40.19,39.83,39.94,1269332
"2013-09-12",39.97,40.05,39.52,39.62,1767114
"2013-09-19",41.32,41.48,41.01,41.15,2343590
"2013-09-26",40.8,41.14,40.54,40.76,1238722
"2013-10-03",40.47,40.56,39.95,40.08,1700818
"2013-10-10",40.63,41.05,40.11,40.99,1032058
"2013-10-17",40.83,41.75,40.58,41.69,936673
"2013-10-24",42.35,42.47,42.04,42.29,883977
"2013-10-31",42.18,42.26,41.4,42.11,1751402
"2013-11-07",42.43,42.56,41.99,42.04,3914736
"2013-11-14",41.21,42.1,41.21,41.75,2080224
"2013-11-21",42.25,42.28,41.96,42.03,1389367
"2013-12-05",41.36,41.62,41.08,41.15,1913495
"2013-12-12",40.52,41.03,40.49,40.69,1530544
"2013-12-19",41.35,41.42,40.78,41.23,1600412
"2013-12-26",41.47,41.55,41.1,41.22,749505
"2014-01-02",41.42,41.46,40.59,40.73,1355220
"2014-01-09",40.71,40.89,40.5,40.75,1434823
"2014-01-16",40.91,41.11,40.61,41.1,1563134
"2014-01-23",41.54,41.78,41.36,41.64,1298874
"2014-01-30",41.71,42.34,41.7,42.28,1167827
"2014-02-06",42,42.48,41.72,41.92,2555245
"2014-02-13",42.7,43.32,42.64,43.31,1389302
"2014-02-20",43.5,44.12,43.43,43.89,1103397
"2014-02-27",43.6,43.85,43.33,43.53,1134341
"2014-03-06",43.89,43.99,43.62,43.66,1188974
"2014-03-13",44.39,45.14,44.39,44.98,1541146
"2014-03-20",44.71,44.95,44.47,44.85,1247115
"2014-03-27",45.53,45.98,45.35,45.91,1516609
"2014-04-03",46.58,46.97,46.44,46.83,1950242
"2014-04-10",47.05,47.34,46.65,46.89,2347146
"2014-04-17",48.29,48.48,47.48,47.61,2044779
"2014-04-24",47.6,48.05,47.27,47.76,1880234
"2014-05-01",48.77,49.21,48.35,48.95,2110176
"2014-05-08",48.52,48.52,47.55,47.57,2024315
"2014-05-15",45.91,46.23,45.51,45.55,2273766
"2014-05-22",44.64,45.22,44.64,45.11,1251246
"2014-05-29",45.23,45.41,44.82,45.1,1691010
"2014-06-05",45.5,46,45.4,45.87,1112886
"2014-06-12",44.68,44.78,44.03,44.78,2701049
"2014-06-19",46.32,46.93,46.2,46.88,1919586
"2014-06-26",46.31,46.66,46.13,46.65,2745934
"2014-07-03",45.18,45.23,44.61,44.91,1491375
"2014-07-10",44.87,45.73,44.84,45.61,1176167
"2014-07-17",45.13,45.36,44.83,44.86,1231681
"2014-07-24",45.46,45.77,45.37,45.59,1105259
"2014-07-31",44.16,44.44,43.56,43.58,1930090
"2014-08-07",42.9,44.04,42.49,42.65,3620657
"2014-08-14",43.23,43.48,43.23,43.39,957646
"2014-08-21",44.16,44.49,43.98,44.06,880993
"2014-08-28",44.6,45.2,44.4,45.14,2056898
"2014-09-04",45,45.17,44.7,44.92,1009626
"2014-09-11",44.76,45.39,44.61,45.18,1406840
"2014-09-18",44.64,44.8,43.85,44.01,1440190
"2014-09-25",43.3,43.49,42.84,42.89,1229330
"2014-10-02",43.2,43.73,43.13,43.41,1918665
"2014-10-09",45.42,45.9,44.86,44.88,4149736
"2014-10-16",47.27,47.48,46.39,47.12,4335184
"2014-10-23",48.52,48.68,48.1,48.37,1762211
"2014-10-30",48.5,49.64,48.37,49.57,2311893
"2014-11-06",50.07,50.07,48.71,49.24,3122962
"2014-11-13",48.23,48.51,47.52,47.6,2209350
"2014-11-20",48.35,48.78,48.29,48.57,894247
"2014-12-04",50.02,50.41,49.74,50.3,1504718
"2014-12-11",50.93,51.6,50.93,51.24,1401257
"2014-12-18",51.42,52,51.15,51.97,1724724
"2015-01-08",53.51,54.12,53.51,53.92,1490130
"2015-01-15",54.38,55.17,54.12,55.05,1376798
"2015-01-22",56.59,56.81,56.11,56.61,1252412
"2015-01-29",56.73,57.58,56.45,57.47,1506422
"2015-02-05",55.59,56.12,55.11,56.02,1501067
"2015-02-12",51.94,52.35,51.35,52.27,1990094
"2015-02-19",52.2,52.24,51.28,51.47,1417011
"2015-02-26",51.56,51.63,50.76,50.79,1731866
"2015-03-05",50.18,50.58,49.94,50.48,1386692
"2015-03-12",48.07,48.8,48.02,48.56,2019666
"2015-03-19",49.74,50.56,49.29,49.63,1809543
"2015-03-26",48.99,49.37,48.63,48.87,1611256
"2015-04-02",50.01,50.13,49.74,49.79,1258080
"2015-04-09",49.41,49.41,48.77,49.05,976234
"2015-04-16",49.7,49.78,48.94,49.45,1149144
"2015-04-23",50.29,50.95,50.19,50.66,1326429
"2015-04-30",49.77,49.83,48.59,49.12,2045474
"2015-05-07",47.75,48.28,47.74,47.8,1234287
"2015-05-14",47.21,47.57,47.07,47.55,804347
"2015-05-21",48.7,48.87,48.36,48.7,952431
"2015-05-28",48.2,48.46,48.03,48.33,1484175
"2015-06-04",46.55,46.84,46.09,46.28,2502252
"2015-06-11",45.6,45.94,45.45,45.87,1265804
"2015-06-18",46.9,47.3,46.7,47,2082132
"2015-06-25",45.88,45.88,45.71,45.79,2579794
"2015-07-02",46.35,47.1,46.26,46.65,3216267
"2015-07-09",47.57,47.92,46.58,46.81,2261446
"2015-07-16",47.94,48.65,47.9,48.42,2662779
"2015-07-23",47.81,47.86,46.83,47.1,1891409
"2015-07-30",48.23,49.31,47.8,48.77,2082209
"2015-08-06",48.67,49.3,48.25,49.25,1860737
"2015-08-13",50.68,51.04,50.27,50.96,1921030
"2015-08-20",51.21,51.99,51.05,51.47,2106354
"2015-08-27",48.15,48.23,47.45,48.19,1892001
"2015-09-03",46.83,47.24,46.67,47.02,1821361
"2015-09-10",46.8,47.71,46.78,47.24,3366868
"2015-09-17",48.33,49.77,48.26,49.19,2144601
"2015-09-24",49.32,50.34,49.18,50.19,2187496
"2015-10-01",52.35,52.48,51.52,52.08,2357984
"2015-10-08",51.52,52.46,51.4,52.45,1818159
"2015-10-15",52.44,53.06,52.17,53,1648870
"2015-10-22",53.25,53.88,53.05,53.73,1648984
"2015-10-29",51.66,51.81,50.62,51.3,1921840
"2015-11-05",51.97,52.21,51.64,51.68,1462404
"2015-11-12",49.83,50.5,49.44,49.49,1425967
"2015-11-19",50.21,50.56,49.82,50.26,2069772
"2015-12-03",48.38,48.65,47.98,48.12,1664098
"2015-12-10",49.9,49.9,48.52,48.56,2507434
"2015-12-17",51.25,51.58,50.32,51.26,2682054
"2015-12-24",51.56,51.68,51.43,51.57,799168
"2015-12-31",51.98,52.1,51.01,51.31,1113920
"2016-01-07",51.14,51.88,51.11,51.72,1892299
"2016-01-14",51.8,53.4,51.41,53,3475872
"2016-01-21",53,53.57,52.01,52.47,2907554
"2016-01-28",53.51,55.22,52.96,54.7,2620739
"2016-02-04",56.09,57.17,56.09,56.4,2542682
"2016-02-11",56.58,56.8,55.73,55.74,1786221
"2016-02-18",55.43,56.94,55.34,56.61,1729636
"2016-02-25",57.68,58.09,57.36,57.98,1428986
"2016-03-03",56.32,56.52,55.26,56.47,1646077
"2016-03-10",57.96,58.38,57.4,57.92,1839052
"2016-03-17",58.92,59.47,58.62,59.2,1803999
"2016-03-24",58.67,59.22,58.61,58.89,1101188
"2016-03-31",59.57,60.16,59.29,60.07,2131656
"2016-04-07",58.56,59.24,58.51,58.91,1416760
"2016-04-14",58.43,58.73,58.16,58.38,1254573
"2016-04-21",56.94,56.97,55.46,55.9,3123085
"2016-04-28",57.34,58.18,57,58.08,1948005
"2016-05-05",59.91,60.49,59.66,59.97,1719359
"2016-05-12",59.78,60.38,59.61,60.18,2086877
"2016-05-19",57.65,58.44,57.25,58.42,1575182
"2016-05-26",58.75,59.72,58.7,59.67,2009219
"2016-06-02",60.36,60.47,59.62,60.18,2060669
"2016-06-09",61.6,62.37,61.35,62.32,1736073
"2016-06-16",62.56,63.26,62.56,63.14,1697903
"2016-06-23",62.95,62.95,62.36,62.78,1267442
"2016-06-30",64.25,65.3,64.04,65.3,3201856
"2016-07-07",65.5,65.5,64.18,64.38,2290982
"2016-07-14",63.82,64.32,63.61,63.99,1435898
"2016-07-21",63.86,64.88,63.59,64.72,2290036
"2016-07-28",63.93,64.34,63.79,64.17,1183946
"2016-08-04",63.67,64.24,63.61,63.85,1089539
"2016-08-11",62.21,62.45,62.03,62.4,987898
"2016-08-18",60.78,61.94,60.75,61.94,2486494
"2016-08-25",61.09,61.47,60.82,61.25,975767
"2016-09-01",59.83,59.99,59.49,59.82,1685843
"2016-09-08",60.92,61.6,60.9,61.41,1524758
"2016-09-15",59.71,60.29,59.54,60.18,2168482
