"","ED.Open","ED.High","ED.Low","ED.Close","ED.Volume"
"2012-06-21",61.8,62.12,61.23,61.28,1865397
"2012-06-28",61.26,62.09,61.26,62.07,1252331
"2012-07-05",62.47,62.47,62.02,62.09,796673
"2012-07-12",62.68,63.05,62.56,62.87,1233098
"2012-07-19",63.4,63.46,62.79,63.36,972589
"2012-07-26",63.85,64.54,63.79,64.42,1393118
"2012-08-02",64.1,64.34,63.61,64.25,1248146
"2012-08-09",63.96,64.14,63.53,63.59,972617
"2012-08-16",62.62,62.73,61.69,61.8,3376061
"2012-08-23",61.58,61.6,60.88,60.99,890554
"2012-08-30",60.67,60.9,60.46,60.76,771962
"2012-09-06",60.65,61.09,60.6,61.06,997646
"2012-09-13",60.04,60.99,60.04,60.99,1214539
"2012-09-20",59.34,59.74,59.33,59.48,1418863
"2012-09-27",60.15,60.15,59.54,59.58,1463085
"2012-10-04",60.14,60.53,60.08,60.43,1903150
"2012-10-11",60.18,60.51,59.91,60.17,1048329
"2012-10-18",60.69,60.83,60.33,60.73,900925
"2012-10-25",59.69,60.01,59.56,60.01,1276669
"2012-11-01",60.44,60.47,59.5,59.73,1384491
"2012-11-08",56.37,57.44,56.37,56.42,2164594
"2012-11-15",55.21,55.5,54.2,54.43,2821250
"2012-11-29",55.46,55.48,55,55.44,1087867
"2012-12-06",56.07,56.35,55.82,56.11,1689459
"2012-12-13",56.25,56.4,55.76,55.96,1205460
"2012-12-20",56.45,56.55,56.13,56.44,1434762
"2012-12-27",55.35,55.58,54.93,55.42,1355498
"2013-01-03",56.57,56.85,56.44,56.58,1358640
"2013-01-10",56.32,56.41,55.87,56.09,1928873
"2013-01-17",55.54,55.57,55.24,55.28,1485049
"2013-01-24",56.12,56.47,55.97,56.34,1691132
"2013-01-31",56.71,57.04,56.65,56.88,1419480
"2013-02-07",56.94,57.29,56.71,57.09,1817111
"2013-02-14",56.46,56.76,56.26,56.36,1558789
"2013-02-21",57.05,57.46,57.05,57.4,1707015
"2013-02-28",58.66,59.2,58.51,59,1682588
"2013-03-07",59.3,59.54,58.98,58.98,1189389
"2013-03-14",58.79,58.83,58.51,58.8,1443069
"2013-03-21",59.03,59.16,58.78,58.91,1009668
"2013-03-28",60.21,61.13,60.05,61.03,2159283
"2013-04-04",60.77,61.28,60.7,61.23,1325721
"2013-04-11",61.8,61.97,61.61,61.73,1044056
"2013-04-18",61.58,61.75,61.14,61.44,1457481
"2013-04-25",62.82,63.05,62.56,62.99,1180901
"2013-05-02",63.32,63.69,63.01,63.63,1579280
"2013-05-09",62.32,62.48,61.25,61.45,4391963
"2013-05-16",60.56,60.68,60.08,60.16,1425202
"2013-05-23",59.38,59.44,58.35,59.01,1982679
"2013-05-30",57.92,58.48,57.51,57.68,2489059
"2013-06-06",56.98,57.73,56.56,57.33,2293658
"2013-06-13",56.76,57.58,56.5,57.56,2035197
"2013-06-20",57,57.17,55.7,55.78,2501279
"2013-06-27",58.25,58.72,57.9,58.04,1796412
"2013-07-11",58.3,58.82,58.3,58.81,1583446
"2013-07-18",59.87,60.39,59.81,60.12,1625035
"2013-07-25",59.55,59.84,59.14,59.42,1843723
"2013-08-01",60.14,60.46,59.82,60.33,1333832
"2013-08-08",60.58,60.85,60.31,60.59,5873648
"2013-08-15",58,58.26,57.23,57.39,1765150
"2013-08-22",55.86,56.31,55.66,56.05,3118780
"2013-08-29",56.25,56.47,56.02,56.2,1069333
"2013-09-05",55.55,55.73,55.15,55.15,1621794
"2013-09-12",55.01,55.25,54.51,54.63,1977530
"2013-09-19",57.07,57.33,56.41,56.58,1404422
"2013-09-26",55.75,56,55.33,55.64,1348875
"2013-10-03",54.99,55,54.38,54.63,2152440
"2013-10-10",55.95,56.25,54.9,56.16,2884424
"2013-10-17",55.67,56.8,55.36,56.75,1696350
"2013-10-24",58.57,58.69,57.9,58.22,1339869
"2013-10-31",58.23,58.43,57.41,58.22,1988246
"2013-11-07",58.89,59.13,58.34,58.55,7001795
"2013-11-14",57.27,57.85,57.14,57.55,1282344
"2013-11-21",56.69,56.74,56.05,56.24,3242502
"2013-12-05",55.36,55.58,54.83,54.96,1783033
"2013-12-12",54.53,54.9,54.33,54.4,2058943
"2013-12-19",55.22,55.22,54.51,54.85,1439135
"2013-12-26",55.19,55.34,54.78,54.99,1446380
"2014-01-02",55.15,55.15,53.9,53.96,3337195
"2014-01-09",53.41,53.78,53.13,53.58,2035933
"2014-01-16",53.82,53.94,53.54,53.94,1829123
"2014-01-23",53.97,54.15,53.69,53.94,2407504
"2014-01-30",53.57,53.99,53.34,53.9,1504921
"2014-02-06",53.47,53.9,53.4,53.8,1390902
"2014-02-13",54.01,54.52,53.98,54.52,1352138
"2014-02-20",54.79,55.38,54.68,55.3,1859368
"2014-02-27",55.7,55.99,55.4,55.57,2101863
"2014-03-06",55.68,55.85,55.25,55.29,2055208
"2014-03-13",54.01,54.55,53.12,53.69,6837826
"2014-03-20",52.66,52.79,52.23,52.78,2723437
"2014-03-27",53.01,53.65,53.01,53.63,2119016
"2014-04-03",53.69,54.08,53.56,53.66,2754653
"2014-04-10",55.41,55.82,55.12,55.4,2329350
"2014-04-17",57.48,57.6,56.32,56.5,2691654
"2014-04-24",56.74,57.12,56.24,56.96,1373769
"2014-05-01",58.1,58.36,57.65,58.08,2488340
"2014-05-08",58.29,58.33,57.12,57.41,4341335
"2014-05-15",55.22,55.57,54.76,54.96,2820079
"2014-05-22",53.94,54.31,53.89,54.17,1383270
"2014-05-29",54.69,54.75,54.3,54.65,1639758
"2014-06-05",55.15,55.76,54.98,55.73,1776916
"2014-06-12",54.65,55.11,54.12,54.99,1754735
"2014-06-19",56.49,57.1,56.46,56.97,2678301
"2014-06-26",56.89,57.29,56.75,57.28,1633448
"2014-07-03",55.63,56,55.28,56,2182758
"2014-07-10",56.43,56.83,56.29,56.61,1400648
"2014-07-17",56.52,56.72,56.31,56.31,1653806
"2014-07-24",57.25,57.43,57.02,57.31,843814
"2014-07-31",56.5,56.78,56.01,56.09,2979293
"2014-08-07",55.06,55.58,55.03,55.34,2750539
"2014-08-14",56.44,56.69,56.38,56.58,2270812
"2014-08-21",57.65,57.83,57.46,57.58,1529384
"2014-08-28",56.98,57.74,56.89,57.73,1492758
"2014-09-04",57.52,57.75,57.12,57.61,1678290
"2014-09-11",56.89,57.35,56.68,57.28,933514
"2014-09-18",57.01,57.22,56.48,56.63,1305048
"2014-09-25",56.39,56.64,56.15,56.15,1531963
"2014-10-02",56.98,57.3,56.76,56.8,1355432
"2014-10-09",58.72,59.23,58.14,58.2,3741572
"2014-10-16",60.67,61.35,60.26,60.92,4188171
"2014-10-23",62.06,62.37,61.56,62.01,2311206
"2014-10-30",62.45,63.56,62.37,63.54,2803237
"2014-11-06",64.54,64.54,63.1,63.25,4114045
"2014-11-13",62.05,62.74,61.81,62,3369403
"2014-11-20",62.31,62.65,61.92,62.12,1843211
"2014-12-04",64.01,64.34,63.63,64.07,1638234
"2014-12-11",63.43,64.59,63.43,64.43,1796761
"2014-12-18",64.8,65.56,64.55,65.56,2653404
