"","XLNX.Open","XLNX.High","XLNX.Low","XLNX.Close","XLNX.Volume"
"2015-05-28",47.68,48.73,47.51,47.8,4016297
"2015-06-04",46.7,47.23,46.59,47.21,4442647
"2015-06-11",47.24,47.3,46.95,47.22,1618544
"2015-06-18",46.7,47.22,46.68,47.16,2108752
"2015-06-25",45.83,45.96,45.52,45.68,2567264
"2015-07-02",44.11,44.14,43.55,43.84,2562669
"2015-07-09",43.25,43.36,41.83,41.85,3417044
"2015-07-16",42.8,42.89,42.16,42.28,2591914
"2015-07-23",41.04,42.3,40.71,41.28,5440089
"2015-07-30",41.45,41.88,41.27,41.67,2273664
"2015-08-06",42.51,43.07,42.29,42.88,4788476
"2015-08-13",43.7,43.76,43,43.15,2824714
"2015-08-20",41.97,42.12,41.26,41.26,2494779
"2015-08-27",41.69,42.62,41.37,42.26,6171659
"2015-09-03",41.1,41.54,40.44,41.19,2419087
"2015-09-10",41.56,42.27,41.35,41.77,2220918
"2015-09-17",43.3,43.81,43.02,43.09,1819799
"2015-09-24",41.24,42.19,40.89,42,2686422
"2015-10-01",42.55,42.69,41.12,41.86,2060899
"2015-10-08",44.36,45.15,44.01,45.14,2832640
"2015-10-15",47.43,48.44,46.04,46.27,7234940
"2015-10-22",47.09,48.19,47.02,47.63,3892336
"2015-10-29",48.46,48.77,47.7,48,3427847
"2015-11-05",47.49,47.72,47,47.21,1817107
"2015-11-12",46.98,47.19,46.66,46.66,1511757
"2015-11-19",48.66,49.06,48.43,48.92,1859480
"2015-12-03",49.27,49.53,48.16,48.47,2520077
"2015-12-10",47.85,48.24,47.75,47.96,2262807
"2015-12-17",48.05,48.2,47.09,47.1,2028843
"2015-12-24",47.9,48.18,47.78,47.85,670240
"2015-12-31",47.77,48.03,46.97,46.97,1149311
"2016-01-07",44.74,45.32,43.74,43.83,3939038
"2016-01-14",42.13,42.56,41.52,42.41,4689968
"2016-01-21",47.1,48.3,45.96,46.78,11717802
"2016-01-28",47.97,48.4,47.71,48,2419382
"2016-02-04",48.69,49.49,48.43,49.36,2244993
"2016-02-11",46.06,47.6,45.85,47.25,3250324
"2016-02-18",48.82,48.96,47.89,47.94,2436476
"2016-02-25",47.73,48.26,47.22,48.25,2381839
"2016-03-03",47.95,48.29,47.43,47.86,1411040
"2016-03-10",46.58,47.06,45.91,46.38,2416564
"2016-03-17",47.36,47.5,46.81,47.04,2414873
"2016-03-24",47.08,47.22,46.9,47.02,2097543
"2016-03-31",47.84,47.98,47.4,47.43,2245449
"2016-04-07",46.96,47.06,46.03,46.14,2645344
"2016-04-14",46.51,46.55,45.69,46.55,1809248
"2016-04-21",46.31,46.35,45.95,46.03,2124858
"2016-04-28",45,45.75,41.53,43.23,18924329
"2016-05-05",42.97,43.38,42.74,43.09,3030206
"2016-05-12",43.26,43.3,42.37,42.92,2588776
"2016-05-19",43.79,44.06,43.46,43.84,4265752
"2016-05-26",47.14,47.31,46.73,47.11,2513188
"2016-06-02",46.79,47.38,46.54,47.12,3452017
"2016-06-09",46.97,47.12,46.8,47.03,1826689
"2016-06-16",46.33,46.91,46.19,46.84,1285647
"2016-06-23",46.9,47.45,46.7,47.44,1522413
"2016-06-30",45.49,46.18,45.29,46.13,1593119
"2016-07-07",45.47,46.08,45.47,45.71,1471554
"2016-07-14",48,48,47.62,47.84,1294225
"2016-07-21",47.99,48.25,47.62,47.79,1368772
"2016-07-28",50,51.44,49.76,51.09,5761425
"2016-08-04",50.87,51.44,50.69,51.43,1487303
"2016-08-11",51.5,51.9,51.49,51.83,1035346
"2016-08-18",52.38,53.02,52.32,53.01,2500354
"2016-08-25",53.91,54.1,53.8,54.09,1524933
"2016-09-01",54.17,54.36,53.48,54.24,2428167
"2016-09-08",53.6,53.72,53.14,53.39,3167697
"2016-09-15",52.89,53.78,52.67,53.57,2386248
