"","CNC.Open","CNC.High","CNC.Low","CNC.Close","CNC.Volume"
"2015-07-09",71.76,72.28,70.81,70.85,2087084
"2015-07-16",75.39,75.39,73.25,74.62,1322266
"2015-07-23",72,72.21,70.43,70.62,1419922
"2015-07-30",69.27,70.08,68.23,69.93,1521840
"2015-08-06",71.82,71.88,69.97,70.49,1715532
"2015-08-13",69.4,70.79,69.08,70.09,1556418
"2015-08-20",70.09,70.46,66.44,66.56,1628877
"2015-08-27",63.42,63.82,61.94,63.23,1343619
"2015-09-03",60.48,61.13,59.67,59.84,1384041
"2015-09-10",61.36,62.99,61.15,61.92,1864252
"2015-09-17",63.96,64.89,63.29,63.87,973847
"2015-09-24",62.13,62.51,60.3,61.5,1298054
"2015-10-01",54.07,54.45,53.09,53.77,1777047
"2015-10-08",53.95,55.21,53.46,54.94,2268765
"2015-10-15",56,57.68,55.19,57.67,1404188
"2015-10-22",57.84,58.02,54,55.53,3048020
"2015-10-29",61.04,62,60.17,60.43,1533813
"2015-11-05",60.74,62.1,60.48,61.74,1158174
"2015-11-12",58.71,58.86,57.21,57.26,1324215
"2015-11-19",58.22,58.46,53.92,54.47,3981739
"2015-12-03",59.2,59.6,56.74,56.83,2011423
"2015-12-10",57.46,58.51,57.04,57.47,1937328
"2015-12-17",61.45,62.77,61.25,61.86,3237146
"2015-12-24",65.8,66.11,65.08,65.57,653600
"2015-12-31",65.97,66.69,65.7,65.81,1007930
"2016-01-07",64.71,65.5,63.41,63.57,1431793
"2016-01-14",61.15,62.62,60.46,62.58,1812581
"2016-01-21",62.56,62.92,59.54,59.75,1703990
"2016-01-28",62.1,62.22,57.88,59.03,2595626
"2016-02-04",59.73,61.11,58.92,60.33,2025562
"2016-02-11",53.73,54.54,52.96,53.72,2215386
"2016-02-18",58.05,58.1,55.79,55.92,2731542
"2016-02-25",57.85,58.38,56.44,57.51,1910009
"2016-03-03",59.02,60.33,58.52,60.32,1391681
"2016-03-10",58.32,59.13,57.08,57.92,1053482
"2016-03-17",58.01,58.01,53.4,56.18,3479117
"2016-03-24",62.7,64.65,62.64,63.76,4032784
"2016-03-31",62.51,62.94,61.22,61.57,3213996
"2016-04-07",60.85,62.56,60.8,61.92,3034023
"2016-04-14",59.85,60.13,59.16,59.21,1648483
"2016-04-21",59.72,60.53,59.04,60.5,2114945
"2016-04-28",65,66.47,63.5,63.62,2683926
"2016-05-05",61.09,61.34,60.13,60.68,1202689
"2016-05-12",57.49,57.74,55.6,56.43,2568803
"2016-05-19",56.62,57.61,56.16,56.63,1657191
"2016-05-26",61.37,61.7,60.3,61,1723132
"2016-06-02",63.13,65.16,62.91,65.16,1684362
"2016-06-09",68,68.44,67.22,68.36,1594257
"2016-06-16",66.4,67.45,65.98,66.94,1988716
"2016-06-23",69.67,70,68.6,69.84,1349470
"2016-06-30",70.6,71.53,70.1,71.37,1415887
"2016-07-07",69.43,70.02,68.67,69,1320101
"2016-07-14",72.73,72.86,71.43,72.05,1190177
"2016-07-21",72.15,73.65,71.98,73,1366644
"2016-07-28",67.14,70.44,66.88,69.96,3115965
"2016-08-04",71.69,72.75,70.9,71.27,1683010
"2016-08-11",70.09,70.28,69.04,69.58,1256730
"2016-08-18",68.05,69.52,68,69.43,1238958
"2016-08-25",68.51,68.98,67.58,67.7,872694
"2016-09-01",68.12,68.59,67.19,67.34,746807
"2016-09-08",66.88,67.8,66.62,67.67,1228227
"2016-09-15",66.23,67.4,65.81,67.24,862217
