"","DLPH.Open","DLPH.High","DLPH.Low","DLPH.Close","DLPH.Volume"
"2012-12-06",34.07,34.07,33.83,33.93,1641938
"2012-12-13",34.32,34.72,34.12,34.33,2634204
"2012-12-20",35.37,36.09,35.23,36.04,6629529
"2012-12-27",37.16,38.24,37.12,38.13,4566746
"2013-01-03",38.24,38.38,37.8,38.35,4536017
"2013-01-10",38.83,39.06,38.4,38.81,3135193
"2013-01-17",38.47,39.27,38.47,39,2818497
"2013-01-24",38.68,39.09,38.68,38.87,1536629
"2013-01-31",38.75,38.88,38.29,38.66,2407618
"2013-02-07",38.68,38.91,37.99,38.31,2269604
"2013-02-14",39.74,40.01,39.71,39.97,2137468
"2013-02-21",38.65,38.73,37.46,37.91,1939740
"2013-02-28",41.83,42.06,41.61,41.85,3390760
"2013-03-07",42.51,42.82,42.32,42.74,3382711
"2013-03-14",43.3,43.3,43.05,43.25,2241197
"2013-03-21",43.09,43.46,43.05,43.38,1375756
"2013-03-28",44.52,44.52,44.02,44.4,1981103
"2013-04-04",43.28,43.51,42.78,43.26,1419888
"2013-04-11",43.74,44.54,43.63,44.25,1828055
"2013-04-18",41.89,42.17,40.78,40.94,1728696
"2013-04-25",44.08,44.78,44.08,44.68,2351566
"2013-05-02",45.65,46.35,45.38,45.5,1917173
"2013-05-09",46.16,46.3,44.99,45.24,2299715
"2013-05-16",46.44,47.4,46.4,47,2372737
"2013-05-23",48.22,48.57,47.9,48.35,1531236
"2013-05-30",49.54,49.96,49.22,49.28,2527339
"2013-06-06",48.06,49.39,47.87,49.39,2008419
"2013-06-13",50.02,51.11,49.84,51.06,1741518
"2013-06-20",51.38,51.46,50.05,50.25,2341517
"2013-06-27",50.86,51.51,50.7,51,1397108
"2013-07-11",54.38,54.81,54.04,54.77,5656432
"2013-07-18",54.75,55.22,54.51,55.09,1759803
"2013-07-25",55.22,55.65,54.94,55.53,1200270
"2013-08-01",54.37,55.9,54.21,55.43,4126453
"2013-08-08",55.19,55.81,55.17,55.55,1526056
"2013-08-15",54.92,55.01,53.72,54.2,1570518
"2013-08-22",54.5,55.18,54.48,54.72,998163
"2013-08-29",55.05,55.79,54.9,55.51,1706874
"2013-09-05",56.84,58.26,56.71,57.47,2215940
"2013-09-12",57.56,57.59,55.96,56.56,1674190
"2013-09-19",57.72,58.38,57.63,58.11,1557162
"2013-09-26",57.86,58.5,57.73,58.37,809764
"2013-10-03",57.85,58.25,56.91,57.54,2087010
"2013-10-10",56.23,57.88,55.91,57.72,2036153
"2013-10-17",58.94,60.05,58.84,60.04,1904957
"2013-10-24",58.1,58.46,57.67,58.24,1082272
"2013-10-31",56.41,57.57,56.35,57.2,1162774
"2013-11-07",55.92,56.07,53.83,54.02,3030966
"2013-11-14",55.83,57.08,55.81,56.95,1487118
"2013-11-21",57.06,58.2,57,57.86,1246035
"2013-12-05",57.26,58.27,57.26,57.48,1813852
"2013-12-12",57.5,58.14,57.49,57.87,700171
"2013-12-19",60.1,60.21,58.88,58.97,1348935
"2013-12-26",60.21,60.42,59.92,60.05,946296
"2014-01-02",59.64,60,58.95,59.42,746999
"2014-01-09",60.82,61.18,60.04,60.62,1812516
"2014-01-16",62.22,62.54,61.77,62.22,1130553
"2014-01-23",62.75,62.93,61.86,62.3,1831883
"2014-01-30",60.36,61.34,60.14,60.98,2709762
"2014-02-06",61.19,61.82,60.84,61.55,2394880
"2014-02-13",63.54,64.39,63.31,64.17,2073987
"2014-02-20",65.14,65.93,65,65.71,2514825
"2014-02-27",66.72,66.75,66.04,66.61,2190982
"2014-03-06",66.14,67.07,66.13,66.96,2476940
"2014-03-13",67.36,67.41,65.52,65.76,2172606
"2014-03-20",66.98,67.68,66.77,67.51,1429497
"2014-03-27",65.36,65.82,64.89,65.67,1590728
"2014-04-03",69.62,70.15,69.5,69.73,2480236
"2014-04-10",68.08,68.52,66.5,66.63,2416913
"2014-04-17",65.87,67.69,65.75,67.2,1800812
"2014-04-24",69.61,70.49,67.3,68.34,2023533
"2014-05-01",66.76,67.84,66.69,67.1,1277076
"2014-05-08",67.56,68.07,66.35,66.65,1367294
"2014-05-15",66.91,66.95,65.23,65.96,1182492
"2014-05-22",67.63,68.07,67.43,67.87,1020014
"2014-05-29",69.6,69.98,69,69.21,1418079
"2014-06-05",70.14,70.93,69.69,70.51,1845902
"2014-06-12",69.04,69.29,67.24,67.35,1569214
"2014-06-19",68.41,68.42,67.22,67.38,1694331
"2014-06-26",67.97,68.41,67.02,68.16,2945691
"2014-07-03",70.28,70.64,70.04,70.22,1194743
"2014-07-10",68.75,69.91,68.74,69.47,2710513
"2014-07-17",68.64,69.4,67.98,68.13,1846694
"2014-07-24",68.85,69.37,68.46,68.62,969326
"2014-07-31",66.11,67.84,65.41,66.8,2731295
"2014-08-07",68.3,68.45,67.16,67.31,1526935
"2014-08-14",68.5,69.05,68.27,69.01,944652
"2014-08-21",70.74,70.93,70.23,70.65,1212518
"2014-08-28",69.46,69.47,69.01,69.33,1586626
"2014-09-04",70,70.54,70,70.25,1082913
"2014-09-11",70.5,70.94,70.23,70.47,1506798
"2014-09-18",66.7,67.03,65.85,65.89,3883982
"2014-09-25",64.49,64.66,63.94,64.25,2085224
"2014-10-02",61.01,62.65,60.94,62.52,2764236
"2014-10-09",63.84,63.84,61.57,61.76,2258100
"2014-10-16",60.52,62.53,60.07,62.34,3087892
"2014-10-23",65.25,66,64.61,65.7,2462269
"2014-10-30",67.36,68.2,67.21,67.74,2174482
"2014-11-06",69.84,70.45,69.53,70.43,1050050
"2014-11-13",70.52,70.8,70.43,70.71,773371
"2014-11-20",70.71,71.5,70.6,71.14,1845354
"2014-12-04",74.3,74.45,73.19,73.39,1534635
"2014-12-11",71.4,72.03,71.04,71.16,1260763
"2014-12-18",71.93,72.56,71.23,72.53,1564537
"2015-01-08",70.2,71.33,70.05,71.24,2414544
"2015-01-15",67.14,68.01,66.77,67.14,2457304
"2015-01-22",69.16,69.53,68.34,69.25,1829303
"2015-01-29",68.33,69.39,67.65,69.17,1824564
"2015-02-05",73.73,75.93,73.62,75.88,2743078
"2015-02-12",78.24,78.43,77.84,78.06,2486914
"2015-02-19",78.53,79.8,78.42,79.41,1723808
"2015-02-26",79.58,79.81,78.94,79.06,879088
"2015-03-05",80.62,80.79,79.71,80.13,1287569
"2015-03-12",77.32,78.19,77.31,77.94,1449899
"2015-03-19",78.88,79.22,78.39,79.18,1423898
"2015-03-26",76.87,77.08,76.23,76.89,2381813
"2015-04-02",79.08,81.38,78.7,81.18,3362129
"2015-04-09",83.24,84.28,83.2,84.23,2086647
"2015-04-16",83.88,84.56,83.75,84.02,1837288
"2015-04-23",82.67,83.6,82.12,83.19,1593628
"2015-04-30",81.08,83.44,81.08,83,3270354
"2015-05-07",84.41,84.69,83.61,83.85,1222812
"2015-05-14",85.92,86.58,85.44,86.55,1319859
"2015-05-21",87.09,88.04,86.71,87.29,1614441
"2015-05-28",86.99,87.76,86.74,87.6,1550191
"2015-06-04",87.97,88.07,86.81,87.04,1587452
"2015-06-11",88.66,88.67,87.62,87.76,1418053
"2015-06-18",88.99,89.72,88.06,89.05,1690073
"2015-06-25",88.74,89.63,88.2,88.74,1924714
"2015-07-02",86.07,86.31,85.18,85.99,2010504
"2015-07-09",81.68,81.68,77.8,77.94,4182580
"2015-07-16",80.21,80.26,76.76,76.8,4812568
"2015-07-23",78,78.81,77.57,77.82,3058255
"2015-07-30",76.58,78.26,75.9,77.5,3034539
"2015-08-06",77.71,78.14,76.67,77.37,2078962
"2015-08-13",76.01,77.87,75.89,77.03,3033289
"2015-08-20",76,76.79,74.54,74.61,1890568
"2015-08-27",74.29,75.97,73.52,75.03,3167503
"2015-09-03",73.3,74.52,72.83,73.26,1427356
"2015-09-10",75.43,75.66,73.82,75.24,2470877
"2015-09-17",79.45,80.35,78.86,79.21,2131937
"2015-09-24",72.52,73.49,71.07,72.88,2393278
"2015-10-01",76.47,77.56,75.18,77.44,2765124
"2015-10-08",79.5,81.54,79.36,80.9,2411001
"2015-10-15",80.82,80.97,79.67,80.82,1440040
"2015-10-22",82.25,84.65,81.9,84.55,2647187
"2015-10-29",84.52,84.52,79.97,80.04,4875753
"2015-11-05",82.75,83.51,82.1,83.28,1187512
"2015-11-12",82.68,83.94,82.64,82.68,1957357
"2015-11-19",82.04,84,81.75,83.94,2237932
"2015-12-03",86.98,87.29,85.23,85.87,2428560
"2015-12-10",84.36,85.43,84.23,84.42,1657059
"2015-12-17",85.51,85.8,83.45,83.46,1618973
"2015-12-24",87.14,87.46,86.51,86.84,803182
"2015-12-31",85.98,86.7,85.54,85.73,921614
"2016-01-07",77.51,78.14,74.73,75.04,4654706
"2016-01-14",70.22,70.59,65.93,69.42,7256249
"2016-01-21",66.1,67.05,64.93,65.1,3768605
