"","MKC.Open","MKC.High","MKC.Low","MKC.Close","MKC.Volume"
"2013-09-05",67.57,67.69,67.18,67.39,273740
"2013-09-12",68.03,68.03,66.96,67.3,804317
"2013-09-19",69.84,69.84,68.63,69.2,684871
"2013-09-26",66.45,66.66,66.07,66.56,1095534
"2013-10-03",64.55,64.55,63.38,64.07,1451492
"2013-10-10",65.13,66.42,65.13,66.27,643965
"2013-10-17",67.15,68.07,67.06,68.06,519099
"2013-10-24",68.72,68.73,68,68.62,389269
"2013-10-31",69.27,69.53,68.87,69.15,457710
"2013-11-07",70.19,70.19,68.74,68.91,531590
"2013-11-14",69.8,70.34,69.73,70.2,329168
"2013-11-21",68.77,69.1,68.6,68.93,360704
"2013-12-05",68.5,68.72,67.85,68.02,638450
"2013-12-12",68.71,69.08,67.94,68.01,643748
"2013-12-19",68.04,68.53,67.62,68.4,439488
"2013-12-26",68.64,69.12,68.5,68.95,386352
"2014-01-02",68.87,68.96,68.09,68.34,470695
"2014-01-09",68.17,68.97,67.99,68.88,624501
"2014-01-16",67.95,69.65,67.95,69.58,904621
"2014-01-23",69.6,69.84,69.08,69.43,722499
"2014-01-30",65.04,65.05,63.8,64.73,2092343
"2014-02-06",63.62,63.75,62.83,63.07,1616955
"2014-02-13",64.1,65.01,64.08,64.98,730175
"2014-02-20",65.29,66.2,65.29,66.13,537171
"2014-02-27",65.58,65.95,65.13,65.94,663094
"2014-03-06",66.87,67.05,66.72,66.8,467921
"2014-03-13",68,68.22,67.39,67.52,681153
"2014-03-20",67.56,67.82,67.32,67.54,644529
"2014-03-27",70.83,71.22,70.54,70.77,681906
"2014-04-03",70.99,71.23,70.65,71.07,690464
"2014-04-10",70.86,71.61,70.53,70.57,582632
"2014-04-17",70.92,71.23,70.58,70.98,873566
"2014-04-24",71.54,71.83,71.14,71.29,324289
"2014-05-01",71.34,71.37,70.53,71.22,355198
"2014-05-08",71.81,71.86,70.76,71,514238
"2014-05-15",70.68,70.9,70.27,70.48,359806
