"","SPGI.Open","SPGI.High","SPGI.Low","SPGI.Close","SPGI.Volume"
"2013-09-19",64.75,65.58,64.6,65.42,1141384
"2013-09-26",65.51,66.4,65.39,66,1025422
"2013-10-03",66.53,66.74,65.5,65.79,958791
"2013-10-10",66.5,67.94,66.33,67.9,1133313
"2013-10-17",68.5,69.47,68.24,69.22,1224936
"2013-10-24",74.37,74.37,70.84,71.42,2410240
"2013-10-31",70.69,70.69,69.19,69.68,1472392
"2013-11-07",70.87,71.19,69.83,69.87,852392
"2013-11-14",71.63,72.46,71.47,72.29,1195354
"2013-11-21",73.65,74,73.37,73.75,1516038
"2013-12-05",73.73,74.08,73.18,73.7,1262092
"2013-12-12",73.37,73.37,71.59,72.01,1321227
"2013-12-19",74.29,74.29,73.4,73.82,1019518
"2013-12-26",76.77,77.48,76.56,77.19,566643
"2014-01-02",77.44,77.78,76.53,77.75,1293116
"2014-01-09",78.25,78.41,77.95,78.15,1093919
"2014-01-16",76.49,76.7,76.03,76.44,1125157
"2014-01-23",75.84,76.33,74.94,75.09,968313
"2014-01-30",75.06,77.3,74.98,76.77,2289636
"2014-02-06",76.9,77.45,76.77,77.35,1680745
"2014-02-13",80.88,81.97,80.56,81.91,1145217
"2014-02-20",80.85,81.04,79.85,80.64,1686268
"2014-02-27",79.6,79.95,79.25,79.69,1019682
"2014-03-06",80.96,82.05,80.66,81.53,1300294
"2014-03-13",82,82,79.72,79.83,1472639
"2014-03-20",78.55,78.66,77.38,77.43,2532422
"2014-03-27",75.63,75.78,74.19,74.53,2207649
"2014-04-03",77.21,77.41,76.21,76.37,1154173
"2014-04-10",76.55,76.55,73.26,73.41,1264167
"2014-04-17",75.25,76.9,75.25,76.67,1435352
"2014-04-24",77.02,77.05,75.82,75.99,869188
"2014-05-01",74.01,74.27,73.23,74.07,2456440
"2014-05-08",76.17,78.25,76.08,77.57,1485340
"2014-05-15",77.42,77.46,76.12,76.4,1466200
"2014-05-22",78.7,79.74,78.54,79.64,1039186
"2014-05-29",81.31,81.77,80.94,81.68,760860
"2014-06-05",81.48,82.44,81.1,82.32,1112152
"2014-06-12",84.51,84.74,83.56,83.9,1318639
"2014-06-19",83.24,83.56,82.35,82.8,855369
"2014-06-26",82.64,82.92,82.05,82.71,620117
"2014-07-03",83.95,84.67,83.69,84.5,584728
"2014-07-10",81.52,82.15,81.32,81.66,1218684
"2014-07-17",82.31,82.61,81.26,81.42,752253
"2014-07-24",82.99,83,79.56,81.63,2015854
"2014-07-31",81.23,81.72,80.05,80.22,1207347
"2014-08-07",78.73,78.86,77.77,77.95,725644
"2014-08-14",79.12,79.47,79.12,79.3,1218543
"2014-08-21",79.48,79.62,79.12,79.47,1085784
"2014-08-28",80.24,81.21,79.91,80.87,781318
"2014-09-04",82.83,84,82.62,83.86,1500943
"2014-09-11",85.1,85.86,84.7,85.56,1365108
"2014-09-18",86.49,86.94,85.97,86.56,1525886
"2014-09-25",84.84,85.18,83.98,84.1,937577
"2014-10-02",82.55,83.53,81.99,83.25,1575011
"2014-10-09",83.47,83.55,80.88,80.88,1063942
"2014-10-16",75.31,77.25,75.31,76.42,1445566
"2014-10-23",82.58,83.62,82.42,82.9,1001210
"2014-10-30",86.94,89.45,86.63,89.36,1871218
"2014-11-06",90.59,90.75,89.72,89.99,1267677
"2014-11-13",90.86,90.92,89.98,90.7,1222018
"2014-11-20",90.46,91.11,90.23,90.87,1320445
"2014-12-04",93.05,93.94,92.61,93.36,1536531
"2014-12-11",92.14,92.31,90.5,90.73,1026570
"2014-12-18",89.91,90.84,89.53,90.84,1265869
"2015-01-08",86.93,88.28,86.82,87.75,1593584
"2015-01-15",89.34,89.64,88,88.29,1091689
"2015-01-22",91,92.37,90.08,91.68,1216952
"2015-01-29",88.92,90.39,87.77,90.29,1960104
"2015-02-05",95,95.99,94.52,95.88,1167606
"2015-02-12",99.07,102.57,98.93,102.19,3270752
"2015-02-19",104.83,105.66,104.56,104.88,2152796
"2015-02-26",103.84,103.92,103.17,103.49,1305160
"2015-03-05",103.45,103.7,102.49,102.8,1225167
"2015-03-12",102.8,105.21,102.66,104.97,1138618
"2015-03-19",107.55,108,106.39,107.51,880088
"2015-03-26",103.39,104.6,102.74,104.19,1530351
"2015-04-02",104.55,105.48,104,104.46,1005906
"2015-04-09",104.4,105.31,103.88,105.25,459978
"2015-04-16",103.13,103.74,102.38,103.11,1717962
"2015-04-23",103.77,105.6,103.2,105.26,1026981
"2015-04-30",105.61,106.26,103.7,104.3,1991239
"2015-05-07",104.01,105.18,103.4,104.94,889203
"2015-05-14",105.7,106.05,105.31,105.8,1074778
"2015-05-21",106.6,107.18,105.66,106.87,815402
"2015-05-28",105.59,105.83,104.76,105.34,1258505
"2015-06-04",103.2,103.58,101.79,102.09,1135919
"2015-06-11",103.46,104.81,103.44,104.44,867174
"2015-06-18",104.43,105.67,104.06,105.4,697006
"2015-06-25",103.98,104.33,103.2,103.32,868333
"2015-07-02",101.97,102.23,101.2,102.08,1321464
"2015-07-09",101.22,102.11,100.52,100.89,1173474
"2015-07-16",105.63,105.69,104.97,105.28,732059
"2015-07-23",106.59,107.5,106.3,106.5,1118844
"2015-07-30",101.51,102.91,101.4,102.84,1807904
"2015-08-06",101.86,102.35,100.01,100.6,1004376
"2015-08-13",106.61,106.61,100.11,101.19,712669
"2015-08-20",101.19,101.83,100.2,100.3,1117646
"2015-08-27",97.19,99.17,96.95,99.09,1893468
"2015-09-03",93.94,94.86,93.26,93.74,995259
"2015-09-10",92.69,94.09,92.57,93.54,1377181
"2015-09-17",94.82,95.48,93.79,94.06,1471074
"2015-09-24",90.18,90.94,88.68,89.2,1481235
"2015-10-01",86.44,88.46,86.22,88.39,2114140
"2015-10-08",88.7,89.84,88.48,89.58,752188
"2015-10-15",91.45,93.16,91.14,93.1,1256880
"2015-10-22",92.55,93.66,92.37,93.16,1046714
"2015-10-29",93.98,94.53,93.34,94.26,972832
"2015-11-05",97.43,97.86,96.54,97.59,1053680
"2015-11-12",96.26,96.53,95.25,95.68,945541
"2015-11-19",95.8,96.52,95.53,96.39,1023504
"2015-12-03",97.55,98,95.09,95.75,1454286
"2015-12-10",94.6,95.51,94.2,95.06,906483
"2015-12-17",96.86,96.92,95.18,95.32,1497704
"2015-12-24",97.87,97.98,97.08,97.49,343206
"2015-12-31",99.46,100,98.57,98.58,700736
"2016-01-07",92.61,92.72,89.69,91.12,1819548
"2016-01-14",84.87,85.54,83.08,84.9,1707777
"2016-01-21",82.92,84.14,81.47,81.77,1171828
"2016-01-28",84.27,84.45,82.01,82.38,1295077
"2016-02-04",81.77,88,81.77,87,3201574
"2016-02-11",82.77,84,81.95,82.26,1350233
"2016-02-18",88.49,88.88,86.76,87.82,1490167
"2016-02-25",88.8,90.15,87.54,90.11,1744294
"2016-03-03",92.05,94.46,91.72,94.32,1597863
"2016-03-10",93.46,94.33,92.03,92.91,1247772
"2016-03-17",94.81,96.3,94.58,95.95,1621993
"2016-03-24",96.3,96.78,95.93,96.39,1350129
"2016-03-31",98.95,99.72,98.84,98.98,1378727
"2016-04-07",96.84,97.44,95.83,96.73,1993198
"2016-04-14",99.9,101.07,99.27,100.08,1413247
"2016-04-21",103.72,104.55,103.38,103.5,1164198
"2016-04-28",109.27,109.27,106.91,107.61,971815
"2016-05-05",104.4,105.47,104.39,104.67,871954
"2016-05-12",105.64,106.31,104.93,105.96,915698
"2016-05-19",106.19,107.07,105.25,106.85,700912
"2016-05-26",110.99,111.2,110.18,110.39,793621
"2016-06-02",110.23,111.04,109.73,110.45,917424
"2016-06-09",109.64,110.19,109.09,110.04,742593
"2016-06-16",106.31,107.68,105.44,107.49,659745
"2016-06-23",108.57,110.65,108.13,110.62,1326355
"2016-06-30",106.03,107.32,104.92,107.26,1709563
"2016-07-07",106.68,107.96,105.62,107.31,824412
"2016-07-14",115,115.39,114.05,115.2,827093
"2016-07-21",116.85,117.57,116.31,116.83,894897
"2016-07-28",118,122.23,117.51,121.4,1622666
"2016-08-04",120.05,120.8,119.46,119.62,434573
"2016-08-11",120.12,120.69,119.81,120.41,741843
"2016-08-18",120.3,120.32,119.03,120.03,680439
"2016-08-25",120.6,121.36,120.6,121.09,488257
"2016-09-01",123.52,124.41,122.64,123.94,811510
"2016-09-08",125.52,126.52,125.46,125.73,774930
"2016-09-15",121.38,124.74,121.38,124.11,885286
