"","M.Open","M.High","M.Low","M.Close","M.Volume"
"2012-05-31",38.46,38.58,37.71,38.05,6971113
"2012-06-07",37.84,37.97,36.34,36.49,7465146
"2012-06-14",35.38,36.25,35.23,35.82,7273312
"2012-06-21",37.05,37.06,34.82,34.92,9027961
"2012-06-28",32.98,33.72,32.7,33.45,7993672
"2012-07-05",33.38,34.92,33.33,34.27,10410557
"2012-07-12",32.9,33.07,32.31,32.83,6261991
"2012-07-19",34.92,35.49,34.69,35.49,5479002
"2012-07-26",35.13,35.72,34.91,35.58,5263204
"2012-08-02",36.16,36.85,35.82,36.4,7818595
"2012-08-09",37.84,38.39,37.81,38.12,5175151
"2012-08-16",38.44,38.98,38.37,38.74,4351048
"2012-08-23",39.13,39.34,38.7,38.92,3660826
"2012-08-30",40.75,40.8,40.08,40.3,5463534
"2012-09-06",40.07,40.5,40.07,40.35,5699249
"2012-09-13",39.18,39.78,38.71,39.28,6425442
"2012-09-20",38.72,38.98,38.54,38.65,4610143
"2012-09-27",37.9,38.1,37.45,37.51,5701396
"2012-10-04",39.55,40.53,39.4,39.67,5962472
"2012-10-11",39.53,39.94,39.03,39.23,3669748
"2012-10-18",40.82,41.05,40.24,40.46,4508953
"2012-10-25",39.14,39.32,38.07,38.68,4618983
"2012-11-01",39.26,40.6,39,40.52,6358649
"2012-11-08",40.36,40.67,39.01,39.01,5792593
"2012-11-15",39,39.81,38.75,39.34,4727152
"2012-11-29",39.24,39.83,38.26,38.62,13763782
"2012-12-06",38.87,39.16,38.61,38.92,5896896
"2012-12-13",38.76,39.05,38.05,38.22,4711145
"2012-12-20",37.3,38.3,37.15,37.91,6727330
"2012-12-27",36.93,37.36,36.38,37.08,4994318
"2013-01-03",38.19,38.84,37.3,37.47,12904264
"2013-01-10",36.82,37.26,36.35,37.25,5433330
"2013-01-17",38.61,38.88,38.05,38.07,4471253
"2013-01-24",38.31,39.06,38.31,39,5291237
"2013-01-31",39.68,39.68,39.06,39.51,4725576
"2013-02-07",40.51,41.15,39.58,40.27,7051759
"2013-02-14",39.73,39.83,39.35,39.54,3923842
"2013-02-21",39.53,39.76,39.11,39.33,3749377
"2013-02-28",40.48,41.57,40.27,41.1,6187373
"2013-03-07",41.12,41.54,40.96,41.23,4119182
"2013-03-14",42.28,42.34,41.72,42.15,4636184
"2013-03-21",42.22,42.89,42.09,42.17,5904537
"2013-03-28",41.68,41.94,41.33,41.84,5143242
"2013-04-04",42.38,43.88,42.32,43.56,6727731
"2013-04-11",44.19,45.26,44.19,44.31,5699215
"2013-04-18",43.59,43.59,42.85,42.94,3046541
"2013-04-25",44.03,45.18,43.99,44.78,3948830
"2013-05-02",44.65,44.96,44.49,44.78,2517663
"2013-05-09",46.59,46.8,46.26,46.45,2677069
"2013-05-16",48.41,48.67,47.59,47.88,4558117
"2013-05-23",48.6,49.28,48.46,48.98,3016995
"2013-05-30",48.91,49.7,48.85,49.19,3751051
"2013-06-06",47.51,48.39,47.4,48.39,3690926
"2013-06-13",48.17,48.92,47.92,48.76,3378442
"2013-06-20",47.98,48.26,46.67,46.82,4196519
"2013-06-27",48.16,48.68,48.03,48.15,4041627
"2013-07-11",50,50.04,49.18,49.69,3675369
"2013-07-18",49.59,49.62,48.82,49.21,3187186
"2013-07-25",48.21,48.32,47.65,48,4021048
"2013-08-01",48.92,49.54,48.63,49.27,4130042
"2013-08-08",48.04,48.37,47.32,48.23,6248327
"2013-08-15",45.85,46.41,45.26,46.3,9929215
"2013-08-22",45,45.36,44.8,44.95,2913492
"2013-08-29",44.21,45.19,44.11,44.61,5705619
"2013-09-05",44.83,46.03,44.8,46.02,6995138
"2013-09-12",44.09,44.37,43.48,43.53,6442744
"2013-09-19",45.66,45.98,45.34,45.45,3435700
"2013-09-26",42.89,43.35,42.68,43.32,5070822
"2013-10-03",43.96,44.48,43.58,44.21,5835269
"2013-10-10",43.02,43.32,42.86,43.21,3452940
"2013-10-17",43.62,44.56,43.51,44.46,5708273
"2013-10-24",44.57,45.2,44.13,45.1,3894213
"2013-10-31",46.5,46.59,45.88,46.11,3724458
"2013-11-07",46.43,46.73,45.85,45.96,4776280
"2013-11-14",50.69,51.14,50.06,50.68,7274188
"2013-11-21",50.89,51.06,50.54,50.81,4171689
"2013-12-05",52.13,52.15,51.26,51.54,4089648
"2013-12-12",52.14,52.24,51.52,51.65,3293779
"2013-12-19",52.06,52.48,51.85,52.23,2954573
"2013-12-26",52.84,53.22,52.75,52.83,2280636
"2014-01-02",53.17,53.91,52.95,53.39,2972778
"2014-01-09",55.15,56.25,54.79,55.8,14735922
"2014-01-16",55.68,56.1,55.27,56.03,3546153
"2014-01-23",55.08,55.22,54.73,55.05,3864183
"2014-01-30",54,54.34,53.62,53.91,2582749
"2014-02-06",51.43,52.85,51.43,52.54,3913404
"2014-02-13",52.56,53.44,52.54,53.14,2269921
"2014-02-20",53.27,53.8,53.21,53.46,3208085
"2014-02-27",57.51,58.17,57.32,57.86,4064579
"2014-03-06",57.58,57.7,57.08,57.3,4017682
"2014-03-13",58.98,59.58,58.06,58.21,3843463
"2014-03-20",58.44,58.82,58.19,58.7,1890545
"2014-03-27",58.14,59.01,57.9,58.4,2780046
"2014-04-03",60.54,60.8,60.14,60.6,3093853
"2014-04-10",58.82,59.24,57.87,58.07,3036592
"2014-04-17",58.43,58.58,56.66,56.83,6443543
"2014-04-24",58.31,58.49,58,58.05,2071660
"2014-05-01",57.69,57.76,56.8,56.93,4063930
"2014-05-08",55.22,56.79,55.22,55.97,4220842
"2014-05-15",57.54,57.65,56.04,57.06,7008269
"2014-05-22",56.86,57.74,56.72,57.61,2204693
"2014-05-29",58.76,59.28,58.47,59.16,3148304
"2014-06-05",59.65,59.65,58.47,59.21,4243418
"2014-06-12",57.96,58.17,57.03,57.29,2922692
"2014-06-19",57.75,58.19,57.73,58.09,2502670
"2014-06-26",58.04,58.18,57.35,58.07,2227299
"2014-07-03",58.93,60.25,58.93,59.88,2319264
"2014-07-10",58.67,59.08,58.46,58.8,3082768
"2014-07-17",56.68,57.22,56.55,56.64,2583978
"2014-07-24",57.68,58.3,57.5,57.92,2621718
"2014-07-31",58.27,58.59,57.76,57.79,2387310
"2014-08-07",59.38,59.66,58.47,58.77,3075020
"2014-08-14",56.62,57.88,56.53,57.84,8606774
"2014-08-21",60.06,60.76,59.97,60.7,4027859
"2014-08-28",62.06,62.58,61.84,62.36,3100869
"2014-09-04",61.85,62.97,61.82,62.43,5347832
"2014-09-11",59.1,60.12,58.99,59.82,6364352
"2014-09-18",60.68,61.05,60.52,60.56,3442496
"2014-09-25",59.46,59.72,58.69,58.81,3087483
"2014-10-02",57.92,58.62,57.25,58.35,3681769
"2014-10-09",57.77,58.13,56.39,56.4,5392441
"2014-10-16",55.08,57.14,54.97,56.57,6097326
"2014-10-23",58.23,59.09,57.96,58.39,4902959
"2014-10-30",57.4,58.24,57,57.9,3475682
"2014-11-06",57.58,59.15,57.33,59.04,5538566
"2014-11-13",60.98,61.97,60.68,61.57,7326006
"2014-11-20",61.65,63.44,61.55,62.85,5734753
"2014-12-04",63.4,63.4,62.01,62.5,4698744
"2014-12-11",61.02,62.38,60.9,61.22,4451070
"2014-12-18",63.56,64.1,63.06,64.07,3967107
"2015-01-08",68.26,68.3,67.4,67.81,4995876
"2015-01-15",64.58,65.21,62.32,62.34,5234834
"2015-01-22",64.58,65.65,64.26,65.5,3336610
"2015-01-29",64.93,65.43,64.25,65.36,2360297
"2015-02-05",64.04,64.95,63.7,63.7,4680830
"2015-02-12",64.86,64.91,64.13,64.66,2284743
"2015-02-19",63.52,63.72,62.97,63,2958744
"2015-02-26",63.71,63.86,62.58,63.58,4891531
"2015-03-05",63.19,63.29,62.83,63.19,2598358
"2015-03-12",62.65,63.25,62.54,63.19,3218552
"2015-03-19",64.43,65.19,64.37,65.07,2823947
"2015-03-26",64.14,64.22,63.23,63.26,5000928
"2015-04-02",65.52,68.48,65.29,67.85,10021276
"2015-04-09",69.72,69.72,67.97,68,6404159
"2015-04-16",67.84,68.27,67.53,67.67,2238311
"2015-04-23",67.03,67.87,67.03,67.42,2401478
"2015-04-30",64.77,65.63,64.3,64.63,3291882
"2015-05-07",63.83,65.11,63.77,64.71,4548949
"2015-05-14",63.27,63.81,62.8,63.22,12726980
"2015-05-21",67.89,68.44,67.6,67.66,4659688
"2015-05-28",67.87,68.79,67.6,68.04,4493420
"2015-06-04",68.73,69.9,68.53,69.24,4300683
"2015-06-11",69.12,69.18,68.46,68.92,2893085
"2015-06-18",70.12,70.99,70.06,70.64,4451086
"2015-06-25",69.96,70.3,69.16,69.17,3180370
"2015-07-02",67.89,68.33,67.26,67.44,3097622
"2015-07-09",66.88,67.14,65.53,65.78,4282872
"2015-07-16",71.98,72.87,71.1,72.8,4841916
"2015-07-23",71.79,72.2,71.05,71.21,2513518
"2015-07-30",69.07,69.75,68.98,69.33,3328159
"2015-08-06",68.54,68.71,66.8,67.45,3929875
"2015-08-13",63.64,65.11,62.89,62.98,6316527
"2015-08-20",61.65,62.29,61.44,61.44,3631600
"2015-08-27",59.06,59.64,58.17,59.05,5539563
"2015-09-03",58.97,60.13,58.65,59.28,4327079
"2015-09-10",58.89,59.39,58.17,58.39,3884146
"2015-09-17",57.34,57.6,55.91,56,6973411
"2015-09-24",52.38,52.8,51.68,52.08,9543329
"2015-10-01",51.18,51.5,50.75,51.05,4053799
"2015-10-08",51.27,52.2,51.13,51.47,4710350
"2015-10-15",49.89,50.5,49.45,50.46,4025877
"2015-10-22",50.44,50.71,49.62,49.88,4190907
"2015-10-29",49.86,50.28,49.32,49.7,3424044
"2015-11-05",50.57,50.77,49.72,50.45,3782772
"2015-11-12",40.12,41.58,39.93,40.82,15440473
"2015-11-19",38.9,39.17,38.25,38.54,5917453
"2015-12-03",38.51,39.25,37.97,38.98,13099935
"2015-12-10",38.4,38.86,37.8,37.88,5838212
"2015-12-17",35.99,36,34.48,34.5,13722651
"2015-12-24",36.07,36.16,35.27,35.48,3654375
"2015-12-31",35.27,35.55,34.95,34.98,4673398
"2016-01-07",36.55,38.45,36.29,36.89,18245349
"2016-01-14",38.7,38.76,37.59,37.64,7295476
"2016-01-21",39.8,41.6,39.73,40.61,9145386
"2016-01-28",40.62,40.62,39.24,39.57,5278275
"2016-02-04",39.94,40.82,39.48,40.74,7023874
"2016-02-11",38.32,39.17,37.73,37.9,5352149
"2016-02-18",40.67,41.15,40.15,41.13,5136203
"2016-02-25",43.21,43.57,42.56,43.37,4398502
"2016-03-03",43.96,44.37,43.48,44.09,3328916
"2016-03-10",44.7,44.8,43.74,44.2,3123426
"2016-03-17",43.4,44.17,43.14,43.97,2932768
"2016-03-24",43.45,43.55,42.88,43.48,2622149
"2016-03-31",44.09,44.45,43.65,44.09,2860886
"2016-04-07",41.4,41.73,40.35,40.62,3551752
"2016-04-14",40.35,40.44,39.06,39.66,6045163
"2016-04-21",41.4,41.81,41.18,41.55,3925633
"2016-04-28",40.91,41.04,40.53,40.6,2297510
"2016-05-05",38.45,38.45,37.52,37.9,5173972
"2016-05-12",31.21,31.52,30.36,31.21,16822927
"2016-05-19",30.2,30.89,30.1,30.87,14740214
"2016-05-26",32.16,32.28,31.4,31.57,5342134
"2016-06-02",33.05,34.61,33.05,34.35,12976288
"2016-06-09",34.15,34.15,33.24,33.6,7187595
"2016-06-16",32.61,32.68,32.01,32.35,6282051
"2016-06-23",33.5,34.41,33.27,33.38,11227454
"2016-06-30",33.45,33.69,32.65,33.61,6587925
"2016-07-07",33.58,34.19,33.41,33.61,4533729
"2016-07-14",35.53,35.62,34.6,34.83,6540684
"2016-07-21",35.28,35.7,35.25,35.49,3675356
"2016-07-28",35.58,35.88,34.78,35.87,5052688
"2016-08-04",33.46,34,33.14,33.69,4681659
"2016-08-11",38.9,40.39,38.4,39.81,40540673
"2016-08-18",40.44,40.6,39.83,40.25,5013015
"2016-08-25",39.52,40.29,39.07,39.25,8484615
"2016-09-01",36.32,36.62,36.03,36.34,6773971
"2016-09-08",37.14,37.17,35.95,36,7557632
"2016-09-15",35.11,35.88,35.06,35.56,5818549
