"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume"
"2014-05-29",89.69,90.98,89.68,90.77,94118633
"2014-06-05",92.31,92.77,91.8,92.48,75951141
"2014-06-12",94.04,94.12,91.9,92.29,54748791
"2014-06-19",92.29,92.3,91.34,91.86,35527686
"2014-06-26",90.37,91.05,89.8,90.9,32629359
"2014-07-03",93.67,94.1,93.2,94.03,22891753
"2014-07-10",93.76,95.55,93.52,95.04,39685552
"2014-07-17",95.03,95.28,92.57,93.09,57298243
"2014-07-24",97.04,97.32,96.42,97.03,45728843
"2014-07-31",97.16,97.45,95.33,95.6,56842647
"2014-08-07",94.93,95.95,94.1,94.48,46711179
"2014-08-14",97.33,97.57,96.8,97.5,28115566
"2014-08-21",100.57,100.94,100.11,100.58,33478198
"2014-08-28",102.13,102.78,101.56,102.25,68459801
"2014-09-04",98.85,100.09,97.79,98.12,85718221
"2014-09-11",100.41,101.44,99.62,101.43,62399743
"2014-09-18",101.93,102.35,101.56,101.79,37299435
"2014-09-25",100.51,100.71,97.72,97.87,100091990
"2014-10-02",99.27,100.22,98.04,99.9,47757828
"2014-10-09",101.54,102.38,100.61,101.02,77376525
"2014-10-16",95.55,97.72,95.41,96.26,72154523
"2014-10-23",104.08,105.05,103.63,104.83,71074674
"2014-10-30",106.96,107.35,105.9,106.98,40654793
"2014-11-06",108.6,108.79,107.8,108.7,34968457
"2014-11-13",111.8,113.45,111.6,112.82,59522855
"2014-11-20",114.91,116.86,114.85,116.31,43395537
"2014-12-04",115.77,117.2,115.29,115.49,42155776
"2014-12-11",112.26,113.8,111.34,111.62,41471578
"2014-12-18",111.87,112.65,110.66,112.65,59006218
"2015-01-08",109.23,112.15,108.7,111.89,59364547
"2015-01-15",110,110.06,106.66,106.82,60013996
"2015-01-22",110.26,112.47,109.72,112.4,53796409
"2015-01-29",116.32,119.19,115.56,118.9,84436432
"2015-02-05",120.02,120.23,119.25,119.94,42246245
"2015-02-12",126.06,127.48,125.57,126.46,74474466
"2015-02-19",128.48,129.03,128.33,128.45,37362381
"2015-02-26",128.78,130.87,126.61,130.42,91287529
"2015-03-05",128.58,128.75,125.76,126.41,56517146
"2015-03-12",122.31,124.9,121.63,124.45,48362719
"2015-03-19",128.75,129.25,127.4,127.5,45809490
"2015-03-26",122.76,124.88,122.6,124.24,47572869
"2015-04-02",125.03,125.56,124.19,125.32,32220131
"2015-04-09",125.85,126.58,124.66,126.56,32483974
"2015-04-16",126.28,127.1,126.11,126.17,28368987
"2015-04-23",128.3,130.42,128.14,129.67,45770902
"2015-04-30",128.64,127.88,124.58,125.15,83195423
"2015-05-07",124.77,126.08,124.02,125.26,43940895
"2015-05-14",127.41,128.95,127.16,128.95,45203456
"2015-05-21",130.07,131.63,129.83,131.39,39730364
"2015-05-28",131.86,131.95,131.1,131.78,30733309
"2015-06-04",129.58,130.58,128.91,129.36,38450118
"2015-06-11",129.18,130.18,128.48,128.59,35390887
"2015-06-18",127.23,128.31,127.22,127.88,35407220
"2015-06-25",128.86,129.2,127.5,127.5,31938100
"2015-07-02",126.43,126.69,125.77,126.44,27210952
"2015-07-09",123.85,124.06,119.22,120.07,78595038
"2015-07-16",127.74,128.57,127.35,128.51,36222447
"2015-07-23",126.2,127.09,125.06,125.16,50999452
"2015-07-30",122.32,122.57,121.71,122.37,33628268
"2015-08-06",115.97,116.5,114.12,115.13,52903040
"2015-08-13",116.04,116.4,114.54,115.15,48535789
"2015-08-20",114.08,114.35,111.63,112.65,67765523
"2015-08-27",112.23,113.24,110.02,112.92,83265146
"2015-09-03",112.49,112.78,110.04,110.37,52906410
"2015-09-10",110.27,113.28,109.9,112.57,62675234
"2015-09-17",115.66,116.49,113.72,113.92,63462713
"2015-09-24",113.25,115.5,112.37,115,49810647
"2015-10-01",109.07,109.62,107.31,109.58,63747954
"2015-10-08",110.06,110.19,108.21,109.5,61698450
"2015-10-15",110.93,112.1,110.49,111.86,37340996
"2015-10-22",114.33,115.5,114.1,115.5,41272693
"2015-10-29",118.7,120.69,118.27,120.53,50240803
"2015-11-05",121.85,122.69,120.18,120.92,39258480
"2015-11-12",116.26,116.82,115.65,115.72,32262598
"2015-11-19",117.64,119.75,116.76,118.78,42908179
"2015-12-03",115.24,116.79,114.22,115.2,41569509
"2015-12-10",116.04,116.94,115.51,116.17,29212727
"2015-12-17",112.02,112.25,108.98,108.98,44772827
"2015-12-24",109,109,107.95,108.03,13596680
"2015-12-31",107.01,107.03,104.82,105.26,40912316
"2016-01-07",98.68,100.13,96.43,96.45,81094428
"2016-01-14",97.96,100.48,95.74,99.52,62424154
"2016-01-21",97.06,97.88,94.94,96.3,52054521
"2016-01-28",93.79,94.52,92.39,94.09,55557109
"2016-02-04",95.86,97.33,95.19,96.6,46263907
"2016-02-11",93.79,94.72,92.59,93.7,49686210
"2016-02-18",98.84,98.89,96.09,96.26,38494442
"2016-02-25",96.05,96.76,95.25,96.76,27393905
"2016-03-03",100.58,101.71,100.45,101.5,36792245
"2016-03-10",101.41,102.24,100.15,101.17,33513577
"2016-03-17",105.52,106.47,104.96,105.8,34244593
"2016-03-24",105.47,106.25,104.89,105.67,25480914
"2016-03-31",109.72,109.9,108.88,108.99,25685672
"2016-04-07",109.95,110.42,108.12,108.54,30881022
"2016-04-14",111.62,112.39,111.33,112.1,25337435
"2016-04-21",106.93,106.93,105.52,105.97,31356434
"2016-04-28",97.61,97.88,94.25,94.83,81990674
"2016-05-05",94,94.07,92.68,93.24,35763138
"2016-05-12",92.72,92.78,89.47,90.34,76109795
"2016-05-19",94.64,94.64,93.57,94.2,29693945
"2016-05-26",99.68,100.73,98.64,100.41,56093437
"2016-06-02",97.6,97.84,96.63,97.72,40191600
"2016-06-09",98.5,99.99,98.46,99.65,26601354
"2016-06-16",96.45,97.75,96.07,97.55,31326815
"2016-06-23",95.94,96.29,95.25,96.1,32240187
"2016-06-30",94.44,95.77,94.3,95.6,35836356
"2016-07-07",95.7,96.5,95.62,95.94,25139558
"2016-07-14",97.39,98.99,97.32,98.79,38918997
"2016-07-21",99.83,101,99.13,99.43,32702028
"2016-07-28",102.83,104.45,102.82,104.34,39869839
"2016-08-04",105.58,106,105.28,105.87,27408650
"2016-08-11",108.52,108.93,107.85,107.93,27484506
"2016-08-18",109.23,109.6,109.02,109.08,21984703
"2016-08-25",107.39,107.88,106.68,107.57,25086248
"2016-09-01",106.14,106.8,105.62,106.73,26701523
"2016-09-08",107.25,107.27,105.24,105.52,53002026
"2016-09-15",113.86,115.73,113.49,115.57,90613177
