"","RJF.Open","RJF.High","RJF.Low","RJF.Close","RJF.Volume"
"2013-02-21",45.37,45.45,44.41,44.6,768281
"2013-02-28",44.26,44.37,43.87,43.88,439879
"2013-03-07",45.39,46.08,45.1,46.04,946392
"2013-03-14",47.39,47.59,47.24,47.55,615361
"2013-03-21",47.65,47.65,45.83,45.99,2177769
"2013-03-28",45.83,46.21,45.6,46.1,317932
"2013-04-04",44.25,44.62,43.98,44.53,742040
"2013-04-11",46.28,46.73,46.01,46.01,602321
"2013-04-18",44.34,44.51,43.54,43.55,776449
"2013-04-25",42.74,42.74,40.11,40.86,4238498
"2013-05-02",40.5,41.65,40.25,41.62,1400622
"2013-05-09",42.72,42.94,42.46,42.59,890368
"2013-05-16",44.74,46.25,44.74,45.71,2680203
"2013-05-23",43.68,43.78,42.5,42.77,3064168
"2013-05-30",43.74,44.72,43.61,44.53,1597298
"2013-06-06",41.71,42.65,41.49,42.65,658390
"2013-06-13",41.34,42.63,41.32,42.55,629434
"2013-06-20",42.71,42.82,42.12,42.49,1107305
"2013-06-27",42.68,43.31,42.51,43.22,326840
"2013-07-11",45.04,45.07,44.17,44.42,704277
"2013-07-18",43.43,43.97,43.34,43.89,768204
"2013-07-25",43.57,43.89,42.6,43.78,1388032
"2013-08-01",43.97,45.55,43.95,45.07,1443746
"2013-08-08",44.42,44.67,43.92,44.01,683838
"2013-08-15",43.28,43.36,42.55,42.74,819974
"2013-08-22",41.98,42.35,41.62,41.91,1132609
"2013-08-29",41.47,42.23,41.46,41.98,512403
"2013-09-05",42.18,42.56,42.05,42.36,486238
"2013-09-12",43.64,43.71,43.31,43.45,528195
"2013-09-19",44.63,44.63,43.96,44,522826
"2013-09-26",42.26,42.96,42.12,42.37,1037719
"2013-10-03",40.73,40.87,40.17,40.41,2210845
"2013-10-10",41.42,41.94,41.21,41.9,750871
"2013-10-17",42.6,43.61,42.42,43.58,495532
"2013-10-24",44.92,45.2,44.26,44.73,1771068
"2013-10-31",45.97,46.02,45.58,45.65,778884
"2013-11-07",45.95,46,44.81,44.87,601059
"2013-11-14",46.92,46.92,46.3,46.71,384164
"2013-11-21",47.28,48.2,46.8,48.2,1013233
"2013-12-05",48.61,49,48.16,48.57,812580
"2013-12-12",48.62,49.14,48.5,49,912054
"2013-12-19",50.32,50.74,50.18,50.61,663991
"2013-12-26",52,52.47,51.54,51.96,505758
"2014-01-02",52.33,52.34,51.24,51.55,466241
"2014-01-09",53.75,53.83,53.25,53.4,871644
"2014-01-16",54.29,54.41,53.74,54.12,460290
"2014-01-23",54.09,56.31,52.83,53.24,1521865
"2014-01-30",51.67,52.25,51.6,51.74,1055240
"2014-02-06",48.5,48.88,48.28,48.8,914598
"2014-02-13",50.09,51.37,50,51.34,1014014
"2014-02-20",51.58,52.24,50.51,52.11,1152166
"2014-02-27",52.15,52.64,52.08,52.56,721068
"2014-03-06",53.69,53.83,53.41,53.47,579575
"2014-03-13",53.31,53.46,52.14,52.33,441299
"2014-03-20",52.88,54.5,52.75,54.34,916875
"2014-03-27",53.5,53.64,52.94,53.39,1368728
"2014-04-03",56.19,56.2,55.48,55.65,912587
"2014-04-10",52.32,52.32,50.4,50.4,806781
"2014-04-17",50.39,50.88,50.16,50.21,692487
"2014-04-24",50.21,50.78,49.48,50.12,1428963
"2014-05-01",49.76,49.92,49.05,49.52,741442
"2014-05-08",49.47,50.22,49.16,49.22,469705
"2014-05-15",49.31,49.35,48.01,48.29,609336
"2014-05-22",48.27,48.75,47.81,48.55,645137
"2014-05-29",48.84,48.9,48.1,48.25,862677
"2014-06-05",49.3,49.77,48.83,49.51,240005
"2014-06-12",48.97,49.37,48.73,48.89,426284
"2014-06-19",50.81,50.94,49.73,50.01,378533
"2014-06-26",50.38,50.61,49.71,50.5,458243
"2014-07-03",51.16,51.76,50.66,51.74,254359
"2014-07-10",48.97,49.74,48.91,49.31,397250
