"","MCK.Open","MCK.High","MCK.Low","MCK.Close","MCK.Volume"
"2013-07-25",118.25,118.69,117.27,118.58,1005540
"2013-08-01",123.26,123.88,122.62,123.51,985569
"2013-08-08",123.91,124.65,123.28,124.43,812222
"2013-08-15",122.82,123.1,121.6,122.21,925516
"2013-08-22",122.13,123.12,122,122.92,385240
"2013-08-29",120.65,122.35,120.17,121.56,566565
"2013-09-05",122.79,123.45,122.53,122.94,621075
"2013-09-12",127.8,129.62,127.8,128.6,900309
"2013-09-19",132.2,133.33,131.61,132.01,1637228
"2013-09-26",128.58,129.05,127.9,128.44,919963
"2013-10-03",129.87,130.04,128.84,129.57,1071746
"2013-10-10",134.56,138.03,134.56,137.88,2285688
"2013-10-17",140.33,142.91,140.14,142.82,1501049
"2013-10-24",154.6,155,147.61,150,6965353
"2013-10-31",156.16,158.38,155.31,156.34,2297741
"2013-11-07",157.48,158,155.8,156.29,1374186
"2013-11-14",157.87,159.77,155.92,159.46,2013483
"2013-11-21",159.21,161.17,158.39,160.9,1007744
"2013-12-05",162.56,163.2,159.78,159.98,1866171
"2013-12-12",157.64,158.46,156,156.75,1539178
"2013-12-19",160.21,160.68,158.5,160.59,1302251
"2013-12-26",160.51,161.62,160.13,161.37,549870
"2014-01-02",160.85,160.99,159.45,160.16,846980
"2014-01-09",175.44,177,174.2,175.33,3846505
"2014-01-16",167.45,169.08,167.25,168.56,1392248
"2014-01-23",174.14,174.3,170.9,172.37,3469241
"2014-01-30",175.63,177.48,175.06,177.23,2403215
"2014-02-06",169.05,173.08,168.02,172.4,2078377
"2014-02-13",174.5,175.85,174.07,175.67,1094317
"2014-02-20",177.44,178.61,176,177.58,1225858
"2014-02-27",174.78,175.11,173.47,174.43,1587541
"2014-03-06",182.29,184.05,181.61,182.58,1479470
"2014-03-13",184.09,185.93,183.28,183.65,1171014
"2014-03-20",181.9,185.68,181.84,185.35,1327430
"2014-03-27",173.29,174.69,171.59,173.1,1394780
"2014-04-03",175.68,176.31,173.32,173.75,1356897
"2014-04-10",173.05,173.21,166.72,167.47,1773313
"2014-04-17",169.49,172.26,169.05,170.98,1603808
"2014-04-24",171.42,172.3,170.33,170.46,853137
"2014-05-01",166.97,170,164.58,168.2,2813236
"2014-05-08",166.79,167.51,165.53,166.72,1343611
"2014-05-15",177.4,178.07,176.27,177.57,1593593
"2014-05-22",183.57,185.41,182.95,183.59,1321139
"2014-05-29",183.11,188.77,182.62,188.57,1844131
"2014-06-05",190.28,190.59,188.52,188.66,1230938
"2014-06-12",186.28,186.83,182.33,183.27,1249755
