"","HLT.Open","HLT.High","HLT.Low","HLT.Close","HLT.Volume"
"2015-09-24",209.7,210.96,207.04,208.71,780034
"2015-10-01",207,215.64,206.91,211.32,1803258
"2015-10-08",217.62,226.17,216.45,224.01,773777
"2015-10-15",221.67,222.75,214.83,222.12,909485
"2015-10-22",223.2,228.96,222.48,226.98,739752
"2015-10-29",223.2,226.89,220.5,226.35,621995
"2015-11-05",228.33,232.88,227.79,231.03,404591
"2015-11-12",228.06,228.33,225.09,226.08,489273
"2015-11-19",211.5,212.76,209.61,211.5,521526
"2015-12-03",213.93,214.47,202.86,205.56,683793
"2015-12-10",196.74,199.84,195.93,198.81,859436
"2015-12-17",205.83,205.92,198.9,199.08,792972
"2015-12-24",198.18,199.08,196.29,196.83,163550
"2015-12-31",194.22,196.65,192.56,192.6,384883
"2016-01-07",176.58,178.47,172.26,173.25,2973005
"2016-01-14",162.81,165.87,158.44,165.6,1327259
"2016-01-21",159.57,167.76,159.39,165.24,1744035
"2016-01-28",163.44,163.53,154.08,154.62,1054364
"2016-02-04",155.16,163.35,154.8,162.81,799314
"2016-02-11",159.12,161.82,157.77,160.65,1133405
"2016-02-18",176.67,179.73,171.36,176.49,955699
"2016-02-25",179.37,182.52,176.98,181.8,606965
"2016-03-03",192.15,194.94,191.16,194.31,513741
"2016-03-10",188.19,188.64,180.99,184.59,586866
"2016-03-17",190.26,191.43,186.75,191.16,535359
"2016-03-24",196.56,198.63,194.85,198.63,892194
"2016-03-31",204.66,206.01,202.32,202.68,438232
"2016-04-07",198.45,199.71,197.19,198.9,730159
"2016-04-14",205.83,207.09,204.3,204.39,476935
"2016-04-21",198.18,202.5,198.18,199.08,969429
"2016-04-28",199.71,204.03,198.54,200.16,916298
"2016-05-05",198.81,200.43,197.68,198.36,401720
"2016-05-12",200.88,201.42,195.12,197.37,744547
"2016-05-19",183.87,185.94,182.25,185.58,1846756
"2016-05-26",188.91,189,184.05,184.5,592990
"2016-06-02",188.64,195.57,187.74,194.49,1096173
"2016-06-09",194.58,195.3,192.6,194.4,387054
"2016-06-16",193.95,196.2,190.94,195.66,823147
"2016-06-23",208.53,212.4,207.45,210.87,1196585
"2016-06-30",201.51,202.86,199.26,202.77,1008293
"2016-07-07",203.58,207.09,203.4,205.56,780814
"2016-07-14",214.29,215.19,212.85,213.39,327188
"2016-07-21",215.28,219.87,214.74,215.73,971321
"2016-07-28",207.81,207.9,203.58,206.01,1204589
"2016-08-04",205.47,208.08,204.75,207.72,541449
"2016-08-11",213.03,214.92,212.31,212.94,1135108
"2016-08-18",218.07,219.06,217.26,217.35,1505978
"2016-08-25",217.08,217.89,215.91,217.8,360285
"2016-09-01",216.54,216.54,212.4,213.93,1068328
"2016-09-08",212.49,213.39,210.24,210.69,453083
"2016-09-15",207.36,209.52,207.36,207.9,485525
