"","NEM.Open","NEM.High","NEM.Low","NEM.Close","NEM.Volume"
"2014-09-04",26.35,26.5,25.49,25.6,7383175
"2014-09-11",25.37,25.62,25.1,25.59,6592261
"2014-09-18",24.53,24.59,24.18,24.49,6698747
"2014-09-25",23.67,24.01,23.43,23.91,5507937
"2014-10-02",23.12,23.46,22.88,23.28,8723099
"2014-10-09",23.58,23.58,22.03,22.45,12920350
"2014-10-16",22.45,22.99,22.39,22.72,6736083
"2014-10-23",22.43,22.51,21.81,22,9837338
"2014-10-30",20.59,20.69,20.07,20.33,13825163
"2014-11-06",17.98,18.56,17.98,18.2,9735814
"2014-11-13",18.7,18.83,18.15,18.24,7134625
"2014-11-20",19.34,19.7,19.22,19.58,6906434
"2014-12-04",19.59,19.69,19.2,19.27,6810290
"2014-12-11",19.25,20.04,19.1,19.57,9182103
"2014-12-18",18.77,19.43,18.65,19.39,10238695
"2015-01-08",20.1,20.38,19.89,19.98,7803436
"2015-01-15",20.75,21.9,20.65,21.51,16723985
"2015-01-22",24.31,24.69,23.98,24.29,13132673
"2015-01-29",23.61,24.34,23.42,24.17,8849962
"2015-02-05",24.55,24.86,24.37,24.82,6029502
"2015-02-12",24.41,24.7,24.11,24.51,4488646
"2015-02-19",24.81,25.02,24.38,24.46,8870899
"2015-02-26",26.34,26.55,26.12,26.31,6210645
"2015-03-05",25.31,25.65,25.2,25.3,3450516
"2015-03-12",22.45,22.63,22,22.29,6081515
"2015-03-19",23.14,23.3,22.66,22.82,7612262
"2015-03-26",22.92,23.08,21.93,22.16,7907348
"2015-04-02",22.68,22.91,22.15,22.34,6505052
"2015-04-09",21.89,22.34,21.76,22.23,5125425
"2015-04-16",23.67,24.04,23.53,23.62,6928613
"2015-04-23",23.02,23.55,22.88,23.45,6328826
"2015-04-30",25.92,26.53,25.6,26.49,6897195
"2015-05-07",25.31,25.84,25.3,25.82,6652034
"2015-05-14",27.53,27.77,27.15,27.2,4711720
"2015-05-21",27.62,27.64,26.85,27,4965097
"2015-05-28",27.08,27.51,26.77,27.47,7655976
"2015-06-04",26.12,26.81,26.01,26.8,5709673
"2015-06-11",23.66,23.84,23.49,23.66,11342172
"2015-06-18",24.94,25.09,24.79,25,7229359
"2015-06-25",24.11,24.17,23.81,23.94,4113679
"2015-07-02",23.3,23.7,23.2,23.67,4138079
"2015-07-09",22.81,22.9,22.36,22.59,3421179
"2015-07-16",21.7,21.76,21.33,21.38,6842056
"2015-07-23",18.72,18.74,17.59,17.6,14277032
"2015-07-30",17.35,17.71,17.05,17.29,8479010
"2015-08-06",16.44,16.87,16.26,16.36,9789518
"2015-08-13",17.97,18.06,17.46,17.49,7245211
"2015-08-20",18.39,18.8,18.14,18.55,10078530
"2015-08-27",15.76,16.82,15.71,16.7,11318335
"2015-09-03",15.98,16.71,15.92,16.19,7664718
"2015-09-10",15.73,15.91,15.5,15.56,6762510
"2015-09-17",16.76,17.47,16.57,17.24,10157387
"2015-09-24",15.85,16.81,15.62,16.78,11627094
"2015-10-01",16.23,16.44,15.75,15.84,6980710
"2015-10-08",18.69,19.41,18.5,18.66,9873558
"2015-10-15",19.22,19.44,18.99,19.3,9495780
"2015-10-22",18.38,19.13,18.31,19.03,6150105
"2015-10-29",19.48,20.57,19.44,19.89,12414509
"2015-11-05",18.96,18.96,17.26,17.5,14900146
