"","CHRW.Open","CHRW.High","CHRW.Low","CHRW.Close","CHRW.Volume"
"2014-05-22",59.32,59.72,59.08,59.55,946550
"2014-05-29",59.78,59.97,59.52,59.94,914679
"2014-06-05",59.6,60.47,59.47,60.44,1996471
"2014-06-12",61.58,61.98,61.48,61.82,1857879
"2014-06-19",63.43,63.71,63.24,63.69,1254023
"2014-06-26",63.47,63.73,62.88,63.73,949062
"2014-07-03",64.36,64.39,63.93,64.38,751376
"2014-07-10",63.09,63.73,63.09,63.46,1553015
"2014-07-17",64.77,65.03,64.1,64.15,1386393
"2014-07-24",66.13,66.65,65.98,66.52,903314
"2014-07-31",68,68.72,67.32,67.46,3121121
"2014-08-07",66.64,67.02,65.88,66.67,1446092
"2014-08-14",67.74,67.89,66.96,67.22,1544091
"2014-08-21",68.66,68.88,68.41,68.62,896557
"2014-08-28",68.16,68.3,67.73,68.06,994653
"2014-09-04",66.97,67.47,66.92,67.33,1474713
"2014-09-11",66.57,67.03,66.43,66.99,1338117
"2014-09-18",68.08,68.28,67.84,68.23,1188599
"2014-09-25",66.5,66.62,65.49,65.56,1109489
"2014-10-02",65,66.2,64.59,66.1,1924495
"2014-10-09",66.25,66.65,65.03,65.2,966849
"2014-10-16",66.23,67.44,65.52,66.86,1461792
"2014-10-23",70.42,71.22,69.99,70.61,1061277
"2014-10-30",70.57,72.1,68.57,69.22,3322083
"2014-11-06",71.34,71.98,70.84,71.6,1708499
"2014-11-13",72.28,73.12,72.28,73.1,1126874
"2014-11-20",71.4,72.49,71.25,72.29,1792565
"2014-12-04",74.57,74.9,73.99,74.45,1145319
"2014-12-11",71.83,72.92,71.79,72.48,1438847
"2014-12-18",72.64,74.15,72.21,74.07,1424935
"2015-01-08",70.67,72.9,70.63,72.84,3020740
"2015-01-15",73.23,73.52,72.29,72.51,1142922
"2015-01-22",73.29,74.9,73.04,74.73,1132539
"2015-01-29",72.86,73.38,71.92,73.31,1591569
"2015-02-05",70.65,71.47,70.36,70.97,3350750
"2015-02-12",71.55,72.13,71.32,71.83,1415970
"2015-02-19",71.38,72.39,70.99,71.84,904132
"2015-02-26",73.62,74.26,73.15,74.21,1289124
"2015-03-05",74.01,74.31,73.6,74.12,932294
"2015-03-12",72.66,74.07,72.61,73.97,1125478
"2015-03-19",75.14,75.46,74.78,75.16,1493391
"2015-03-26",72.88,73.56,72.43,73.14,1592817
"2015-04-02",72.15,72.33,71.25,71.34,2028538
"2015-04-09",71.19,71.87,71.19,71.64,1140448
"2015-04-16",70.03,70.17,69.38,69.51,1106692
"2015-04-23",70.06,71,70.04,70.62,937026
"2015-04-30",64.42,64.72,64.01,64.39,2555544
"2015-05-07",64.44,65.95,64.44,65.23,1755167
"2015-05-14",64.9,64.91,64.1,64.38,1563943
"2015-05-21",63.94,64.49,63.74,64.26,1543701
"2015-05-28",63.31,63.57,62.27,62.5,1618058
"2015-06-04",64.09,64.29,63.14,63.35,2388952
"2015-06-11",63.89,64.44,63.6,64.32,1102513
"2015-06-18",64.29,65.45,64.15,64.8,2004893
"2015-06-25",62.74,63,62.37,62.47,1087163
"2015-07-02",62.53,63.14,62.39,63.06,1604782
"2015-07-09",62.72,63.11,62.16,62.16,971898
"2015-07-16",63.32,63.79,63.1,63.32,949185
"2015-07-23",65,65.11,64.3,64.42,1105258
"2015-07-30",69.44,70.01,69,69.87,2483069
"2015-08-06",70.55,70.58,69.02,69.67,1278012
"2015-08-13",69.03,69.27,68.59,68.71,813010
"2015-08-20",70.02,70.32,69.13,69.22,1666099
"2015-08-27",67.7,68,66.78,67.82,1543355
"2015-09-03",68.72,69.37,68.08,68.2,1384890
"2015-09-10",68.33,69.48,68.16,69,1477828
"2015-09-17",69.84,69.99,68.89,69.03,1026210
"2015-09-24",67.24,67.94,66.46,67.53,2093616
"2015-10-01",68.16,68.23,66.89,67.71,1674838
"2015-10-08",70.04,71.06,69.42,70.89,1709591
"2015-10-15",71.25,72.52,70.37,72.3,1097596
"2015-10-22",72.35,73.22,72.31,72.72,1391827
"2015-10-29",67.9,69.49,67.67,69.38,1874444
"2015-11-05",68.77,68.91,67.73,68.3,1214981
"2015-11-12",68.25,69.04,67.43,67.48,779413
"2015-11-19",68.19,69.02,67.92,68.31,825623
"2015-12-03",63.35,64.21,61.89,62.22,4134687
"2015-12-10",60.64,61.66,60.23,61.51,2173031
"2015-12-17",64.48,65.1,64.19,64.2,2634744
"2015-12-24",63.96,64.54,63.29,63.53,571681
"2015-12-31",62.23,62.64,61.86,62.02,1614006
"2016-01-07",64,64.08,62.67,63.09,3114636
"2016-01-14",62.84,63.53,62.05,63.13,1691072
"2016-01-21",64.3,65.23,63.72,64.51,1999157
"2016-01-28",63.55,64.17,62.72,63.05,1966834
"2016-02-04",65.68,67.47,65.12,67.45,2289223
"2016-02-11",68,69.15,67.7,68.83,1582610
"2016-02-18",70.69,71.11,70.1,70.96,1247662
"2016-02-25",70.26,70.31,69.11,70.16,1353193
"2016-03-03",71.14,71.96,70.98,71.51,1487669
"2016-03-10",71.86,72.07,70.57,71.51,1674559
"2016-03-17",73.37,74.66,72.81,73.83,1143445
"2016-03-24",73.09,73.77,73.09,73.74,608623
"2016-03-31",74.38,74.5,73.8,74.23,1167515
"2016-04-07",73,73.06,71.12,71.85,2123939
"2016-04-14",73.01,73.31,72.43,72.9,765216
"2016-04-21",74.55,75.29,74.21,74.31,716200
"2016-04-28",70.94,71.61,69.84,70.83,2433772
"2016-05-05",71.71,71.96,70.73,70.85,845450
"2016-05-12",72.52,72.99,72,72.47,840835
"2016-05-19",72.58,73.38,72.5,73.1,828750
"2016-05-26",75.1,75.37,74.73,74.97,778670
"2016-06-02",74.23,74.3,73.7,73.79,1064505
"2016-06-09",73.77,74.25,73.21,74.11,1689312
"2016-06-16",72.46,72.46,71.26,72.09,1487573
"2016-06-23",71.91,72.26,71.67,71.92,1402015
"2016-06-30",73.3,74.32,72.92,74.25,1260981
"2016-07-07",74.93,74.99,73.29,73.36,2736231
"2016-07-14",73.32,73.32,72.28,72.3,1049732
"2016-07-21",71.16,71.62,70.86,71.23,1481148
"2016-07-28",67.97,69.25,67.71,69.23,1513991
"2016-08-04",68.79,69.07,67.78,68.49,1275587
"2016-08-11",68.98,69.32,68.98,69.03,480496
"2016-08-18",69.9,70,68.79,68.96,1491498
"2016-08-25",69.39,69.62,68.79,68.87,898580
"2016-09-01",69.56,71.81,69.56,71.04,3754547
"2016-09-08",70.36,70.73,69.71,70.07,1173797
"2016-09-15",67.28,67.56,67.04,67.36,1140998
