"","IDXX.Open","IDXX.High","IDXX.Low","IDXX.Close","IDXX.Volume"
"2012-12-20",47.66,48.19,47.66,48.12,330574
"2012-12-27",46.35,46.63,45.96,46.46,496106
"2013-01-03",46.84,47.38,46.69,47,491954
"2013-01-10",48.84,49.01,48.45,48.63,301846
"2013-01-17",47.36,47.65,47.12,47.16,427290
"2013-01-24",47.62,48.32,47.52,48.32,2059366
"2013-01-31",47.76,48.06,47.41,47.6,806864
"2013-02-07",47,47,46.68,46.95,372016
"2013-02-14",46.03,46.26,45.75,45.84,477536
"2013-02-21",45.86,45.93,45.54,45.6,526028
"2013-02-28",46.38,46.62,45.98,46.06,764458
"2013-03-07",46,46.19,45.28,45.51,491216
"2013-03-14",45.82,46.58,45.82,46.36,902412
"2013-03-21",45.6,46.01,45.36,45.8,440982
"2013-03-28",46.44,46.5,45.88,46.2,452018
"2013-04-04",44.68,44.82,43.94,44.82,888990
"2013-04-11",45.4,45.8,45.39,45.48,862690
"2013-04-18",44.5,44.8,44.33,44.66,764210
"2013-04-25",42.29,43.76,42.22,43.52,1782192
"2013-05-02",42.76,42.88,42.05,42.2,1177634
"2013-05-09",43.5,43.75,43.27,43.41,567808
"2013-05-16",43.79,44.06,43.25,43.3,504824
"2013-05-23",41.54,42.48,41.2,42.24,1193422
"2013-05-30",42,42,40.78,41.6,1266226
"2013-06-06",41.86,42.36,41.81,42.02,959764
"2013-06-13",43.02,44.82,42.76,44.68,1377986
"2013-06-20",44.12,44.44,43.9,44.09,1097840
"2013-06-27",45.46,45.97,45.36,45.36,411816
"2013-07-11",46.33,46.71,45.86,46.63,905352
"2013-07-18",47.98,48.24,47.72,47.8,485716
"2013-07-25",48.22,49.01,48.22,48.68,595242
"2013-08-01",49.14,50.18,49.14,49.6,945810
"2013-08-08",48.5,48.68,48.4,48.5,542956
"2013-08-15",47.88,48.08,47.43,47.83,402210
"2013-08-22",48.16,48.98,48.04,48.57,195480
"2013-08-29",47.65,47.9,47.25,47.58,315416
"2013-09-05",47,47.86,47,47.62,328876
"2013-09-12",48.6,49,48.1,48.18,258472
"2013-09-19",49.28,49.46,48.82,49.04,232946
"2013-09-26",48.97,49.2,48.82,49.13,256688
"2013-10-03",51.14,51.38,50.22,50.63,545710
"2013-10-10",51.16,51.6,51.02,51.58,539678
"2013-10-17",52.62,53.18,52.62,53.12,465240
"2013-10-24",52.36,52.62,51.92,51.98,583472
"2013-10-31",53.82,54.34,53.46,53.93,530838
"2013-11-07",54.64,54.91,54.2,54.28,557658
"2013-11-14",53.13,53.82,53,53.22,881248
