"","DISCA.Open","DISCA.High","DISCA.Low","DISCA.Close","DISCA.Volume"
"2012-09-27",58.66,59.64,58.28,59.49,1764801
"2012-10-04",60.5,61.07,60.38,61.06,840889
"2012-10-11",60.05,61.11,59.84,60.47,1204317
"2012-10-18",61.25,61.89,60.81,61.77,929562
"2012-10-25",59.56,59.92,58.56,58.76,800283
"2012-11-01",59.6,61.33,59.31,61.26,2001128
"2012-11-08",56.66,56.94,55.51,55.61,2106814
"2012-11-15",55.29,55.8,55.12,55.28,1198506
"2012-11-29",59.02,59.74,58.94,59.56,1228129
"2012-12-06",61.55,61.97,61.1,61.84,1150350
"2012-12-13",61.45,61.73,60.19,60.26,1076812
"2012-12-20",63.08,64.5,62.64,63.49,1860096
"2012-12-27",63.01,63.19,61.46,62.38,1233493
"2013-01-03",65.59,65.81,65.06,65.53,1037322
"2013-01-10",67.9,68.21,67.02,67.39,1072477
"2013-01-17",67,67.6,66.57,67.35,1076814
"2013-01-24",68.31,69.24,68.11,68.28,887912
"2013-01-31",68.74,69.64,68.24,69.38,1429580
"2013-02-07",69.48,70.68,69.33,70.62,1677336
"2013-02-14",68.65,71.3,67.89,70.84,2480902
"2013-02-21",69.63,69.81,68.58,68.71,1428583
"2013-02-28",73.21,73.69,73.04,73.34,1372676
"2013-03-07",75.31,77.24,75.31,77.16,3291740
"2013-03-14",78.35,79.08,78.35,78.72,941632
"2013-03-21",78.51,78.99,77.74,78.41,1362101
"2013-03-28",78.54,79.36,78.47,78.74,1373538
"2013-04-04",78.15,78.15,76.94,77.68,1874071
"2013-04-11",80.56,81.43,80.39,80.71,1202278
"2013-04-18",78.42,78.52,76.33,76.64,1849766
"2013-04-25",79.34,80,78.66,79.89,1254481
"2013-05-02",78.35,79.94,78.18,79.49,1445282
"2013-05-09",77.02,77.81,76.75,77.66,1503114
"2013-05-16",78.99,79.67,78.57,78.79,1884190
"2013-05-23",78.61,79.89,78.05,79.78,1247645
"2013-05-30",79.5,80.57,79.18,79.89,953708
"2013-06-06",75.67,75.88,74.16,75.02,2330566
"2013-06-13",73.81,76.17,73.2,76.06,1660662
"2013-06-20",75.63,75.81,74.09,74.57,1505439
"2013-06-27",76.04,77.04,75.96,76.68,782509
"2013-07-11",83.99,84.59,83.68,84.49,1218175
"2013-07-18",84.85,85.71,84.68,85.49,848220
"2013-07-25",84.62,85.56,84.32,85.08,709576
"2013-08-01",80.45,82.1,80,81.92,1471342
"2013-08-08",83.05,83.49,82.53,82.93,838927
"2013-08-15",82.26,82.37,80.25,80.35,1184690
"2013-08-22",79.46,80.76,79.15,80.3,667613
"2013-08-29",77.78,78.77,77.54,78.03,589720
"2013-09-05",76.73,77.98,76.68,77.59,972781
"2013-09-12",78.41,78.64,77.78,78.04,1104162
"2013-09-19",80.75,82.14,80.56,81.76,1140306
"2013-09-26",80.92,84.01,80.84,83.99,1761030
"2013-10-03",82.16,82.62,80.96,81.24,1031850
"2013-10-10",78.71,80.15,78.1,80.15,932528
"2013-10-17",80.56,81.43,80.3,81.37,803237
"2013-10-24",85.1,85.81,84.6,84.95,1287876
"2013-10-31",85.83,89.1,84.97,88.86,2743906
"2013-11-07",85.72,86.11,83.87,84.19,1699569
"2013-11-14",85.85,86.46,85.44,85.83,715467
"2013-11-21",85.54,85.6,84.84,85.24,1246767
"2013-12-05",84.18,84.82,83.52,83.99,1097923
"2013-12-12",84.27,84.45,82.88,82.94,1024938
"2013-12-19",86.52,86.7,85.6,86.32,1159514
"2013-12-26",88.91,89.12,87.97,88.69,925391
"2014-01-02",90.21,90.25,88.6,89.1,893462
"2014-01-09",85.04,85.11,83.6,84.73,1283853
"2014-01-16",82.74,83.31,81.78,82.02,1474502
"2014-01-23",79.85,80.27,79.2,80.08,2450420
"2014-01-30",78.91,81.82,78.28,80.33,2709709
"2014-02-06",79.87,82.26,79.05,81.94,2185559
"2014-02-13",78.83,81,78.45,79.3,3752370
"2014-02-20",81.34,82.63,81.34,82.43,1327811
"2014-02-27",81.06,82.16,81.06,82.13,1048292
"2014-03-06",84.97,86.36,84.71,85.97,1588557
"2014-03-13",85.32,85.9,83.98,84.09,1218465
"2014-03-20",83.11,84.2,82.77,83.69,1148070
"2014-03-27",82.08,82.45,81.23,81.76,1511012
"2014-04-03",84.44,84.61,83.33,83.74,1056955
"2014-04-10",80.48,80.85,79.22,79.38,2216695
"2014-04-17",77.31,78.1,77.29,77.83,1313147
"2014-04-24",78.09,78.25,77.37,77.45,1024647
"2014-05-01",76.02,76.73,75.76,76.12,1516014
"2014-05-08",72.54,75.18,72.51,74.36,1824942
"2014-05-15",72.18,73.03,71.56,72.7,1688585
"2014-05-22",74.1,75.94,73.71,75.85,1837281
"2014-05-29",79.17,79.4,77.42,77.72,1397344
"2014-06-05",79.43,80.66,79.22,80.27,2457623
"2014-06-12",78.57,79.17,78.26,78.5,1094558
"2014-06-19",77.08,77.4,75.6,75.65,1537864
"2014-06-26",73.12,73.88,71.81,72.89,3970026
"2014-07-03",76,77.12,75.98,76.57,759411
"2014-07-10",77.11,78.9,77.11,77.94,1410713
"2014-07-17",83.38,86.81,82.59,85,3605732
"2014-07-24",82.97,83.45,82.62,82.88,1351147
"2014-07-31",82.47,86.24,81.1,85.21,2273952
"2014-08-07",43.25,43.64,40.65,40.98,3850670
"2014-08-14",42.69,42.87,42.51,42.76,1438069
"2014-08-21",44.73,44.86,44.42,44.76,1612788
"2014-08-28",43.7,43.94,43.44,43.76,2051967
"2014-09-04",43.64,43.78,43.11,43.5,2226632
"2014-09-11",40.84,41.09,40.06,40.37,3048609
"2014-09-18",40.01,40.19,39.67,39.97,2791337
"2014-09-25",37.92,38.38,37.82,38.09,3471037
"2014-10-02",36.12,36.41,35.47,36.27,5380880
"2014-10-09",37,37.09,35.72,35.79,4054228
"2014-10-16",33.76,34.45,33.64,34.19,3161482
"2014-10-23",35.22,36.59,35,35.97,3074935
"2014-10-30",36.14,36.91,35.52,35.94,5342001
"2014-11-06",34.56,34.7,32.88,32.9,4515490
"2014-11-13",31.99,32.98,31.75,32.86,7771117
"2014-11-20",32.76,33.95,32.65,33.92,4060831
"2014-12-04",35.24,35.31,34.31,34.43,2671621
"2014-12-11",34.11,34.67,33.99,34.05,2727269
"2014-12-18",34.68,35.45,34.47,35.41,3520897
"2015-01-08",32.64,32.75,31.94,32.47,4341083
"2015-01-15",30.15,30.15,29.43,29.47,5078301
"2015-01-22",29.62,30.2,29.49,30.06,4569542
"2015-01-29",29.9,29.9,29.3,29.74,4583852
"2015-02-05",30.1,30.28,29.04,29.19,5389772
"2015-02-12",30.67,30.95,30.06,30.34,3758842
"2015-02-19",30.65,32.37,29.7,31.1,9924046
"2015-02-26",32.95,33.14,32.13,32.44,3316307
"2015-03-05",33.82,33.93,33.36,33.56,2602125
"2015-03-12",32.49,32.72,31.74,32.39,3979433
"2015-03-19",31.52,31.84,31.19,31.82,4706807
"2015-03-26",31.35,31.48,30.6,30.93,5427210
"2015-04-02",31.17,32.18,30.71,32.15,4459436
"2015-04-09",32.88,33.25,32.72,33.21,2352166
"2015-04-16",33.25,33.5,32.97,33.18,2475406
"2015-04-23",33.38,34.08,33.22,33.64,3190176
"2015-04-30",32.04,32.48,31.98,32.36,4940799
"2015-05-07",32.06,32.06,31.21,31.5,4257873
"2015-05-14",31.51,31.8,31.22,31.4,3184906
"2015-05-21",33.49,33.72,33.2,33.3,3036846
"2015-05-28",33.09,33.24,32.97,33.05,1667634
"2015-06-04",33.65,34.06,33.51,33.86,2600331
"2015-06-11",33.38,33.48,32.61,32.96,2196766
"2015-06-18",33.47,34.1,33.35,33.9,2098714
"2015-06-25",33.92,33.92,33.5,33.6,2324325
"2015-07-02",33.45,33.93,32.92,33.18,3534438
"2015-07-09",32.97,33.23,32.5,32.53,2692893
"2015-07-16",34.2,34.94,34,34.8,2146377
"2015-07-23",32.39,32.58,31.9,32.15,2489620
"2015-07-30",31.45,32.3,31.28,32.23,3387471
"2015-08-06",29.01,29.96,28.2,29.88,12320495
"2015-08-13",28.88,28.88,28.39,28.48,5030758
"2015-08-20",28.46,28.5,27.02,27.32,7462057
"2015-08-27",26.64,27.29,26.36,26.91,3161344
"2015-09-03",26.79,27.68,26.62,27.12,3084626
"2015-09-10",26.79,27.13,26.56,26.9,2934995
"2015-09-17",27.9,28.68,27.83,28.29,3000321
"2015-09-24",27.5,27.96,27.01,27.65,2610633
"2015-10-01",26.15,26.17,25.27,25.36,4621285
"2015-10-08",27.98,28.95,27.81,28.84,3901103
"2015-10-15",28.46,28.87,27.95,28.86,2154335
"2015-10-22",28.85,29.67,28.74,29.45,2006485
"2015-10-29",29.32,30.13,29.1,29.37,2733628
"2015-11-05",30.36,30.36,29.14,29.51,4103121
"2015-11-12",30.48,30.76,30.1,30.16,3025701
"2015-11-19",30.82,30.88,30.17,30.56,2671687
"2015-12-03",30.18,30.6,29.67,30.12,2888171
"2015-12-10",28.44,28.82,28.04,28.39,3195427
"2015-12-17",27.21,27.36,26.3,26.48,2920615
"2015-12-24",27.17,27.29,26.97,27.09,980439
"2015-12-31",26.5,26.91,26.3,26.68,1694641
"2016-01-07",25.75,26.03,25.23,25.48,2927312
"2016-01-14",25.69,26.55,25.44,26.3,3825045
"2016-01-21",25.53,26.31,25.21,25.89,3448687
"2016-01-28",27.37,27.42,26.22,26.73,2777809
"2016-02-04",27.38,28.32,27.36,27.7,3158876
"2016-02-11",24.13,24.55,23.74,24.33,3619344
"2016-02-18",25.9,26.19,24.33,25.62,7050632
"2016-02-25",25.38,25.38,24.53,24.88,3328513
"2016-03-03",26.6,27.86,26.6,27.63,4734044
"2016-03-10",27.88,27.92,27.22,27.64,2377433
"2016-03-17",28.58,29.24,28.54,29.1,2890115
"2016-03-24",27.58,28.1,27.32,27.99,2470194
"2016-03-31",28.16,28.69,28.16,28.63,2615373
"2016-04-07",28.72,28.89,27.66,27.91,3954715
"2016-04-14",28.69,28.84,28.37,28.38,2053353
"2016-04-21",28.3,28.85,28.17,28.37,2616433
"2016-04-28",28.29,28.59,27.94,28.15,2246926
"2016-05-05",27.55,28.32,27.25,27.74,8407436
"2016-05-12",29.12,29.15,27.84,28.14,5647952
"2016-05-19",26.61,26.72,26.06,26.1,3523513
"2016-05-26",27.05,27.3,26.81,27.07,2355439
"2016-06-02",27.71,28.45,27.68,28.3,3167252
"2016-06-09",27.87,27.89,27.21,27.33,2757851
"2016-06-16",25.38,25.57,25.11,25.55,3632311
"2016-06-23",26.21,26.44,26.1,26.37,2989773
"2016-06-30",24.51,25.26,24.5,25.23,6201589
"2016-07-07",25.15,25.51,25.09,25.41,3182677
"2016-07-14",25.76,25.83,25.46,25.7,3708077
"2016-07-21",25.38,25.69,25.27,25.4,2030959
"2016-07-28",25.37,25.55,25.17,25.26,1835014
"2016-08-04",26.76,26.91,25.94,26.42,3992184
"2016-08-11",25.85,26.12,25.75,26.1,2097958
"2016-08-18",26.92,27.09,26.72,26.84,3284514
"2016-08-25",26.15,26.26,25.81,25.87,1999518
"2016-09-01",25.52,25.76,25.43,25.69,2285636
"2016-09-08",25,25.45,24.91,25.38,3913876
"2016-09-15",24.74,24.8,24.18,24.41,4156710
