"","CB.Open","CB.High","CB.Low","CB.Close","CB.Volume"
"2015-01-15",110.47,111.24,109.59,109.82,1346401
"2015-01-22",111.68,113.58,110.76,113.43,1840295
"2015-01-29",109.59,110.2,108.43,110.13,1484494
"2015-02-05",111.23,113.36,110.89,113.1,1383233
"2015-02-12",112.53,113.06,112.31,112.96,812446
"2015-02-19",113.49,114.28,113.2,113.92,767992
"2015-02-26",114.11,114.88,113.96,114.78,1083632
"2015-03-05",112.6,113.34,112.42,113.19,827017
"2015-03-12",111.52,112.8,111.41,112.69,902107
"2015-03-19",114.68,115.06,113.42,113.68,1554400
"2015-03-26",110.84,111.87,110.84,111.26,1078182
"2015-04-02",110.95,111.53,110.62,111.2,1170537
"2015-04-09",111.21,111.97,110.97,111.76,894152
"2015-04-16",111.79,112.66,111.22,112.37,1166754
"2015-04-23",107.58,108.61,107.44,108.31,1714455
"2015-04-30",108.25,108.75,106.7,106.99,1450161
"2015-05-07",107.09,107.98,106.47,107.65,1219092
"2015-05-14",107.75,108.63,107.51,108.59,1383641
"2015-05-21",108.84,109.17,108.51,108.9,1041648
"2015-05-28",106.97,107.67,106.66,107.58,847653
"2015-06-04",106,106.89,105.68,105.81,1505662
"2015-06-11",105.07,106.3,105,105.99,1013137
"2015-06-18",106.17,107.85,106.17,107.66,1222707
"2015-06-25",103.18,104.2,102.26,102.75,6178767
"2015-07-02",100.79,105.57,100.07,103.74,5568414
"2015-07-09",104.16,104.23,102.92,103.49,3004146
"2015-07-16",104.73,104.82,104,104.36,2759421
"2015-07-23",106.52,107.12,105.34,106.45,3197470
"2015-07-30",107.6,108.74,107.6,108.59,1531934
"2015-08-06",111.28,111.32,109.7,110.14,1951874
"2015-08-13",107.92,109.53,107.62,108.98,1516109
"2015-08-20",108.77,109.07,107.45,107.5,2493217
"2015-08-27",102.86,104.03,101.67,103.64,2832898
"2015-09-03",101.07,101.97,100.99,101.67,2136264
"2015-09-10",100.73,101.49,100.33,100.74,1683281
"2015-09-17",101.91,102.87,101.38,101.55,2548609
"2015-09-24",100.53,101.77,100.15,101.55,1965904
"2015-10-01",103.23,103.33,100.94,102.29,3354218
"2015-10-08",104.54,106.66,104,106.58,1964199
"2015-10-15",105.83,107.68,105.83,107.55,1584477
"2015-10-22",113.99,115.94,113.69,115.11,3525680
"2015-10-29",115.59,116.01,114.87,115.28,1206490
"2015-11-05",113.04,113.7,113.04,113.53,1755549
"2015-11-12",112.9,113.22,111.41,111.43,1763305
"2015-11-19",114.9,115.86,114.9,115.57,1547820
"2015-12-03",115.95,115.95,113.38,113.77,2208870
"2015-12-10",115.12,115.54,113.65,114.73,2482568
"2015-12-17",117.02,117.16,115.55,115.6,1674680
"2015-12-24",117.7,118.78,117.63,118.19,568555
"2015-12-31",117.71,118.04,116.73,116.85,1626178
"2016-01-07",110.66,112.91,110.41,111.58,3919573
"2016-01-14",110.44,112.35,109.81,111.02,13316616
"2016-01-21",110.19,111.1,108.19,109.43,3970803
"2016-01-28",108.55,109.84,108.42,109.52,3313794
"2016-02-04",112.26,113.38,111.58,113.22,2769292
"2016-02-11",109.7,111.47,109.36,110.84,2143506
"2016-02-18",116.91,117.47,115.83,116.36,2208026
"2016-02-25",116.73,118.44,116.53,118.39,2264607
"2016-03-03",118.5,118.5,117.04,117.84,1484000
"2016-03-10",117.97,118.84,116.69,117.6,1690187
"2016-03-17",119.5,121.49,119.08,120.99,1737734
"2016-03-24",119.31,119.99,118.49,119.61,1304410
"2016-03-31",119.57,120.01,119.15,119.15,1510800
"2016-04-07",118.32,118.77,117.23,117.63,1384670
"2016-04-14",120.49,121.47,120.07,120.34,1525078
"2016-04-21",121.96,122.54,117.88,118.07,3110188
"2016-04-28",117.46,118.31,116.82,117.19,1810905
"2016-05-05",119.63,122.62,119.48,122.46,3177423
"2016-05-12",124.03,125.82,123.92,125.38,1725332
"2016-05-19",124.94,125.05,124.08,124.85,952896
"2016-05-26",127.6,127.76,126.06,126.37,1062230
"2016-06-02",127.25,127.81,126.67,127.81,991096
"2016-06-09",126.4,126.76,125.96,126.5,870766
"2016-06-16",123.32,125.34,123.26,125.3,1440629
"2016-06-23",126.94,128.78,126.4,128.64,1944287
"2016-06-30",127.9,130.77,127.52,130.71,1799723
"2016-07-07",129.22,129.74,127.85,128.63,1410477
"2016-07-14",130.78,130.94,129.45,129.9,1938478
"2016-07-21",128.34,128.63,127.23,127.6,1658256
"2016-07-28",126.77,127.2,126.06,126.47,1456417
"2016-08-04",125.77,126.11,125.15,125.45,1151493
"2016-08-11",126.33,126.71,126,126.59,883775
"2016-08-18",127.28,127.38,125.69,127.26,1599176
"2016-08-25",125.16,126.47,125.03,126.06,939315
"2016-09-01",126.96,127.37,125.95,127.1,1219630
"2016-09-08",127.37,127.56,126.43,126.51,1082685
"2016-09-15",124.43,125.82,124.18,125.42,1198760
