"Date","Open","High","Low","Last","Volume"
2015-08-27,38.96,42.86,38.95,42.78,531068
2015-09-03,46.11,48.42,45.65,46.69,531745
2015-09-10,44.16,46.04,43.36,45.73,472330
2015-09-17,47.13,47.71,46.33,46.9,351640
2015-09-24,44.62,45.18,43.71,45.1,367690
2015-10-01,45.38,47.1,44.63,45.02,476558
2015-10-08,48.11,50.07,47.76,49.67,549123
2015-10-15,46.28,47.02,45.23,46.86,357876
2015-10-22,45.27,46.1,44.9,45.49,317819
2015-10-29,46.06,46.79,45.16,45.75,431471
2015-11-05,46.57,46.65,45.12,45.39,453719
2015-11-12,43.05,43.33,41.54,41.6,526192
2015-11-19,40.72,41.05,39.89,40.49,118326
2015-12-03,40.15,41.78,40.07,41.27,490958
2015-12-10,37.27,37.54,36.38,36.57,478876
2015-12-17,35.8,35.84,34.63,34.82,188502
2015-12-24,37.86,38.28,37.38,38.12,201502
2015-12-31,36.81,37.79,36.22,37.07,279553
2016-01-07,34.09,34.26,32.1,33.26,590277
2016-01-14,30.6,31.77,30.28,31.21,524010
2016-01-21,28.35,30.25,27.87,29.85,680234
2016-01-28,32.19,34.82,31.74,33.72,824242
2016-02-04,31.72,33.6,31.53,31.69,686501
2016-02-11,27.34,27.48,26.05,27.3,795965
2016-02-18,31.35,31.98,30.27,30.57,218979
2016-02-25,32.19,33.49,31.07,33.08,604277
2016-03-03,34.73,35.32,34.19,34.69,506313
2016-03-10,38.17,38.48,37.21,38.02,667739
2016-03-17,38.59,40.36,38.47,40.34,293954
2016-03-24,39.73,39.77,38.33,39.59,491900
2016-03-31,38.3,39.04,37.57,38.11,527476
2016-04-07,37.76,38.3,36.69,37.53,589866
2016-04-14,41.54,42.16,40.84,41.45,470095
2016-04-21,43.97,44.49,43.05,43.43,665900
2016-04-28,45.3,46.14,44.94,45.88,483648
2016-05-05,44.04,46.07,43.96,44.51,737040
2016-05-12,46,47.02,45.61,46.39,711785
2016-05-19,47.87,48.28,46.73,48.27,96820
2016-05-26,49.7,50.21,49.22,49.4,483334
2016-06-02,48.9,49.47,47.97,49.05,560000
2016-06-09,51.45,51.67,50.23,50.46,539403
2016-06-16,47.45,47.75,45.91,45.99,495357
2016-06-23,49.08,50.23,49.08,50.13,396076
2016-06-30,49.55,49.62,48.17,48.4,507204
2016-07-07,47.88,48.25,44.87,45.19,685367
2016-07-14,45.14,45.8,44.95,45.49,555154
2016-07-21,45.65,46.09,44.52,44.54,429080
2016-07-28,41.93,42.22,41.04,41.1,443949
2016-08-04,41.16,42.08,40.43,41.81,595486
2016-08-11,41.48,43.86,41.1,43.46,656869
2016-08-18,46.9,48.38,46.63,48.34,223250
2016-08-25,46.8,47.46,46.42,47.38,455272
2016-09-01,44.85,45.08,43,43.53,587154
2016-09-08,46.12,47.75,45.77,47.32,733493
2016-09-15,43.7,44.34,43.26,43.7,528272
