"","DOV.Open","DOV.High","DOV.Low","DOV.Close","DOV.Volume"
"2012-12-27",65.03,65.21,64.42,65.14,1044477
"2013-01-03",67.27,67.92,66.92,67.13,854441
"2013-01-10",67.67,67.77,67.02,67.41,1053293
"2013-01-17",67.19,68.54,67.19,68.24,1140967
"2013-01-24",68.2,68.24,65.4,67.06,2623063
"2013-01-31",69.11,69.4,68.52,69.18,1714866
"2013-02-07",71.54,71.77,70.57,70.9,1293533
"2013-02-14",71.48,71.89,71.29,71.86,1049107
"2013-02-21",71.85,72.04,71.3,71.62,1557213
"2013-02-28",73.57,73.99,73.17,73.35,1272292
"2013-03-07",73.39,73.68,72.96,73.1,901279
"2013-03-14",73.9,74.62,73.71,74.52,923687
"2013-03-21",73.74,73.86,72.14,72.35,1687925
"2013-03-28",72.34,72.96,72.12,72.88,1532072
"2013-04-04",71.15,72.11,71.09,71.92,1489691
"2013-04-11",74.38,74.76,73.9,74.7,1359197
"2013-04-18",70.09,70.29,68.21,68.59,1625309
"2013-04-25",69.95,70.66,69.82,69.94,986920
"2013-05-02",68.39,69.43,68.12,69.33,1129613
"2013-05-09",72.95,73.62,72.81,73.24,644048
"2013-05-16",75.6,76.18,75.45,75.77,750354
"2013-05-23",78.76,80.36,78.5,79.54,3209918
"2013-05-30",78.21,78.92,77.95,78.57,899088
"2013-06-06",77.65,79.04,77,79.04,1046448
"2013-06-13",77.26,78.91,77.09,78.61,751205
"2013-06-20",78.51,78.64,76.91,77.06,1271146
"2013-06-27",78.2,78.36,77.74,78.04,982787
"2013-07-11",80.95,81.39,80.7,81.33,660655
"2013-07-18",82.61,84.04,81.36,83.63,1668520
"2013-07-25",84.84,85.72,84.25,85.44,821470
"2013-08-01",86.49,87.93,86.35,87.65,882138
"2013-08-08",87.47,88.1,87.25,87.8,623706
"2013-08-15",87.54,87.6,86.8,87.11,908271
"2013-08-22",86.31,87.28,86.15,86.63,735709
"2013-08-29",85.38,86.51,85.37,85.92,436640
"2013-09-05",86.76,87.66,86.48,87.51,496957
"2013-09-12",89.44,89.78,88.74,88.99,702868
"2013-09-19",91.3,92.54,91.19,92.46,866662
"2013-09-26",90.49,91.13,89.73,90.01,715779
"2013-10-03",89.72,90.1,88.13,88.48,691009
"2013-10-10",87.91,89.15,87.57,89.14,777129
"2013-10-17",87.1,87.58,85.1,87.4,3194805
"2013-10-24",90.68,92.02,90.46,91.75,1055949
"2013-10-31",91.77,92.38,91.06,91.79,863287
"2013-11-07",91.5,91.79,90.04,90.18,772384
"2013-11-14",93.18,93.71,92.7,93.6,551492
"2013-11-21",91.33,92.92,91.07,92.77,868391
"2013-12-05",88.27,89.97,88.16,89.72,1147764
"2013-12-12",89.6,89.95,89.39,89.66,745558
"2013-12-19",91.8,93.23,91.3,93.17,1130128
"2013-12-26",95.7,96.48,95.67,96.12,325599
"2014-01-02",96.54,96.74,94.93,95.25,647793
"2014-01-09",94.5,95.21,93.78,94.07,1012556
"2014-01-16",96.17,96.59,94.65,96.1,1259103
"2014-01-23",95.49,95.55,93.72,94.08,935212
"2014-01-30",87.68,89.62,85.83,89.27,1455065
"2014-02-06",83.07,83.77,82.57,82.64,1557981
"2014-02-13",84.66,85.47,84.5,85.3,1902301
"2014-02-20",86.73,88.84,86.46,88.58,2261540
"2014-02-27",90.51,91.78,90.51,91.76,1547661
"2014-03-06",80.03,81.59,80.01,81.58,2242001
"2014-03-13",81.76,82.19,80.19,80.67,1596485
"2014-03-20",81.27,81.67,80.5,81.47,1707426
"2014-03-27",80.52,80.75,79.94,80.54,820500
"2014-04-03",85.2,85.93,84.76,85.39,1383157
"2014-04-10",83.57,84.05,81.9,82.18,1142283
"2014-04-17",85.66,86.35,81.8,85.46,2110952
"2014-04-24",86.79,86.79,85.48,86.19,1060474
"2014-05-01",86.36,86.58,85.4,86.02,717410
"2014-05-08",85.89,87.04,85.47,85.9,526472
"2014-05-15",85.98,86.27,84.86,85.77,844023
"2014-05-22",86.01,86.77,85.91,86.01,664817
"2014-05-29",87.03,87.31,86.35,87.18,440149
"2014-06-05",86.95,88.07,86.59,87.94,515766
"2014-06-12",88.89,89.01,88.04,88.81,1279311
"2014-06-19",89.85,90.63,89.36,90.47,686210
"2014-06-26",89.89,90.11,88.74,89.62,463724
"2014-07-03",90.88,91.51,90.75,91.07,507595
"2014-07-10",88.58,88.63,87.74,88.45,1379055
"2014-07-17",87.76,88.49,86.5,87.14,1624565
"2014-07-24",89.83,90.08,88.67,88.82,1137525
"2014-07-31",86.54,87.42,85.75,85.76,1363780
"2014-08-07",84.93,85.29,84.06,84.25,662722
"2014-08-14",87.3,87.83,87.15,87.76,415168
"2014-08-21",90.65,90.65,89.51,89.6,726016
"2014-08-28",88.22,88.23,87.46,88.1,384883
"2014-09-04",88.26,89.4,87.93,88.1,655831
"2014-09-11",86.44,87.13,86.38,87.03,774211
"2014-09-18",85.01,85.63,84.79,85.4,533756
"2014-09-25",81.5,81.52,80.67,80.67,1070602
"2014-10-02",79.29,80.21,78.74,79.61,1258967
"2014-10-09",78.12,78.2,76.08,76.12,1259726
"2014-10-16",72.06,74.02,70.77,73.44,3204860
"2014-10-23",77.22,78.88,77.19,78.36,1803870
"2014-10-30",78.57,79.91,78.3,79.44,927979
"2014-11-06",81.24,81.66,80.32,80.97,2360145
"2014-11-13",81.09,81.13,79.58,80.25,2355510
"2014-11-20",80.41,82.31,80.16,81.9,1243717
"2014-12-04",76.59,76.69,75.64,75.94,1892961
"2014-12-11",71.6,71.6,70.06,70.15,2810825
"2014-12-18",72.66,73.37,71.53,72.13,3291303
"2015-01-08",70.49,71.18,69.84,71.13,1648848
"2015-01-15",69.19,70.17,68.5,68.59,2312500
"2015-01-22",70.54,72.1,70.54,72.04,1885136
"2015-01-29",68.52,70.47,68.12,70.14,2551811
"2015-02-05",72.84,73.05,72.24,72.73,1370038
"2015-02-12",72.57,73.37,72.23,73.28,1113824
"2015-02-19",73.37,74.39,72.99,74.3,1954653
"2015-02-26",73.28,73.63,72.26,72.52,1353855
"2015-03-05",71.63,72.49,71.29,72.46,1761404
"2015-03-12",70.91,72.08,70.8,71.93,1307799
"2015-03-19",71.46,71.64,70.55,71.14,1280701
"2015-03-26",68.95,69.7,68.83,69.5,1573176
"2015-04-02",69.44,70.62,69,69.68,1325919
"2015-04-09",71.23,71.88,70.96,71.62,1313949
"2015-04-16",73.72,74.2,73.14,73.29,1716221
"2015-04-23",71.97,74.83,71.94,74.38,2499097
"2015-04-30",76.29,76.74,75.41,75.72,2113484
"2015-05-07",75.09,75.26,74.23,74.35,1991921
"2015-05-14",76.78,77.2,76.26,76.51,1285940
"2015-05-21",76.25,78.19,76.14,77.56,1776569
"2015-05-28",76.44,76.98,75.85,76.57,1524865
"2015-06-04",75.32,75.32,73.54,73.68,1880756
"2015-06-11",73.54,73.66,72.79,73.38,956184
"2015-06-18",72.78,73.92,72.31,73.43,1626886
"2015-06-25",72.24,72.24,70.97,70.97,709092
"2015-07-02",70.48,70.76,69.79,69.99,1454196
"2015-07-09",69.4,69.4,67.23,67.24,1887639
"2015-07-16",66.26,66.84,66.16,66.32,1754351
"2015-07-23",64.52,65.19,64.38,64.52,1735897
"2015-07-30",65.34,65.34,64.3,64.62,1386123
"2015-08-06",63.77,64.59,63.09,64.07,1134267
"2015-08-13",64.75,64.75,63.93,64.39,1084110
"2015-08-20",62.34,62.75,61.19,61.19,1333649
"2015-08-27",58.87,60.34,58.51,59.98,1584636
"2015-09-03",59.28,60.28,59.2,59.46,1631215
"2015-09-10",60.52,60.91,59.94,60.33,1077798
"2015-09-17",61.8,62.51,61.35,61.5,1684923
"2015-09-24",57.03,58.25,56.25,57.94,1609117
"2015-10-01",57.31,57.79,55.97,56.51,1349425
"2015-10-08",61.8,64.25,61.75,63.84,1728542
"2015-10-15",59.44,59.95,58.4,59.8,1570639
"2015-10-22",62.31,65.29,61.92,64,3586370
"2015-10-29",63.41,64.45,63.4,64.08,1402581
"2015-11-05",64.82,65.31,63.97,64.5,1284089
"2015-11-12",63.78,64.08,62.44,63.9,3270167
"2015-11-19",64.89,65.37,64.44,65.35,780681
"2015-12-03",65.14,66.08,64.54,65.66,2774243
"2015-12-10",63.34,64.31,63.2,63.78,1384503
"2015-12-17",61.21,61.54,59.25,59.46,2100516
"2015-12-24",62.03,62.73,61.97,62.4,1096940
"2015-12-31",61.27,62.03,61.01,61.31,580922
"2016-01-07",58.1,59.16,57.73,58.34,1624461
"2016-01-14",55.38,56.42,54.24,55.71,3115295
"2016-01-21",52.51,53.91,52,52.85,1469340
"2016-01-28",56.61,56.98,55.58,56.62,2072850
"2016-02-04",58.25,61.28,58.23,59.67,2008442
"2016-02-11",55.92,57.42,55.3,57.25,2241085
"2016-02-18",61.53,62.28,61.09,61.65,1461247
"2016-02-25",59.77,60.65,59.21,60.54,1410170
"2016-03-03",62.65,63.09,62.19,62.45,1521103
"2016-03-10",62.05,62.08,60.36,61.01,1708545
"2016-03-17",63.81,66.43,63.81,65.59,3184248
"2016-03-24",64.37,64.61,63.64,64.61,889410
"2016-03-31",64.44,64.62,63.73,64.33,1031089
"2016-04-07",62.63,63.25,62.35,62.72,1434052
"2016-04-14",66.53,66.91,65.83,66.06,1132360
"2016-04-21",66.52,67.83,65,66.68,2080889
"2016-04-28",66.38,67.03,65.83,66.04,1513440
"2016-05-05",64,64.4,63.3,63.41,1366721
"2016-05-12",66.21,66.8,65.34,66.13,1165838
"2016-05-19",65.08,65.08,63.38,64.11,1747535
"2016-05-26",66.73,67.37,66.42,66.69,995709
"2016-06-02",66.81,67.1,66.32,67,954078
"2016-06-09",70.89,72.27,70.89,72.08,1489811
"2016-06-16",69.14,69.96,68.26,69.78,877586
"2016-06-23",71.52,71.82,71.08,71.66,964054
"2016-06-30",68.15,69.33,67.58,69.32,1342236
"2016-07-07",67.94,69.65,67.79,68.73,3419400
"2016-07-14",72.96,73.49,72.54,72.57,836449
"2016-07-21",71.79,73.24,71.11,71.91,2936011
"2016-07-28",71.57,71.85,71.27,71.71,1080048
"2016-08-04",70.6,72.04,70.6,71.15,967981
"2016-08-11",73.87,74.66,73.63,74.53,979556
"2016-08-18",73.98,74.18,73.76,74.18,722930
"2016-08-25",73.46,73.78,73.3,73.69,538939
"2016-09-01",72.54,72.56,71.7,72.54,891879
"2016-09-08",71.62,72.68,71.33,72.54,1255663
"2016-09-15",67.65,68.95,67.41,68.6,1415037
