"","NEE.Open","NEE.High","NEE.Low","NEE.Close","NEE.Volume"
"2014-07-31",95.64,95.98,93.8,93.89,2725170
"2014-08-07",92.84,94.29,92.6,93.97,2842549
"2014-08-14",95.61,96.3,95.61,96.19,964451
"2014-08-21",97.8,98.63,97.78,98.01,1285456
"2014-08-28",96.67,97.71,96.38,97.53,944202
"2014-09-04",97.52,97.85,96.77,97.23,2101478
"2014-09-11",95.6,96.4,94.95,96.15,1680951
"2014-09-18",95.26,95.65,94.3,94.58,1849867
"2014-09-25",94.12,94.5,93.12,93.14,1754939
"2014-10-02",94.07,94.71,93.61,93.77,1680679
"2014-10-09",95.35,95.95,93.59,93.59,2386201
"2014-10-16",90.8,93.88,90.5,93.37,3324804
"2014-10-23",97.3,98.3,96.7,97.8,2354018
"2014-10-30",98.98,100.17,97.51,99.91,2848957
"2014-11-06",104.52,105.13,102.75,103.95,3619879
"2014-11-13",103.09,103.83,101.9,102.27,1765014
"2014-11-20",102.89,103.4,102.68,103.06,1317806
"2014-12-04",102.65,104.1,102.58,103.49,3655320
"2014-12-11",101.75,103.18,101.51,102.48,2338696
"2014-12-18",104.04,105.47,103.2,105.45,2206600
"2015-01-08",107.87,108.23,107.31,107.59,1905115
"2015-01-15",107.53,107.83,106.12,107.04,4324708
"2015-01-22",110.28,110.72,108.51,109.55,2322617
"2015-01-29",110.18,111.72,109.72,111.66,1705945
"2015-02-05",109.82,110.09,108.83,109.71,1307926
"2015-02-12",105.05,105.37,103.84,105.34,2359813
"2015-02-19",106.95,106.95,105.03,105.43,3270616
"2015-02-26",104.07,104.43,103.21,103.48,1743649
"2015-03-05",101.83,102.96,101.62,102.13,1966832
"2015-03-12",98.78,101.27,98.68,100.52,3249827
"2015-03-19",106.5,107.47,104.95,105.48,2849787
"2015-03-26",102.81,103.78,102.3,102.72,1712865
"2015-04-02",104.62,105.27,104.27,104.75,1320155
"2015-04-09",103.88,104.1,102.94,104.01,1320648
"2015-04-16",103.81,104.41,102.94,103.76,1692697
"2015-04-23",103.4,104.59,103.16,104.28,1685605
"2015-04-30",102.32,102.9,100.25,100.93,3765465
"2015-05-07",100.67,100.97,100.11,100.6,2178295
"2015-05-14",100.58,101.26,100.47,101.08,1823378
"2015-05-21",102.5,102.75,101.87,102.16,1340282
"2015-05-28",100.75,102.33,100.75,102.27,2620357
"2015-06-04",99.86,100.89,99.75,100.37,2217005
"2015-06-11",99.62,99.94,99.13,99.67,1450912
"2015-06-18",100.79,102.4,100.64,102.26,2170366
"2015-06-25",98.85,99.03,97.86,97.99,1479808
"2015-07-02",98.97,100.57,98.95,100.22,2219486
"2015-07-09",102.26,102.82,100.82,101.18,2823647
"2015-07-16",102.8,104.92,102.71,104.43,2478302
"2015-07-23",102.8,102.85,101.22,102.07,1947453
"2015-07-30",104.22,105.3,103.95,104.89,1752336
"2015-08-06",106.25,106.32,105.29,105.75,2946617
"2015-08-13",108.38,109.21,107.22,108.92,1809062
"2015-08-20",108.54,109.67,108.18,108.25,2055905
"2015-08-27",102.36,102.63,101,102.26,3010319
"2015-09-03",95.51,96,94.73,95.17,2522455
"2015-09-10",95.19,96.16,95,95.35,2486088
"2015-09-17",97.35,100.22,97.2,98.7,2916384
"2015-09-24",96.61,97.66,96.47,97.52,2914857
"2015-10-01",97.79,97.86,95.84,96.55,3187752
"2015-10-08",99.56,100.98,99.2,100.85,1751643
"2015-10-15",101.43,103.37,101.25,103.2,1793884
"2015-10-22",104.47,105.85,104.18,105.71,1676994
"2015-10-29",102.65,102.65,101,101.78,1697141
"2015-11-05",103.04,103.51,102.04,102.1,1525435
"2015-11-12",99.7,101.59,99.46,100.73,3293682
"2015-11-19",99.85,101.25,99.63,100.99,2319529
"2015-12-03",97.48,98.01,96.19,96.42,2672830
"2015-12-10",98.99,98.99,97.49,97.6,1806170
"2015-12-17",103.65,104.43,103.01,103.41,2439246
"2015-12-24",103.85,104.15,103.51,103.93,552762
"2015-12-31",104.91,104.92,103.03,103.89,1436210
"2016-01-07",103.19,105.06,103.03,104.7,3217664
"2016-01-14",104.81,106.77,104.38,105.69,2495443
"2016-01-21",105.43,105.78,103.86,105.04,2196596
"2016-01-28",105.76,108.77,105.53,108.3,3671382
"2016-02-04",113.92,114.96,112.55,113.52,2918311
"2016-02-11",113.03,113.96,111.88,111.9,3247324
"2016-02-18",111.84,114.78,111.69,114.33,3271221
"2016-02-25",116.37,116.98,115.12,115.84,2190777
"2016-03-03",112.48,112.54,109.96,111.62,3433902
"2016-03-10",116.83,116.97,114.53,115.69,1586893
"2016-03-17",117.28,118.55,116.51,118.33,2040670
"2016-03-24",117.49,118.62,117.28,118.48,2415775
"2016-03-31",118.24,118.8,117.85,118.34,2004993
"2016-04-07",116.37,117.31,115.99,116.19,1331277
"2016-04-14",116.17,116.93,115,116.15,1536488
"2016-04-21",115.23,115.25,112.44,112.91,2427744
"2016-04-28",115.8,117.73,115.13,116.47,2144213
"2016-05-05",119.42,120.44,117.96,118.85,2089447
"2016-05-12",119.87,121.39,119.27,121.15,1990030
"2016-05-19",117.13,118.45,116.5,118.41,2060536
"2016-05-26",118.21,119.9,118.2,119.82,1149134
"2016-06-02",119.83,120.2,118.7,119.81,1378897
"2016-06-09",122.97,124.14,122.87,123.98,1387890
"2016-06-16",124.17,125.07,123.84,124.85,1533677
"2016-06-23",123.73,123.81,122.96,123.81,1396415
"2016-06-30",127.97,130.43,127.39,130.4,3121211
"2016-07-07",130.5,130.81,127.97,128.33,1921918
"2016-07-14",127.28,128.1,126.54,127.24,2455775
"2016-07-21",127,128.46,126.39,128.26,1655184
"2016-07-28",127.02,128.1,126.55,127.42,1848167
"2016-08-04",127.84,128.39,127.05,127.45,2271468
"2016-08-11",126.37,127.09,126.1,127.02,1509047
"2016-08-18",125.3,127.04,125.3,126.96,2651904
"2016-08-25",124.34,124.85,124.04,124.51,1239382
"2016-09-01",120.75,121.24,120.22,121,2082172
"2016-09-08",124.27,125.77,124.27,125.38,1748362
"2016-09-15",122,123.04,121.42,122.73,1296668
