"","LRCX.Open","LRCX.High","LRCX.Low","LRCX.Close","LRCX.Volume"
"2012-08-16",34.78,35.33,34.75,35.19,2245088
"2012-08-23",34.92,34.92,34.42,34.55,1530532
"2012-08-30",33.96,34.02,33.39,33.39,2919833
"2012-09-06",33.49,34.53,33.27,34.29,3243775
"2012-09-13",33.63,34,33.29,33.91,6149844
"2012-09-20",32.73,32.81,32.47,32.64,3985119
"2012-09-27",31.5,32.07,31.19,31.78,2941036
"2012-10-04",31.85,31.91,31.33,31.78,3021140
"2012-10-11",32.2,32.79,31.98,32.71,5569496
"2012-10-18",34,36.72,33.75,36.01,12556701
"2012-10-25",35.74,35.97,35.45,35.68,3408040
"2012-11-01",35.49,36.93,35.46,36.92,3108243
"2012-11-08",36.12,36.53,35.94,35.94,2882097
"2012-11-15",35.48,35.59,34.4,34.62,3787774
"2012-11-29",35.51,35.79,34.99,35.16,1958577
"2012-12-06",35.18,35.4,34.88,35.1,2138355
"2012-12-13",35.95,36.5,35.68,36.24,2162015
"2012-12-20",36.64,36.85,36.24,36.59,2051523
"2012-12-27",36.42,36.45,35.54,35.98,2318730
"2013-01-03",38.06,38.46,37.59,37.98,3413371
"2013-01-10",37.75,38.28,37.62,37.85,1638812
"2013-01-17",38.36,40.23,38.36,40.07,4480977
"2013-01-24",39.68,40.19,38.67,39.52,3701919
"2013-01-31",41.78,41.95,41.04,41.14,1566713
"2013-02-07",42.32,42.52,41.9,42.39,1887451
"2013-02-14",42.86,43.35,42.62,42.9,2067568
"2013-02-21",42.04,42.04,40.74,40.91,3026401
"2013-02-28",42.52,42.86,42.28,42.3,2122442
"2013-03-07",43.15,43.39,42.68,42.8,1291352
"2013-03-14",42.38,42.84,42.32,42.42,1661973
"2013-03-21",40.75,41.14,40.49,40.63,3788022
"2013-03-28",40.94,41.54,40.72,41.46,2472545
"2013-04-04",40.44,41.3,40.27,41.23,1898586
"2013-04-11",42.65,43.77,42.57,42.8,2970179
"2013-04-18",41.88,42,41.12,41.28,2690583
"2013-04-25",44,46.72,44,45.62,4853475
"2013-05-02",45.95,46.36,45.47,45.65,2559830
"2013-05-09",46.54,47.39,46.51,47.23,1603414
"2013-05-16",48.1,48.25,47.48,47.54,1943446
"2013-05-23",46.59,46.95,46.34,46.81,1532742
"2013-05-30",46.96,48,46.81,47.7,1250330
"2013-06-06",47.4,47.73,46.83,47.37,1060623
"2013-06-13",46.13,47.69,46.12,47.46,2054802
"2013-06-20",46.46,46.8,44.49,44.81,4215465
"2013-06-27",44.92,45.15,44.75,44.84,1611658
"2013-07-11",49.93,50.31,49.29,49.98,2796976
"2013-07-18",49.98,50.18,49.41,49.9,1241244
"2013-07-25",48.71,49.22,48.56,49.16,1393879
"2013-08-01",49.84,51,49.23,50.89,2791158
"2013-08-08",48.69,48.9,47.98,48.49,1570860
"2013-08-15",47.7,47.83,47.1,47.2,1744383
"2013-08-22",47.91,48.47,47.91,48.16,542114
"2013-08-29",46.27,47.68,46.2,47.22,1166952
"2013-09-05",49.38,49.75,49.03,49.55,2177261
"2013-09-12",50.34,51,50.17,50.4,1978876
"2013-09-19",50.34,50.68,49.64,49.83,1134959
"2013-09-26",52.24,52.3,51.41,51.62,1400505
"2013-10-03",51.41,51.77,50.85,51.2,1295745
"2013-10-10",51.28,52.87,51.26,52.72,1849685
"2013-10-17",53.04,53.65,53.03,53.52,1587044
"2013-10-24",54.94,55.48,52.7,53,7345855
"2013-10-31",54.15,54.62,53.89,54.26,1955474
"2013-11-07",53.94,54.08,51.99,52.09,3196115
"2013-11-14",52.21,52.8,52.21,52.31,1498811
"2013-11-21",49.8,51.28,49.79,50.85,2893480
"2013-12-05",51.36,51.49,50.73,50.85,1505015
"2013-12-12",51.08,51.23,50.71,50.81,1520662
"2013-12-19",52.85,53.19,52.24,53.02,1506756
"2013-12-26",54.64,54.67,54.21,54.32,712118
"2014-01-02",54.04,54.33,53.69,53.95,1052918
"2014-01-09",54.03,54.85,54.01,54.2,1260788
"2014-01-16",55.95,56.21,54.87,54.9,2002744
"2014-01-23",55.26,55.3,53.96,54.04,2840099
"2014-01-30",52.8,52.9,50.17,51.26,5245820
"2014-02-06",50.15,51.21,50.01,51.05,3855608
"2014-02-13",51.74,52.06,50.35,51.91,3333917
"2014-02-20",52.1,52.58,51.68,52.35,1425572
"2014-02-27",52.52,52.52,51.52,51.83,1619600
"2014-03-06",52.01,53.52,51.85,53.35,3119629
"2014-03-13",53.76,54.16,52.4,52.93,1878754
"2014-03-20",54.5,56.45,54.13,56.43,2404018
"2014-03-27",55.11,55.39,54.3,54.46,1475153
"2014-04-03",57.05,58.94,57,57.68,3738596
"2014-04-10",55.93,56.06,52.93,53.07,3699152
"2014-04-17",52.17,53.02,52.06,52.74,2245675
"2014-04-24",57.29,58.59,55.89,58.26,8431916
"2014-05-01",57.73,58.26,56.87,57.2,1950285
"2014-05-08",56.94,57.76,56.46,56.92,1647300
"2014-05-15",56.49,56.49,55.4,55.86,1936656
"2014-05-22",59.6,59.97,59.11,59.2,1564082
"2014-05-29",61.82,61.9,61.32,61.78,1776612
"2014-06-05",64.79,65.36,64.02,65.02,1696118
"2014-06-12",65.29,65.93,65.05,65.52,1412472
"2014-06-19",66.64,66.88,65.58,66.09,1715831
"2014-06-26",66.89,66.93,65.92,66.5,852070
"2014-07-03",69.08,69.47,68.89,69.01,1367139
"2014-07-10",70.37,71.5,69.9,71.09,1775787
"2014-07-17",70.89,71.37,70.42,70.72,1533361
"2014-07-24",70.93,70.99,69.74,69.9,1913150
"2014-07-31",67.94,72.92,66.7,70,6982536
"2014-08-07",69.98,70.25,67.51,67.69,2527376
"2014-08-14",68.76,69.26,68.41,68.62,1058541
"2014-08-21",71.52,72.12,71.34,72,945541
"2014-08-28",71.17,71.91,70.36,71.87,931757
"2014-09-04",71.91,72.58,71.42,71.46,1210068
"2014-09-11",71.74,72.8,71.62,72.62,1771875
"2014-09-18",75.62,76.91,75.21,76.77,1994807
"2014-09-25",75.5,75.5,74,74.68,1882582
"2014-10-02",72.44,72.71,70.8,72.29,2472713
"2014-10-09",74.04,74.35,72.23,72.56,1913535
"2014-10-16",68.68,70.09,68.41,69.69,2240978
"2014-10-23",72.38,76.43,72.38,75.64,3969539
"2014-10-30",75.68,76.26,74.86,76.05,1811409
"2014-11-06",79.79,80.18,79.2,79.59,997737
"2014-11-13",79.24,79.99,78.48,78.85,1726598
"2014-11-20",78,78.91,77.92,78.64,1411856
"2014-12-04",84.14,85.7,83.57,84.2,1749078
"2014-12-11",79.98,81,79.5,79.8,1476618
"2014-12-18",80.56,80.98,79.28,80.82,1802551
"2015-01-08",78.28,79.68,78,79.58,1878563
"2015-01-15",76.69,77.81,76.39,76.68,2147706
"2015-01-22",80.3,80.92,78.63,80.86,1603227
"2015-01-29",80,82.16,77.56,79.87,3264780
"2015-02-05",77.76,78.19,77.32,78.03,1729811
"2015-02-12",80.75,81.11,80.26,81.11,1568357
"2015-02-19",81.67,83.21,81.63,83.07,1092580
"2015-02-26",83.46,84.34,82.96,83.38,981146
"2015-03-05",81.16,81.77,80.23,80.77,1292201
"2015-03-12",77.78,78.14,77.07,77.72,2109162
"2015-03-19",77.49,78.99,76.73,78.95,2402587
"2015-03-26",72.01,72.09,69.92,71.15,5161211
"2015-04-02",70.3,71.15,69.89,70.75,2163638
"2015-04-09",72.47,73.27,72.32,73.16,1382587
"2015-04-16",71.76,72.23,71.24,71.79,2452433
"2015-04-23",77.49,78.17,76.81,77.08,2408772
"2015-04-30",76.03,76.6,75.02,75.58,1638347
"2015-05-07",74.96,75.76,74.75,75.45,1724535
"2015-05-14",77.68,78.55,77.29,78.24,1679257
"2015-05-21",80.32,81.41,80.02,81.23,1178269
"2015-05-28",82.61,83.35,82.1,82.38,1259624
"2015-06-04",82.89,83.46,82.31,82.97,1452098
"2015-06-11",83,83.38,82.22,82.54,1032624
"2015-06-18",82.62,84.15,82.52,83.87,1511801
"2015-06-25",83.61,84.34,83.2,83.73,1458327
"2015-07-02",82.45,83.3,81.94,83.23,1520819
"2015-07-09",79.85,80.37,77.59,77.63,1850126
"2015-07-16",79.34,79.59,75.51,77.35,3876923
"2015-07-23",76.7,78.1,76.42,77.02,1240315
"2015-07-30",78.44,80.87,78.34,78.57,3393851
"2015-08-06",74.42,74.42,72.29,72.52,1951820
"2015-08-13",72.75,73.4,71.93,72.01,1908976
"2015-08-20",71.73,71.93,70.83,71.02,2576479
"2015-08-27",71.56,73.58,71.2,73.11,3054397
"2015-09-03",72.01,72.77,71.28,71.75,1579569
"2015-09-10",70.55,72.93,70.42,71.9,1782140
"2015-09-17",74.14,74.14,72.44,72.64,1733120
"2015-09-24",63.09,63.9,61.2,63.39,4352813
"2015-10-01",65.28,66.62,63.22,64.44,3168923
"2015-10-08",65.91,67.36,65.43,67.31,1395637
"2015-10-15",67.75,68.4,66.02,67.46,2428165
"2015-10-22",71.59,74.42,71.01,72.61,7179273
"2015-10-29",75.01,75.99,74.68,75.84,2352071
"2015-11-05",77.23,77.99,75.83,77.07,3177183
"2015-11-12",76.07,76.5,75.01,75.44,1935658
"2015-11-19",78.38,78.67,77.52,77.92,2125268
"2015-12-03",79.38,79.73,76.15,76.44,2313700
"2015-12-10",78.73,80.68,78.09,80.03,2325136
"2015-12-17",80.49,80.79,78.66,78.7,1536717
"2015-12-24",80.21,80.78,80.15,80.39,428415
"2015-12-31",80.11,80.49,79.25,79.42,1077967
"2016-01-07",72.1,73.52,71.46,71.71,3449871
"2016-01-14",69.78,72.84,68.88,71.95,4602513
"2016-01-21",69.95,70.04,67.58,68.12,3935713
"2016-01-28",68.51,71,68.14,69.45,4235156
"2016-02-04",71.36,72.06,70.56,71.47,2199718
"2016-02-11",64.42,65.35,63.1,64.21,3967551
"2016-02-18",69.56,69.56,67.73,67.77,2597923
"2016-02-25",70.52,72.46,70.14,72.43,2933705
"2016-03-03",74.55,75,73.9,74.87,1401533
"2016-03-10",74.13,75.96,73.83,75.23,2965172
"2016-03-17",78.57,79.5,77.48,79.26,2659992
"2016-03-24",78.74,78.9,77.49,78.88,2154640
"2016-03-31",81.81,83.06,80.94,82.6,3852998
"2016-04-07",82.07,82.5,80.45,81.22,2455348
"2016-04-14",81.65,82.3,80.72,81.61,2762760
"2016-04-21",82.71,83.83,80.21,80.82,3995292
"2016-04-28",79.94,80.38,77.96,78.16,3234217
"2016-05-05",75.04,75.83,74.8,75.05,2870264
"2016-05-12",75.83,76.03,74.09,74.9,2328315
"2016-05-19",73.66,74.05,72.99,73.32,1817331
"2016-05-26",80.44,81.19,80.28,81.02,1853542
"2016-06-02",83.04,84.31,82.75,83.63,2828865
"2016-06-09",82.67,83.69,82.13,83.63,1574409
"2016-06-16",81.75,82.81,81.36,82.67,1314708
"2016-06-23",86.28,87.19,86.15,87.18,2606873
"2016-06-30",82.81,84.06,82.18,84.06,2845627
"2016-07-07",82.17,83.21,81.53,82.04,1829745
"2016-07-14",89.51,89.75,87.82,87.88,2462797
"2016-07-21",91.13,91.34,89,89.32,2162461
"2016-07-28",92.94,93.8,91.6,93.08,2824505
"2016-08-04",90.83,92,90.36,91.93,2135884
"2016-08-11",89.15,89.87,88.58,88.89,4719746
"2016-08-18",90.5,91.1,90,90.93,1654295
"2016-08-25",92.79,93.95,92.6,93.44,1690498
"2016-09-01",93.6,94.77,92.79,94.63,1899987
"2016-09-08",93.5,94.24,93.16,93.57,1196575
"2016-09-15",91.57,93.7,91.57,93.36,2642638
