"","HRS.Open","HRS.High","HRS.Low","HRS.Close","HRS.Volume"
"2013-03-14",45.44,45.5,44.77,44.89,854291
"2013-03-21",44.58,44.91,44.13,44.13,970148
"2013-03-28",45.35,46.58,45.01,46.34,1314906
"2013-04-04",45.64,45.78,45.1,45.27,597366
"2013-04-11",45.68,46.58,45.56,46.56,1026533
"2013-04-18",41.63,41.83,41.08,41.66,1269203
"2013-04-25",43.78,44.33,43.64,44.26,842208
"2013-05-02",45.41,46.07,45.3,45.9,900586
"2013-05-09",48.26,48.96,48.11,48.52,963717
"2013-05-16",49.71,50.49,49.37,49.43,1086654
"2013-05-23",49.43,50.3,49.37,50.1,597784
"2013-05-30",51.06,51.35,50.88,51.03,720986
"2013-06-06",49.66,50.36,49.58,50.11,821476
"2013-06-13",49.09,50.13,48.88,49.99,389607
"2013-06-20",49.53,49.56,48.43,48.45,692160
"2013-06-27",49.08,49.67,49.05,49.46,433452
"2013-07-11",50.73,51.21,50.67,51.06,618941
"2013-07-18",51.86,52.47,51.42,52.45,629732
"2013-07-25",52.75,53.29,52.63,53.16,628409
"2013-08-01",57.36,57.68,56.96,57.49,951287
"2013-08-08",57.37,57.91,56.91,57.63,515971
"2013-08-15",57.44,57.58,56.7,56.93,621570
"2013-08-22",56.34,56.82,56.18,56.55,436189
"2013-08-29",56.02,56.78,55.85,56.5,513762
"2013-09-05",58.12,58.56,57.84,58.43,656624
"2013-09-12",58.16,58.72,57.85,58.21,766838
"2013-09-19",58.6,58.7,57.75,57.98,757767
"2013-09-26",59.36,59.75,59.01,59.17,397441
"2013-10-03",58.72,58.77,58.12,58.38,818157
"2013-10-10",58.73,59.6,58.54,59.6,405508
"2013-10-17",58.66,59.11,58.49,59.11,636271
"2013-10-24",60.85,61.14,59.93,60.06,583017
"2013-10-31",62,62.31,61.34,61.96,726386
"2013-11-07",62.93,63,62.32,62.45,734641
"2013-11-14",63.84,64.41,63.56,64.35,451886
"2013-11-21",64.01,64.87,63.75,64.76,685106
"2013-12-05",64.56,64.86,64.12,64.81,612089
"2013-12-12",65.46,65.96,65.17,65.32,436290
"2013-12-19",67.31,68.34,67.16,67.96,716087
"2013-12-26",68.92,69.82,68.82,69.67,422929
"2014-01-02",69.63,69.65,68.08,68.48,601686
"2014-01-09",68.26,68.59,67.81,68.37,716957
"2014-01-16",69.76,70.7,69.45,70.59,1320302
"2014-01-23",74.24,70.73,69.37,69.76,631081
"2014-01-30",69,69.92,68.72,69.77,898045
"2014-02-06",68.05,68.94,68.04,68.91,377142
"2014-02-13",71.26,71.74,70.8,71.69,570907
"2014-02-20",72.74,73.43,72.32,72.64,812663
"2014-02-27",72.48,74.19,72.48,74.07,1277945
"2014-03-06",74.7,75.09,74.49,74.81,703879
"2014-03-13",74.37,74.66,73.01,73.24,760822
"2014-03-20",73.93,74.49,73.64,74.3,495351
"2014-03-27",72.29,73.01,71.84,71.96,438250
"2014-04-03",75.03,75.26,73.3,74.19,727352
"2014-04-10",72.2,72.38,69.91,69.91,551534
"2014-04-17",71.39,72.65,71.02,72.22,423755
"2014-04-24",73.02,73.27,71.6,72.14,497920
"2014-05-01",73.34,74.1,73.02,73.48,767359
"2014-05-08",74.7,75.43,74.53,74.94,554946
"2014-05-15",75.17,75.37,74.32,74.89,554906
"2014-05-22",76,76.16,75.73,76.03,254300
"2014-05-29",77.28,77.59,76.68,77,373744
"2014-06-05",76.15,76.63,75.36,76.49,484979
"2014-06-12",77.15,77.15,76.04,76.26,319183
"2014-06-19",75.9,76.23,75.08,75.5,543343
"2014-06-26",74.9,75.63,74.6,75.51,303469
"2014-07-03",75.72,76.34,75.67,76.18,277565
"2014-07-10",71.52,73.62,71.17,73.23,651398
"2014-07-17",73.29,73.94,72.86,72.89,472874
"2014-07-24",73.37,73.52,73.04,73.36,376732
"2014-07-31",68.84,69.4,68.01,68.27,875447
"2014-08-07",69.23,69.77,68.1,68.22,502737
"2014-08-14",69.37,69.47,68.77,68.99,685338
"2014-08-21",70.3,71.1,70.11,71.05,344936
"2014-08-28",70.63,71.11,70.35,70.92,432942
"2014-09-04",71.17,71.58,70.15,70.22,674484
"2014-09-11",69.67,70.61,69.34,70.44,394420
"2014-09-18",69.84,70.5,69.84,70.25,246691
"2014-09-25",68.02,68.12,67.27,67.28,428599
"2014-10-02",66.52,66.88,64.93,66.06,561114
"2014-10-09",65.23,65.49,63.58,63.61,423853
"2014-10-16",61.7,63.36,61.7,62.99,551842
