"","APC.Open","APC.High","APC.Low","APC.Close","APC.Volume"
"2012-06-07",63.03,65,62.71,63.2,7051442
"2012-06-14",63.17,64.16,62.6,63.96,4408368
"2012-06-21",64.52,64.63,60.47,60.56,5993160
"2012-06-28",62.82,63.71,61.85,63.25,6428718
"2012-07-05",68.84,68.84,66.37,67.13,5209443
"2012-07-12",65.59,69.42,64.61,68.12,9943668
"2012-07-19",72.87,73.47,68.86,72.59,13080583
"2012-07-26",71.09,71.63,69.84,71.16,2868408
"2012-08-02",67.32,67.76,65.38,66.22,7190666
"2012-08-09",69.4,70.88,68.47,69.66,4984194
"2012-08-16",69.21,71.07,69.15,70.97,3430270
"2012-08-23",69.69,70.33,68.91,68.92,2537274
"2012-08-30",69.23,69.23,68.11,68.26,2186428
"2012-09-06",68.97,71.1,68.92,71.07,5104488
"2012-09-13",72.7,74.76,71.82,74.09,3618992
"2012-09-20",71.85,72.11,70.62,72.01,3741827
"2012-09-27",69.25,70.67,69.08,70.23,3679862
"2012-10-04",69.41,69.92,69.06,69.81,2573003
"2012-10-11",69.08,69.4,68.41,68.97,3236408
"2012-10-18",71.79,72.25,71.52,71.88,2189789
"2012-10-25",66.88,67.14,65.82,66.55,2295275
"2012-11-01",68.72,70.56,68.56,70.34,4393461
"2012-11-08",70.26,71.34,69.63,69.64,2752428
"2012-11-15",69.52,71.01,69.41,70.38,4048096
"2012-11-29",74.11,74.46,72.98,73.37,2469913
"2012-12-06",74.45,74.7,73.62,74.35,2874176
"2012-12-13",75.28,75.44,74.06,74.75,4157258
"2012-12-20",74.88,76.35,74.79,76.32,2754791
"2012-12-27",73.62,73.94,72.66,73.77,2281608
"2013-01-03",75.9,77.35,75.16,76.33,3098703
"2013-01-10",78.51,78.51,77.46,77.66,3350251
"2013-01-17",77.36,77.96,76.91,77.08,3311907
"2013-01-24",79.11,80.7,79.11,80.02,4036923
"2013-01-31",79.76,80.66,79.22,80.02,2961144
"2013-02-07",83.54,84.5,83.02,84.1,3398103
"2013-02-14",83.63,84.43,83.11,84,2166797
"2013-02-21",80.02,80.54,79.29,80.21,4692105
"2013-02-28",80.18,80.32,79.35,79.58,3607739
"2013-03-07",81.87,83.25,80.9,82.81,2366710
"2013-03-14",84.16,85.58,83.95,85.19,3913770
"2013-03-21",85.59,86.82,85.42,85.49,3079693
"2013-03-28",89,89.2,87.15,87.45,4238883
"2013-04-04",83.9,84.33,82.97,84.27,2568214
"2013-04-11",86.78,87.4,86.02,87.35,2696875
"2013-04-18",79.79,81.08,78.3,80.64,4307298
"2013-04-25",83.74,85.5,83.21,84.12,5019138
"2013-05-02",83.68,85.08,82.92,84.79,2330969
"2013-05-09",87.55,87.96,86.5,86.99,2685673
"2013-05-16",88.03,89.04,87.53,87.81,2899037
"2013-05-23",87.7,89.71,86.96,89.64,3495582
"2013-05-30",90.24,90.76,89.45,90.11,2408750
"2013-06-06",86.22,87.29,85.34,86.9,2966030
"2013-06-13",85.99,87.65,85.81,87.45,2410818
"2013-06-20",84.86,85.24,82.68,83.11,3743593
"2013-06-27",87.05,87.49,85.98,86.03,2145950
"2013-07-11",89.94,90.8,89.29,90.61,2763042
"2013-07-18",89.31,90.32,89.31,90.26,3717323
"2013-07-25",89.6,90.22,88.75,89.49,2599785
"2013-08-01",89.47,90.59,89.47,90.4,4014042
"2013-08-08",89.63,90.63,88.64,90.48,3026140
"2013-08-15",88.2,89.88,87.57,89.2,2493665
"2013-08-22",88.92,89.83,88.52,89.26,1606831
"2013-08-29",92.05,92.7,91.58,91.65,2662229
"2013-09-05",92.29,93,92.22,92.75,1532703
"2013-09-12",94.55,95.73,94.11,95.53,3342823
"2013-09-19",95.25,95.6,94.22,94.8,2657645
"2013-09-26",94.98,95.25,93.42,94.48,2097879
"2013-10-03",94.33,94.79,92.82,92.98,2209830
"2013-10-10",93.39,94.57,92.38,94.41,2058132
"2013-10-17",97.43,97.58,96.05,96.75,2224150
"2013-10-24",92.28,94.55,91.27,94.29,5242674
"2013-10-31",96.04,96.31,93.74,95.29,2848437
"2013-11-07",92.54,92.62,89.47,89.95,4527116
"2013-11-14",91.14,91.27,90.34,91.08,2029092
"2013-11-21",91.4,92.48,90.98,92.27,2081988
"2013-12-05",88.21,89.05,87.75,87.99,2696941
"2013-12-12",83.71,84.86,83.5,83.67,4731060
"2013-12-19",79.53,79.59,78.8,79.02,6302355
"2013-12-26",78.49,78.51,77.89,78.22,2543976
"2014-01-02",79.03,79.03,78.01,78.56,3352844
"2014-01-09",79.15,79.41,78.15,79.08,4591728
"2014-01-16",81.54,81.74,80.6,81.32,6864255
"2014-01-23",83.35,83.35,82.07,82.88,3720671
"2014-01-30",81.46,81.98,80.5,81.45,3547613
"2014-02-06",79.36,79.91,78.69,78.9,4010708
"2014-02-13",80.64,82.25,80.18,81.52,2979496
"2014-02-20",83.47,83.62,82.74,83.21,4996447
"2014-02-27",82.15,83.27,82.07,83.04,2513595
"2014-03-06",86.71,86.76,85.58,86.52,6074687
"2014-03-13",82.22,82.39,81.52,81.57,3557305
"2014-03-20",82.24,83.81,81.71,83.75,3514633
"2014-03-27",83.55,84.21,82.65,83.49,3684792
"2014-04-03",86.63,100,85.95,99.02,44799284
"2014-04-10",99.32,99.78,96.13,96.58,7094401
"2014-04-17",98.67,99.71,97.91,98.96,6273230
"2014-04-24",99.34,101.29,98.96,100.19,6482957
"2014-05-01",99.15,99.56,98.46,99.55,2423984
"2014-05-08",101.85,101.9,99.84,100.01,3239978
"2014-05-15",101.28,101.29,98.18,99.55,6259016
