"","SLB.Open","SLB.High","SLB.Low","SLB.Close","SLB.Volume"
"2013-04-18",71.4,71.66,70.19,71,8245548
"2013-04-25",73.25,74.07,72.8,73.44,7382293
"2013-05-02",73.82,74.58,73.46,74.25,4642043
"2013-05-09",77.48,77.66,76.74,77.25,4382643
"2013-05-16",75.76,76.17,75.07,75.27,6201663
"2013-05-23",74.44,75.45,73.82,75.38,6712825
"2013-05-30",74.58,75.2,73.95,74.81,5747355
"2013-06-06",71.89,73.3,71.8,73.3,7294247
"2013-06-13",71.11,72.57,71,72.46,6800248
"2013-06-20",72.61,72.82,71.8,72.14,8918984
"2013-06-27",72.12,72.54,71.85,71.93,5951026
"2013-07-11",77.08,77.22,76.01,76.63,4889752
"2013-07-18",77.76,78.85,77.76,78.48,6146466
"2013-07-25",82.52,83.28,82.02,82.57,5838142
"2013-08-01",82.35,83.7,82.35,83.55,7006537
"2013-08-08",81.57,82.03,81.12,81.23,3997425
"2013-08-15",81.62,82.32,81.48,81.99,4606355
"2013-08-22",80.77,82.64,80.51,82.21,4504760
"2013-08-29",82.7,82.91,81.48,81.6,4834582
"2013-09-05",83.23,84.55,83,84.22,8640446
"2013-09-12",86.85,87.18,86,86.58,5860790
"2013-09-19",88.84,89.72,88.72,88.79,6013041
"2013-09-26",88.77,89.25,88.43,88.83,5043851
"2013-10-03",89.63,89.98,89,89.44,6618259
"2013-10-10",87.97,89.44,87.9,89.42,6082391
"2013-10-17",91.83,91.85,90.71,91.43,8873386
"2013-10-24",92.81,93.45,92.31,92.85,4383165
"2013-10-31",93.88,94.45,93.26,93.72,5306894
"2013-11-07",93.65,93.79,91.84,92.05,5350282
"2013-11-14",93.18,93.5,92.67,93.31,4226678
"2013-11-21",90.81,91.14,90.38,91.01,5775650
"2013-12-05",86.74,87.91,86.56,86.87,5986419
"2013-12-12",86.23,87.64,85.97,86.96,5923813
"2013-12-19",87.08,87.08,85.65,86.47,6374842
"2013-12-26",88.48,89.56,88.4,89.39,3640607
"2014-01-02",89.48,90.12,88.61,88.82,4958526
"2014-01-09",87.52,87.65,86.05,86.48,6561282
"2014-01-16",88.88,89.39,88.14,88.61,6938431
"2014-01-23",90.64,91.19,89.98,90.26,6604115
"2014-01-30",87.9,89.49,87.89,88.81,5625605
"2014-02-06",86.55,88.77,86.49,88.51,5384004
"2014-02-13",89.55,90.71,89.15,90.26,5067591
"2014-02-20",90.41,91.13,90.3,91.03,4917068
"2014-02-27",91.98,92.7,91.48,92.57,3947487
"2014-03-06",92.23,93.06,91.89,92.75,4612396
"2014-03-13",91.57,91.73,89.6,90.27,6466475
"2014-03-20",90.35,91.44,89.91,91.11,4289496
"2014-03-27",95.41,97.43,95.25,96.49,7174129
