"","ICE.Open","ICE.High","ICE.Low","ICE.Close","ICE.Volume"
"2014-07-24",39.49,39.49,39.09,39.19,5125840
"2014-07-31",39.07,39.25,38.43,38.44,4440660
"2014-08-07",38.56,38.61,37.21,37.67,7279635
"2014-08-14",37.68,37.9,37.63,37.86,2693955
"2014-08-21",37.38,37.73,37.1,37.71,4654245
"2014-08-28",37.5,37.8,37.48,37.74,3380465
"2014-09-04",36.92,37.47,36.92,37.12,3307165
"2014-09-11",37.9,38.09,37.71,38.07,3741255
"2014-09-18",40.49,41.03,40.41,40.81,7145430
"2014-09-25",39.72,39.85,39.03,39.13,3324715
"2014-10-02",39.14,39.83,39.07,39.55,4956860
"2014-10-09",40.2,40.76,40.16,40.6,8548045
"2014-10-16",39.73,40.56,39.45,39.54,5542755
"2014-10-23",40.05,40.68,39.89,40.63,3418130
"2014-10-30",41.05,41.22,40.52,40.75,2953315
"2014-11-06",43.24,44.05,43.24,43.98,4463140
"2014-11-13",44.37,44.71,44.11,44.64,3992215
"2014-11-20",43.9,44.18,43.8,43.97,2662330
"2014-12-04",45.31,45.54,45.05,45.41,2818275
"2014-12-11",44.79,45.35,44.79,45.09,5928150
"2014-12-18",44.45,44.8,44.34,44.8,3213390
"2015-01-08",43.95,44.73,43.95,44.3,4231780
"2015-01-15",41.6,41.85,41.11,41.14,5821220
"2015-01-22",41.36,42.92,41.25,42.84,5820755
"2015-01-29",41.05,41.2,40.45,40.97,6674715
"2015-02-05",43.15,45.22,43.15,45.17,6867415
"2015-02-12",46.35,46.98,46.24,46.89,2520215
"2015-02-19",46.77,47.35,46.74,46.78,1847800
"2015-02-26",47.88,48.01,47.33,47.65,3363975
"2015-03-05",46.95,47,46.59,46.82,3005355
"2015-03-12",46.08,46.43,45.71,46.15,2509605
"2015-03-19",46.16,47.41,46.05,47.34,3824380
"2015-03-26",45.89,46.46,45.52,45.95,3433515
"2015-04-02",46.22,46.38,45.49,45.77,2628095
"2015-04-09",46,46.23,45.61,46.18,1795450
"2015-04-16",45.94,46.27,45.57,45.98,1625860
"2015-04-23",45.02,45.31,44.9,45.04,1976030
"2015-04-30",44.75,45.41,44.43,44.91,2640365
"2015-05-07",45.61,46.8,45.38,46.62,5091655
"2015-05-14",48.23,48.4,47.96,48.1,3891210
"2015-05-21",47.03,47.38,46.84,47.07,2679145
"2015-05-28",47.07,47.36,46.72,47.29,1856340
"2015-06-04",46.63,47.21,46.35,47.06,3192360
"2015-06-11",48.16,48.59,47.95,48.4,2470540
"2015-06-18",47,47.2,46.57,46.75,3451955
"2015-06-25",45.6,45.9,45.51,45.55,2470650
"2015-07-02",45.34,45.5,45.09,45.41,2633970
"2015-07-09",44.65,45.44,44.52,44.89,4958970
"2015-07-16",46.16,46.49,45.91,46.46,2087965
"2015-07-23",46.54,46.79,45.85,45.97,2089855
"2015-07-30",45.5,45.98,45.5,45.81,1339635
"2015-08-06",47.73,47.86,46.93,47.4,3670955
"2015-08-13",47.34,47.82,47.02,47.54,3396425
"2015-08-20",48.48,49.28,47.88,48.86,5863830
"2015-08-27",46.19,46.55,45.47,46.39,4341820
"2015-09-03",45.4,46.25,45.13,45.78,5488475
"2015-09-10",46.3,47.4,46.2,47.03,3117325
"2015-09-17",46.8,47.13,45.9,46.04,5332040
"2015-09-24",45.54,45.54,44.96,45.34,3534175
"2015-10-01",46.8,47.19,46.02,46.71,4503610
"2015-10-08",46.57,46.89,46.11,46.83,2188675
"2015-10-15",46.07,47.36,46.04,47.24,2148140
"2015-10-22",47.51,49.42,47.4,49.15,3155690
"2015-10-29",51.58,52.54,51.41,52.37,4858180
"2015-11-05",52.11,52.47,51.86,52.3,3241715
"2015-11-12",52.47,52.78,51.96,52.02,3878890
"2015-11-19",52.62,52.75,52.32,52.59,1744610
"2015-12-03",51.91,52.2,50.62,50.77,4525515
"2015-12-10",50.45,51.09,50.31,50.49,2323960
"2015-12-17",48.98,49.88,48.82,49.67,17148125
"2015-12-24",50.1,50.53,50.01,50.38,1473980
"2015-12-31",51.1,51.8,50.55,51.25,13121310
"2016-01-07",50.09,51.74,50.05,50.83,6183720
"2016-01-14",49.65,50.29,49.05,50.01,3651805
"2016-01-21",48.91,49.22,48.07,48.42,4790075
"2016-01-28",50.98,51.25,50.27,50.91,5300750
"2016-02-04",52.78,52.93,48.36,49.22,14840415
"2016-02-11",46.13,47.24,45.7,46.64,6407370
"2016-02-18",49.2,49.4,48.51,48.79,2688460
"2016-02-25",48.87,49.34,48.31,49.01,3210390
"2016-03-03",46.09,47.45,46.09,47.39,4444605
"2016-03-10",46.28,46.64,45.91,46.42,3913660
"2016-03-17",46.78,47.41,46.62,47.22,3249080
"2016-03-24",47.08,47.29,46.58,46.87,2598380
"2016-03-31",46.4,47.18,46.24,47.03,5882895
"2016-04-07",47.33,47.81,46.62,46.9,3965105
"2016-04-14",47.38,47.8,47.17,47.36,3414365
"2016-04-21",48.32,48.48,47.96,48.03,2532455
"2016-04-28",48.29,48.71,48.03,48.17,1737835
"2016-05-05",51.8,52.02,50.77,50.8,7107010
"2016-05-12",52.02,52.66,51.67,52.43,2766685
"2016-05-19",52.3,52.6,51.91,52.13,4611660
"2016-05-26",53.9,54.05,53.42,53.6,3203360
"2016-06-02",53.57,53.79,53.11,53.45,3801465
"2016-06-09",52.68,52.79,52.27,52.5,3510635
"2016-06-16",50.93,51.45,50.68,51.31,2927065
"2016-06-23",50.83,51.24,50.72,51.21,3844685
"2016-06-30",50.6,51.35,50.32,51.19,4279825
"2016-07-07",50.97,51.2,50.27,50.79,3344590
"2016-07-14",52.4,52.51,52.11,52.51,1977915
"2016-07-21",52.38,52.51,52.15,52.49,1479755
"2016-07-28",52.71,53.21,52.62,53.05,2935805
"2016-08-04",55.7,56,55.35,55.67,3667720
"2016-08-11",55.62,55.75,55.23,55.72,1798230
"2016-08-18",56.28,56.38,56.15,56.27,1989090
"2016-08-25",55.33,55.5,55.21,55.44,1891100
"2016-09-01",56.51,57.29,56.33,56.87,3703655
"2016-09-08",56.61,56.7,56.32,56.51,2682860
"2016-09-15",55.97,56.52,55.96,56.34,2574015
