"","HAL.Open","HAL.High","HAL.Low","HAL.Close","HAL.Volume"
"2012-06-21",29.41,29.49,28.29,28.35,21239694
"2012-06-28",27.36,27.8,27.09,27.69,15981591
"2012-07-05",29.71,29.94,29.32,29.56,12765085
"2012-07-12",28.11,28.65,27.62,28.41,13222499
"2012-07-19",30.45,30.55,30.05,30.21,13952247
"2012-07-26",31.84,32.72,31.75,32.56,20175749
"2012-08-02",33.08,33.41,32.44,32.86,13568977
"2012-08-09",34.6,35.24,34.53,35.05,11410534
"2012-08-16",34.76,35.35,34.64,35.3,10672304
"2012-08-23",34.65,34.85,34.11,34.15,10183743
"2012-08-30",33.17,33.24,32.48,32.81,12588299
"2012-09-06",32.66,33.11,32.6,32.96,10765049
"2012-09-13",35.77,36.82,35.51,36.44,15884239
"2012-09-20",35.83,36.22,35.32,36.13,16724360
"2012-09-27",34.19,34.31,33.61,34.22,10134139
"2012-10-04",33.26,34.06,33.19,33.97,14596874
"2012-10-11",33.81,34.27,33.54,33.97,8236643
"2012-10-18",35.16,36,35,35.65,19893883
"2012-10-25",33.11,33.16,32.51,32.92,11991727
"2012-11-01",32.3,32.82,32.24,32.68,10104848
"2012-11-08",31.71,31.75,30.44,30.48,15615549
"2012-11-15",30.34,30.93,30,30.36,13324099
"2012-11-29",32.52,33.18,32.52,32.92,11756628
"2012-12-06",33.34,33.65,33.19,33.58,10541315
"2012-12-13",33.98,34.06,33.3,33.51,8356778
"2012-12-20",34.57,35.22,34.55,35.13,11043982
"2012-12-27",34.65,34.7,34.12,34.6,7853068
"2013-01-03",35.68,36.73,35.47,36.31,16641198
"2013-01-10",36.66,36.96,36.42,36.9,9954306
"2013-01-17",36.39,36.43,35.87,36.3,10938515
"2013-01-24",37.79,38.33,37.45,37.81,11015986
"2013-01-31",40.03,40.93,39.88,40.68,14939614
"2013-02-07",40.42,40.83,40.15,40.83,9551182
"2013-02-14",40.72,43.96,40.72,43.32,26176126
"2013-02-21",41.36,41.43,40.26,40.77,18735797
"2013-02-28",41.23,41.98,40.92,41.51,9745317
"2013-03-07",41.06,41.43,40.47,41.41,9666081
"2013-03-14",41.96,42.64,41.64,42.54,8683320
"2013-03-21",39.5,40.07,39.36,39.47,10908993
"2013-03-28",40.58,40.71,40.12,40.41,7128371
"2013-04-04",38.75,38.84,38.19,38.54,10370249
"2013-04-11",40.52,41.24,40.11,41.17,10107920
"2013-04-18",37.77,38.36,37.07,37.71,15818614
"2013-04-25",41.04,41.6,40.66,40.75,10034469
"2013-05-02",42.21,42.6,41.84,42.4,12119361
"2013-05-09",43.63,43.75,43.26,43.56,6691913
"2013-05-16",44.11,44.44,43.73,43.85,8220080
"2013-05-23",42.45,43.64,41.91,43.52,11128302
"2013-05-30",42.68,43.06,42.03,42.63,15691449
"2013-06-06",41.83,42.38,41.38,42.35,7739955
"2013-06-13",41.66,43.2,41.66,43.08,7249557
"2013-06-20",42.46,42.59,41.62,41.8,11032978
"2013-06-27",41.67,42.1,41.61,41.84,6787024
"2013-07-11",44.75,44.87,43.66,44.18,7295611
"2013-07-18",44.22,44.93,44.16,44.74,9196682
"2013-07-25",44.64,45.14,43.78,44.34,12329841
"2013-08-01",45.72,46.48,45.67,46.41,9103887
"2013-08-08",45.83,46.5,45.83,46.14,8820956
"2013-08-15",46.5,46.78,46.27,46.68,6940017
"2013-08-22",47.19,47.97,47.01,47.82,22194776
"2013-08-29",49,49.05,48.23,48.54,10602204
"2013-09-05",49.28,50.14,49.24,49.77,9242253
"2013-09-12",49.44,49.72,48.96,49.2,9579340
"2013-09-19",49.98,50.03,49.41,49.54,9058401
"2013-09-26",48.87,49.25,48.51,48.71,5833970
"2013-10-03",49.06,49.29,48.11,48.4,6842231
"2013-10-10",49.01,50.11,48.96,50,7198166
"2013-10-17",51.91,52.01,51.49,51.72,6336685
"2013-10-24",50.94,51.19,50.17,51.1,6238429
"2013-10-31",53.19,53.67,52.84,53.03,6527101
"2013-11-07",54.83,55.36,53.28,53.9,14599150
"2013-11-14",55.63,56.46,55.28,56.26,8057757
"2013-11-21",53.63,54.36,53.42,54.2,6543957
"2013-12-05",50.49,50.9,50.21,50.48,9211727
"2013-12-12",49.11,49.85,48.85,49.59,13261501
"2013-12-19",49.86,49.9,48.71,49.42,12961567
"2013-12-26",50.89,51.34,50.87,51.21,4574002
"2014-01-02",50.47,50.67,49.63,50.01,7420119
"2014-01-09",50.17,50.18,49.19,49.61,7941738
"2014-01-16",50.51,50.91,50.3,50.9,6682803
"2014-01-23",50.61,50.98,49.86,50.11,8907541
"2014-01-30",48.78,49.69,48.46,49.44,9484728
"2014-02-06",49.5,50.9,49.45,50.76,13021391
"2014-02-13",52.7,54.03,52.63,53.46,8142689
"2014-02-20",54.53,55.54,54.45,55.38,8772048
"2014-02-27",55.12,55.74,54.85,55.69,6898434
"2014-03-06",56.29,57.22,56.22,56.92,5802910
"2014-03-13",55.5,55.79,54.57,55.25,8788207
"2014-03-20",56.57,57.46,56.35,57.36,5458022
"2014-03-27",58.51,59.1,57.36,58.09,10475667
"2014-04-03",59.82,60.3,59.5,59.8,7054370
"2014-04-10",58.94,59.21,57.71,57.91,8232543
"2014-04-17",61.15,61.46,60.08,60.9,11675452
"2014-04-24",64.74,64.98,63.12,63.49,10324643
"2014-05-01",63.13,63.36,62.41,62.91,5100177
"2014-05-08",64.92,64.94,63.34,63.43,5927324
"2014-05-15",63.68,63.72,61.2,62.37,9560956
"2014-05-22",63.18,63.89,63.14,63.41,5045828
"2014-05-29",63.61,64.15,63.2,64,5780423
