"","FMC.Open","FMC.High","FMC.Low","FMC.Close","FMC.Volume"
"2013-10-17",72.42,73.47,72.26,73.4,497138
"2013-10-24",74.11,74.57,73.75,74.39,340102
"2013-10-31",73.06,73.79,72.72,72.76,747919
"2013-11-07",73.07,73.38,71.99,72.16,898036
"2013-11-14",73.75,74.06,73.46,73.84,395958
"2013-11-21",72.92,73.08,72.64,72.78,553301
"2013-12-05",72.68,73.46,72.51,73.13,804907
"2013-12-12",73.94,73.95,73.29,73.44,657555
"2013-12-19",72.71,73.17,72.49,73.02,1528734
"2013-12-26",74.78,75.5,74.04,75.4,555660
"2014-01-02",75.27,75.38,74.33,74.53,605886
"2014-01-09",74.68,75.15,74.17,74.36,508496
"2014-01-16",75.59,75.99,75.56,75.73,556720
"2014-01-23",75.27,75.48,73.68,74.14,918683
"2014-01-30",72.13,72.19,71.41,71.86,566154
"2014-02-06",69.28,72.54,67.31,71.56,3118495
"2014-02-13",71.47,72.34,71.07,72.16,520720
"2014-02-20",72.76,73.28,72.32,73.08,504371
"2014-02-27",75.22,76.86,75.21,76.25,1835695
"2014-03-06",77.79,78.42,77.75,78.08,902819
"2014-03-13",80.68,81.28,79.61,80.14,1169721
"2014-03-20",77.86,79.18,77.7,79.14,1225764
"2014-03-27",77.76,77.76,76.43,77.15,1170283
"2014-04-03",78.48,78.9,77.8,78.24,994916
"2014-04-10",77.5,77.71,75.53,75.53,761383
"2014-04-17",76.54,77.26,76.36,76.75,622438
"2014-04-24",77.07,77.18,75.76,75.83,682319
"2014-05-01",76.74,77,76.11,76.72,565718
"2014-05-08",73.2,74.45,72.94,73.03,1465722
"2014-05-15",72.9,72.98,71.45,72.29,1037282
"2014-05-22",74.31,75.96,73.93,75.78,1919959
"2014-05-29",76.77,77,75.93,76.99,484709
"2014-06-05",77.2,78.48,76.77,78.25,911097
"2014-06-12",77.87,77.99,76.89,76.96,415684
"2014-06-19",75.19,75.64,74.87,74.88,1523176
"2014-06-26",70.32,71.02,69.5,71,2000017
"2014-07-03",70.81,71.53,70.64,71.38,447120
"2014-07-10",69.28,69.68,68.7,69.14,1463885
"2014-07-17",68.88,69.29,68.37,68.4,1032404
"2014-07-24",69,69,68.42,68.48,810481
"2014-07-31",66.95,67.46,65,65.22,1649071
"2014-08-07",64.92,65.03,64.05,64.18,516485
"2014-08-14",64.99,66.4,64.99,66,3628500
"2014-08-21",66.57,66.57,65.89,65.94,1219665
"2014-08-28",65.6,66.36,65.54,66.14,1790670
"2014-09-04",65.75,65.97,65.39,65.44,1087806
"2014-09-11",63.25,64.18,63.16,63.59,1359332
"2014-09-18",61.38,61.75,60.74,60.87,2468166
"2014-09-25",59.29,59.35,58.08,58.22,1952129
"2014-10-02",56.1,57.11,56,56.93,2330621
"2014-10-09",54.92,55.07,53.28,53.49,1566874
"2014-10-16",54.08,56.49,53.75,56.14,2593083
"2014-10-23",59.15,59.28,58.01,58.18,1650783
"2014-10-30",55.49,58.47,55.15,58.12,2971119
"2014-11-06",56.74,57.26,56.43,57.24,1225297
"2014-11-13",56.9,57.06,56.07,56.39,728431
"2014-11-20",56.05,56.4,55.81,55.97,1488706
"2014-12-04",54.88,55.53,54.87,55.25,973718
"2014-12-11",55.01,56.23,55.01,55.82,1934456
"2014-12-18",57.71,57.72,55.39,56.5,1805721
"2015-01-08",56.89,57.92,56.8,57.9,1156338
"2015-01-15",59.13,59.41,58.13,58.13,1340577
"2015-01-22",58.4,59.53,58.31,59.39,696005
"2015-01-29",57.31,57.7,56.56,57.1,832374
"2015-02-05",57.1,62.95,55.75,62.06,3838240
"2015-02-12",62.07,63.45,62.07,63.24,1214960
"2015-02-19",63.52,63.98,63.31,63.73,956974
"2015-02-26",64.08,64.28,63.38,63.62,734403
"2015-03-05",63.28,63.29,62.05,62.33,547207
