"","HCA.Open","HCA.High","HCA.Low","HCA.Close","HCA.Volume"
"2012-06-21",27.27,27.27,26.28,26.53,3424668
"2012-06-28",26.55,29.75,26.55,29.47,20120372
"2012-07-05",29.37,29.56,28.31,28.74,3811292
"2012-07-12",27.69,27.93,27.43,27.83,3406886
"2012-07-19",28.63,28.81,27.72,27.79,1989378
"2012-07-26",27.5,27.54,25.99,26.9,4275276
"2012-08-02",26.23,26.75,26.1,26.44,1563488
"2012-08-09",27.26,27.8,27.1,27.41,1801480
"2012-08-16",27.32,28.28,27.23,28.11,2282333
"2012-08-23",28.3,28.32,27.87,28.13,1163671
"2012-08-30",28.13,28.59,28.08,28.51,1346556
"2012-09-06",28.82,29.67,28.82,29.34,2538195
"2012-09-13",29.12,30.35,29.12,30.3,2705006
"2012-09-20",32.52,32.7,32.4,32.51,1517106
"2012-09-27",32.08,33.25,32.07,33.05,2825755
"2012-10-04",31.51,32.66,30.21,32.18,3999214
"2012-10-11",31.09,31.56,30.71,30.99,3291650
"2012-10-18",30.83,30.93,30.51,30.78,1969872
"2012-10-25",30.75,31.48,30.75,31.26,3430566
"2012-11-01",28,30.19,27.92,30.01,3730593
"2012-11-08",33.88,33.89,31.96,32.26,7238048
"2012-11-15",30.31,30.33,29.67,29.92,3206152
"2012-11-29",30.9,32.07,30.86,31.74,4065446
"2012-12-06",32.34,33.4,32.15,33.22,3297331
"2012-12-13",31.34,31.35,30.33,30.85,6224224
"2012-12-20",31.67,31.75,31,31.17,3838719
"2012-12-27",30.54,30.64,30.29,30.6,1786139
"2013-01-03",30.93,31.85,30.87,31.65,3256865
"2013-01-10",33.09,33.23,32.81,33.17,2703877
"2013-01-17",35.46,36.71,35.26,36.54,6543748
"2013-01-24",37.68,37.94,37.27,37.73,2591232
"2013-01-31",37.78,38,37.58,37.65,1788219
"2013-02-07",37.3,37.5,36.82,37.07,3715943
"2013-02-14",36.74,37.11,36.73,36.83,2861808
"2013-02-21",35.5,35.98,35.15,35.79,6301155
"2013-02-28",36.6,37.65,36.53,37.09,8893918
"2013-03-07",36.85,37.46,36.85,37.04,4086532
"2013-03-14",38.45,38.79,38.27,38.45,4670294
"2013-03-21",38.3,38.83,38.09,38.56,2245243
"2013-03-28",40.43,40.92,40.42,40.63,3416107
"2013-04-04",37.79,37.86,36.53,37.69,9091530
"2013-04-11",36.69,38.52,36.42,38.43,5766936
"2013-04-18",37.66,37.66,36.64,36.92,2129591
"2013-04-25",37.98,38.3,37.45,37.94,5820052
"2013-05-02",39.5,40.94,38.56,40.47,4844919
"2013-05-09",40.5,40.71,39.81,40.34,3413208
"2013-05-16",40.14,40.21,39.44,39.49,1937713
"2013-05-23",37.04,38.04,36.67,37.9,3289423
"2013-05-30",38.14,39.2,38.11,38.82,2787175
"2013-06-06",38.26,38.8,37.88,38.4,4426984
"2013-06-13",39.42,40.44,39.21,40.29,2920393
"2013-06-20",38.27,38.49,37.13,37.68,5774063
"2013-06-27",36.55,36.96,36.08,36.39,7830587
"2013-07-11",37.52,37.66,36.99,37.24,2710784
"2013-07-18",38.45,39.24,38.45,39.16,4280883
