"","NFX.Open","NFX.High","NFX.Low","NFX.Close","NFX.Volume"
"2012-07-26",30.69,31.18,30.28,30.96,2763402
"2012-08-02",30.16,30.36,28.98,29.37,2125016
"2012-08-09",31.35,32.62,31.34,32.38,2171071
"2012-08-16",32.3,33.1,32.18,32.96,1305207
"2012-08-23",32.1,32.3,31.26,31.35,935226
"2012-08-30",31.17,31.8,31,31.64,1508893
"2012-09-06",32.86,33.47,32.72,33.04,2347464
"2012-09-13",33.85,34.56,33.26,34.38,1955767
"2012-09-20",33.04,33.13,32.41,32.57,2896353
"2012-09-27",31.51,31.83,31.36,31.56,2075374
"2012-10-04",30.36,30.63,29.99,30.36,1772646
"2012-10-11",33.32,33.67,32.95,33.36,2955376
"2012-10-18",34.33,34.75,34.27,34.64,1230888
"2012-10-25",27.89,28,26.93,27.23,6848431
"2012-11-01",27.01,27.38,26.85,26.95,2706739
"2012-11-08",25.5,25.56,25.01,25.02,1805589
"2012-11-15",24.36,24.65,24.05,24.27,2542430
"2012-11-29",24.13,24.45,23.96,24.15,1286956
"2012-12-06",25,25.13,24.48,25,1501713
"2012-12-13",26.46,26.55,25.8,25.87,1067824
"2012-12-20",26.93,27.17,26.72,27.16,1629122
"2012-12-27",26.26,26.42,25.84,26.28,1233603
"2013-01-03",27.18,27.73,27,27.51,2696491
"2013-01-10",27.59,28.4,27.23,28.19,3574339
"2013-01-17",28.5,28.7,28.26,28.55,1505517
"2013-01-24",28.67,29.12,28.41,28.55,1066755
"2013-01-31",29.56,29.8,29.17,29.5,1326934
"2013-02-07",29.76,29.94,29.56,29.62,1458855
"2013-02-14",30.48,30.5,28,28.11,4595524
"2013-02-21",24.66,24.7,23.86,24.43,3376584
"2013-02-28",23.23,23.46,23.09,23.12,3377020
"2013-03-07",23.19,23.49,22.84,23.33,2201990
"2013-03-14",23.96,24.32,23.87,24.17,1677840
"2013-03-21",23.19,23.59,22.89,22.96,1776649
"2013-03-28",22.3,22.54,22.16,22.42,2044649
"2013-04-04",21.94,21.94,21.36,21.47,2963727
"2013-04-11",22.66,23,22.39,22.63,1725904
"2013-04-18",20.44,20.92,20.05,20.79,3176375
"2013-04-25",21.4,22.61,21.23,21.91,4069622
"2013-05-02",21.77,22.27,21.56,22.07,2925621
"2013-05-09",22.83,22.96,22.44,22.57,2628515
"2013-05-16",23.74,23.86,23.25,23.3,1913409
"2013-05-23",24,24.88,23.78,24.78,2646695
"2013-05-30",24.89,25.07,24.51,24.89,1936856
"2013-06-06",23.29,23.46,22.77,22.97,1884868
"2013-06-13",22.31,22.86,22.15,22.83,1458913
"2013-06-20",24.06,24.06,23.09,23.25,2936607
"2013-06-27",24.33,24.51,24.09,24.15,1421133
"2013-07-11",25.53,25.78,25.16,25.47,1833991
"2013-07-18",26.78,27.38,26.66,27.07,2518232
"2013-07-25",25.81,25.99,24.51,24.8,6124857
"2013-08-01",24.9,25.3,24.9,25.09,1790082
"2013-08-08",23.97,24.7,23.85,24.56,1882164
"2013-08-15",23.32,23.99,22.97,23.89,1977948
"2013-08-22",22.83,23.6,22.73,23.37,1252734
"2013-08-29",23.89,23.93,23.52,23.68,1000421
"2013-09-05",23.76,24.2,23.73,23.85,2462224
"2013-09-12",26.1,26.27,25.52,25.76,3876505
"2013-09-19",26.78,26.9,26.22,26.49,2451143
"2013-09-26",28.12,28.26,27.49,27.6,2869807
"2013-10-03",27.86,28.22,27.56,28.02,1770608
"2013-10-10",28.45,28.7,28.31,28.48,2048661
"2013-10-17",29.68,30.01,29.55,29.96,1652235
"2013-10-24",30.55,31.44,30,31.29,3166370
"2013-10-31",30.63,30.95,30.03,30.45,2281540
"2013-11-07",30.25,30.42,28.75,29.03,4252401
"2013-11-14",29.61,29.77,29.38,29.55,1702011
"2013-11-21",29.55,29.97,29.42,29.79,2013973
"2013-12-05",28.23,28.35,27.54,27.66,2820967
"2013-12-12",23.73,23.89,23.34,23.52,3270227
"2013-12-19",23.12,24.07,23.12,23.85,3669437
"2013-12-26",24.12,24.26,23.92,24.07,979035
"2014-01-02",24.6,24.7,24.12,24.37,2507893
"2014-01-09",24.34,24.9,24.33,24.77,3271746
"2014-01-16",25.26,25.43,25.02,25.24,1680927
"2014-01-23",25.89,25.99,25.18,25.34,2205987
"2014-01-30",24.35,25.06,24.25,24.89,2700924
"2014-02-06",23.72,24.08,23.61,24.03,2745876
"2014-02-13",24.12,24.78,24.01,24.78,3068039
"2014-02-20",25.71,25.74,24.97,25.22,3686210
"2014-02-27",27.5,27.74,26.81,27.35,4532906
"2014-03-06",28.64,29,28.47,28.73,2756177
"2014-03-13",28.26,28.36,27.36,27.53,2926573
"2014-03-20",28.27,28.58,27.98,28.38,1918039
"2014-03-27",30.52,31.45,30.43,30.98,2803692
"2014-04-03",31.93,32.79,31.8,32.33,4167801
"2014-04-10",32.52,32.74,31.86,32.08,2001944
"2014-04-17",32.91,33.46,32.87,33.26,1705388
"2014-04-24",32.99,33.4,32.85,32.96,1976395
"2014-05-01",34,34.46,33.26,33.56,4552780
"2014-05-08",34.39,34.62,33.5,33.69,2100358
"2014-05-15",33.96,34.14,33.1,33.37,3258920
"2014-05-22",35.67,35.9,35.38,35.6,1468516
"2014-05-29",36.05,36.77,35.7,36.73,1666683
"2014-06-05",36.61,36.79,36.34,36.68,1284704
"2014-06-12",39.23,39.98,38.78,39.27,4243225
"2014-06-19",42.84,43.06,42.29,42.74,3430961
"2014-06-26",43.49,43.67,42.84,43.66,1482297
"2014-07-03",43.13,43.77,43.02,43.59,1233529
"2014-07-10",43.22,43.54,42.61,43.06,1718790
"2014-07-17",44.06,44.6,43.39,43.55,5654732
"2014-07-24",45.08,45.43,44.83,44.98,910303
"2014-07-31",41.26,41.26,40.3,40.3,2711647
"2014-08-07",39.87,40.14,39.51,39.9,1581173
"2014-08-14",40.52,41.65,40.33,40.47,2531586
"2014-08-21",41.82,42.65,41.56,42.49,1103275
"2014-08-28",44.01,44.21,43.66,43.75,1614293
"2014-09-04",42.84,43.19,41.42,41.71,3317583
"2014-09-11",38.68,39.48,38.52,39.33,2373723
"2014-09-18",39.75,40.23,38.65,39.01,4541541
"2014-09-25",38.93,38.93,37.83,37.85,1882428
"2014-10-02",35.82,36.02,34.73,35.76,2986737
"2014-10-09",33.24,33.3,31.5,31.68,3379194
"2014-10-16",25.26,27.89,25.21,27.41,11060811
"2014-10-23",28.67,29.95,28.67,29.41,2991005
"2014-10-30",32.57,33.4,31.18,31.8,5317416
"2014-11-06",31.46,32.51,30.82,32.5,2242856
