"","DUK.Open","DUK.High","DUK.Low","DUK.Close","DUK.Volume"
"2015-10-29",71.19,71.62,70.3,71.57,3912745
"2015-10-30",71.63,71.89,71.27,71.47,2912970
"2015-11-02",71.4,72.29,71.09,72.18,3324379
"2015-11-03",71.85,72.37,71.5,72.24,2879017
"2015-11-04",72.07,72.55,71.7,71.93,3142513
"2015-11-05",71.8,72.18,70.69,71.45,4012104
"2015-11-06",69.99,70.06,67.07,67.76,7411922
"2015-11-09",67.59,68.87,67.33,67.97,5402119
"2015-11-10",67.25,67.79,67.13,67.37,3053844
"2015-11-11",67.53,68.44,67.4,68.23,2734513
"2015-11-12",68.01,68.81,67.28,67.29,3092930
"2015-11-13",67.45,67.99,66.68,66.89,3383159
"2015-11-16",66.89,67.75,66.76,67.73,2782276
"2015-11-17",67.54,68.01,65.64,65.83,5414688
"2015-11-18",66.14,67.3,65.82,67.2,3854554
"2015-11-19",67.49,68.53,67.25,68.49,3726471
"2015-11-20",68.85,69.46,68.64,69.1,3733525
"2015-11-23",69.05,69.25,67.79,68.01,3442263
"2015-11-24",67.76,68.19,67.36,68.08,2860850
"2015-11-25",67.97,68.16,67.58,67.72,1972953
"2015-11-27",67.74,68.3,67.49,67.51,1482006
"2015-11-30",67.61,68.23,67.55,67.76,3707918
"2015-12-01",68.05,68.44,67.39,68.06,2842264
"2015-12-02",67.88,67.94,66.06,66.13,4302966
"2015-12-03",66.04,66.73,65.5,66.23,3960434
"2015-12-04",66.49,67.1,66.3,67.04,2712078
"2015-12-07",66.8,68.56,66.77,68.5,4328101
"2015-12-08",68.27,68.6,67.81,68.44,3690121
"2015-12-09",68.17,69.5,67.9,68.61,2703195
"2015-12-10",68.45,68.46,67.3,67.43,2972671
"2015-12-11",67.19,67.98,66.99,67.84,4730328
"2015-12-14",67.81,68.5,67.25,68.45,3631130
"2015-12-15",68.57,69.53,68.26,68.84,4233305
"2015-12-16",69.29,70.29,69.11,70.03,4747795
"2015-12-17",70.07,71.02,69.7,70.5,4205837
"2015-12-18",70.08,70.35,68.78,69.6,6136909
"2015-12-21",69.96,70.26,69.33,69.81,2122635
"2015-12-22",70.35,71.15,69.66,70.95,2948958
"2015-12-23",71.15,72.3,71.08,72,2737702
"2015-12-24",72,72.39,71.9,72.04,1018162
"2015-12-28",71.75,72.26,71.6,71.92,2351806
"2015-12-29",72.28,72.75,72.17,72.37,1943634
"2015-12-30",72.37,72.6,72.12,72.19,2062133
"2015-12-31",72.14,72.22,70.74,71.39,2999478
"2016-01-04",70.93,71.21,70.16,71.19,3557609
"2016-01-05",71.18,71.85,70.18,71.7,2706795
"2016-01-06",71.11,72.18,70.87,71.86,2382816
"2016-01-07",71.05,71.77,70.89,71.2,2887788
"2016-01-08",71.19,71.68,70.91,71.04,2198006
"2016-01-11",71.25,72.05,71.2,71.83,2968865
"2016-01-12",72.14,72.26,70.6,71.27,2976160
"2016-01-13",71.36,72.35,71.29,71.7,2600980
"2016-01-14",71.73,72.84,71.16,72.37,3640544
"2016-01-15",71.48,72.3,71.02,72.08,4695397
"2016-01-19",72.47,73.36,72.09,73.16,3163516
"2016-01-20",72.57,72.99,70.65,71.42,3578664
"2016-01-21",71.7,72.14,70.35,71.09,4501432
"2016-01-22",71.58,72.24,70.95,72.18,3155988
"2016-01-25",72.19,72.29,71.52,71.8,2383715
"2016-01-26",72,73.2,71.74,72.22,2598046
"2016-01-27",72,72.89,71.66,72.41,2083769
"2016-01-28",72.17,73.96,71.83,73.47,2284468
"2016-01-29",73.99,75.41,73.93,75.3,4771118
"2016-02-01",75.18,77.68,75.02,77,6726195
"2016-02-02",76.09,76.94,76.03,76.75,4660564
"2016-02-03",76.84,78.72,76.76,78.56,4912828
"2016-02-04",78.27,79.03,77.88,78.58,4531507
"2016-02-05",78.17,79.22,77.35,79.04,3506430
"2016-02-08",79.25,80.1,78.6,79.17,5304817
"2016-02-09",78.75,79.81,78.24,78.93,3736718
"2016-02-10",77.61,78.56,76.39,78.12,4134603
"2016-02-11",77.77,78.31,76.77,76.8,4029403
"2016-02-12",76.96,77.31,75.51,76.24,4520436
"2016-02-16",76.2,76.49,75.45,76.29,3524685
"2016-02-17",76.52,76.58,75.27,75.5,4982461
"2016-02-18",75.04,76.66,74.69,76.21,6529897
"2016-02-19",75.93,75.93,74.19,74.55,6265920
"2016-02-22",74.8,75.21,74.26,74.84,3887204
"2016-02-23",74.65,75.17,74.23,74.81,4217521
"2016-02-24",74.99,75.44,74.34,74.95,3869697
"2016-02-25",75.16,76.45,74.84,76.44,3493737
"2016-02-26",76.07,76.31,73.95,74.03,4248251
"2016-02-29",73.96,74.94,73.79,74.28,3512826
"2016-03-01",74.66,74.72,72.7,73.35,6077098
"2016-03-02",73.35,73.88,72.48,73.63,12095688
"2016-03-03",73.76,74.42,72.94,74.33,4237442
"2016-03-04",73.98,75.55,73.66,75.17,3816049
"2016-03-07",75,76.26,74.82,76.25,3468351
"2016-03-08",76.32,77.31,75.9,77.27,4680859
"2016-03-09",77,77.83,76.7,77.51,5048712
"2016-03-10",77.51,77.88,76.84,77.26,4552841
"2016-03-11",77.92,78.14,77.51,77.76,2908282
"2016-03-14",77.96,78.04,77.21,77.72,2832165
"2016-03-15",77.5,78.26,77.44,78.05,3312275
"2016-03-16",78.2,79.08,77.08,78.95,3419093
"2016-03-17",79.05,80.22,78.68,79.99,4041245
"2016-03-18",80.26,80.4,79.42,79.67,6428929
"2016-03-21",79.06,79.95,78.55,79.52,2803686
"2016-03-22",79.42,79.8,78.84,78.88,2852600
"2016-03-23",78.86,80.01,78.43,79.81,2558193
"2016-03-24",79.54,80.11,79.33,79.75,2539262
"2016-03-28",79.75,80.35,79.31,79.48,1745681
"2016-03-29",79.7,80.46,79.06,80.44,2768266
"2016-03-30",80.4,80.59,79.78,80.35,1648215
"2016-03-31",80.35,80.71,79.81,80.68,2810346
"2016-04-01",80.48,81.32,80.28,81.13,3155215
"2016-04-04",81.15,81.38,80.4,81.09,1902090
"2016-04-05",81.06,81.39,79.77,79.9,3002202
"2016-04-06",79.6,79.77,78.67,79.36,3309085
"2016-04-07",79.2,80.01,79.2,79.29,2502096
"2016-04-08",79.63,80.35,79.54,79.77,1953681
"2016-04-11",79.84,80.19,79.43,79.44,1923826
"2016-04-12",79.75,80.39,79.35,80.22,2075145
"2016-04-13",80.41,80.41,79.13,79.63,1897079
"2016-04-14",79.61,79.76,79.06,79.45,1806295
"2016-04-15",79.46,80.17,79.34,80,2516789
"2016-04-18",79.85,80.4,79.49,80.4,1993393
"2016-04-19",80.56,80.64,79.31,79.79,3543490
"2016-04-20",79.99,80.25,78.13,78.2,3238046
"2016-04-21",78.2,78.29,76.21,76.34,4966955
"2016-04-22",76.64,77.12,76.43,77.01,2711369
"2016-04-25",76.82,77.17,76.43,76.76,2807352
"2016-04-26",76.97,77.2,76.53,76.95,2105150
"2016-04-27",77.24,78.58,77.01,78.06,2906985
"2016-04-28",77.32,78.42,77.02,78.34,2286957
"2016-04-29",77.81,78.85,77.24,78.78,2726024
"2016-05-02",78.83,79.63,78.68,78.94,2990164
"2016-05-03",78.94,79.61,78.37,78.84,3020810
"2016-05-04",78.83,80.61,78.64,80.02,4190370
"2016-05-05",79.7,80.74,79.54,80.18,3680428
"2016-05-06",80.11,80.13,78.36,79.38,4454174
"2016-05-09",79.34,80.43,79.14,80.06,2679087
"2016-05-10",80.41,80.5,79.84,80.06,2453729
"2016-05-11",80.3,80.5,79.55,80.49,2694513
"2016-05-12",80.35,81.28,79.91,81.08,2762171
"2016-05-13",81.08,81.15,80.27,80.77,2604639
"2016-05-16",80.58,81.01,80.16,81,2424693
"2016-05-17",80.9,80.9,79.06,79.51,3678379
"2016-05-18",78.6,78.6,76.36,76.57,4103675
"2016-05-19",76.17,77.01,75.72,76.97,2882744
"2016-05-20",77.26,77.27,76.47,77,2444902
"2016-05-23",77.04,77.18,76.08,76.15,2754983
"2016-05-24",76.42,77.09,76.23,76.99,2423482
"2016-05-25",76.95,77.11,76.35,76.95,3612754
"2016-05-26",76.99,78.01,76.99,77.96,1816738
"2016-05-27",77.94,78.14,77.6,77.98,2193590
"2016-05-31",78.01,78.37,77.68,78.23,4164965
"2016-06-01",78.25,79.03,78,79.02,2917096
"2016-06-02",78.72,79.01,77.96,78.94,2453074
"2016-06-03",79.64,80.46,79.62,80.08,4171028
"2016-06-06",80.27,80.47,79.57,79.84,3007803
"2016-06-07",80.24,80.47,79.83,79.99,1957694
"2016-06-08",79.84,80.51,79.84,80.51,1672289
"2016-06-09",80.43,81.41,80.13,81.26,2534494
"2016-06-10",81.23,81.6,80.62,81.24,3222974
"2016-06-13",81.6,82,81.33,81.61,2879762
"2016-06-14",81.51,82.44,81.3,82.41,3120273
"2016-06-15",82.42,82.58,81.28,81.53,3229045
"2016-06-16",81.9,82.71,81.7,82.53,3395857
"2016-06-17",82.58,83,81.87,82.98,5575875
"2016-06-20",82.73,82.9,81.32,82,3800807
"2016-06-21",81.67,82.51,81.48,82,2042627
"2016-06-22",82.05,82.18,81.73,81.83,1697661
"2016-06-23",81.86,82.06,81.36,82.05,1582732
"2016-06-24",81.63,83.29,81.41,82.43,3699292
"2016-06-27",82.38,84.16,82.29,83.99,4394782
"2016-06-28",83.77,84,83.12,83.94,4507005
"2016-06-29",84.22,84.5,83.66,84.15,3699803
"2016-06-30",84.3,85.79,84.14,85.79,5473077
"2016-07-01",85.91,86.15,84.77,85.63,3402717
"2016-07-05",85.79,87.02,85.61,86.93,3746885
"2016-07-06",86.86,87.31,86.29,87.23,3785900
"2016-07-07",86.79,87.02,84.94,85.29,4186596
"2016-07-08",85.16,86.06,84.22,86.01,2809928
"2016-07-11",85.43,86.12,84.58,86.01,2648536
"2016-07-12",85.5,85.75,84.37,84.44,3774799
"2016-07-13",84.99,85.21,84.51,85.05,3694906
"2016-07-14",84.45,84.94,84.2,84.75,2990594
"2016-07-15",84.99,85.29,84.45,84.92,2334411
"2016-07-18",85.13,85.63,85,85.25,2965382
"2016-07-19",85.16,85.49,84.82,85.38,4025276
"2016-07-20",85.38,85.43,84.58,84.92,2124911
"2016-07-21",84.56,85.5,84.23,85.4,2360575
"2016-07-22",85.25,86.57,85,86.5,2226854
"2016-07-25",86.49,86.71,86.03,86.69,2185642
"2016-07-26",86.64,86.84,85.56,85.75,2250030
"2016-07-27",85.6,85.65,84.15,84.83,3751738
"2016-07-28",84.87,85.43,84.64,85.2,1724844
"2016-07-29",85.45,85.99,85.21,85.59,3197346
"2016-08-01",85.4,86,85.33,85.65,2445537
"2016-08-02",85.24,85.73,84.81,85.56,3083802
"2016-08-03",85.43,85.58,84.7,85.15,3076765
"2016-08-04",85,85.5,84.8,85.24,2351747
"2016-08-05",85,85,84.05,84.23,3540224
"2016-08-08",84.33,85.12,83.85,84.74,3977505
"2016-08-09",84.66,85.03,84.36,84.73,3195898
"2016-08-10",84.03,84.54,83.28,83.79,2732128
"2016-08-11",83.92,83.97,83.46,83.91,2731403
"2016-08-12",84.14,84.3,83.45,83.49,2634738
"2016-08-15",83.61,83.8,81.61,81.66,4025611
"2016-08-16",81.51,81.58,80.41,80.45,4648975
"2016-08-17",80.45,81.82,79.15,81.69,5850867
"2016-08-18",81.56,82.78,81.52,82.78,3961194
"2016-08-19",82.45,82.56,81.23,81.65,2632006
"2016-08-22",81.88,82.22,81.49,81.89,1888706
"2016-08-23",82.02,82.35,81.43,81.45,2199417
"2016-08-24",81.38,81.75,80.8,81.56,2048569
"2016-08-25",81.66,82.08,81.45,81.73,1858326
"2016-08-26",81.74,82.17,79.82,79.92,2400721
"2016-08-29",80.11,80.61,80.07,80.44,1923422
"2016-08-30",80.4,80.79,79.4,79.52,3101032
"2016-08-31",79.52,79.75,79.22,79.66,3546181
"2016-09-01",79.66,79.8,79.13,79.33,2428567
"2016-09-02",79.33,80.28,79.22,80.24,2763560
"2016-09-06",80.55,81.23,80.24,80.94,2775929
"2016-09-07",81.26,81.26,80.38,80.54,2259627
