"","MS.Open","MS.High","MS.Low","MS.Close","MS.Volume"
"2012-11-29",16.97,17.1,16.65,16.86,19085985
"2012-12-06",16.95,17.05,16.69,16.74,16046685
"2012-12-13",17.66,17.93,17.58,17.8,19226575
"2012-12-20",19.05,19.4,19,19.27,19139263
"2012-12-27",18.94,19.07,18.5,18.77,14656142
"2013-01-03",19.46,19.61,19.32,19.58,29862982
"2013-01-10",19.86,20.43,19.82,20.34,39872034
"2013-01-17",20.55,20.75,20.4,20.75,26067955
"2013-01-24",22.57,23.03,22.51,22.6,20295318
"2013-01-31",22.8,23.02,22.61,22.85,19819633
"2013-02-07",23.36,23.58,22.67,23.1,20158897
"2013-02-14",23.53,23.88,23.4,23.83,16316236
"2013-02-21",23.22,23.22,22.56,22.83,22331016
"2013-02-28",22.91,22.98,22.5,22.55,14891171
"2013-03-07",23.01,23.37,22.89,23.22,17819982
"2013-03-14",22.95,23.07,22.67,22.8,21083108
"2013-03-21",22.57,22.68,22.05,22.06,17566688
"2013-03-28",22.35,22.4,21.89,21.98,18382567
"2013-04-04",21.12,21.39,21.02,21.33,17321418
"2013-04-11",22.28,22.63,22.24,22.27,14698567
"2013-04-18",21.35,21.47,20.31,20.31,47196884
"2013-04-25",21.56,21.81,21.39,21.43,18500926
"2013-05-02",21.91,22.34,21.54,22.29,16778956
"2013-05-09",23.66,23.74,23.3,23.41,12966424
"2013-05-16",24.66,24.87,24.42,24.58,18869965
"2013-05-23",24.19,24.76,24,24.25,22664435
"2013-05-30",25,25.92,24.76,25.82,21206947
"2013-06-06",25.1,25.42,24.6,25.41,18340465
"2013-06-13",25.55,26.49,25.42,26.37,19575477
"2013-06-20",25.72,25.75,24.94,25.15,25978497
"2013-06-27",25.16,25.37,24.98,25.04,12151622
"2013-07-11",25.83,26,25.23,25.55,14066100
"2013-07-18",27.68,27.95,27.39,27.7,36282536
"2013-07-25",27.68,27.76,27.4,27.76,12874427
"2013-08-01",27.57,27.98,27.55,27.92,13316153
"2013-08-08",27.48,27.53,26.78,26.92,12365707
"2013-08-15",26.45,26.5,26.22,26.36,11321372
"2013-08-22",26.17,26.48,26.01,26.22,9941077
"2013-08-29",25.45,26.02,25.43,25.91,9226107
"2013-09-05",26.67,26.98,26.57,26.65,9486008
"2013-09-12",28.2,28.34,27.98,28.02,8356727
"2013-09-19",29.29,29.29,28.58,28.6,15503753
"2013-09-26",27.27,27.58,27.02,27.15,12895227
"2013-10-03",27.1,27.22,26.64,26.85,13281802
"2013-10-10",27.12,27.7,27.02,27.64,14469494
"2013-10-17",28.36,28.96,28.14,28.93,19157074
"2013-10-24",29.16,29.43,29.12,29.39,8934009
"2013-10-31",29.08,29.24,28.73,28.73,10358195
"2013-11-07",29.21,29.3,28.69,28.72,14274810
"2013-11-14",29.99,30.37,29.92,30.34,10198556
"2013-11-21",30.5,31.03,30.43,30.89,10494871
"2013-12-05",30.74,30.84,30.13,30.21,14409474
"2013-12-12",30.15,30.64,30.15,30.48,10114744
"2013-12-19",31.49,31.54,30.81,30.86,20821182
"2013-12-26",31.03,31.25,30.95,31.1,5408746
"2014-01-02",31.33,31.46,30.98,31.03,9843424
"2014-01-09",31.66,31.74,31.36,31.55,7322294
"2014-01-16",32.03,32.07,31.53,32,21899846
"2014-01-23",32.25,32.27,31.14,31.48,16345750
"2014-01-30",30.12,30.38,29.81,29.98,13159156
"2014-02-06",29.26,29.88,29.14,29.69,14873387
"2014-02-13",29.62,30.05,29.54,29.91,15741041
"2014-02-20",29.01,29.42,28.93,29.33,14150762
"2014-02-27",29.87,30.48,29.67,30.36,10802929
"2014-03-06",32.05,32.27,31.82,31.84,12623645
"2014-03-13",31.54,31.99,31.23,31.44,22439666
"2014-03-20",31.94,33.1,31.69,32.79,20199764
"2014-03-27",31.14,31.45,30.59,30.9,13638426
"2014-04-03",31.47,31.48,30.71,30.95,10064709
"2014-04-10",30.27,30.28,29.17,29.25,13452408
"2014-04-17",30.72,31.29,30.4,30.76,22965994
"2014-04-24",31.06,31.25,30.3,30.94,8438891
"2014-05-01",30.91,31.3,30.87,31.22,10110191
"2014-05-08",29.73,30.22,29.56,29.69,13039248
"2014-05-15",30.02,30.12,29.26,29.77,20240122
"2014-05-22",30,30.45,29.91,30.39,8235487
"2014-05-29",31.02,31.19,30.8,31.13,8616278
"2014-06-05",31.27,31.66,30.97,31.63,8769365
"2014-06-12",31.56,31.95,31.45,31.73,7086735
"2014-06-19",32.78,32.82,32.3,32.54,6933717
"2014-06-26",31.91,31.99,31.54,31.89,10559861
"2014-07-03",32.73,33.07,32.62,32.62,5994198
"2014-07-10",31.25,31.74,31.2,31.68,7784865
"2014-07-17",33.04,33.16,32.12,32.3,18525571
"2014-07-24",33.43,33.6,33.24,33.4,6575520
"2014-07-31",33.03,33.14,32.33,32.34,9134716
"2014-08-07",31.74,31.84,31.22,31.36,6553115
"2014-08-14",32.07,32.26,32.07,32.17,3974828
"2014-08-21",32.66,33.05,32.5,33.03,7309125
"2014-08-28",34,34.12,33.72,34.06,4459182
"2014-09-04",34.52,34.91,34.52,34.7,7326422
"2014-09-11",34.12,34.75,34.1,34.73,6850217
"2014-09-18",35.7,36.25,35.64,36.13,15158451
"2014-09-25",35.1,35.1,34.06,34.22,12328240
"2014-10-02",34.05,34.38,33.79,34.28,8471956
"2014-10-09",34.55,34.55,33.24,33.3,13512608
"2014-10-16",31.66,33.2,31.53,32.53,16437583
"2014-10-23",33.9,34.26,33.82,33.96,9031753
"2014-10-30",34.27,34.73,34.19,34.52,9028823
"2014-11-06",35.05,35.4,34.86,35.31,8892057
"2014-11-13",36.05,36.13,35.61,35.84,7376594
"2014-11-20",35.2,35.43,35.03,35.39,6090632
"2014-12-04",36.5,36.91,36.23,36.79,9375107
"2014-12-11",37.74,38.06,37.3,37.4,8942206
"2014-12-18",37.39,38.1,37.28,38.1,12773120
"2015-01-08",37.29,37.76,37.29,37.49,8079561
"2015-01-15",35,35.26,34.28,34.58,17568075
"2015-01-22",34.58,35.58,34.28,35.53,18792681
"2015-01-29",33.98,34.5,33.77,34.37,11378769
"2015-02-05",34.9,35.08,34.8,34.93,10523996
"2015-02-12",36.51,36.95,36.49,36.9,8167077
"2015-02-19",36.3,36.6,36.08,36.33,5856529
"2015-02-26",36.44,36.5,35.88,36.06,10363159
"2015-03-05",35.24,35.54,34.96,35.52,8976441
"2015-03-12",36.37,37.18,36.09,37.09,18321012
"2015-03-19",36.59,36.66,35.69,36.11,10873826
"2015-03-26",35.29,35.73,35,35.62,10180547
"2015-04-02",35.81,36.2,35.79,36.06,6271322
"2015-04-09",36.15,36.72,36.1,36.64,7910428
"2015-04-16",37.55,37.56,37.08,37.36,8876147
"2015-04-23",37.17,37.57,37.01,37.38,8486897
"2015-04-30",37.32,37.7,37.09,37.31,10413938
"2015-05-07",36.98,37.62,36.85,37.54,12404662
"2015-05-14",37.97,38.17,37.82,38.14,7291259
"2015-05-21",38.18,38.34,38,38.04,7141507
"2015-05-28",38.57,38.78,38.41,38.73,9717641
"2015-06-04",38.63,39.21,38.59,38.7,7713369
"2015-06-11",40,40.18,39.62,39.87,6981010
"2015-06-18",39.68,39.93,39.32,39.79,7593771
"2015-06-25",39.82,39.87,39.14,39.22,8939669
"2015-07-02",39.26,39.39,38.73,39,6801242
"2015-07-09",38.49,38.58,38.05,38.1,7285958
"2015-07-16",40.01,40.09,39.84,39.91,7969827
"2015-07-23",40.48,40.74,39.81,39.94,10281597
"2015-07-30",39.15,39.4,38.85,39.3,5512592
"2015-08-06",39.04,39.18,38.66,38.93,7573528
"2015-08-13",37.71,37.95,37.47,37.75,6554150
"2015-08-20",36.94,37,36.17,36.17,14088438
"2015-08-27",34,34.35,33.55,34.3,21008668
"2015-09-03",33.85,34.5,33.64,33.8,11631901
"2015-09-10",33.63,34.14,33.47,33.87,9673524
"2015-09-17",34.59,34.9,33.89,34.05,13359373
"2015-09-24",31.95,32.06,31.38,31.97,16638171
"2015-10-01",31.42,31.81,31.02,31.5,13317871
"2015-10-08",33.08,33.21,32.5,32.99,11400780
"2015-10-15",32.71,33.68,32.36,33.61,12755290
"2015-10-22",31.7,32.43,31.63,32.35,18737372
"2015-10-29",33.44,33.88,33.35,33.54,12754983
"2015-11-05",33.53,34.05,33.41,33.88,12169391
"2015-11-12",34.74,34.77,34.18,34.23,10317350
"2015-11-19",34.28,34.44,33.95,34.17,7836970
"2015-12-03",35.05,35.22,34.29,34.45,15021229
"2015-12-10",33.5,33.9,33.28,33.42,10674487
"2015-12-17",33.83,33.85,32.36,32.38,15959804
"2015-12-24",32.57,32.71,32.44,32.48,2798163
"2015-12-31",31.91,32.3,31.77,31.81,8154307
"2016-01-07",29.88,30.07,28.78,28.98,18138205
"2016-01-14",26.99,27.32,26.23,27.15,23766404
"2016-01-21",25.29,25.59,24.69,24.78,22128041
"2016-01-28",25.67,25.84,24.94,25.17,15991562
"2016-02-04",24.15,25.2,24.12,25.01,17450823
"2016-02-11",21.67,22.13,21.16,21.69,29100862
"2016-02-18",24.36,24.54,23.78,23.96,17518415
"2016-02-25",23.8,24.68,23.77,24.63,17562600
"2016-03-03",26.1,26.19,25.81,26.14,11497265
"2016-03-10",24.91,25.15,24.44,24.65,20102124
"2016-03-17",25.01,26.03,24.58,25.85,20718193
"2016-03-24",24.94,24.94,24.29,24.93,15770294
"2016-03-31",24.91,25.54,24.89,25.01,15487172
"2016-04-07",24.23,24.3,23.51,23.72,17111289
"2016-04-14",25.74,26.26,25.66,26.17,18673502
"2016-04-21",27.35,27.88,27.14,27.26,16396984
"2016-04-28",27.23,27.82,27.08,27.23,11095290
"2016-05-05",26.26,26.5,26,26.17,11909090
"2016-05-12",26.56,26.73,25.97,26.23,9822625
"2016-05-19",27.07,27.35,26.44,26.61,11481484
"2016-05-26",27.91,27.91,27.35,27.42,10060405
"2016-06-02",27.46,27.55,27.22,27.28,8077673
"2016-06-09",26.27,26.31,25.95,26.08,9892974
"2016-06-16",24.45,25.11,24.23,25.07,16309381
"2016-06-23",26.93,27.29,26.8,27.29,18027229
"2016-06-30",25.34,26,25.18,25.98,19736330
"2016-07-07",25.27,25.92,25.26,25.69,13428720
"2016-07-14",27.8,28.08,27.66,28,15436585
"2016-07-21",28.72,29.08,28.63,28.87,20364750
"2016-07-28",28.9,29.03,28.66,28.86,11528356
"2016-08-04",28.27,28.4,27.99,28.28,12162934
"2016-08-11",29.19,29.44,29.03,29.38,8741090
"2016-08-18",30.27,30.74,30.2,30.55,13369434
"2016-08-25",30.91,31.06,30.77,30.97,7838740
"2016-09-01",32.14,32.37,31.44,31.91,11986456
"2016-09-08",31.7,32.2,31.61,32.04,12696066
"2016-09-15",31.55,32.14,31.5,31.95,10056469
