"","MAS.Open","MAS.High","MAS.Low","MAS.Close","MAS.Volume"
"2012-05-17",13.24,13.28,12.15,12.16,11862677
"2012-05-24",12.75,12.97,12.44,12.69,5589133
"2012-05-31",12.48,12.86,12.16,12.67,7806375
"2012-06-07",12.98,13.44,12.88,12.99,6633978
"2012-06-14",12.98,13.39,12.85,13.3,5168241
"2012-06-21",13.89,13.89,13.03,13.09,8758606
"2012-06-28",12.99,13.52,12.95,13.48,5113866
"2012-07-05",13.92,14.24,13.86,14.18,4190426
"2012-07-12",13.34,13.81,13.14,13.71,4685405
"2012-07-19",14.28,14.43,13.88,14.37,6599353
"2012-07-26",13.23,13.47,12.9,13.06,8866204
"2012-08-02",11.71,12.09,11.53,12,6384306
"2012-08-09",13.08,13.2,12.94,13.1,4393316
"2012-08-16",13.18,13.91,13.02,13.78,7431759
"2012-08-23",13.83,14.14,13.79,13.93,4863716
"2012-08-30",13.75,13.86,13.7,13.76,2450278
"2012-09-06",13.56,13.85,13.54,13.8,3912745
"2012-09-13",14.72,15.6,14.45,15.33,7433469
"2012-09-20",15.77,16.2,15.67,16.08,6457591
"2012-09-27",15.06,15.42,14.82,15.31,6175405
"2012-10-04",16.03,16.22,15.86,16.01,3358833
"2012-10-11",14.5,14.66,14.24,14.3,4871799
"2012-10-18",14.97,15.32,14.8,15.16,6004363
"2012-10-25",15.8,15.92,14.84,14.91,6062580
"2012-11-01",15.15,16.19,15.1,16.13,8360362
"2012-11-08",16.28,16.32,15.6,15.69,3967160
"2012-11-15",14.87,15.15,14.36,14.41,4676494
"2012-11-29",17.01,17.14,16.63,17.08,4030842
"2012-12-06",16.2,16.26,15.68,15.78,5544782
"2012-12-13",16.21,16.56,16.01,16.16,3001382
"2012-12-20",16.33,16.65,16.14,16.65,3507452
"2012-12-27",16.26,16.38,15.93,16.29,2314864
"2013-01-03",17.11,17.49,16.91,17.3,3327426
"2013-01-10",17.58,17.59,17.28,17.47,3197331
"2013-01-17",17.48,17.59,17.41,17.5,4870901
"2013-01-24",17.61,17.85,17.59,17.73,3458533
"2013-01-31",18.11,18.42,17.91,18.39,4322387
"2013-02-07",18.26,18.27,17.78,17.86,4050463
"2013-02-14",20.45,20.45,20.08,20.11,5631345
"2013-02-21",18.63,18.76,18.41,18.64,7450878
"2013-02-28",19.2,19.49,19.1,19.26,2950198
"2013-03-07",19.97,20.24,19.74,19.96,4745079
"2013-03-14",20.24,20.55,20.22,20.27,4599021
"2013-03-21",20.78,20.85,20.09,20.54,6763769
"2013-03-28",20.52,20.55,20.13,20.25,3620457
"2013-04-04",19.23,19.59,19.01,19.23,5569648
"2013-04-11",19.85,20.24,19.81,20.16,4157795
"2013-04-18",19.09,19.12,18.6,18.79,4147785
"2013-04-25",20.41,20.59,20.29,20.35,4194346
"2013-05-02",20.12,21.1,20.12,20.96,6169948
"2013-05-09",21.36,21.77,21.08,21.13,6683345
"2013-05-16",22.47,22.65,21.9,22.21,3924537
"2013-05-23",21.52,22.32,21.26,22.17,5056547
"2013-05-30",21.36,21.61,21.09,21.34,5282571
"2013-06-06",20.09,20.2,19.49,20.16,5418888
"2013-06-13",19.79,20.97,19.79,20.94,5506139
"2013-06-20",20.6,20.64,19.51,19.62,6255278
"2013-06-27",19.46,20.08,19.23,20.02,5201364
"2013-07-11",20.38,21.25,20.35,20.79,7429456
"2013-07-18",20.55,20.81,20.39,20.47,2555904
"2013-07-25",20.38,20.43,19.58,20.01,5903221
"2013-08-01",20.8,21.28,20.75,20.97,5588790
"2013-08-08",20.27,20.5,20.16,20.29,2444030
"2013-08-15",18.79,19.3,18.42,19.08,5952268
"2013-08-22",19.3,19.71,19.21,19.46,3749629
"2013-08-29",18.45,19.08,18.27,19.04,3968946
"2013-09-05",19.03,19.29,18.8,19.22,3257754
"2013-09-12",20.98,21.17,20.63,20.66,4718431
"2013-09-19",22.58,22.94,22.2,22.23,6627874
"2013-09-26",21.49,21.64,21.21,21.38,3851607
"2013-10-03",21.17,21.4,20.64,20.94,3123266
"2013-10-10",19.8,20.15,19.75,20.14,3713964
"2013-10-17",19.26,19.82,19.11,19.75,4778880
"2013-10-24",20.45,21.22,20.45,21.02,4496581
"2013-10-31",21.54,21.57,21.12,21.13,5179172
"2013-11-07",20.96,21.24,20.33,20.37,3149753
"2013-11-14",20.99,21.46,20.96,21.19,3040460
"2013-11-21",21.62,22.04,21.34,22.04,3757222
"2013-12-05",21.5,21.67,21.17,21.32,3816023
"2013-12-12",21.32,21.61,21.26,21.47,3462836
"2013-12-19",21.7,21.74,21.45,21.67,3507559
"2013-12-26",22.62,22.79,22.58,22.6,1146569
"2014-01-02",22.73,22.91,22.61,22.69,2330880
"2014-01-09",23.1,23.28,22.8,23.12,2471398
"2014-01-16",23.07,23.19,22.75,23.08,3769115
"2014-01-23",22.22,22.36,22,22.24,2886461
"2014-01-30",21.65,21.75,21.08,21.22,3493761
"2014-02-06",20.84,21.48,20.81,21.41,2505004
"2014-02-13",22.18,22.42,21.9,22.24,3749270
"2014-02-20",22.07,22.34,21.91,22.3,2570855
"2014-02-27",23.3,23.4,23.08,23.31,2970768
"2014-03-06",23.49,23.64,23.34,23.63,2936251
"2014-03-13",23.38,23.48,22.51,22.7,4882665
"2014-03-20",22.99,23.1,22.2,22.25,5362083
"2014-03-27",21.71,22.06,21.6,21.8,2877523
"2014-04-03",22.91,23.08,22.76,22.88,3985030
"2014-04-10",22.01,22.09,21.56,21.59,4443770
"2014-04-17",22.06,22.17,21.91,22.06,2696940
"2014-04-24",22.24,22.56,21.98,22.45,3828256
"2014-05-01",20.01,20.43,19.96,20.1,8874811
"2014-05-08",19.7,20.19,19.64,19.73,4193835
"2014-05-15",20.52,20.52,19.66,20.15,6909080
"2014-05-22",20.88,21.19,20.78,20.92,4837202
"2014-05-29",21.4,21.61,21.19,21.3,5056130
"2014-06-05",21.93,22.86,21.59,21.79,14297889
"2014-06-12",22.25,22.44,22.08,22.35,5240777
"2014-06-19",21.86,22.15,21.86,22.1,4495419
"2014-06-26",22.05,22.25,21.91,22.13,3951390
"2014-07-03",22.26,22.54,22.2,22.41,1591204
"2014-07-10",21.03,21.51,20.64,21.24,8103557
"2014-07-17",21.19,21.28,20.87,20.9,3506739
"2014-07-24",21.14,21.16,20.59,20.6,5425042
"2014-07-31",21.08,21.15,20.73,20.8,5464312
"2014-08-07",21.32,21.41,21,21.06,2731226
"2014-08-14",21.81,22.22,21.72,22.21,2460763
"2014-08-21",23.37,23.52,23.1,23.51,2823001
"2014-08-28",23.4,23.59,23.37,23.51,2367603
"2014-09-04",23.49,23.99,23.49,23.74,3465152
"2014-09-11",23.64,24.06,23.6,23.99,3211895
"2014-09-18",24.42,24.5,24.09,24.21,2119405
"2014-09-25",23.53,23.63,23.23,23.33,2836186
"2014-10-02",23.51,23.78,23.43,23.69,4918803
"2014-10-09",23.33,23.46,22.63,22.76,4171553
"2014-10-16",20.43,21.36,20.32,21.22,5709427
"2014-10-23",22.83,23.18,22.76,22.93,1783183
"2014-10-30",21.65,22.18,21.65,21.8,5998855
"2014-11-06",22.53,23.21,22.53,23.14,4556975
"2014-11-13",23.18,23.36,23.06,23.18,3067166
"2014-11-20",23.36,24.04,23.24,23.85,3862760
"2014-12-04",24.75,24.83,24.56,24.78,4353735
"2014-12-11",24.48,24.72,24.46,24.52,4479093
"2014-12-18",24.83,25.1,24.67,25.07,4945933
"2015-01-08",25.08,25.84,25,25.82,4808499
"2015-01-15",24.5,24.59,23.73,23.76,6125629
"2015-01-22",24.26,24.74,24.13,24.62,5230279
"2015-01-29",24.88,25.51,24.7,25.42,3690620
"2015-02-05",26.13,26.13,25.17,25.59,5557459
"2015-02-12",26.19,26.49,26.19,26.43,3531027
"2015-02-19",26.6,26.92,26.58,26.79,2506041
"2015-02-26",26.75,26.75,26.14,26.22,3085667
"2015-03-05",26.47,26.92,26.46,26.83,3071872
"2015-03-12",26.37,26.92,26.3,26.92,3173947
"2015-03-19",26.14,26.3,25.97,26.27,2504257
"2015-03-26",26.05,26.15,25.76,25.85,3016551
"2015-04-02",26.02,26.74,25.95,26.62,5574208
"2015-04-09",26.29,26.36,26.07,26.31,1922405
"2015-04-16",26.43,26.46,25.76,25.87,3568052
"2015-04-23",26.49,26.5,26,26.2,4812761
"2015-04-30",26.69,26.85,26.3,26.49,4669052
"2015-05-07",26.1,26.49,26.07,26.39,4748930
"2015-05-14",26.71,27.22,26.5,27.16,4195106
"2015-05-21",27.23,27.9,27.06,27.81,3838278
"2015-05-28",27.41,27.64,27.32,27.59,2341390
"2015-06-04",27.55,27.61,27.24,27.34,2035053
"2015-06-11",28.02,28.38,27.85,27.92,2985241
"2015-06-18",27.52,27.82,27.52,27.73,4093614
"2015-06-25",27.35,27.58,27.3,27.41,2833515
"2015-07-02",23.82,23.87,23.47,23.6,3243014
"2015-07-09",23.3,23.33,23.04,23.05,3634102
"2015-07-16",23.58,23.72,23.23,23.27,5571200
"2015-07-23",23.39,24.25,23.25,23.8,9118826
"2015-07-30",26.35,26.69,26.07,26.4,6269218
"2015-08-06",26.35,26.87,26.28,26.44,7649590
"2015-08-13",27.09,27.26,26.94,27.04,2733002
"2015-08-20",27.85,27.96,27.24,27.25,4056192
"2015-08-27",26.03,26.38,25.79,26.29,5536316
"2015-09-03",26.34,26.9,26.34,26.59,4932768
"2015-09-10",26.61,26.96,26.49,26.85,3610775
"2015-09-17",27.53,28.07,27.3,27.55,5096254
"2015-09-24",26.32,26.41,25.93,26.3,4175471
"2015-10-01",25.35,25.72,25.09,25.67,6766871
"2015-10-08",26.78,27.04,26.68,26.78,15230822
"2015-10-15",26.31,26.45,25.74,26.38,7075561
"2015-10-22",26.92,27.71,26.6,27.63,5773883
"2015-10-29",29.23,29.31,28.5,28.68,6454168
"2015-11-05",29.01,29.31,28.75,29.25,3250295
"2015-11-12",28.89,29.07,28.64,28.67,3517308
"2015-11-19",29.84,30.09,29.75,29.95,3943467
"2015-12-03",30.2,30.26,29.31,29.51,3158238
"2015-12-10",29.22,29.48,28.9,29.25,3663177
"2015-12-17",29.45,29.52,28.37,28.37,4451624
"2015-12-24",28.34,28.56,28.26,28.44,1535868
"2015-12-31",28.31,28.65,28,28.3,2096685
"2016-01-07",26.78,27.08,25.92,26.13,5723018
"2016-01-14",24.58,25.1,24.1,24.95,7393455
"2016-01-21",24.32,25.36,24.13,24.91,8729808
"2016-01-28",25.91,26.07,25.23,25.42,4416736
"2016-02-04",25.14,26.04,25.14,25.39,4683146
"2016-02-11",25.06,25.62,24.62,24.97,6607121
"2016-02-18",27.27,27.38,26.93,27.03,4252224
"2016-02-25",28.7,29.05,28.23,28.91,4004338
"2016-03-03",29.14,29.23,28.56,28.97,5425741
"2016-03-10",29.3,29.58,28.76,29.12,3334987
"2016-03-17",29.91,30.7,29.85,30.56,3142123
"2016-03-24",30.84,30.92,30.67,30.89,1924273
"2016-03-31",31.5,31.61,31.22,31.45,5149190
"2016-04-07",31.61,32,31.19,31.4,2907228
"2016-04-14",32.29,32.37,32.01,32.16,1860869
"2016-04-21",32.78,32.84,32.22,32.3,3147646
"2016-04-28",31.54,31.8,31.07,31.16,4101574
"2016-05-05",30.79,31.06,30.71,30.99,3540291
"2016-05-12",31.69,31.84,31.14,31.35,2901917
"2016-05-19",31.07,31.4,30.98,31.35,3134792
"2016-05-26",32.6,32.69,32.35,32.37,2450503
"2016-06-02",32.39,32.42,31.94,32.13,3041333
"2016-06-09",31.71,31.9,31.46,31.84,1746761
"2016-06-16",30.07,30.75,29.84,30.67,5260247
"2016-06-23",31.53,31.7,31.23,31.48,3273062
"2016-06-30",30.5,31.15,30.26,30.94,4391026
"2016-07-07",31.01,31.23,30.95,31.2,2817832
"2016-07-14",34.05,34.24,33.94,34.02,5000512
"2016-07-21",34.33,34.38,33.3,33.35,8525250
"2016-07-28",36.43,37.38,36.29,36.87,6729444
"2016-08-04",36.57,36.62,36.13,36.28,2781558
"2016-08-11",36.31,36.51,36.08,36.18,2932754
"2016-08-18",35.47,35.47,35.21,35.21,3310978
"2016-08-25",35.28,35.31,35.12,35.26,1658433
"2016-09-01",35.5,35.82,35.22,35.53,4287412
"2016-09-08",35.17,35.24,34.95,35.15,2344250
"2016-09-15",33.26,33.68,33.2,33.6,2956815
