"","COST.Open","COST.High","COST.Low","COST.Close","COST.Volume"
"2014-02-27",116.03,116.42,115.28,116.22,1374462
"2014-03-06",113.15,114.64,112.27,113.26,8925347
"2014-03-13",115.66,115.79,114.19,114.41,2519618
"2014-03-20",112.56,113.22,112.13,113.16,1408202
"2014-03-27",112.5,112.94,111.82,112.03,2042713
"2014-04-03",111.74,112.15,111.28,111.7,2329649
"2014-04-10",114.12,114.44,111.94,112.08,3305094
"2014-04-17",113.52,114.03,113.12,113.5,1659126
"2014-04-24",114.9,115.31,114.14,115.03,1939330
"2014-05-01",115.68,116,114.94,115.56,1167950
"2014-05-08",113.08,114.82,112.97,114.73,2557564
"2014-05-15",114.76,114.8,113.62,114.35,1890968
"2014-05-22",114.53,115,114.4,114.73,1059931
"2014-05-29",114.58,115.19,113.51,114.14,2976908
"2014-06-05",117,117.94,116.72,117.75,2614252
"2014-06-12",116.13,116.43,115.07,115.44,1427319
"2014-06-19",116.57,116.58,115.78,116.26,1635755
"2014-06-26",116.24,116.5,115.28,115.64,1252089
"2014-07-03",115.86,116.59,115.8,116.35,976048
"2014-07-10",117.5,118.64,117.5,118.08,2266386
"2014-07-17",117.35,117.54,116.58,116.79,1436645
"2014-07-24",117.5,118.28,117.46,118.14,1352474
"2014-07-31",117.54,118.34,117.28,117.54,2477018
"2014-08-07",118.22,119,117.47,117.8,2698210
"2014-08-14",118.51,119.27,118.31,119.26,1067902
"2014-08-21",120.79,121.88,120.72,121.62,1552235
"2014-08-28",121.01,121.25,120.7,120.97,804362
"2014-09-04",123,125.17,122.56,125.15,4448617
"2014-09-11",126.16,126.53,125.64,125.94,1511168
"2014-09-18",126.21,126.8,125.96,126.48,1401530
"2014-09-25",127.45,127.55,125.6,125.66,1819936
"2014-10-02",124.99,126.21,124.82,125.79,1545842
"2014-10-09",128.22,130.74,128.19,128.41,2963699
"2014-10-16",122.68,123.85,122.05,122.95,3543012
"2014-10-23",131.03,131.48,130.35,130.59,1763755
"2014-10-30",131.5,133.31,131.33,133,1302063
"2014-11-06",137.39,137.67,136.6,137.09,1685940
"2014-11-13",137.64,138.76,137.34,138.71,2235941
"2014-11-20",139.06,140.01,139.02,139.25,1518294
"2014-12-04",143.49,143.49,142.02,143.02,1324093
"2014-12-11",141.09,142.68,140.67,141.41,2401295
"2014-12-18",140.18,141.56,139.29,141.56,2903401
"2015-01-08",145.56,146.1,144.94,145.56,2937674
"2015-01-15",139.95,140.17,138.62,139.31,1821110
"2015-01-22",139.5,141.28,138.39,141.27,1897527
"2015-01-29",140.16,140.69,138.91,140.64,1873432
"2015-02-05",149.5,151.1,147.52,149.09,6986697
"2015-02-12",148.01,148.39,146.86,147.76,1712183
"2015-02-19",146.9,147.51,146.46,146.66,1273712
"2015-02-26",147.07,147.61,146.2,146.65,1892566
"2015-03-05",150.77,151.75,149,151.17,4471066
"2015-03-12",148.38,149.64,147.4,149.44,1563991
"2015-03-19",151,151.5,150.32,151.31,1862908
"2015-03-26",149.32,150.77,149.17,150.06,1554789
"2015-04-02",150.47,152,150.36,151.63,1096109
"2015-04-09",150.57,151,148.27,148.81,3401763
"2015-04-16",148.76,148.9,146.91,147.11,2680610
"2015-04-23",146.6,147.95,146.27,147.3,1352575
"2015-04-30",143.85,144.9,142.54,143.05,2523216
"2015-05-07",144.52,145.61,144.01,144.56,2565148
"2015-05-14",144.13,144.13,141.53,142.6,3023665
"2015-05-21",143.37,144.59,142.84,143.94,1539527
"2015-05-28",144.32,145.97,143.16,144.26,3206152
"2015-06-04",141.37,142.5,140.33,140.65,2898607
"2015-06-11",139.64,140.47,139.19,139.32,1342315
"2015-06-18",139.49,141.1,139.22,140.5,2074140
"2015-06-25",138.45,139.91,137.42,137.45,1660924
"2015-07-02",137,137.2,136.28,136.39,1149212
"2015-07-09",141.35,141.5,137.71,139.45,3318747
"2015-07-16",144.15,144.49,143.44,144.33,1148062
"2015-07-23",146.85,147,145.38,145.6,1356889
"2015-07-30",145.15,145.86,144.02,145.3,1392698
"2015-08-06",147.15,147.59,145.98,146.44,1947982
"2015-08-13",146.36,146.98,145.18,145.27,1114191
"2015-08-20",144.29,144.88,143.29,143.71,1769007
"2015-08-27",140.47,140.75,137.59,140.21,2594742
"2015-09-03",140.94,141.7,140.1,140.48,1605778
"2015-09-10",139.04,140.96,138.99,140.01,1341774
"2015-09-17",143.9,145.04,143.16,143.35,1513958
"2015-09-24",144.37,145.42,143.65,144.87,1962456
"2015-10-01",144.85,144.85,142.5,144.56,2644089
"2015-10-08",147.61,151.7,147.61,151.66,2352537
"2015-10-15",150.83,151.9,150.22,151.77,1678826
"2015-10-22",155.43,158.34,155.08,158.15,2172641
"2015-10-29",157.06,158.38,156.53,158.28,1496794
"2015-11-05",154.15,156.81,154.02,156.27,2542385
"2015-11-12",156.12,156.98,155.4,156,1630785
