"","FIS.Open","FIS.High","FIS.Low","FIS.Close","FIS.Volume"
"2012-11-15",34.46,34.74,34.07,34.33,1388337
"2012-11-29",36.11,36.43,36,36.12,1612621
"2012-12-06",36.73,37.01,36.46,36.97,3426953
"2012-12-13",35.99,36.1,35.2,35.54,4108730
"2012-12-20",35,35.71,34.74,35.46,5024377
"2012-12-27",34.27,34.68,34.02,34.58,2009674
"2013-01-03",35.86,35.92,35.52,35.57,1634260
"2013-01-10",36.11,36.54,35.84,36.54,2171717
"2013-01-17",37.09,37.25,36.95,37.05,2086642
"2013-01-24",37.72,37.82,37.19,37.23,1352432
"2013-01-31",37.22,37.35,36.78,37.11,1250956
"2013-02-07",37.31,37.4,36.96,37.08,1560595
"2013-02-14",37.06,37.07,36.56,36.98,2471973
"2013-02-21",37.13,37.24,36.31,36.55,2744208
"2013-02-28",37.7,37.86,37.46,37.65,1850817
"2013-03-07",37.5,37.93,37.05,37.53,6179288
"2013-03-14",38.57,38.67,38.43,38.57,1727130
"2013-03-21",38.17,38.52,38.17,38.43,1930648
"2013-03-28",39.09,39.66,38.96,39.62,1972423
"2013-04-04",39.89,40,39.58,39.73,1895099
"2013-04-11",40.12,41.02,39.94,41,3823739
"2013-04-18",40.16,40.28,39.71,40.25,1558707
"2013-04-25",41.08,41.25,40.96,41.06,1232680
"2013-05-02",42.09,42.45,42.07,42.33,1842180
"2013-05-09",43.43,44,43.37,43.79,1903798
"2013-05-16",44.3,44.77,44.28,44.51,1586226
"2013-05-23",44.91,45.36,44.85,45.24,1642257
"2013-05-30",45.13,45.87,45.09,45.78,1109626
"2013-06-06",43.31,44.14,43.03,44.13,1638723
"2013-06-13",43.85,44.77,43.6,44.71,961384
"2013-06-20",43.43,43.66,42.55,42.62,1497746
"2013-06-27",43.11,43.15,42.89,43.01,2140207
"2013-07-11",45.32,45.43,45.01,45.35,1097908
"2013-07-18",44.76,45.07,44.62,44.71,625986
"2013-07-25",44.35,44.64,44.1,44.55,911350
"2013-08-01",43.35,44.9,43.26,44.85,2096678
"2013-08-08",46.69,46.98,46.37,46.53,1796202
"2013-08-15",46.56,46.6,45.93,46.02,1565440
"2013-08-22",45.7,45.9,45.56,45.8,649578
"2013-08-29",44.2,44.77,44.06,44.64,694164
"2013-09-05",44.53,44.78,44.41,44.61,1117102
"2013-09-12",45.68,45.88,45.36,45.72,990342
"2013-09-19",46.92,47.3,46.84,47.13,756800
"2013-09-26",46.71,47,46.44,46.63,1447853
"2013-10-03",46.89,46.92,45.98,46.07,1789197
"2013-10-10",45.22,45.93,45.22,45.93,1111346
"2013-10-17",46.45,46.66,46.27,46.66,1211487
"2013-10-24",47.62,47.81,47.4,47.48,817319
"2013-10-31",48.71,49.21,48.46,48.75,1170750
"2013-11-07",48.67,48.74,47.59,47.65,797972
"2013-11-14",49.37,50.49,49.26,50.36,1537624
"2013-11-21",50.77,51.01,50.58,50.98,1174470
"2013-12-05",50.34,50.49,49.74,49.8,1097239
"2013-12-12",50.1,50.66,50.1,50.5,878780
"2013-12-19",52.32,52.48,52.03,52.19,869371
"2013-12-26",52.77,52.77,52.37,52.66,1146225
"2014-01-02",53.4,53.55,52.79,53,986757
"2014-01-09",53.1,53.25,52.91,53.02,621863
"2014-01-16",52.36,52.67,52.23,52.54,1403406
"2014-01-23",53,53.5,52.75,53.25,2691978
"2014-01-30",51.59,52.02,51.43,51.72,1012262
"2014-02-06",51.49,52.48,51.35,52.48,2249965
"2014-02-13",53.32,54.07,53.32,54.07,979488
"2014-02-20",54.02,54.64,53.91,54.27,835092
"2014-02-27",54.96,56.04,54.96,56.02,1341775
"2014-03-06",55.6,55.98,55.42,55.65,1324137
"2014-03-13",54.8,54.89,53.33,53.33,1600910
"2014-03-20",53.85,54.42,53.75,54.29,986441
"2014-03-27",52.29,52.62,52,52.33,1463932
"2014-04-03",54.23,54.35,54.02,54.16,1064526
"2014-04-10",53.09,53.16,51.81,51.81,877633
"2014-04-17",52.21,52.97,52.08,52.68,1408793
"2014-04-24",53.49,53.49,52.4,52.55,1598538
"2014-05-01",53.51,53.79,52.13,53.61,1843727
"2014-05-08",53.58,54.02,53.34,53.48,1254640
"2014-05-15",54.24,54.24,53.63,53.8,1057749
"2014-05-22",53.26,53.28,53.05,53.13,761853
"2014-05-29",54.25,54.25,53.94,54.06,1162139
"2014-06-05",54.14,54.56,53.94,54.55,842718
"2014-06-12",54.2,54.2,53.42,53.66,685522
"2014-06-19",54.02,54.33,53.91,54.2,1363502
"2014-06-26",55.23,55.25,54.3,54.67,2085018
"2014-07-03",55.01,55.5,54.91,55.44,542547
"2014-07-10",54.71,55.54,54.66,55.1,1126442
"2014-07-17",56.5,56.88,56.21,56.22,1542634
"2014-07-24",56.73,56.75,56.44,56.58,1019201
"2014-07-31",56.56,56.78,56.31,56.4,1883924
"2014-08-07",55.17,55.67,54.79,54.86,1418396
"2014-08-14",56.01,56.16,55.85,55.92,1081669
"2014-08-21",57.2,57.64,56.97,57.32,948129
"2014-08-28",56.8,57.01,56.68,56.71,641116
"2014-09-04",57.5,58.14,57.36,57.82,1440893
"2014-09-11",57.76,57.89,57.36,57.49,1605282
"2014-09-18",56.97,57.23,56.93,56.95,1132656
"2014-09-25",57.46,57.56,56.52,56.53,1575017
"2014-10-02",55.81,56,55.26,55.63,971925
"2014-10-09",56.44,56.47,55.05,55.09,949986
"2014-10-16",51.54,52.54,51.44,52.38,1008793
"2014-10-23",55.18,55.43,54.94,55.24,1184659
"2014-10-30",56.2,57.86,56.2,57.39,1883101
"2014-11-06",58.91,59.03,58.66,58.92,613694
"2014-11-13",59.05,59.31,58.81,59.3,1154195
"2014-11-20",59.54,59.81,59.36,59.7,657786
"2014-12-04",61.79,61.96,61.41,61.65,640241
"2014-12-11",60.93,61.54,60.77,60.99,870539
"2014-12-18",62.15,63.6,61.97,63.59,1371572
"2015-01-08",62.83,63.19,62.71,63.14,907227
"2015-01-15",62.43,62.64,61.87,62.3,749894
"2015-01-22",63.01,63.96,62.5,63.84,644936
"2015-01-29",62.4,63.5,62.2,63.36,1104118
"2015-02-05",64.45,64.79,63.08,64.01,1842076
"2015-02-12",65.36,66.19,65.36,66.19,762647
"2015-02-19",67.33,67.7,67.08,67.69,973207
"2015-02-26",68.05,68.31,67.87,68.14,751253
"2015-03-05",67.28,67.37,66.85,67.25,578551
"2015-03-12",64.74,66.27,64.74,66.25,1087440
"2015-03-19",67.5,67.76,67.19,67.61,659656
"2015-03-26",67.3,67.72,66.88,67.42,946983
"2015-04-02",67.81,68.45,67.54,68.08,924748
"2015-04-09",68.53,68.55,67.75,68.08,920483
"2015-04-16",64.21,64.62,63.82,64.08,1749597
"2015-04-23",64.16,64.67,63.99,64.51,1325552
"2015-04-30",60.95,63.79,60.79,62.49,4084395
"2015-05-07",63.5,64.32,63.41,64.06,1373175
"2015-05-14",64.17,64.61,64.01,64.55,1346128
"2015-05-21",64.6,64.83,64.48,64.54,663862
"2015-05-28",63.46,63.66,63.08,63.4,877706
"2015-06-04",62.19,62.4,61.72,61.78,1213734
"2015-06-11",63.3,64.38,63.1,64.16,1744301
"2015-06-18",63.08,63.49,62.85,63.4,1452845
"2015-06-25",63.51,63.59,63.03,63.13,780801
"2015-07-02",62.51,62.52,62,62.37,697028
"2015-07-09",62.42,62.74,62.23,62.33,884893
"2015-07-16",64.48,64.67,64.02,64.5,2172475
"2015-07-23",63.93,64.35,62.08,62.58,2976613
"2015-07-30",63.1,66.65,62.59,65.85,7446623
"2015-08-06",65.76,65.79,64.56,64.68,586104
"2015-08-13",70.76,70.96,69.95,70.16,2395725
"2015-08-20",71.68,72.3,71.31,71.31,1830207
"2015-08-27",70.02,70.57,68.99,70.29,1477204
"2015-09-03",68.24,68.67,67.88,68.15,1677446
"2015-09-10",67.88,69.12,67.87,68.72,1614504
"2015-09-17",69.96,70.48,69.13,69.3,1420244
"2015-09-24",68.58,68.85,67.85,68.3,1125630
"2015-10-01",67.75,67.75,66.74,67.58,1424579
"2015-10-08",70.1,71.38,69.95,71.3,1584386
"2015-10-15",69.86,69.87,69.12,69.81,1669427
"2015-10-22",70.14,71,69.84,70.57,1038274
"2015-10-29",72.66,72.87,72.39,72.74,1155123
"2015-11-05",65.72,66.7,65.46,66.18,3622248
"2015-11-12",66.77,67.02,66.22,66.31,1686309
"2015-11-19",66.25,66.53,65.87,66.08,1301892
"2015-12-03",65.18,65.26,63.61,64.07,4312157
"2015-12-10",63.41,63.6,62.78,62.88,1960214
