"","APH.Open","APH.High","APH.Low","APH.Close","APH.Volume"
"2013-01-24",135.78,137.06,134.92,135.5,302408
"2013-01-31",135.72,136.16,134.52,135.14,300392
"2013-02-07",138.92,139.28,137.18,138.98,346670
"2013-02-14",139.78,141.1,139.44,140.2,451650
"2013-02-21",138.42,139.56,137.72,138.56,399773
"2013-02-28",141.46,142.54,140.92,141.72,305744
"2013-03-07",145.66,145.78,144.68,145.04,326866
"2013-03-14",146.4,147.52,146.08,146.5,289574
"2013-03-21",144.64,146.64,142.74,145.5,295345
"2013-03-28",146.18,149.42,145.88,149.3,428349
"2013-04-04",146.52,147.76,146.22,146.46,181162
"2013-04-11",148.64,149.84,147.98,149.54,214198
"2013-04-18",144.52,146.98,140.18,144.46,607980
"2013-04-25",149.02,151.72,147.54,150.58,283960
"2013-05-02",154.4,154.4,151.24,151.58,472478
"2013-05-09",155.82,157.38,155.8,156.5,201891
"2013-05-16",162.58,163.66,162.32,162.84,240432
"2013-05-23",154.06,156.5,153.6,156,430387
"2013-05-30",156.8,157.28,156.26,156.9,326330
"2013-06-06",153.72,154.72,152.6,154.54,261122
"2013-06-13",152.2,154.32,151.42,154.08,257777
"2013-06-20",154.38,155.46,150.9,151.22,286330
"2013-06-27",155.92,159.04,155.74,158.84,475569
"2013-07-11",166.6,170.46,165.84,170.26,499152
"2013-07-18",156.94,158,152,152.7,1609738
"2013-07-25",155.28,155.76,154.22,155.06,419682
"2013-08-01",158.56,159.94,157.8,159.74,321343
"2013-08-08",155.76,156.1,154.74,154.92,324098
"2013-08-15",151.74,151.88,150.08,150.18,207023
"2013-08-22",151.74,155.76,151.22,155.64,392636
"2013-08-29",151.66,153.6,151.64,152.7,97858
"2013-09-05",152.56,153.36,151.18,151.26,221146
"2013-09-12",156.22,156.4,155.12,155.46,183930
"2013-09-19",156.76,157.58,156.6,157.36,233095
"2013-09-26",155.56,156.52,155.02,155.96,158148
"2013-10-03",154.38,154.92,151.46,152.5,191304
"2013-10-10",152.96,153.86,152.22,152.36,401367
"2013-10-17",158.16,163.9,156.62,162.24,622315
"2013-10-24",162.68,163.56,162.4,162.58,255182
"2013-10-31",160.58,162.46,160.1,160.58,199570
"2013-11-07",162.08,162.52,159.96,160.54,341132
"2013-11-14",163.58,165.5,163.32,165.44,262964
"2013-11-21",170.04,170.42,169.06,169.98,220390
"2013-12-05",169.96,170.54,169.68,170.06,160484
"2013-12-12",170,170.98,169.94,170.12,246064
"2013-12-19",174.28,175,173.64,174.06,201050
"2013-12-26",176.54,177.42,176.04,176.86,165712
"2014-01-02",177.46,177.58,174.92,175.48,220910
"2014-01-09",177.14,178.92,176.86,178.84,265494
"2014-01-16",184.06,184.14,182.68,183.74,181913
"2014-01-23",181.28,181.99,176.64,176.98,415056
"2014-01-30",172.2,173.94,171.69,173.34,388298
"2014-02-06",170.34,174.08,170.32,173.4,313186
"2014-02-13",175.08,177.36,174.82,177.08,139994
"2014-02-20",177.12,178.2,175.92,177.9,158132
"2014-02-27",173.62,175.84,173.48,175.18,410998
"2014-03-06",178.68,180.83,178.1,180.5,281650
"2014-03-13",181.5,183,180.1,180.46,326848
"2014-03-20",180.92,183.4,179.88,183.34,243846
"2014-03-27",183.64,183.64,181.42,181.56,338752
"2014-04-03",187.72,187.82,185.88,187.48,236793
"2014-04-10",186.4,186.78,182.02,182.1,232152
"2014-04-17",186.52,188.84,185.7,188.24,222929
"2014-04-24",192.28,192.98,191.34,192.64,950792
"2014-05-01",190.98,193.2,190,192.66,364422
"2014-05-08",191.02,193,190.42,191.02,328222
"2014-05-15",191.1,191.4,188.47,189.6,324758
"2014-05-22",189.38,191.58,189.38,190.86,153678
"2014-05-29",191.06,192,190.3,191.84,191802
"2014-06-05",192.46,194.24,192.16,193.74,308312
"2014-06-12",194.24,195.74,193.36,194.02,178464
"2014-06-19",194.2,195.2,193.4,194.82,233524
"2014-06-26",192.28,192.38,189.86,191.14,176836
"2014-07-03",194.68,195.84,194.5,195.64,104998
"2014-07-10",192.78,194.28,192.32,193.32,118535
"2014-07-17",192.6,193.18,188.94,189.32,367342
"2014-07-24",194.3,196.64,194.3,195.42,224454
"2014-07-31",198.5,198.5,192.3,192.34,348392
"2014-08-07",196.2,196.56,194.52,194.88,287537
"2014-08-14",200.7,201.94,200.15,201.8,253649
"2014-08-21",204.84,208.96,204.16,208.76,475941
"2014-08-28",206.14,207.14,205.48,206.78,185968
"2014-09-04",208.98,209.86,207.62,207.86,210411
"2014-09-11",51.5,52.24,51.38,52.22,974304
"2014-09-18",52.33,52.72,52.28,52.66,1378804
"2014-09-25",50.97,51.04,50.23,50.36,912140
"2014-10-02",49.12,49.52,48.8,49.36,1665242
"2014-10-09",49.8,49.88,49.16,49.34,1707586
"2014-10-16",46.16,47.5,46.15,47.2,1420743
"2014-10-23",48,48.31,47.58,48.01,1322083
"2014-10-30",48.94,49.62,48.91,49.49,748384
"2014-11-06",50.75,51.11,50.55,51.04,784068
"2014-11-13",51.21,51.32,50.32,50.71,1094484
"2014-11-20",51.15,51.6,50.94,51.35,764778
"2014-12-04",53.63,53.87,53.28,53.69,568627
"2014-12-11",54.11,54.62,53.66,53.78,3460874
"2014-12-18",53.27,54.39,53.06,54.39,1721592
"2015-01-08",53.46,54.02,53.42,53.91,983222
"2015-01-15",52.73,52.83,51.91,51.93,677417
"2015-01-22",54.15,54.87,53.27,54.76,1388076
"2015-01-29",54.1,55.07,53.68,54.96,1317654
"2015-02-05",54.66,55.4,54.58,55.24,796011
"2015-02-12",55.68,56,55.58,56,559208
"2015-02-19",56.14,56.5,56,56.22,406272
"2015-02-26",56.98,57.39,56.73,56.8,848938
"2015-03-05",58.49,58.91,58.1,58.72,1074416
"2015-03-12",57.36,58.33,57.3,58.29,694357
"2015-03-19",60.09,60.26,59.85,59.97,1148046
"2015-03-26",57.46,57.71,56.74,57.5,2057039
"2015-04-02",58.04,58.9,58.04,58.8,840224
"2015-04-09",59.13,59.46,58.88,59.3,578342
"2015-04-16",58.97,59.25,58.74,58.76,808951
"2015-04-23",56.36,57.02,56.08,56.7,1173456
"2015-04-30",55.43,55.78,54.95,55.37,1218060
"2015-05-07",55.84,55.94,55.59,55.75,596430
"2015-05-14",57.43,58.13,57.16,58.08,733887
"2015-05-21",58.42,58.49,57.78,57.97,667966
"2015-05-28",57.59,57.76,57.42,57.63,769037
"2015-06-04",57.63,57.63,56.87,56.95,845210
"2015-06-11",57.5,57.63,57.27,57.5,531394
"2015-06-18",57.22,58.25,57.12,58.2,795108
"2015-06-25",56.9,56.99,56.11,56.18,680413
"2015-07-02",57.4,57.76,56.76,56.99,1439953
"2015-07-09",55.06,55.09,54.18,54.29,915422
"2015-07-16",55.36,55.54,54.84,54.95,910481
"2015-07-23",56.99,57.4,56.25,56.26,1082239
"2015-07-30",57.06,57.2,56.69,56.91,760420
"2015-08-06",55.98,56.5,55.66,55.74,497615
"2015-08-13",55.8,56.13,55.44,55.45,692146
"2015-08-20",54.7,55.07,54.12,54.12,1135568
"2015-08-27",51.2,53.23,51.11,53.22,2671471
"2015-09-03",51.98,52.74,51.79,51.98,1345626
"2015-09-10",50.31,51.72,50.12,51.4,1697713
"2015-09-17",52.79,53.74,52.69,52.85,1558457
"2015-09-24",49.98,50.22,49.3,50.06,1348728
"2015-10-01",50.86,51.02,49.48,50.03,1734336
"2015-10-08",51.57,52.15,51.25,52.11,962856
"2015-10-15",52.27,52.99,51.91,52.82,1207998
"2015-10-22",50.57,52.75,50.5,52.08,3045949
"2015-10-29",54.29,54.68,53.98,54.4,1201102
"2015-11-05",54.84,55.19,54.37,54.7,1042599
"2015-11-12",54.23,54.51,53.91,53.91,737992
"2015-11-19",54.95,54.99,54.53,54.58,1004213
"2015-12-03",54.73,54.75,53.35,53.62,1036482
"2015-12-10",53.78,54.06,53.34,53.56,1296328
"2015-12-17",52.88,53.5,52.71,52.73,1337045
"2015-12-24",53.51,53.64,53.22,53.42,259470
"2015-12-31",52.81,52.81,52.23,52.23,771488
"2016-01-07",48.16,48.56,46.97,47.34,2145188
"2016-01-14",46.87,47.08,46.11,46.71,3348269
"2016-01-21",46.93,49.05,46.63,47.78,3917713
"2016-01-28",48.76,48.9,48.18,48.46,1583944
"2016-02-04",49.04,49.74,48.79,49.57,1567331
"2016-02-11",48.76,49.32,48.48,49.01,1639534
"2016-02-18",52.05,52.49,51.87,52.1,1092109
"2016-02-25",52.43,52.79,51.93,52.72,1098410
"2016-03-03",55.11,55.88,54.95,55.83,1175288
"2016-03-10",55.82,56.06,54.87,55.42,878314
"2016-03-17",56.28,57.36,56.06,57.11,1236471
"2016-03-24",56.62,57.43,56.32,57.17,1454279
"2016-03-31",57.71,57.97,57.54,57.82,1429120
"2016-04-07",58.09,58.32,57.6,57.78,1864060
"2016-04-14",59.13,59.19,58.59,58.77,687690
"2016-04-21",57.86,58.25,56.73,56.84,1348261
"2016-04-28",56.66,57.04,56.14,56.41,961170
"2016-05-05",55.54,55.87,55.35,55.65,1127077
"2016-05-12",56.42,56.42,55.23,55.8,715819
"2016-05-19",55.29,55.59,54.99,55.32,1086566
"2016-05-26",57.56,58.15,57.44,57.99,1032974
"2016-06-02",58.68,59.1,58.62,59.09,760003
"2016-06-09",59.75,60.08,59.73,59.98,717264
"2016-06-16",58.13,58.39,57.7,58.31,886194
"2016-06-23",58.7,59.56,58.57,59.54,1159341
"2016-06-30",56.56,57.33,56.33,57.33,1311118
"2016-07-07",56.04,56.71,55.95,56.11,1188054
"2016-07-14",58.49,58.95,58.22,58.4,1058744
"2016-07-21",59.17,59.64,58.92,59.24,1694930
"2016-07-28",58.97,59.28,58.38,59.17,1436272
"2016-08-04",59.02,59.51,58.91,59.2,881391
"2016-08-11",60.22,60.5,60.08,60.38,855809
"2016-08-18",59.91,60.69,59.91,60.51,2389134
"2016-08-25",61.25,61.51,61,61.44,555341
"2016-09-01",62.17,62.44,61.85,62.33,1055290
"2016-09-08",62.58,63.09,62.56,62.89,1788440
"2016-09-15",61.8,62.99,61.76,62.79,1136518
