"","ROST.Open","ROST.High","ROST.Low","ROST.Close","ROST.Volume"
"2012-06-07",32.24,32.25,31.4,31.46,3761892
"2012-06-14",32.28,33.02,32.2,32.76,4176764
"2012-06-21",33.76,33.88,32.96,33.08,4411156
"2012-06-28",31.51,31.58,29.88,30.84,13914280
"2012-07-05",32,33.7,32,33.6,9214166
"2012-07-12",33.23,33.95,33.12,33.82,4982114
"2012-07-19",34.62,34.7,33.93,34.27,4008498
"2012-07-26",33,33.55,32.75,33.26,4296840
"2012-08-02",33.03,33.44,32.76,33.14,4755720
"2012-08-09",34.09,34.2,33.55,33.9,3408576
"2012-08-16",33.71,34.8,33.41,34.23,7262872
"2012-08-23",34.76,34.82,34.48,34.59,3106240
"2012-08-30",34.83,35.18,34.69,34.7,2723722
"2012-09-06",34.39,34.68,34.27,34.62,3236458
"2012-09-13",33.48,34,33.35,33.92,3485682
"2012-09-20",32.84,33.59,32.7,33.53,4128174
"2012-09-27",32.4,32.6,32.12,32.45,2796154
"2012-10-04",33.45,33.52,32.34,32.7,8674100
"2012-10-11",32.32,32.36,31.08,31.08,5158168
"2012-10-18",31,31.48,30.92,31.31,4403674
"2012-10-25",30.6,30.79,30.04,30.32,4483352
"2012-11-01",29.88,29.88,28.06,28.56,13595318
"2012-11-08",28.04,28.33,27.77,27.84,3554206
"2012-11-15",26.92,27.32,26.12,27.22,10209280
"2012-11-29",28.78,28.94,28.59,28.78,4780184
"2012-12-06",27.58,27.78,27.42,27.61,4531156
"2012-12-13",27.2,27.4,26.74,26.77,4158316
"2012-12-20",27.02,27.11,26.46,26.63,4794054
"2012-12-27",26.25,26.64,26,26.57,4436186
"2013-01-03",28.36,29.56,28.35,29.39,14349974
"2013-01-10",28.48,28.7,28.18,28.65,3402596
"2013-01-17",28.76,29.25,28.76,29.14,2868262
"2013-01-24",30.1,30.62,30.04,30.58,6993812
"2013-01-31",29.94,29.98,29.6,29.85,4842796
"2013-02-07",29.37,31.04,29.37,30.14,7372974
"2013-02-14",30.12,30.36,30.01,30.19,2672610
"2013-02-21",29.34,29.39,28.85,28.87,3839652
