"","ITW.Open","ITW.High","ITW.Low","ITW.Close","ITW.Volume"
"2012-09-20",60.84,61.35,60.64,61.08,3538077
"2012-09-27",58.91,59.28,58.12,59.16,2878360
"2012-10-04",60.18,60.6,59.9,60.6,2764887
"2012-10-11",58.85,58.97,58.41,58.43,1504690
"2012-10-18",60.12,60.95,59.76,60.75,4004378
"2012-10-25",60.72,60.8,59.85,60.47,1584674
"2012-11-01",61.33,62.26,61.06,62.12,2920457
"2012-11-08",60.92,61.48,60.29,60.35,3426230
"2012-11-15",59.46,59.93,58.39,58.75,4620588
"2012-11-29",61.62,61.84,61.16,61.83,2164169
"2012-12-06",61.67,61.89,61.37,61.55,2991927
"2012-12-13",61.91,62.51,61.91,62.05,2414873
"2012-12-20",61.47,61.89,61.28,61.89,1683415
"2012-12-27",61.02,61.13,60.07,60.69,1508591
"2013-01-03",62.06,63.21,61.88,62.23,3062658
"2013-01-10",62.27,62.85,62.17,62.76,2524177
"2013-01-17",62.69,63.44,62.37,63.3,1856542
"2013-01-24",63.95,64.98,63.88,64.83,2026922
"2013-01-31",63.48,63.51,62.83,62.83,3727729
"2013-02-07",62.32,62.43,61.62,62.07,1844321
"2013-02-14",63.55,63.87,63.4,63.7,1488484
"2013-02-21",62.81,62.95,61.49,61.62,2370680
"2013-02-28",61.53,62.01,61.32,61.5,2455285
"2013-03-07",62.84,62.85,62.02,62.17,1665324
"2013-03-14",61.46,61.67,60.84,61.25,2409260
"2013-03-21",62.75,63.46,62.45,62.54,2727878
"2013-03-28",60.65,61.06,60.37,60.94,1929287
"2013-04-04",61.26,62.08,61.09,61.72,2355961
"2013-04-11",62.69,63.64,62.39,63.55,2161958
"2013-04-18",60.98,61.19,60.17,60.5,2009225
"2013-04-25",64.25,65.94,64.25,65.18,5199911
"2013-05-02",64.15,64.67,64,64.52,2751877
"2013-05-09",67.56,68.82,67.18,68.15,3046878
"2013-05-16",69.91,70.15,69.6,69.91,1843598
"2013-05-23",70.16,70.73,70.07,70.27,1809978
"2013-05-30",70.3,70.99,70.12,70.56,1361546
"2013-06-06",69.17,69.71,68.92,69.59,2424805
"2013-06-13",69.27,70.7,69.22,70.49,2159485
"2013-06-20",69.8,70.19,68.88,69.06,3253730
"2013-06-27",68.94,69.83,68.72,69.79,2450954
"2013-07-11",71.99,72.34,71.81,72.21,1445495
"2013-07-18",71.9,72.8,70.81,72.7,1453911
"2013-07-25",71.21,72.3,71.07,72.26,1729628
"2013-08-01",72.88,73.79,72.83,73.69,1515814
"2013-08-08",73.84,74.1,73.5,73.54,1010140
"2013-08-15",72.95,73,72.42,72.6,1266577
"2013-08-22",72.18,73.31,72.18,72.88,1186203
"2013-08-29",71.41,72.26,71.15,71.76,1184979
"2013-09-05",72.74,73.38,72.3,72.57,1361461
"2013-09-12",74.36,74.86,73.81,73.94,1510429
"2013-09-19",76.38,76.64,76.06,76.33,1514484
"2013-09-26",77.12,77.45,76.54,77.28,1914776
