"","MRK.Open","MRK.High","MRK.Low","MRK.Close","MRK.Volume"
"2012-12-13",44.94,44.94,43.9,43.95,13745020
"2012-12-20",42.45,42.78,42,42.16,33648297
"2012-12-27",41.21,41.41,40.8,41.2,11401541
"2013-01-03",41.89,42.43,41.11,42.33,23544010
"2013-01-10",42.87,43.15,42.75,42.78,12971254
"2013-01-17",42.81,42.85,42.54,42.75,15520213
"2013-01-24",42.95,43.21,42.93,43,12496311
"2013-01-31",43.43,43.64,43.25,43.25,14544257
"2013-02-07",41.1,41.3,40.88,41,16177833
"2013-02-14",41.04,41.22,40.82,41.19,16332721
"2013-02-21",42.5,42.57,42.27,42.5,11824527
"2013-02-28",43.01,43.21,42.73,42.73,14216761
"2013-03-07",43.82,43.93,43.09,43.27,13743164
"2013-03-14",44.71,44.75,43.6,44.27,25896427
"2013-03-21",44.03,44.18,43.76,43.79,11904524
"2013-03-28",44.05,44.3,43.96,44.2,16648312
"2013-04-04",45.39,45.88,45.01,45.32,13967508
"2013-04-11",46.68,47.51,46.68,47.21,17538812
"2013-04-18",46.86,46.98,46.49,46.56,11272537
"2013-04-25",47.95,48,47.28,47.35,15955290
"2013-05-02",45.9,46.01,45.49,45.73,14246141
"2013-05-09",45.25,45.62,44.95,45.49,14177427
"2013-05-16",46.58,46.7,45.01,46.37,11964095
"2013-05-23",46.46,47.44,46.42,47.33,22580823
"2013-05-30",47.02,47.39,46.74,47.07,15203906
"2013-06-06",48.64,48.73,47.75,48.6,19899703
"2013-06-13",46.74,47.94,46.49,47.9,14775462
"2013-06-20",47.42,47.42,46.21,46.31,17829426
"2013-06-27",47.03,47.36,46.87,47.28,11652692
"2013-07-11",48.43,48.5,48.13,48.31,11442885
"2013-07-18",48.03,48.13,47.35,47.4,17823515
"2013-07-25",47.53,48.19,47.35,48.17,10041145
"2013-08-01",48.44,48.68,48.04,48.58,13549263
"2013-08-08",48.66,48.84,48.19,48.47,8631430
"2013-08-15",48.28,48.36,47.85,47.97,11342312
"2013-08-22",47.63,47.98,47.4,47.81,8630266
"2013-08-29",46.97,47.4,46.79,47.1,9695514
"2013-09-05",47.79,47.79,47.26,47.51,7898708
"2013-09-12",47.8,47.98,47.65,47.85,9502387
"2013-09-19",48.47,48.49,48.1,48.26,9328319
"2013-09-26",47.78,48,47.51,47.68,10264221
"2013-10-03",48.22,48.75,48,48.36,17900526
"2013-10-10",47.6,47.63,46.96,47.49,17262729
"2013-10-17",47.13,47.28,46.89,47.11,13879245
"2013-10-24",46.8,46.86,46.19,46.22,11201798
"2013-10-31",45.31,45.46,45.09,45.09,14994879
"2013-11-07",46.15,46.24,45.78,45.82,11676094
"2013-11-14",47.52,47.87,47.5,47.82,11280621
"2013-11-21",48.22,48.7,48.16,48.62,12840395
"2013-12-05",48.91,49.25,48.77,48.81,8723045
"2013-12-12",48.55,48.78,48.03,48.32,11611802
"2013-12-19",48.74,48.95,48.53,48.79,8739490
"2013-12-26",49.44,49.75,49.36,49.72,5069760
"2014-01-02",49.88,50.04,49.3,49.49,7897827
"2014-01-09",49.82,50,49.34,49.52,9328168
"2014-01-16",52.15,52.98,52.1,52.5,7770117
"2014-01-23",51.21,51.75,50.86,51.6,15877916
"2014-01-30",52.46,53.67,52.38,53.51,17371763
"2014-02-06",53.26,53.86,52.8,53.77,12246810
"2014-02-13",54.45,55.21,54.41,55.1,10244169
"2014-02-20",55.11,56,55.03,55.81,10133452
"2014-02-27",56.24,56.67,56,56.66,9055465
"2014-03-06",57.06,57.65,57.01,57.26,10605733
"2014-03-13",56.61,56.79,55.72,55.79,10120002
"2014-03-20",55.83,55.88,55.31,55.59,8460953
"2014-03-27",55.89,56.11,55.33,55.73,11123826
"2014-04-03",56.53,56.75,55.94,56.21,8320944
"2014-04-10",57.89,58.14,55.78,55.85,18025980
"2014-04-17",56.45,57,56.27,56.47,11263810
"2014-04-24",57.32,57.82,56.85,57.53,6714791
"2014-05-01",58.55,59.84,58.55,59.62,11724492
"2014-05-08",55.55,55.76,54.72,54.83,14372328
"2014-05-15",55.81,56.59,55.51,55.89,8918501
"2014-05-22",56.4,56.78,56.04,56.49,7178038
"2014-05-29",56.91,57.79,56.6,57.7,8513741
"2014-06-05",57.97,58.47,57.72,58.1,7640710
"2014-06-12",58.28,58.72,58.06,58.3,9563877
"2014-06-19",58.42,58.42,58.1,58.3,6012926
"2014-06-26",58.76,58.77,58.25,58.53,7238577
"2014-07-03",59.39,59.45,59.07,59.2,5220098
"2014-07-10",58.28,58.77,57.73,58.58,5583712
"2014-07-17",57.87,58.24,57.57,57.6,6651154
"2014-07-24",58.32,58.5,57.92,58.21,10064198
"2014-07-31",57.76,58.07,56.72,56.74,10120747
"2014-08-07",56.21,56.56,55.57,55.64,7215560
"2014-08-14",58.05,58.79,58,58.78,7932294
"2014-08-21",59.4,59.66,58.79,58.85,7646752
"2014-08-28",59.89,60.23,59.84,60,5241181
"2014-09-04",60.57,61,59.92,60.08,10810905
"2014-09-11",60.21,60.44,59.81,60.1,7787135
"2014-09-18",60.13,60.34,59.82,60.31,8004138
"2014-09-25",60.28,60.5,59.63,59.64,8700414
"2014-10-02",58.78,59.06,58.29,58.85,8109810
"2014-10-09",60,60.51,59.11,59.21,8595848
"2014-10-16",54.01,54.09,52.49,53.43,21857176
"2014-10-23",56.26,57.07,56.19,56.63,11851143
"2014-10-30",55.71,57.39,55.7,57.31,12866624
"2014-11-06",59.6,59.9,59.19,59.26,13362120
"2014-11-13",59.5,59.95,59.18,59.54,6646925
"2014-11-20",59.21,59.4,58.86,59.38,6741072
"2014-12-04",60.51,61.38,60.51,60.92,7148208
"2014-12-11",59.78,60.58,59.19,59.34,11314081
"2014-12-18",58.59,58.98,58.09,58.98,13359439
"2015-01-08",62,62.94,61.85,62.85,19121028
"2015-01-15",62.79,62.99,61.83,61.88,9564604
"2015-01-22",62.26,62.71,61.53,62.59,8494438
"2015-01-29",61.54,62.15,60.76,62.09,9091286
"2015-02-05",59.27,59.35,58.5,59.17,12660363
"2015-02-12",59,59.11,58.59,58.88,7207699
"2015-02-19",58.85,58.99,57.81,58.3,9836208
"2015-02-26",58.66,59.15,58.66,58.96,11489059
"2015-03-05",58.09,58.28,57.8,57.98,11534075
"2015-03-12",55.82,56.22,55.66,56.17,12954263
"2015-03-19",57.43,58.34,57.03,58.21,14455885
"2015-03-26",58.04,58.2,57.41,57.6,10582936
"2015-04-02",57,57.45,56.85,57.1,7583525
"2015-04-09",57.22,57.73,57.11,57.43,12005987
"2015-04-16",58.21,58.39,57.74,57.84,6409437
"2015-04-23",57.52,57.85,57.04,57.51,8342300
"2015-04-30",59.79,60.14,59.24,59.56,13012427
"2015-05-07",60.05,60.73,59.93,60.3,9000988
"2015-05-14",59.47,59.89,59.04,59.78,7127334
"2015-05-21",60.55,60.78,60.09,60.1,8039016
"2015-05-28",59.45,59.85,59.38,59.7,9530115
"2015-06-04",59.96,60.21,59.27,59.47,10830276
"2015-06-11",59.2,59.37,58.84,58.91,11640259
"2015-06-18",57.91,58.87,57.91,58.59,7440464
"2015-06-25",58.25,58.6,57.72,57.9,9951167
"2015-07-02",57.94,58.33,57.5,57.67,8518380
"2015-07-09",58.04,58.17,57.35,57.38,8677777
"2015-07-16",58.51,58.86,58.35,58.82,5324664
"2015-07-23",58.53,58.53,57.94,58.07,6441613
"2015-07-30",58.62,58.82,58.28,58.52,6989455
"2015-08-06",59.16,59.25,58.32,58.43,7019665
"2015-08-13",58.55,59.45,58.5,58.98,10957191
"2015-08-20",58.29,58.55,56.74,56.95,23636015
"2015-08-27",55.28,55.4,53.64,54.95,14617703
"2015-09-03",53.27,53.55,52.6,52.65,11988271
"2015-09-10",52.02,53.2,51.86,52.72,14063105
"2015-09-17",53.85,54.5,53.02,53.96,22632342
"2015-09-24",50.53,50.86,50.22,50.59,10390121
"2015-10-01",49.35,49.57,48.54,49.37,14309375
"2015-10-08",50.66,51.19,50.14,51.02,12521969
"2015-10-15",49.67,51.08,49.25,50.72,13988838
"2015-10-22",50.82,52.56,50.3,52.01,18435282
"2015-10-29",54.96,55.64,54.47,54.87,8863284
"2015-11-05",55.46,55.68,54.68,55.05,9043135
"2015-11-12",53.59,53.97,53.03,53.03,8535534
"2015-11-19",54.44,54.53,53.92,54.28,6668837
"2015-12-03",54.07,54.09,52.24,52.59,13595087
"2015-12-10",53.02,53.98,52.82,53.69,11451853
"2015-12-17",54.11,54.25,52.66,52.66,13517113
"2015-12-24",52.79,53.13,52.61,52.85,2980053
"2015-12-31",52.8,53.29,52.66,52.82,8292947
"2016-01-07",51.52,52.32,51.44,51.96,12720013
"2016-01-14",50.67,52.11,50.59,51.8,13552403
"2016-01-21",50.78,51.32,50.09,50.92,11927271
"2016-01-28",50.33,50.54,48.98,49.2,18115343
"2016-02-04",49.7,49.74,48.03,48.59,20554183
"2016-02-11",48.81,49.39,48.51,48.85,10971983
"2016-02-18",50.6,50.99,50.24,50.32,9568324
"2016-02-25",50.56,51,50.39,51,8685114
"2016-03-03",52.18,52.32,51.15,52.1,9808665
"2016-03-10",52.69,53.24,52.42,53.04,12206508
