"","AWK.Open","AWK.High","AWK.Low","AWK.Close","AWK.Volume"
"2012-08-09",37.3,37.99,37.27,37.87,1110851
"2012-08-16",38.35,38.49,37.83,38.03,1185650
"2012-08-23",37.3,37.31,36.97,37.22,812264
"2012-08-30",37.3,37.39,36.95,36.99,581384
"2012-09-06",37.12,37.68,37.07,37.68,896813
"2012-09-13",37.4,37.4,37,37.19,1205609
"2012-09-20",36.79,36.94,36.51,36.71,1240793
"2012-09-27",36.77,36.92,36.44,36.9,664793
"2012-10-04",37.06,37.3,36.86,37.18,609443
"2012-10-11",37.02,37.02,36.54,36.66,617730
"2012-10-18",37.29,37.43,37.06,37.27,616036
"2012-10-25",36.87,36.94,36.55,36.76,568230
"2012-11-01",36.8,36.93,36.26,36.59,683672
"2012-11-08",36.44,37.25,36.22,36.5,642014
"2012-11-15",36.59,36.76,36.43,36.63,1768699
"2012-11-29",37.77,38.13,37.57,37.99,637989
"2012-12-06",38,38,37.33,37.62,916706
"2012-12-13",38.13,38.16,37.62,37.78,781815
"2012-12-20",37.28,37.35,37,37.13,1098323
"2012-12-27",36.81,37.09,36.57,36.8,762740
"2013-01-03",38.12,38.23,37.79,38.11,945485
"2013-01-10",37.56,37.96,37.44,37.61,831278
"2013-01-17",37.81,37.87,37.54,37.75,711242
"2013-01-24",38.29,38.69,38.05,38.59,699302
"2013-01-31",38.33,38.59,38.23,38.28,1014401
"2013-02-07",38.9,39.33,38.46,38.99,830109
"2013-02-14",39.3,39.43,39.09,39.15,353335
"2013-02-21",39.47,39.83,39.28,39.45,496787
"2013-02-28",39.35,39.61,39.25,39.45,1055335
"2013-03-07",39.57,40,39.38,39.56,1227122
"2013-03-14",40.06,40.23,39.73,40,862389
"2013-03-21",40.5,40.8,40.11,40.61,571398
"2013-03-28",41.12,41.45,41.04,41.44,927502
"2013-04-04",41.23,41.46,41.1,41.4,594617
"2013-04-11",42.39,42.42,42.05,42.3,675964
"2013-04-18",42.01,42.18,41.6,41.83,919872
"2013-04-25",41.16,41.53,41.1,41.39,694065
"2013-05-02",41.87,42.23,41.8,42.13,709224
"2013-05-09",42.2,43.09,41.85,41.88,1511992
"2013-05-16",42.8,42.91,42.46,42.5,642842
"2013-05-23",41.73,42.02,41.25,41.8,1124521
"2013-05-30",40.93,41.53,40.91,40.91,777016
"2013-06-06",39.66,40.06,39.45,40.02,755083
"2013-06-13",40.4,40.99,40.26,40.88,1075688
"2013-06-20",40.18,40.43,39.42,39.57,788296
"2013-06-27",40.48,40.75,40.42,40.46,646442
"2013-07-11",42.11,42.3,41.46,41.87,776836
"2013-07-18",42.1,42.41,41.9,42.32,838892
"2013-07-25",42.64,42.98,42.49,42.98,475345
"2013-08-01",43.01,43.44,42.99,43.29,661991
"2013-08-08",42.49,42.84,42.11,42.52,847943
"2013-08-15",41.75,41.81,41.07,41.15,700512
"2013-08-22",41.02,41.84,40.82,41.63,673549
"2013-08-29",41.52,41.63,40.85,40.92,694955
"2013-09-05",39.69,39.86,39.28,39.33,944215
"2013-09-12",39.92,39.93,39.05,39.25,1277849
"2013-09-19",40.86,41.19,40.59,40.61,741736
"2013-09-26",40.88,41.29,40.82,41.12,643562
"2013-10-03",41.28,41.41,40.7,40.75,796248
"2013-10-10",40.6,41.41,40.51,41.28,762431
"2013-10-17",40.8,41.79,40.58,41.79,826468
"2013-10-24",42.42,42.59,41.96,42.02,598225
"2013-10-31",42.75,42.95,42.34,42.87,830202
"2013-11-07",43.57,44.49,43.09,43.34,729179
"2013-11-14",42.54,42.89,42.54,42.87,558574
"2013-11-21",42.19,42.41,41.9,41.99,816351
"2013-12-05",41.55,41.64,41.03,41.05,1240280
"2013-12-12",40.38,40.84,40.38,40.75,747644
"2013-12-19",41.89,42.26,41.53,41.84,685828
"2013-12-26",42.19,42.24,41.92,42.01,378269
"2014-01-02",42.01,42.09,41.5,41.58,788839
"2014-01-09",41.8,41.83,41.47,41.6,698170
"2014-01-16",41.26,41.54,41.2,41.51,777175
"2014-01-23",41.96,42.17,41.82,42.16,622173
"2014-01-30",42,42.56,41.75,42.5,942654
"2014-02-06",41.19,41.8,41.06,41.7,591497
"2014-02-13",42.72,43.57,42.59,43.57,695173
"2014-02-20",43.59,44.07,43.41,44.06,504006
"2014-02-27",43.75,44.29,43.37,44.02,538849
"2014-03-06",44.5,44.65,44.26,44.36,784839
"2014-03-13",44.44,45.05,44.26,44.99,878787
"2014-03-20",44.76,44.94,44.55,44.66,733371
"2014-03-27",44.56,44.98,44.26,44.96,573441
"2014-04-03",45.55,45.83,45.43,45.53,618196
"2014-04-10",45.61,46.04,45.34,45.53,956184
"2014-04-17",45.99,46.21,45.56,45.67,577970
"2014-04-24",45.88,46.21,45.6,46,602303
"2014-05-01",45.66,46.22,45.43,46.22,671145
"2014-05-08",46.82,47.61,46.51,46.73,715290
"2014-05-15",47,47.41,47,47.38,1404897
"2014-05-22",46.82,47.41,46.82,47.29,443148
"2014-05-29",47.72,47.72,47.36,47.64,461002
"2014-06-05",48.11,48.2,47.66,48.12,605981
"2014-06-12",47.72,47.98,47.22,47.85,629585
"2014-06-19",48.63,48.88,48.42,48.44,614381
"2014-06-26",48.68,48.89,48.52,48.79,461805
"2014-07-03",48.44,48.48,47.99,48.06,523118
"2014-07-10",48.4,48.76,48.27,48.6,437053
"2014-07-17",48.46,48.55,48.04,48.09,418065
"2014-07-24",48.76,48.98,48.48,48.78,300656
"2014-07-31",48.08,48.36,47.7,47.77,856966
"2014-08-07",45.98,46.85,45.98,46.55,837071
"2014-08-14",48.39,49.39,48.27,49.27,816824
"2014-08-21",49.9,50.31,49.77,50.08,627377
"2014-08-28",50.13,50.42,49.95,50.2,512358
"2014-09-04",50.32,50.69,50.08,50.38,605508
"2014-09-11",49.45,49.71,49.34,49.65,533104
"2014-09-18",49.35,49.38,48.81,48.82,445187
"2014-09-25",48.35,48.54,48.07,48.24,489762
"2014-10-02",48.08,48.24,47.75,48.01,537037
"2014-10-09",49.57,49.91,48.82,49.02,721670
"2014-10-16",48.37,49.51,48.37,49.28,754688
"2014-10-23",51.18,51.89,51.17,51.43,589973
"2014-10-30",52.41,53.13,52.17,53.12,461557
"2014-11-06",53.11,53.22,51.34,51.99,1070350
"2014-11-13",52.51,52.51,51.79,51.87,518715
"2014-11-20",52.19,52.58,52.01,52.16,617934
"2014-12-04",52.74,52.85,52.25,52.45,753180
"2014-12-11",52.5,52.96,52.43,52.6,650461
"2014-12-18",52.1,52.95,51.9,52.95,763782
"2015-01-08",54.25,54.76,53.95,54.14,1359409
"2015-01-15",55.26,55.46,55.02,55.25,492291
"2015-01-22",56.77,56.89,56.32,56.53,574204
"2015-01-29",56.91,57.48,56.58,57.36,588811
"2015-02-05",55.75,56.59,55.47,56.36,780214
"2015-02-12",53.7,53.89,53.19,53.61,739669
"2015-02-19",54.15,54.3,53.62,53.8,956942
"2015-02-26",54.55,54.58,53.4,53.64,850064
"2015-03-05",53.63,54.28,53.62,53.92,1509875
"2015-03-12",52.5,53.13,52.42,52.97,586801
"2015-03-19",54.09,54.63,53.88,54.34,718165
"2015-03-26",53.86,54.2,53.39,53.46,794749
"2015-04-02",54.5,54.94,54.36,54.89,622987
"2015-04-09",54.11,54.22,53.63,53.87,572365
"2015-04-16",53.9,54.13,53.19,53.87,710702
"2015-04-23",54.31,54.9,54.14,54.63,522242
"2015-04-30",54.91,55.05,54.07,54.52,1038529
"2015-05-07",52.94,53.46,52.55,52.99,932335
"2015-05-14",52.49,53,52.33,52.99,761446
"2015-05-21",53.5,53.56,53.17,53.39,821422
"2015-05-28",53.02,53.43,52.53,52.71,1336018
"2015-06-04",51.53,51.91,51.5,51.72,824215
"2015-06-11",50.86,51.1,50.62,50.93,990755
"2015-06-18",49.64,50.62,49.56,50.45,1191319
"2015-06-25",49.89,49.92,49.29,49.37,672190
"2015-07-02",49.54,49.87,49.5,49.85,698689
"2015-07-09",51.43,51.44,50.01,50.18,1437458
"2015-07-16",51.44,51.94,51.2,51.78,560533
"2015-07-23",51.11,51.34,50.24,50.44,643391
"2015-07-30",51.57,51.97,51.44,51.59,537411
"2015-08-06",50.91,51.85,50.58,51.77,1016788
"2015-08-13",53.64,54.45,53.56,54.18,956339
"2015-08-20",54.42,54.85,53.9,54.19,1029285
"2015-08-27",52.67,53.18,52.21,53.14,1016747
"2015-09-03",51.46,52.42,51.44,52.21,1256322
"2015-09-10",51.32,51.67,50.95,51.11,994761
"2015-09-17",52.77,53.77,52.75,53.32,911474
"2015-09-24",53.64,54.68,53.58,54.37,793467
"2015-10-01",55.02,55.31,54.62,55.27,925712
"2015-10-08",55.37,56.84,55.14,56.84,1143515
"2015-10-15",56.28,58.21,56.03,58.21,1159709
"2015-10-22",58.08,58.71,58.08,58.46,1043136
"2015-10-29",57.37,57.73,56.34,57.08,1015736
"2015-11-05",58.04,58.38,57.28,58.19,966052
"2015-11-12",56.75,57.54,56.34,56.47,478974
"2015-11-19",57.08,57.49,57.02,57.27,519653
"2015-12-03",57.23,57.46,56.96,57.41,688276
"2015-12-10",58.02,58.06,56.63,56.77,1043843
"2015-12-17",58.82,59.78,58.62,59.29,1886103
"2015-12-24",59.42,60.08,59.42,59.83,383263
"2015-12-31",60.38,60.53,59.58,59.75,538486
"2016-01-07",59.17,59.7,58.9,59.44,1016676
"2016-01-14",60.03,61.24,59.99,60.88,946676
"2016-01-21",60.69,60.89,60.03,60.25,1275596
"2016-01-28",62.75,63.93,62.47,63.45,869482
"2016-02-04",65.31,65.34,63.71,63.93,1964230
"2016-02-11",66.39,66.78,65.45,66.08,1898229
"2016-02-18",64.74,66.32,64.65,65.81,1649223
"2016-02-25",67.6,68.49,67.13,68.05,1350618
"2016-03-03",68.57,68.63,67.41,67.9,33566767
"2016-03-10",68.7,68.98,67.87,68.23,1711861
"2016-03-17",68.89,70.1,68.6,69.97,1988559
"2016-03-24",67.68,67.98,67.33,67.63,1575929
"2016-03-31",68.75,69.4,68.47,68.93,1403692
"2016-04-07",69.4,70.18,69.23,69.8,1656187
"2016-04-14",70.17,70.51,70.05,70.44,835262
"2016-04-21",70.58,70.59,68.09,68.26,2644292
"2016-04-28",71.65,72.66,71.51,72.39,954963
"2016-05-05",73.89,74.88,72.86,73.2,1578605
"2016-05-12",74.54,75.1,74.17,74.94,1093895
"2016-05-19",72.58,73.41,72.15,73.4,908318
"2016-05-26",73.43,74.1,73,73.98,1148929
"2016-06-02",75.24,75.24,74.19,75.2,966752
"2016-06-09",76.49,77.56,76.18,77.47,837785
"2016-06-16",77.83,78.75,77.83,78.68,1130038
"2016-06-23",78.5,78.94,78.08,78.94,921959
"2016-06-30",82.59,84.54,82.4,84.51,1951779
"2016-07-07",83.7,83.85,82.33,82.58,2065033
"2016-07-14",81.51,81.88,81.2,81.73,1173955
"2016-07-21",81.38,81.38,80.46,81.15,1735537
"2016-07-28",81.4,82.37,81.24,82.06,914657
"2016-08-04",80.62,80.97,79.74,80.15,1391193
"2016-08-11",78.11,78.32,77.37,77.83,1266259
"2016-08-18",76.85,77.44,76.74,77.4,1267119
"2016-08-25",76.25,76.81,76.22,76.27,607975
"2016-09-01",73.73,73.95,73.29,73.36,1144093
"2016-09-08",75.7,76.31,75.43,75.73,720192
"2016-09-15",73.22,73.87,73.12,73.72,899034
