"","ESRX.Open","ESRX.High","ESRX.Low","ESRX.Close","ESRX.Volume"
"2013-06-13",61.98,62.11,61.26,62,4292191
"2013-06-20",61.9,62.19,61.18,61.28,5107323
"2013-06-27",61.93,62.54,61.82,62.11,3034068
"2013-07-11",64.83,65.02,64.6,64.76,3450090
"2013-07-18",66.61,66.9,65.82,66.47,4847502
"2013-07-25",66.57,67,66.32,66.73,2841072
"2013-08-01",66.2,66.62,65.28,65.56,4909972
"2013-08-08",66.41,66.74,65.83,65.88,7389859
"2013-08-15",64.94,65,63.93,63.97,3561115
"2013-08-22",64.11,65,64,64.65,2644191
"2013-08-29",63.63,64.61,63.53,63.85,2197965
"2013-09-05",64.33,65.11,64.24,64.92,2196778
"2013-09-12",66.02,66.29,65.59,65.63,1700214
"2013-09-19",63.33,63.66,61.81,61.94,12418442
"2013-09-26",62.98,63.01,62,62.54,5093282
"2013-10-03",62.14,62.48,61.57,61.63,4579808
"2013-10-10",62.2,62.63,62,62.54,3566063
"2013-10-17",63.8,64.23,63.65,64.18,3650306
"2013-10-24",64.33,64.5,63.63,63.74,5357834
"2013-10-31",62.56,62.93,62.29,62.52,5875041
"2013-11-07",65.02,65.49,64.04,64.08,5532367
"2013-11-14",65.8,66.55,65.8,66.44,4802963
"2013-11-21",65.27,65.96,65.27,65.88,3330052
"2013-12-05",67.01,67.27,66.48,66.77,4294566
"2013-12-12",67.03,67.35,66.54,66.71,3700981
"2013-12-19",67.8,67.98,67.2,67.88,3661984
"2013-12-26",69.76,70.26,69.65,70.13,3676265
"2014-01-02",70,70.41,69.77,69.96,2895590
"2014-01-09",71.23,72.5,70.92,72.38,7051557
"2014-01-16",73.58,73.58,72.5,72.9,3154069
"2014-01-23",74.51,74.75,73.65,74.43,4366094
"2014-01-30",74.4,75.28,74.11,74.66,7248194
"2014-02-06",73.71,74.43,73.4,73.98,3424444
"2014-02-13",75.54,76.68,75.47,76.6,4478730
"2014-02-20",76.64,78.17,75.91,77.12,7655758
"2014-02-27",73.8,74.74,73.2,74.56,5984350
"2014-03-06",77.01,78.63,76.87,78.09,8534228
"2014-03-13",78.7,79.04,77.71,78,4405684
"2014-03-20",77.33,78.18,77.3,77.92,3478835
"2014-03-27",75.2,75.75,75.02,75.26,3564397
"2014-04-03",75.75,75.83,74.65,74.92,3785770
"2014-04-10",74.89,74.89,71.66,71.95,8570379
"2014-04-17",73.28,73.5,72.1,72.29,5336958
"2014-04-24",71.11,71.94,70.92,71.43,5110899
"2014-05-01",66.62,67.01,65.83,66.17,7111792
"2014-05-08",67.01,67.5,66.27,67.04,5195034
"2014-05-15",68.06,68.47,67.58,68.37,6582482
"2014-05-22",69.92,70.49,69.73,70.25,4686521
"2014-05-29",71.07,71.42,70.9,71.06,4037334
"2014-06-05",70.42,71.16,69.83,71.12,5135594
"2014-06-12",71.19,71.72,71.06,71.57,4936303
"2014-06-19",68.65,68.66,68.11,68.54,9579101
"2014-06-26",69.08,69.25,68.66,68.84,3494921
"2014-07-03",69.34,69.64,69,69.43,2045081
"2014-07-10",67.43,68.19,67.3,67.7,3743845
"2014-07-17",65.99,66.42,65.5,65.6,6413855
"2014-07-24",66.17,66.85,65.97,66.52,7124043
"2014-07-31",70.11,70.5,69.5,69.65,5341070
"2014-08-07",70.62,70.95,70.17,70.53,4592969
"2014-08-14",72.09,72.85,71.93,72.82,3839394
"2014-08-21",74.73,75.36,74.64,75.35,3865153
"2014-08-28",74.61,74.87,73.67,73.82,3118072
"2014-09-04",73.8,74.42,72.86,73.22,2770219
"2014-09-11",74.26,75.08,73.88,74.85,3880465
"2014-09-18",73.95,74.74,73.92,74.6,2565343
"2014-09-25",72.6,72.76,71.58,71.98,3778035
"2014-10-02",70.05,70.65,69.77,70.45,3108725
"2014-10-09",71.38,71.55,70.17,70.44,2671664
"2014-10-16",69.05,70.33,68.78,69.97,4426018
"2014-10-23",73.79,73.92,72.79,73.06,4072107
"2014-10-30",74,75.99,73.95,75.54,6350383
"2014-11-06",77.15,77.95,76.88,77.92,2783935
"2014-11-13",76.88,78.18,76.88,77.9,3274469
"2014-11-20",79.33,80.01,79.07,79.89,2892453
"2014-12-04",83.96,84.51,83.59,84.03,3549883
"2014-12-11",84,84.46,83.5,83.98,2533814
"2014-12-18",80.8,80.88,79.85,80.48,4539452
"2015-01-08",85.19,86.64,85.1,86.41,4480717
"2015-01-15",84.95,85.62,84.24,84.3,3394349
"2015-01-22",83.79,85.01,83.24,84.99,3716923
"2015-01-29",82.2,82.29,80.81,82.28,4543898
"2015-02-05",82.75,83.1,82.2,82.7,1812890
