"","ECL.Open","ECL.High","ECL.Low","ECL.Close","ECL.Volume"
"2014-08-21",113.9,114.19,113.23,113.77,706206
"2014-08-28",113.76,114.71,113.56,114.39,692977
"2014-09-04",114.75,115.38,114.61,114.89,591212
"2014-09-11",114.55,114.91,114.19,114.7,452733
"2014-09-18",116.79,117.57,116.57,117.53,695021
"2014-09-25",117.48,118.11,115.64,115.64,1270293
"2014-10-02",112.43,113.46,111.53,113.3,1300483
"2014-10-09",113.36,113.77,110.47,110.66,1405042
"2014-10-16",103.55,106.35,103.4,105.39,2736353
"2014-10-23",113.72,113.72,112.3,112.56,1080362
"2014-10-30",107.7,108.71,106.9,108.35,865406
"2014-11-06",110.82,111.99,110.27,111.94,875315
"2014-11-13",113.3,113.67,112.44,112.95,1060957
"2014-11-20",112.48,113.63,112.45,113.46,590011
"2014-12-04",109.2,109.82,108.85,109.53,1612300
"2014-12-11",104.36,105.58,103.72,104.64,1689390
"2014-12-18",105.42,106.17,104.49,105.29,2203788
"2015-01-08",101.46,103.16,101.37,102.62,1935508
"2015-01-15",101.73,102.4,100.65,100.68,1460542
"2015-01-22",104.75,106.44,104.28,106.37,2078719
"2015-01-29",103.46,104.65,102.45,104.38,2048116
"2015-02-05",105.12,106.7,104.64,106.38,1281691
"2015-02-12",110.05,111.16,109.62,110.77,1585047
"2015-02-19",110.85,111.8,110.01,111.77,1324246
"2015-02-26",115.32,116.72,114.52,116.15,1820595
"2015-03-05",116.74,116.89,115.71,116.77,1029626
"2015-03-12",114.44,115.88,114.44,115.81,1030459
"2015-03-19",115.16,115.52,114.31,115.01,968344
"2015-03-26",113.51,114.64,113.48,114.26,1029624
"2015-04-02",113.16,114.36,113.16,113.37,900786
"2015-04-09",115.5,116.19,115.3,115.86,901745
"2015-04-16",116.59,117.31,116.28,116.83,809736
"2015-04-23",116.01,116.41,115.63,115.85,505289
"2015-04-30",114.07,114.21,111.84,111.98,1766803
"2015-05-07",112.3,113.39,112.1,113.28,954575
"2015-05-14",114.84,116,114.33,115.99,854978
"2015-05-21",115.44,116.31,115.35,116.04,854820
"2015-05-28",113.88,114.84,113.79,114.8,1350437
"2015-06-04",115.58,115.82,113.9,114.02,860659
"2015-06-11",115.93,116.28,115.6,115.71,780473
"2015-06-18",115.63,117.54,115.38,117.22,1264615
"2015-06-25",116.25,116.96,115.7,115.96,710464
"2015-07-02",113.78,113.85,112.15,112.81,816563
"2015-07-09",112.21,112.21,110.58,110.61,752095
"2015-07-16",115.07,115.28,114.17,114.7,826068
"2015-07-23",111.95,112.33,111.18,111.24,879036
"2015-07-30",115.34,116.25,115.21,116.1,893056
"2015-08-06",116.54,117.18,115.95,116.31,743982
"2015-08-13",115.25,115.85,114.33,115.28,626545
"2015-08-20",114.08,114.85,112.57,112.62,1211832
