"","MLM.Open","MLM.High","MLM.Low","MLM.Close","MLM.Volume"
"2013-01-03",97.36,97.58,96.75,96.95,415662
"2013-01-10",98.39,98.54,97.75,98.42,353582
"2013-01-17",98,99.02,97.73,97.95,331523
"2013-01-24",98.63,100.37,98.57,99.23,202181
"2013-01-31",99.58,100.11,98.58,98.73,351141
"2013-02-07",98.88,99.1,96.33,97.37,232695
"2013-02-14",99.65,100.45,99.21,100.35,488786
"2013-02-21",98.27,98.62,96.95,97.89,443079
"2013-02-28",96.58,98.34,96.21,97.13,408581
"2013-03-07",101.96,103.59,101.6,103.41,470615
"2013-03-14",105.16,106.22,104.31,104.71,623681
"2013-03-21",102.76,103.21,102.27,102.53,395609
"2013-03-28",102.05,102.64,101.12,102.02,339810
"2013-04-04",98.37,98.82,97.6,97.64,283641
"2013-04-11",99.89,100.8,99.7,100.18,305783
"2013-04-18",97.19,97.46,94.02,94.54,290093
"2013-04-25",99.11,99.9,97.86,98.02,335161
"2013-05-02",99.72,103.57,99.72,103.05,276588
"2013-05-09",109.39,109.85,106.96,107.56,370706
"2013-05-16",109.4,110.37,109.34,109.92,545244
"2013-05-23",107.14,108.31,106.38,108.24,543837
"2013-05-30",109.36,110.78,108.59,110.56,329323
"2013-06-06",104.51,106.54,103.68,106.53,459528
"2013-06-13",106.85,109.58,106.4,109.5,268624
"2013-06-20",106.45,106.79,104.37,105.03,392631
"2013-06-27",100.28,100.92,99.51,100.62,262430
"2013-07-11",105.64,105.91,104.04,105.01,390776
"2013-07-18",104.5,106.43,104.5,106.02,195285
"2013-07-25",104.62,104.81,102.01,102.49,283806
"2013-08-01",101.69,103.75,99.6,101.8,677025
"2013-08-08",99.7,100.29,98.06,98.74,508726
"2013-08-15",96.81,96.87,95.31,95.65,409955
"2013-08-22",97.75,99.08,97.55,98.47,135528
"2013-08-29",95.89,97.02,95.02,95.29,241979
"2013-09-05",95.15,95.33,94.25,94.92,424882
"2013-09-12",99.63,100.08,99.26,99.92,319386
"2013-09-19",99.11,99.91,97.77,98.15,420600
"2013-09-26",97.39,98.44,96.51,97.27,177536
"2013-10-03",99.4,99.54,96.5,97.95,520465
"2013-10-10",96.14,97.29,95.62,96.67,319298
"2013-10-17",96.04,97.88,95.81,97.39,267258
"2013-10-24",97.84,98.86,97.8,98.5,404642
"2013-10-31",98.99,99.48,97.77,98.09,285570
"2013-11-07",103.89,106,100.52,100.94,911832
"2013-11-14",100.85,102.56,99.05,102.29,441884
"2013-11-21",100.26,101.02,100.1,100.4,239306
"2013-12-05",95.9,97.2,95.39,95.62,429763
"2013-12-12",95.91,97.07,95.5,96.54,453870
"2013-12-19",96.5,96.81,95.94,95.98,954104
"2013-12-26",97.44,98.38,97.42,98.01,141272
"2014-01-02",99.54,100.18,98.74,99.54,393209
"2014-01-09",103.38,105.17,102.08,105.01,721751
"2014-01-16",107.92,109.24,107.92,108.59,417834
"2014-01-23",107.8,110.31,107.8,109.17,535495
"2014-01-30",108.99,109.11,106.12,107.77,1065648
"2014-02-06",106.68,113.24,106.68,112.56,1702641
"2014-02-13",114.58,116.67,114.35,115.9,513219
"2014-02-20",116.63,117.18,115.68,116.89,510783
"2014-02-27",119.64,122.89,119.64,122.63,448226
"2014-03-06",121.39,121.96,120.63,120.9,565093
"2014-03-13",123.78,123.78,120.71,121.45,291380
"2014-03-20",126.05,127.31,125.72,126.98,517297
"2014-03-27",125.05,126.34,123.72,125.63,358248
"2014-04-03",127.52,128.99,124.68,124.7,1414916
"2014-04-10",126.8,128.65,125.56,126.81,2138933
"2014-04-17",126.34,126.45,125.32,125.55,555920
"2014-04-24",128.11,128.11,124.59,126.64,454513
"2014-05-01",124.13,129.14,124.13,125.51,607791
"2014-05-08",122.31,123.73,119.65,119.93,762484
"2014-05-15",118.93,118.93,115.56,118.02,544524
"2014-05-22",118.86,121.19,118.29,121,400776
"2014-05-29",125.32,125.32,121.9,123.58,344907
"2014-06-05",122.84,127.94,122.49,126.9,693239
"2014-06-12",129.32,130.12,127.91,128.06,378716
"2014-06-19",134.17,134.46,132.75,134.07,264230
"2014-06-26",131.31,131.44,129.31,130.13,368673
"2014-07-03",127.85,128.86,126.43,126.67,1103758
"2014-07-10",127.34,129.6,126.9,129.3,1269757
"2014-07-17",128.74,129.86,127.89,128.17,574521
"2014-07-24",131.37,132.66,130.61,131.9,849779
"2014-07-31",127.74,127.91,123.66,124.23,1634448
"2014-08-07",126.82,127.64,125.15,125.79,609830
"2014-08-14",126.95,127.56,126.05,127.48,622198
"2014-08-21",129.5,129.5,128.54,129.14,627482
"2014-08-28",129.61,131.21,128.88,130.56,497769
"2014-09-04",129.68,131.89,129.46,130.75,776128
"2014-09-11",130.11,131.36,130.11,131.31,610223
"2014-09-18",129.37,129.37,127.49,128.29,759162
"2014-09-25",132.29,132.4,130.16,130.63,678563
"2014-10-02",124.99,125.31,121.8,123.43,1157755
"2014-10-09",119.03,120.41,115.66,115.85,1305650
"2014-10-16",107.12,113.93,107.08,113.27,1290681
"2014-10-23",119.8,122.21,118.49,121.48,954518
"2014-10-30",114.42,116.71,114.13,115.4,960617
"2014-11-06",120.91,122.86,120.63,122.81,857657
"2014-11-13",126.23,126.99,124.06,124.63,554470
"2014-11-20",127.45,129.58,126.86,128.64,457514
"2014-12-04",119.83,121,119.21,119.6,434398
"2014-12-11",112.08,113.74,111,111.45,1147411
"2014-12-18",111.73,115.44,111.73,115.4,940583
"2015-01-08",108.87,112.35,108.69,111.91,755221
"2015-01-15",107.38,107.78,104.53,104.58,577879
"2015-01-22",110.6,111.36,108.87,110.96,903051
"2015-01-29",107.34,110.8,105.32,110.02,928958
"2015-02-05",115.64,119.2,114.9,117.6,1138010
"2015-02-12",140.13,142.7,138.48,142.08,1957377
"2015-02-19",144,145.7,143.81,145,826714
"2015-02-26",143.92,144.53,140.87,141.63,703382
"2015-03-05",143.45,143.72,142,142.46,449324
"2015-03-12",140.31,143.67,140.11,143.49,864948
"2015-03-19",141.25,142.34,137.8,138.68,790490
"2015-03-26",139.94,143.3,139.32,142.12,826117
"2015-04-02",137.98,139.77,136.88,137.36,573771
"2015-04-09",136.21,137.27,135.38,137.01,346577
"2015-04-16",141.94,142.16,140.71,142.01,612766
"2015-04-23",137.37,139.26,136.76,138.24,767552
"2015-04-30",137.6,146.34,137.6,142.65,1888377
"2015-05-07",148.64,150.99,147.64,150.58,1046381
"2015-05-14",154.69,155.12,152.38,154.67,822555
"2015-05-21",153.19,155.51,153.04,154.58,688406
"2015-05-28",151.63,152.9,149.43,151.07,749642
"2015-06-04",146.9,148.5,145.59,148,1261834
"2015-06-11",151.87,153.15,150.84,151.95,846648
"2015-06-18",145.79,147.98,144.83,147.36,622921
"2015-06-25",146.2,146.2,144.35,145.22,608680
"2015-07-02",144.52,145.3,143.18,144,522843
"2015-07-09",146.17,148.98,145.94,146.77,714604
"2015-07-16",151.38,155.35,151.26,153.79,565538
"2015-07-23",161.5,162.75,158.76,159.28,847336
"2015-07-30",156.63,157.71,155.37,157.47,445700
"2015-08-06",170.15,172.84,167.09,167.72,1022472
"2015-08-13",172.51,173.42,170.41,172.15,519563
"2015-08-20",170,170.86,166.11,166.95,533414
"2015-08-27",159.79,166.9,159.79,164.99,791492
"2015-09-03",169.41,172,167.72,167.91,708570
"2015-09-10",168.68,171.6,167.58,170.77,1062978
"2015-09-17",176.34,178.67,174.88,175.93,640347
"2015-09-24",159.6,160,155.25,159.69,1184179
"2015-10-01",153.23,157.36,152.71,156.72,1565046
"2015-10-08",159.11,163.78,157.99,163.06,600010
"2015-10-15",152.69,152.75,147.63,149.22,2227322
"2015-10-22",146.53,153.19,145.09,152.4,913711
"2015-10-29",151.84,154.13,149.83,151.68,639414
"2015-11-05",145.33,155.52,143.3,155.33,2660311
"2015-11-12",154.23,155.5,151.24,151.5,698468
"2015-11-19",159.61,162.74,158.12,160.62,571685
"2015-12-03",158.06,159.88,152.3,153.64,774366
"2015-12-10",143.87,146.4,141.25,143.65,1083505
"2015-12-17",148.05,148.05,142.64,142.74,596110
"2015-12-24",142.96,143.46,142.04,142.33,105697
"2015-12-31",136.91,139.1,136.2,136.58,603368
"2016-01-07",127.48,133.74,126.37,129.56,1356205
"2016-01-14",123.29,125.2,121.57,123.61,903749
"2016-01-21",117.44,119.34,115.61,118.37,1579068
"2016-01-28",121.41,122.78,117.7,118.46,503256
"2016-02-04",122.04,126.56,122.04,124.41,1427320
"2016-02-11",128.19,133.47,126.69,129.4,1586463
"2016-02-18",138.92,141.9,134.92,136.06,643520
"2016-02-25",142.71,145.37,140.44,143.5,735564
"2016-03-03",148.52,149.52,145.98,148.43,877889
"2016-03-10",153.46,154.72,150.88,153.39,606993
"2016-03-17",153.9,156.97,152.76,155.91,707969
"2016-03-24",153.03,153.79,150.75,153.67,634384
"2016-03-31",154.68,160.18,154.44,159.51,1050344
"2016-04-07",162.4,163.08,160.6,161.96,716727
"2016-04-14",165,165.75,163.38,165.35,338193
"2016-04-21",169.94,171.25,168.52,168.71,324084
"2016-04-28",171.5,173.18,169.7,170.07,381202
"2016-05-05",174,177.07,171.6,175,2205572
"2016-05-12",188.24,189.76,185.5,186.77,833190
"2016-05-19",184.56,185.49,183.21,184.94,914578
"2016-05-26",192.89,193.43,190.86,191.7,743634
"2016-06-02",188.27,188.27,185.14,187.9,754653
"2016-06-09",191.15,191.18,186.34,189.23,680009
"2016-06-16",182.77,183.91,180.72,183.29,700804
"2016-06-23",185.73,187.96,184.92,187.95,724045
"2016-06-30",186.06,192.11,185.08,192,866125
"2016-07-07",195.03,195.8,193.25,195.35,757568
"2016-07-14",197.71,199.32,195.93,197.09,410418
"2016-07-21",198.52,199.27,195.18,196.08,427954
"2016-07-28",201.25,206.36,200.8,205.7,624410
"2016-08-04",199.8,199.8,197.22,198.47,371350
"2016-08-11",200.47,201.1,198.15,198.54,507014
"2016-08-18",194,195.75,192.25,194.28,377977
"2016-08-25",195.69,195.77,190.8,191.23,602323
"2016-09-01",182.62,184.42,180.63,183.53,631403
"2016-09-08",180.91,181.76,179.33,179.94,399577
"2016-09-15",177.38,178.5,174.78,177.83,808776
