"","ADI.Open","ADI.High","ADI.Low","ADI.Close","ADI.Volume"
"2013-09-26",47.88,47.88,47.34,47.45,968206
"2013-10-03",46.79,46.83,45.94,46.32,2677827
"2013-10-10",46.16,46.71,45.97,46.65,1437536
"2013-10-17",46.93,47.62,46.7,47.52,1613514
"2013-10-24",46.67,46.95,46.45,46.95,1617489
"2013-10-31",48.82,49.54,48.82,49.3,2107760
"2013-11-07",49.95,50.04,49.08,49.14,1497779
"2013-11-14",50.37,50.41,49.96,50.36,1070788
"2013-11-21",49.42,49.9,49,49.77,1197015
"2013-12-05",48.78,48.97,48.58,48.82,2226262
"2013-12-12",48.73,48.87,48.01,48.11,2107155
"2013-12-19",49.57,49.77,49.09,49.66,1589635
"2013-12-26",50.84,50.91,50.56,50.74,688686
"2014-01-02",49.52,49.75,49.04,49.28,2799092
"2014-01-09",49.45,49.63,49.19,49.52,2470916
"2014-01-16",50.48,50.5,49.73,49.82,2884984
"2014-01-23",50.22,50.31,49.33,49.41,2236542
"2014-01-30",48.87,49.12,48.42,48.89,1385414
"2014-02-06",48.01,48.68,47.86,48.35,1797870
"2014-02-13",49.69,50.7,49.63,50.69,2124684
"2014-02-20",51.72,51.87,51.01,51.4,3741305
"2014-02-27",50.81,51.2,50.75,51.03,1395220
"2014-03-06",51.29,51.62,51.08,51.57,1248897
"2014-03-13",51.94,51.94,50.19,50.45,2162124
"2014-03-20",51.44,53.26,51.2,53.22,4521797
"2014-03-27",52.78,53.16,52.38,52.58,1197544
"2014-04-03",54.16,54.4,53.79,53.98,1603284
"2014-04-10",54.15,54.36,52.48,52.49,1905709
"2014-04-17",52.09,53.19,52.07,52.85,2051924
"2014-04-24",53.9,54.36,53.56,53.7,2437308
"2014-05-01",51.38,51.53,50.76,50.82,1529080
"2014-05-08",50.72,51.92,50.51,51.31,1966971
"2014-05-15",50.92,51.22,50.41,50.78,2559114
"2014-05-22",51.35,52.03,51.35,51.74,2021318
"2014-05-29",52.65,52.72,52.2,52.26,1683403
"2014-06-05",52.31,52.67,52.04,52.57,1353129
"2014-06-12",55.62,55.9,55.27,55.44,1534222
"2014-06-19",55.27,55.27,54.48,54.93,1853500
"2014-06-26",53.66,53.76,53.07,53.55,1481719
"2014-07-03",54.42,54.84,54.26,54.82,711156
"2014-07-10",54.11,54.67,53.83,54.4,982637
"2014-07-17",53.39,53.54,52.93,52.94,1369749
"2014-07-24",51.36,51.64,50.81,51.3,2517527
"2014-07-31",50.4,50.83,49.62,49.63,1888828
"2014-08-07",50.18,50.3,48.86,48.93,2243309
"2014-08-14",50.42,50.9,50.4,50.74,1566930
"2014-08-21",52.03,52.58,51.76,52.54,1181579
"2014-08-28",50.95,51.4,50.71,51.29,2094866
"2014-09-04",50.25,50.67,50.25,50.41,1435433
"2014-09-11",49.32,49.91,49.26,49.76,2132375
"2014-09-18",49.79,50.37,49.57,50.29,1594635
"2014-09-25",49.94,50.05,49.55,49.64,3193863
"2014-10-02",48.24,48.35,47.24,47.8,3576564
"2014-10-09",47.75,47.94,46.34,46.34,6539899
"2014-10-16",43.44,44.91,43.2,44.6,3386176
"2014-10-23",46.57,46.72,46.21,46.42,2234033
"2014-10-30",47.29,47.3,46.38,47,3025829
"2014-11-06",50,50.37,49.42,50.22,2017943
"2014-11-13",50.43,50.64,49.95,50.21,1113392
"2014-11-20",50.35,51.2,50.35,51.17,1762674
"2014-12-04",56.46,56.7,55.99,56.62,3140256
"2014-12-11",57.99,57.99,55.62,56.25,2559417
"2014-12-18",56.82,57.06,56.02,57.06,2337551
"2015-01-08",54.39,55.18,54.08,54.76,1882724
"2015-01-15",53.7,54.2,52.67,52.73,1990309
"2015-01-22",54.71,54.76,53.22,54.75,2555727
"2015-01-29",52.99,53.61,52.43,53.23,1568515
"2015-02-05",53.8,55.01,53.5,54.95,2207611
"2015-02-12",56.36,56.73,55.95,56.72,1687354
"2015-02-19",58.41,58.67,58.17,58.65,1837943
"2015-02-26",59.06,59.22,58.59,58.88,1671648
"2015-03-05",58.56,58.87,58.18,58.45,985040
"2015-03-12",56.81,57.54,56.68,57.51,1010721
"2015-03-19",59.43,60.12,59.11,60,2724626
"2015-03-26",56.92,57.89,56.27,57.42,2847316
"2015-04-02",62.3,63.33,61.95,62.24,2200634
"2015-04-09",63.32,64.1,63.23,64.03,1574990
"2015-04-16",63.52,64.23,63.49,64.1,1453722
"2015-04-23",63.04,63.82,62.8,63.59,2707720
"2015-04-30",62.55,62.67,61.29,61.84,2985884
"2015-05-07",61.83,62.62,61.57,62.04,1760380
"2015-05-14",62.97,63.83,62.71,63.4,1918844
"2015-05-21",66,66.02,65.05,65.49,3560690
"2015-05-28",68.35,68.75,67.68,68.31,1722473
"2015-06-04",66.92,67.43,66.62,66.94,2167466
"2015-06-11",67.74,67.85,67.13,67.22,1384155
"2015-06-18",67.6,68.63,67.51,68.3,1989313
"2015-06-25",67.06,67.33,66.3,66.59,1590096
"2015-07-02",64.58,64.9,63.9,64.38,1861017
"2015-07-09",62.82,63.22,60.88,60.89,3328943
"2015-07-16",62.51,63.25,62.24,62.83,1782806
"2015-07-23",58.99,61.22,58.75,60.05,3235512
"2015-07-30",58.66,59.06,57.98,58.82,2131856
"2015-08-06",60.32,60.79,58.73,58.87,2922613
"2015-08-13",59.66,59.89,58.87,59,1895762
"2015-08-20",57.26,57.4,53.8,53.82,5893374
"2015-08-27",54.75,56.51,54.62,56.48,5302552
"2015-09-03",55.25,55.88,54.7,55.17,2313187
"2015-09-10",55.99,56.55,55.31,56.01,3362372
"2015-09-17",58.38,58.96,57.86,57.93,2506864
"2015-09-24",54.53,54.7,52.48,54,3535759
"2015-10-01",56.35,56.54,53.71,54.94,4093614
"2015-10-08",57.95,57.99,56.59,57.72,2299252
"2015-10-15",61.5,61.76,60.39,61.28,4906011
"2015-10-22",63.28,63.95,62.42,63.4,3492843
"2015-10-29",59.96,60.94,59.27,59.98,2374501
"2015-11-05",60.83,60.92,60.05,60.36,1202312
"2015-11-12",59.72,60.76,59.33,59.46,2084414
"2015-11-19",60.39,60.41,59.43,59.77,2753625
"2015-12-03",61.4,61.46,58.81,59.05,3560415
"2015-12-10",56.67,57.51,56.44,57.15,3175639
"2015-12-17",57.44,57.87,56.11,56.12,2249562
"2015-12-24",56.48,57,56.48,56.8,536315
"2015-12-31",56.45,56.55,55.32,55.32,1409427
"2016-01-07",50.45,51.46,50.03,50.42,5162974
"2016-01-14",50.54,51.06,49.91,50.5,3285786
"2016-01-21",51.51,51.68,50.11,50.53,3971992
"2016-01-28",51.67,51.97,51.14,51.76,2693168
"2016-02-04",51.21,52.15,50.89,51.67,1761894
"2016-02-11",48.37,49.34,48.17,48.84,2402329
"2016-02-18",53.01,53.63,51.93,52.04,2164548
"2016-02-25",53.06,53.12,51.43,52.99,2423296
"2016-03-03",55.61,55.78,54.66,55.47,2070054
"2016-03-10",55.46,55.81,54.42,55.12,1749675
"2016-03-17",56.5,57.95,56.5,57.87,2493144
"2016-03-24",58.05,58.65,57.67,58.64,1943189
"2016-03-31",58.91,59.45,58.69,59.19,1768566
"2016-04-07",58.79,59.07,57.99,58.36,1448273
"2016-04-14",59.23,59.62,58.68,59.44,1558033
"2016-04-21",59.05,59.14,58.48,58.81,1463342
"2016-04-28",59.2,59.56,57.56,57.86,2470405
"2016-05-05",55.98,56.21,55.42,55.69,1519426
"2016-05-12",55.96,56.22,54.48,54.9,2272715
"2016-05-19",55.67,56.03,55.03,55.7,1776826
"2016-05-26",58.21,58.49,57.99,58.29,1033024
"2016-06-02",57.2,58.34,57.2,58.28,1708151
"2016-06-09",57.57,57.61,57.2,57.56,1052725
"2016-06-16",56.51,57,55.9,56.9,1088077
"2016-06-23",57.52,58.12,57.32,58.11,1608860
"2016-06-30",55.75,56.69,55.4,56.64,2573300
"2016-07-07",55.49,56.36,55.29,55.95,1382024
"2016-07-14",60,60.18,59.67,60.02,1721921
"2016-07-21",60.65,60.65,59.72,59.95,1379456
"2016-07-28",63.46,64.39,62.75,64.22,4724066
"2016-08-04",63.07,63.39,62.7,63.34,1783760
"2016-08-11",63.99,64.14,62.87,64.14,1325096
"2016-08-18",64.3,64.85,63.75,64.13,2130647
"2016-08-25",62.82,63.04,62.56,62.72,2336706
"2016-09-01",62.1,63.07,61.6,63.06,1813998
"2016-09-08",61.66,61.8,61.12,61.41,2025771
"2016-09-15",60.88,62.72,60.87,62.65,3235543
