"","ALGN.Open","ALGN.High","ALGN.Low","ALGN.Close","ALGN.Volume"
"2013-08-29",43,44.13,43,43.79,258768
"2013-09-05",44.64,45.19,44.34,44.83,312668
"2013-09-12",47.38,47.43,46.94,47.12,373079
"2013-09-19",48.29,49.08,47.64,47.67,596609
"2013-09-26",47.52,48.09,47.13,48.08,402908
"2013-10-03",48.85,49.21,47.33,47.87,544737
"2013-10-10",44.15,44.66,41.83,42.52,3324017
"2013-10-17",43.58,46.34,43.01,45.93,4490032
"2013-10-24",57.43,57.5,56.39,56.57,1131528
"2013-10-31",56.97,57.59,56.31,57.06,427697
"2013-11-07",57.22,57.91,56.45,56.63,649832
"2013-11-14",55.63,55.95,54.05,54.68,3970602
"2013-11-21",52.78,53.93,52.68,53.89,767537
"2013-12-05",54.54,54.57,53.83,54.53,520876
"2013-12-12",53.38,54.43,52.74,54.12,881105
"2013-12-19",57.22,57.52,56.07,56.47,810624
"2013-12-26",58.34,58.5,57.42,57.77,495222
"2014-01-02",57.06,57.37,56.43,56.96,437600
"2014-01-09",60.72,61.08,59.45,60.34,725447
"2014-01-16",62.02,63.48,61.78,62.12,1076764
"2014-01-23",63.12,63.42,62.21,63.4,10839361
"2014-01-30",58.74,59.81,58.16,58.49,1910387
"2014-02-06",54.99,55.64,53.89,54.01,1220330
"2014-02-13",54.38,55.17,54.05,54.66,852000
"2014-02-20",53.65,54.04,52.09,53.52,1385419
"2014-02-27",52.74,53.4,52.74,52.93,750892
"2014-03-06",54.28,55.23,54.27,54.75,897542
"2014-03-13",54.67,54.74,51.77,52.38,757760
"2014-03-20",54.08,54.79,53.39,54.72,573629
"2014-03-27",52.12,53.66,50.9,51.43,1077941
"2014-04-03",54.18,54.3,52.72,53.59,569604
"2014-04-10",53.97,54.15,50.39,50.61,759223
"2014-04-17",51.43,53.61,50.81,53.4,960192
"2014-04-24",52.25,52.8,48.56,50.8,2835539
"2014-05-01",50.35,51.83,49.61,51,1160565
"2014-05-08",48.18,49.53,47.22,48.04,925166
"2014-05-15",49.65,50,48.88,49.69,538232
"2014-05-22",52.55,53.25,51.99,52.72,778497
"2014-05-29",53.6,55.42,52.85,55.12,1456714
"2014-06-05",53.46,54.1,52.67,53.56,614817
"2014-06-12",51.65,51.86,50.67,50.81,826663
"2014-06-19",52.03,52.18,51.71,52.16,628920
"2014-06-26",55.18,55.18,54.08,55.13,1458826
"2014-07-03",56.91,57.19,56.42,57.14,749597
"2014-07-10",54.23,55.16,54.01,54.46,881226
"2014-07-17",53.6,54.13,52.17,52.26,836551
"2014-07-24",53.27,53.52,52.94,53.23,1025679
"2014-07-31",55.11,55.54,54.21,54.21,749031
"2014-08-07",54.51,54.74,53.48,53.54,550094
"2014-08-14",54.66,54.97,54.21,54.71,332213
"2014-08-21",55.1,55.14,54.25,54.48,353795
"2014-08-28",55.22,55.22,54.72,54.79,308951
"2014-09-04",55.5,55.81,54.92,55.3,449203
"2014-09-11",55.13,55.58,55.02,55.55,456958
"2014-09-18",54.09,54.77,53.79,54.37,321206
"2014-09-25",53.59,53.91,52.76,52.83,462450
"2014-10-02",49.94,50.11,47.61,48.8,2388494
"2014-10-09",47.58,47.77,46.61,46.63,917934
"2014-10-16",44.12,45.43,44.03,45.16,992596
"2014-10-23",48.6,49.61,48.29,49.04,915173
